content,主题概率,主题类型,情感类型,情感得分
asian hate ,"[(0, 0.056765735), (1, 0.7192648), (2, 0.05561364), (3, 0.05636008), (4, 0.05568705), (5, 0.056308683)]",1,NEGATIVE,0.998890221118927
asian united selfish division attack bully western power divide rule ,"[(0, 0.92371726), (1, 0.015444475), (2, 0.015241658), (3, 0.015199957), (4, 0.015167725), (5, 0.015228887)]",0,NEGATIVE,0.9499526023864746
asshole billion people worried business ,"[(0, 0.02782892), (1, 0.8602505), (2, 0.028002556), (3, 0.027839234), (4, 0.02826951), (5, 0.027809296)]",1,NEGATIVE,0.9975048899650574
assume white ,"[(0, 0.38825542), (1, 0.05568941), (2, 0.38910994), (3, 0.05557001), (4, 0.055569645), (5, 0.055805545)]",2,NEGATIVE,0.9849656820297241
athlete cheer winter olympics ,"[(0, 0.03338479), (1, 0.033428155), (2, 0.033362545), (3, 0.033348206), (4, 0.83312875), (5, 0.033347566)]",4,POSITIVE,0.9972972273826599
atleast reptile vegetarian vegan ,"[(0, 0.033437524), (1, 0.03343185), (2, 0.03335948), (3, 0.03335999), (4, 0.03350884), (5, 0.8329024)]",5,NEGATIVE,0.9055337905883789
atmosphere twitter love ,"[(0, 0.7909793), (1, 0.041744098), (2, 0.041722327), (3, 0.04185863), (4, 0.041743953), (5, 0.041951675)]",0,POSITIVE,0.9995437264442444
attack country loot ,"[(0, 0.041940175), (1, 0.041834407), (2, 0.79074293), (3, 0.041729495), (4, 0.041916527), (5, 0.041836467)]",2,NEGATIVE,0.9974518418312073
attack english mother tongue country ,"[(0, 0.027975757), (1, 0.02796643), (2, 0.8604082), (3, 0.027806), (4, 0.027984371), (5, 0.02785927)]",2,NEGATIVE,0.9767645001411438
attention mother ,"[(0, 0.055986438), (1, 0.71951073), (2, 0.0562191), (3, 0.05603982), (4, 0.056572177), (5, 0.055671755)]",1,POSITIVE,0.9985070824623108
attention safety ,"[(0, 0.055954866), (1, 0.055930045), (2, 0.056166235), (3, 0.7200511), (4, 0.05627509), (5, 0.05562269)]",3,POSITIVE,0.9540135860443115
attention word malice sarcasm justice ease heaven reincarnation downtoearth manner ,"[(0, 0.924044), (1, 0.015180933), (2, 0.015185635), (3, 0.015194034), (4, 0.015222195), (5, 0.015173186)]",0,NEUTRAL,0.5458148717880249
attractive ,"[(0, 0.08348821), (1, 0.08348739), (2, 0.5825593), (3, 0.08348918), (4, 0.083484925), (5, 0.08349102)]",2,POSITIVE,0.9998689889907837
australia stolen land racism claim ,"[(0, 0.027886804), (1, 0.027860241), (2, 0.028155198), (3, 0.6152355), (4, 0.2730322), (5, 0.027830055)]",3,NEGATIVE,0.9945842623710632
australia white racism comprise people ,"[(0, 0.027939174), (1, 0.02800648), (2, 0.8595811), (3, 0.028543446), (4, 0.028020522), (5, 0.027909225)]",2,NEGATIVE,0.9695501327514648
autonomous ,"[(0, 0.08350026), (1, 0.08349944), (2, 0.083497494), (3, 0.0835014), (4, 0.5824982), (5, 0.083503224)]",4,POSITIVE,0.99673992395401
aware iranian government representative iran ,"[(0, 0.02807965), (1, 0.027981067), (2, 0.027949484), (3, 0.02783844), (4, 0.027968887), (5, 0.86018246)]",5,POSITIVE,0.9991264939308167
awesome ,"[(0, 0.08333648), (1, 0.5828233), (2, 0.08364684), (3, 0.08337328), (4, 0.083441295), (5, 0.08337884)]",1,POSITIVE,0.9998682737350464
awesome cactus forest uniqueness variety beauty ,"[(0, 0.02396769), (1, 0.8805601), (2, 0.023842145), (3, 0.023895755), (4, 0.02388362), (5, 0.023850681)]",1,POSITIVE,0.9998666048049927
awesome china ,"[(0, 0.055920776), (1, 0.32330012), (2, 0.453271), (3, 0.05563532), (4, 0.056249183), (5, 0.055623613)]",2,POSITIVE,0.9998732805252075
awesome china daily ,"[(0, 0.4939998), (1, 0.33789352), (2, 0.042341482), (3, 0.041823097), (4, 0.04222804), (5, 0.041714065)]",0,POSITIVE,0.999875545501709
awesome congratulation ,"[(0, 0.055560503), (1, 0.71957743), (2, 0.056607056), (3, 0.056143377), (4, 0.05648969), (5, 0.05562196)]",1,POSITIVE,0.9998698234558105
awesome klass ,"[(0, 0.055632588), (1, 0.38048628), (2, 0.055834886), (3, 0.39668265), (4, 0.055701382), (5, 0.055662215)]",3,POSITIVE,0.9998475313186646
awesome pride asian ,"[(0, 0.041681964), (1, 0.7915136), (2, 0.041715063), (3, 0.041688014), (4, 0.04168318), (5, 0.041718137)]",1,POSITIVE,0.9998692274093628
awesome terra cota warrior xi'an ,"[(0, 0.027801014), (1, 0.02813242), (2, 0.86062425), (3, 0.027809009), (4, 0.027822964), (5, 0.027810395)]",2,POSITIVE,0.9998218417167664
awesome wemelectricmotor invtacdrives ,"[(0, 0.041705407), (1, 0.79140884), (2, 0.041744858), (3, 0.041710544), (4, 0.04171868), (5, 0.041711673)]",1,POSITIVE,0.9994238615036011
awful ,"[(0, 0.5827447), (1, 0.08345091), (2, 0.08344949), (3, 0.08345226), (4, 0.08344902), (5, 0.08345361)]",0,NEGATIVE,0.9997954964637756
awsome ,"[(0, 0.08348814), (1, 0.08348731), (2, 0.5825598), (3, 0.08348905), (4, 0.08348479), (5, 0.08349094)]",2,NEGATIVE,0.9940698146820068
awwwwww ,"[(0, 0.08346091), (1, 0.5826969), (2, 0.083458796), (3, 0.08346179), (4, 0.08345831), (5, 0.083463274)]",1,NEGATIVE,0.9810854196548462
baby ,"[(0, 0.08333969), (1, 0.083339654), (2, 0.083440065), (3, 0.08333972), (4, 0.5830782), (5, 0.08346271)]",4,POSITIVE,0.9968827962875366
baby dead story ,"[(0, 0.042134695), (1, 0.40393606), (2, 0.041987397), (3, 0.04193043), (4, 0.42830408), (5, 0.041707337)]",4,NEGATIVE,0.9849318265914917
baby doll ,"[(0, 0.055618953), (1, 0.05561868), (2, 0.05569087), (3, 0.055619307), (4, 0.35099062), (5, 0.42646158)]",5,POSITIVE,0.9189943671226501
background ,"[(0, 0.08336823), (1, 0.08336807), (2, 0.08336766), (3, 0.08336851), (4, 0.08336754), (5, 0.58316)]",5,POSITIVE,0.9964011907577515
backtoyourhells ,"[(0, 0.08350064), (1, 0.083499655), (2, 0.08349771), (3, 0.08350182), (4, 0.58249664), (5, 0.08350352)]",4,NEGATIVE,0.9603312611579895
backward china burden country ,"[(0, 0.2463544), (1, 0.033649128), (2, 0.6194058), (3, 0.033479348), (4, 0.033744395), (5, 0.03336687)]",2,NEGATIVE,0.9995875954627991
badly beat ,"[(0, 0.055600308), (1, 0.055649433), (2, 0.055789627), (3, 0.055611383), (4, 0.7217839), (5, 0.055565383)]",4,NEGATIVE,0.9989663362503052
baikal430 ,"[(0, 0.08350047), (1, 0.08349978), (2, 0.08349775), (3, 0.083501734), (4, 0.58249664), (5, 0.08350362)]",4,POSITIVE,0.9586712121963501
balcony sand ,"[(0, 0.721974), (1, 0.055597007), (2, 0.055596564), (3, 0.05559745), (4, 0.05563706), (5, 0.055597894)]",0,POSITIVE,0.98773193359375
bali glamping ,"[(0, 0.05563324), (1, 0.72152656), (2, 0.055940274), (3, 0.055633694), (4, 0.055631757), (5, 0.055634502)]",1,POSITIVE,0.9575235247612
ball ,"[(0, 0.083341986), (1, 0.08334203), (2, 0.08382339), (3, 0.5828086), (4, 0.083341815), (5, 0.08334214)]",3,POSITIVE,0.9941370487213135
bandar ,"[(0, 0.0835), (1, 0.08349888), (2, 0.083496936), (3, 0.08350088), (4, 0.5825005), (5, 0.08350278)]",4,POSITIVE,0.9837083220481873
bang ,"[(0, 0.08334968), (1, 0.083349615), (2, 0.08334949), (3, 0.58311886), (4, 0.083482355), (5, 0.08335)]",3,POSITIVE,0.9980472326278687
bang china ,"[(0, 0.056048468), (1, 0.055698585), (2, 0.056428634), (3, 0.3865085), (4, 0.38969836), (5, 0.055617433)]",4,POSITIVE,0.9686569571495056
barbarian understand chinese shockingyour english sense superiorityyou loser country ,"[(0, 0.016823644), (1, 0.016775552), (2, 0.017011765), (3, 0.016845068), (4, 0.915849), (5, 0.01669499)]",4,NEGATIVE,0.9948950409889221
barbaric market education china ,"[(0, 0.33993202), (1, 0.033576153), (2, 0.03350098), (3, 0.033487055), (4, 0.5261521), (5, 0.033351768)]",4,NEGATIVE,0.9935060739517212
bark ,"[(0, 0.08334135), (1, 0.08342081), (2, 0.0833412), (3, 0.08345191), (4, 0.58289516), (5, 0.08354952)]",4,NEGATIVE,0.9922271966934204
bark shit worry pneumonia lung brain ,"[(0, 0.02393052), (1, 0.02411052), (2, 0.024185224), (3, 0.559135), (4, 0.34450337), (5, 0.024135353)]",3,NEGATIVE,0.9945909976959229
barking ,"[(0, 0.08348801), (1, 0.08348706), (2, 0.58125794), (3, 0.083488725), (4, 0.084787525), (5, 0.083490714)]",2,NEGATIVE,0.9943233728408813
base ,"[(0, 0.08360733), (1, 0.08335626), (2, 0.08335606), (3, 0.08447979), (4, 0.08453682), (5, 0.5806637)]",5,POSITIVE,0.9958567023277283
base wuxi moment contract teach english actualy beautiful country ,"[(0, 0.91539466), (1, 0.01673454), (2, 0.017188327), (3, 0.01678549), (4, 0.01690601), (5, 0.016990937)]",0,POSITIVE,0.9956542253494263
baseless ,"[(0, 0.083356634), (1, 0.08335658), (2, 0.5832166), (3, 0.08335682), (4, 0.08335618), (5, 0.08335715)]",2,NEGATIVE,0.9965985417366028
basement ,"[(0, 0.08346092), (1, 0.58269745), (2, 0.08345882), (3, 0.083461575), (4, 0.08345814), (5, 0.08346315)]",1,NEGATIVE,0.9889290928840637
bastard dignity ,"[(0, 0.05567867), (1, 0.72148824), (2, 0.055974428), (3, 0.055596977), (4, 0.05566432), (5, 0.055597395)]",1,NEGATIVE,0.9905229210853577
bastard meat human savage animal ,"[(0, 0.027817145), (1, 0.8606197), (2, 0.027810402), (3, 0.028000278), (4, 0.027944373), (5, 0.027808102)]",1,NEGATIVE,0.9890280961990356
bastards ,"[(0, 0.083638474), (1, 0.5824928), (2, 0.08359707), (3, 0.083341725), (4, 0.0835881), (5, 0.08334183)]",1,NEGATIVE,0.9997060894966125
beach. ,"[(0, 0.08335682), (1, 0.083594695), (2, 0.5829772), (3, 0.083356954), (4, 0.08335633), (5, 0.08335803)]",2,POSITIVE,0.9971599578857422
beast pretty stuff ,"[(0, 0.042240936), (1, 0.04169662), (2, 0.041861944), (3, 0.041696914), (4, 0.04248483), (5, 0.7900188)]",5,POSITIVE,0.9989047050476074
beat ,"[(0, 0.08346952), (1, 0.08364567), (2, 0.08412495), (3, 0.08350903), (4, 0.5819057), (5, 0.0833451)]",4,POSITIVE,0.9840232133865356
beautif ,"[(0, 0.083427124), (1, 0.083426654), (2, 0.08342559), (3, 0.08342771), (4, 0.083425194), (5, 0.58286774)]",5,POSITIVE,0.9957275390625
beautiful ,"[(0, 0.5813644), (1, 0.08469159), (2, 0.08360635), (3, 0.08341555), (4, 0.083378345), (5, 0.08354378)]",0,POSITIVE,0.9998807907104492
beautiful .take ,"[(0, 0.3656238), (1, 0.056548107), (2, 0.055811442), (3, 0.41058958), (4, 0.05565593), (5, 0.055771124)]",3,POSITIVE,0.9998801946640015
beautiful awesome ,"[(0, 0.05595283), (1, 0.7215068), (2, 0.05572125), (3, 0.05559077), (4, 0.05559919), (5, 0.055629183)]",1,POSITIVE,0.9998794794082642
beautiful beauty creativity love ,"[(0, 0.033852942), (1, 0.8319773), (2, 0.03341854), (3, 0.03381764), (4, 0.033473853), (5, 0.033459734)]",1,POSITIVE,0.9998816251754761
beautiful brazilian tree ,"[(0, 0.042002935), (1, 0.49112704), (2, 0.042292267), (3, 0.041731194), (4, 0.04172185), (5, 0.3411247)]",1,POSITIVE,0.999850869178772
beautiful cactus ,"[(0, 0.72148275), (1, 0.056069847), (2, 0.05564517), (3, 0.055592358), (4, 0.055581562), (5, 0.055628292)]",0,POSITIVE,0.9997699856758118
beautiful china love pakistan ,"[(0, 0.8318695), (1, 0.03349227), (2, 0.0337616), (3, 0.033454068), (4, 0.03402002), (5, 0.033402577)]",0,POSITIVE,0.999790608882904
beautiful collect leave ,"[(0, 0.042341), (1, 0.27176312), (2, 0.04195228), (3, 0.56038857), (4, 0.04172197), (5, 0.04183309)]",3,POSITIVE,0.9998058676719666
beautiful couple ,"[(0, 0.7214903), (1, 0.056062493), (2, 0.055645104), (3, 0.055592313), (4, 0.05558152), (5, 0.055628244)]",0,POSITIVE,0.9998805522918701
beautiful culture ,"[(0, 0.72112954), (1, 0.056052793), (2, 0.05574763), (3, 0.0556258), (4, 0.05574067), (5, 0.05570357)]",0,POSITIVE,0.999881386756897
beautiful delicious ,"[(0, 0.05612768), (1, 0.7199279), (2, 0.057167646), (3, 0.055583585), (4, 0.055572715), (5, 0.055620458)]",1,POSITIVE,0.9998811483383179
beautiful discipline ,"[(0, 0.3081131), (1, 0.05660135), (2, 0.056215525), (3, 0.055667154), (4, 0.0556384), (5, 0.46776447)]",5,POSITIVE,0.9998817443847656
beautiful earth swallow spit ,"[(0, 0.03350134), (1, 0.5987166), (2, 0.03345329), (3, 0.2672436), (4, 0.033401992), (5, 0.033683095)]",1,POSITIVE,0.9942551255226135
beautiful elegant white blue dream ,"[(0, 0.32439196), (1, 0.027947944), (2, 0.45121765), (3, 0.027828962), (4, 0.1407934), (5, 0.027820041)]",2,POSITIVE,0.9998658895492554
beautiful farmer ,"[(0, 0.36307484), (1, 0.056516595), (2, 0.05603485), (3, 0.41308004), (4, 0.055589966), (5, 0.0557037)]",3,POSITIVE,0.9998607635498047
beautiful flower ,"[(0, 0.05610047), (1, 0.7209898), (2, 0.055669926), (3, 0.056039456), (4, 0.055582434), (5, 0.055617884)]",1,POSITIVE,0.9998742341995239
beautiful fragrant ,"[(0, 0.056004412), (1, 0.72157407), (2, 0.055639684), (3, 0.05558531), (4, 0.055574443), (5, 0.055622086)]",1,POSITIVE,0.999869704246521
beautiful girl color ,"[(0, 0.041926004), (1, 0.79084885), (2, 0.041829485), (3, 0.041988574), (4, 0.04170936), (5, 0.041697733)]",1,POSITIVE,0.9998703002929688
beautiful gold crop ,"[(0, 0.5432263), (1, 0.041924328), (2, 0.28903583), (3, 0.041697595), (4, 0.042181995), (5, 0.041933943)]",0,POSITIVE,0.9998754262924194
beautiful hanfu ,"[(0, 0.05595082), (1, 0.721646), (2, 0.05563512), (3, 0.055580694), (4, 0.05556993), (5, 0.055617407)]",1,POSITIVE,0.9998132586479187
beautiful hanfu~ ,"[(0, 0.7214999), (1, 0.055962734), (2, 0.05566743), (3, 0.055615027), (4, 0.05560366), (5, 0.05565123)]",0,POSITIVE,0.9998158812522888
beautiful happy chinese ,"[(0, 0.04220603), (1, 0.7905015), (2, 0.0418533), (3, 0.041845925), (4, 0.04185302), (5, 0.041740227)]",1,POSITIVE,0.9998857975006104
beautiful happy spring festival ,"[(0, 0.53818107), (1, 0.03365493), (2, 0.3276938), (3, 0.033609156), (4, 0.033489864), (5, 0.033371203)]",0,POSITIVE,0.9998888969421387
beautiful harvest ,"[(0, 0.72148734), (1, 0.055935234), (2, 0.055753525), (3, 0.055580173), (4, 0.055627745), (5, 0.055615973)]",0,POSITIVE,0.999845027923584
beautiful lady ,"[(0, 0.05603799), (1, 0.72143555), (2, 0.0556425), (3, 0.055681657), (4, 0.055577256), (5, 0.055625055)]",1,POSITIVE,0.9998576641082764
beautiful lady wear dress ,"[(0, 0.20627174), (1, 0.6594961), (2, 0.03342823), (3, 0.0337383), (4, 0.033686996), (5, 0.03337865)]",1,POSITIVE,0.9992152452468872
beautiful land ,"[(0, 0.72044504), (1, 0.0561341), (2, 0.05586329), (3, 0.05576846), (4, 0.056025766), (5, 0.055763338)]",0,POSITIVE,0.9998832941055298
beautiful lanzarote ,"[(0, 0.3078171), (1, 0.056603096), (2, 0.05580757), (3, 0.055667493), (4, 0.055638764), (5, 0.468466)]",5,POSITIVE,0.9998552799224854
beautiful learn amen ,"[(0, 0.78988904), (1, 0.0418935), (2, 0.041859437), (3, 0.041696157), (4, 0.042914793), (5, 0.041747123)]",0,POSITIVE,0.9996626377105713
beautiful love ,"[(0, 0.72091806), (1, 0.056067497), (2, 0.055700094), (3, 0.055940904), (4, 0.0556819), (5, 0.05569151)]",0,POSITIVE,0.9998815059661865
beautiful love china ,"[(0, 0.79037815), (1, 0.041940812), (2, 0.042042866), (3, 0.0418724), (4, 0.042016465), (5, 0.041749276)]",0,POSITIVE,0.9998683929443359
beautiful love join ,"[(0, 0.79096156), (1, 0.041891016), (2, 0.041839276), (3, 0.041847453), (4, 0.04172809), (5, 0.041732643)]",0,POSITIVE,0.9998563528060913
beautiful love river mountain motherland ,"[(0, 0.028252319), (1, 0.86008775), (2, 0.027835835), (3, 0.027990414), (4, 0.027872084), (5, 0.027961584)]",1,POSITIVE,0.9997920393943787
beautiful luobotou care chinese satisfy comfort awesome reward yifan toothpick ,"[(0, 0.015259902), (1, 0.015388554), (2, 0.9237634), (3, 0.015211117), (4, 0.015195219), (5, 0.015181794)]",2,POSITIVE,0.9996589422225952
beautiful makeup painting asshole ,"[(0, 0.03386906), (1, 0.03399895), (2, 0.83118623), (3, 0.033405103), (4, 0.034088682), (5, 0.033451963)]",2,POSITIVE,0.9948360919952393
beautiful masha alaha ,"[(0, 0.04260066), (1, 0.042571753), (2, 0.7894773), (3, 0.041764684), (4, 0.041740436), (5, 0.04184519)]",2,POSITIVE,0.9998371601104736
beautiful miracle ,"[(0, 0.30561423), (1, 0.056566138), (2, 0.055766147), (3, 0.0556244), (4, 0.055596616), (5, 0.47083253)]",5,POSITIVE,0.9998775720596313
beautiful mooncake ,"[(0, 0.056004792), (1, 0.72144157), (2, 0.05567241), (3, 0.055618573), (4, 0.055606846), (5, 0.05565581)]",1,POSITIVE,0.9998688697814941
beautiful mountain ,"[(0, 0.72099465), (1, 0.05618028), (2, 0.055634763), (3, 0.055581704), (4, 0.055571154), (5, 0.056037415)]",0,POSITIVE,0.9998619556427002
beautiful mural ,"[(0, 0.7215067), (1, 0.055955876), (2, 0.055667434), (3, 0.055615034), (4, 0.05560369), (5, 0.055651244)]",0,POSITIVE,0.9998339414596558
beautiful nanning ,"[(0, 0.7214988), (1, 0.055963796), (2, 0.05566744), (3, 0.055615027), (4, 0.055603664), (5, 0.05565126)]",0,POSITIVE,0.9998654127120972
beautiful national style traditional culture inherit ,"[(0, 0.024074137), (1, 0.6474486), (2, 0.023890572), (3, 0.023858003), (4, 0.023906797), (5, 0.2568219)]",1,POSITIVE,0.9998447895050049
beautiful nature ,"[(0, 0.056002177), (1, 0.72065395), (2, 0.055639785), (3, 0.055585336), (4, 0.056496475), (5, 0.055622265)]",1,POSITIVE,0.9998776912689209
beautiful performance ,"[(0, 0.72166836), (1, 0.055926614), (2, 0.055634663), (3, 0.055581722), (4, 0.055571176), (5, 0.05561745)]",0,POSITIVE,0.9998840093612671
beautiful photo ,"[(0, 0.7210267), (1, 0.055913653), (2, 0.05575851), (3, 0.055580743), (4, 0.05610383), (5, 0.055616546)]",0,POSITIVE,0.9998817443847656
beautiful picture ,"[(0, 0.055945173), (1, 0.7214887), (2, 0.05574923), (3, 0.05563108), (4, 0.055569176), (5, 0.05561665)]",1,POSITIVE,0.9998805522918701
beautiful pilot ,"[(0, 0.05595936), (1, 0.7216191), (2, 0.055639707), (3, 0.05558531), (4, 0.055574425), (5, 0.055622116)]",1,POSITIVE,0.9998784065246582
beautiful prominent pair croissant roast beef happy arvol ,"[(0, 0.9069007), (1, 0.018875364), (2, 0.01855306), (3, 0.01853875), (4, 0.018563403), (5, 0.018568672)]",0,POSITIVE,0.9997078776359558
beautiful remind jackie chan film soldier ,"[(0, 0.024302606), (1, 0.024047695), (2, 0.8793302), (3, 0.024551105), (4, 0.023900174), (5, 0.023868222)]",2,POSITIVE,0.9998412132263184
beautiful scenery background ,"[(0, 0.49331722), (1, 0.04196102), (2, 0.041745145), (3, 0.041704725), (4, 0.041696195), (5, 0.3395757)]",0,POSITIVE,0.9998835325241089
beautiful share forever grateful ,"[(0, 0.03359429), (1, 0.4193121), (2, 0.44652626), (3, 0.03335347), (4, 0.033492085), (5, 0.03372183)]",2,POSITIVE,0.9998828172683716
beautiful sister ,"[(0, 0.055953592), (1, 0.7214956), (2, 0.05578217), (3, 0.05558087), (4, 0.055570096), (5, 0.055617634)]",1,POSITIVE,0.9998528957366943
beautiful view ,"[(0, 0.055943176), (1, 0.72159857), (2, 0.055635452), (3, 0.055581), (4, 0.055624027), (5, 0.05561774)]",1,POSITIVE,0.999871015548706
beautiful view baby deer ,"[(0, 0.033610623), (1, 0.39365444), (2, 0.033430398), (3, 0.03338002), (4, 0.47250137), (5, 0.03342311)]",4,POSITIVE,0.9997174143791199
beautiful view dangerous ,"[(0, 0.041851453), (1, 0.7912893), (2, 0.04176384), (3, 0.04168597), (4, 0.041706044), (5, 0.04170335)]",1,POSITIVE,0.9980167150497437
beautiful view wait enjoy ,"[(0, 0.25884137), (1, 0.60569984), (2, 0.034187034), (3, 0.0336726), (4, 0.033605352), (5, 0.03399378)]",1,POSITIVE,0.9995267391204834
beautiful view warm ,"[(0, 0.0419749), (1, 0.51951003), (2, 0.041735563), (3, 0.041693304), (4, 0.31336424), (5, 0.041721914)]",1,POSITIVE,0.999880313873291
beautiful wealth ,"[(0, 0.055971313), (1, 0.7210314), (2, 0.05567243), (3, 0.05606208), (4, 0.05560689), (5, 0.055655845)]",1,POSITIVE,0.9998852014541626
beautiful woman ,"[(0, 0.05612551), (1, 0.72100085), (2, 0.0559034), (3, 0.05567305), (4, 0.0556794), (5, 0.055617787)]",1,POSITIVE,0.9998648166656494
beautiful wuxi ,"[(0, 0.7216578), (1, 0.055931747), (2, 0.055636026), (3, 0.05558304), (4, 0.055572487), (5, 0.055618852)]",0,POSITIVE,0.999771773815155
beauty ,"[(0, 0.08339677), (1, 0.08435568), (2, 0.083338626), (3, 0.5815752), (4, 0.0836417), (5, 0.08369199)]",3,POSITIVE,0.999868631362915
beauty chinese clothing ,"[(0, 0.041806825), (1, 0.042033315), (2, 0.041795008), (3, 0.7907024), (4, 0.041883253), (5, 0.04177921)]",3,POSITIVE,0.9997915625572205
beauty tradition people ,"[(0, 0.041940268), (1, 0.04239504), (2, 0.041862603), (3, 0.78971183), (4, 0.042129837), (5, 0.041960437)]",3,POSITIVE,0.9998233914375305
beautyfull ,"[(0, 0.083441794), (1, 0.08344123), (2, 0.083439924), (3, 0.5827938), (4, 0.083439514), (5, 0.08344378)]",3,POSITIVE,0.9998077750205994
beban negara ,"[(0, 0.055612892), (1, 0.055612642), (2, 0.055612046), (3, 0.05561325), (4, 0.055611834), (5, 0.72193736)]",5,POSITIVE,0.9764224290847778
