txt,情感分数,情感类型,分词,主题概率,主题类型
 挽回爱情是需要掌握主动权的，不能以跪舔和低姿态去挽回挽回前任指导超话而你需要在感情中学会引导对方以后不仅在挽回上有帮助，在巩固以后长期关系也会如有神助。只有小心谨慎的引导你们才能重新产生共振，从而形成好的情绪感染，对方感受到你的爱还怕他不心动吗？#分手失恋了怎么挽回前任男友老公出轨分离小三挽救婚姻异地恋异国恋姐弟恋同性恋怎么挽回父母反对如何挽回  情感问题 星座 婚姻 算命 算卦 塔罗牌 占卜 八字 和合 情降 小三 分离 美妆 结婚 舞蹈 美食 摄影 旅游 出国 留学 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座# 收起,1.0,积极,爱情 主动权 前任 指导 感情 中学 关系 共振 情绪 心动 前任 男友 老公 婚姻 异地 异国恋 姐弟恋 父母 情感 星座 婚姻 塔罗牌 八字 情降 舞蹈 美食 摄影 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座,"[(0, 0.026976638), (1, 0.9730234)]",1
  今天在一本书上看到了这么一句话忍不住想分享出来:       曾经由男人来决定女人该不该受教育，由白人决定黑人能不能活下去，后来我们都认为这是荒诞的，如今我们却又让异性恋来决定同性恋能不能相爱。我们的性文化里，把生育当作目的，把无知当纯洁，把愚昧当道行，把偏见当原则…… ​,0.999999968851474,积极,男人 女人 白人 黑人 荒诞 异性恋 文化 目的 纯洁 愚昧 原则,"[(0, 0.9271264), (1, 0.0728736)]",0
有一首歌。唱的是床尾被窝外冻凉的两对脚，衣柜里藏的半瓶威士忌，地上尚未灭透的烟头。可以送给情妇，送给同性恋，可以送给一切危险和隐匿。送给无处安放的感情墓碑。我永远忘不了里那个笼子圈住的深海，和那根绳子。沉溺在快乐海里，绳子是唯一保障，有一天绳子断了，便是彻底的窒息，再也上不了岸。这才是真正的无人之境，抑或是所有心声都只能放在无人的境地，不敢有风，不敢有光。 写的这首《无人之境》，让陈奕迅唱的很辛苦，无论是敏感的内容所带来的压力，还是他在低温天气下潜伏水底做成的。陈奕迅说:“之前都考虑好久应不应唱，但觉得一首好作品不应该受到这些新闻影响而胎死腹中。”提到，他也说这是他拍的最辛苦的一次。在2010年的演唱会上，这首歌紧跟在《禁色》之后。和女舞蹈演员的配合也是天衣无缝，贴紧音乐，我注意到他一直想吻她，我甚至觉得那不是表演，是真的想吻。但最后他只是紧紧拥住那个女子。到最后，她抽身离去，二人唯一的联系是不断拉开的紧握的手臂，一直到勾住的指间，无法挽回的最后一点力气。以前看过一句诗。“欲忘忘未得，欲去去无由。”“这个世界最坏罪名，叫太易动情。”半生沉浮，一响贪欢，梦里不知身是客。是梦终究会醒，美梦也会变成噩梦。如果早三五年相见，你我都是独身，不用受到道德束缚，会否不留遗憾。我觉得不会。没有你，也会有她，太易动情不是罪，背叛才是罪。毕竟，花心是天性，忠诚是选择。每次听到两首歌，我都会想起电影《花样年华》，《无人之境》是其中之一。电影的结局对看客而言可能是一种遗憾，但对于周慕云和苏丽珍来说却是最好的结局。在最疯狂痴缠的时候选择抽身，把心事封存在岩洞中。别打开那汽水，无法保存的浪漫，到一起会惹绝症。有人说，不要把这首歌当成出轨的战歌，我觉得很对。看最后一句就会知。“不想说明，只想反应。”爱一个人本身没有错，无关任何。至于结尾，我想用一句做了很多年个签的歌词。“爱若难以放进手里，何不把这双手放进心里。” 收起,1.0,积极,床尾 被窝 衣柜 里藏 威士忌 烟头 情妇 危险 感情 墓碑 笼子 深海 绳子 快乐 绳子 绳子 心声 无人 辛苦 敏感 内容 压力 低温 天气 水底 作品 新闻 辛苦 演唱会 首歌 禁色 舞蹈演员 音乐 女子 手臂 指间 力气 世界 罪名 太易 动情 半生 身是 终究会 美梦 噩梦 道德 遗憾 太易 动情 花心 天性 忠诚 电影 电影 结局 遗憾 周慕云 苏丽珍 结局 疯狂 心事 岩洞 汽水 浪漫 绝症 首歌 战歌 结尾 个签 歌词 爱若 双手,"[(0, 0.011711005), (1, 0.988289)]",1
我围观了 的回答，该问题价值198元，围观仅1元，快来一起围观~ 微博问答 ​,0.726406991396158,积极,围观 价值 围观 围观,"[(0, 0.10990777), (1, 0.89009225)]",1
//://:我来了//:看看//://://@--:马//:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.999999991959608,积极,英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.033448327), (1, 0.9665517)]",1
遇见一个身材颜值衣品都炒鸡棒的小姐姐，哭了，不知道可不可以跟我搞同性恋 ​,0.730829272183139,积极,身材 颜值 衣品 鸡棒 小姐姐,"[(0, 0.121868655), (1, 0.8781314)]",1
  亲友会游轮之旅结束趴 全体1000+大合唱💜💛💚💙❤💝影频来源于亲友会志愿者:阿甘🌈 网页链接 ​,0.983438307175282,积极,亲友 游轮 大合唱 亲友 志愿者 阿甘 网页 链接,"[(0, 0.06496973), (1, 0.9350303)]",1
//:对外国来说确实 和区别很大 所以今天他们都炸了  查看图片 //:还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.956787918772303,积极,外国 确实 区别 很大 图片 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.05023551), (1, 0.9497645)]",1
美国同性恋节日 背后的自己 的秒拍视频 ​,0.933584260624495,积极,美国 视频,"[(0, 0.27596915), (1, 0.72403085)]",1
//:// :// :没毛病异性恋你们觉得自己是谁啊甘霖娘// :同性恋会觉得关我屁事喔除非你撬了我的墙角// :异性恋结婚也要经过同性恋同意吗？按照这个推理,0.951358975311349,积极,毛病 异性恋 甘霖 屁事 墙角 异性恋,"[(0, 0.5858987), (1, 0.4141013)]",0
我关注了同性恋情感超话，小伙伴们快来加入同性恋情感超话一起聊聊吧~戳这里→ 网页链接 ​,0.99877119200674,积极,情感 小伙伴 情感 聊聊吧 网页 链接,"[(0, 0.083088815), (1, 0.9169112)]",1
从来不觉得网恋 异地恋 异国恋 同性恋不靠谱 不靠谱的是人 不是感情 知道了吗？ ​​​,0.994578350554631,积极,网恋 异地 异国恋 感情,"[(0, 0.152607), (1, 0.847393)]",1
我一直觉得渚薰对真嗣的感情是人类间的爱+第一使徒亚当对第十八使徒的神性之爱，用格局也太小了，不管哪个都只有才能勉强勾勒这种感情惹//:对外国来说确实 和区别很大 所以今天他们都炸了  查看图片 //:还有这个月是美国同性恋骄傲月，不炎上才怪呢,0.999974804893378,积极,真嗣 感情 人类 使徒 使徒 神性 格局 太小 感情 外国 确实 区别 很大 图片 美国 骄傲 不炎,"[(0, 0.033973955), (1, 0.96602607)]",1
真要想改变自己，什么时候都不晚，最怕的是迟迟不肯开始，一次又一次地放弃机会，然后再一次次的叹息与悔恨中度日如年。如果还犹豫不决，至今未改善，别耗时间增加矛盾或者一些自我的烦恼要么放下他给别人机会，如果放不下就及时使用正确方式坚定挽回。人生嘛，相爱易相守难。 ​​​ 分手挽回羽墨的微博视频 收起,0.999999999995409,积极,最怕 机会 耗时间 矛盾 烦恼 机会 正确 方式 坚定 人生 羽墨 微博 视频,"[(0, 0.9463053), (1, 0.053694684)]",0
   做菜为追求足够的清淡鲜美原汁原味，调料界里的各种老干妈、豆瓣酱，黄豆酱、腐乳、陈醋米醋、味精鸡精、生抽、老抽、耗油、料酒，其他酒类、生粉、淀粉等等，含有添加剂的调料都不加，家里也不备有这些调料，做菜只加花生油和盐，尽量使食材本身散发自己独特的本色，达到一种追求健康的饮食理念和习惯，这就是自己在家做饭吃的意义。芦笋煎蛋，炒红苋菜，红豆薏米粥，新鲜荔枝。 2南宁 收起,0.9999994881912,积极,做菜 清淡 鲜美 原汁原味 调料 老干妈 豆瓣酱 黄豆 腐乳 米醋 味精 鸡精 生抽 老抽 耗油 酒类 生粉 淀粉 添加剂 调料 调料 做菜 花生油 食材 独特 本色 健康 饮食 理念 习惯 做饭吃 意义 芦笋 煎蛋 苋菜 红豆 薏米 新鲜 荔枝 南宁,"[(0, 0.9863238), (1, 0.013676223)]",0
看完《完美陌生人》哭唧唧//:同性恋会觉得关我屁事喔除非你撬了我的墙角//:异性恋结婚也要经过同性恋同意吗？按照这个推理,0.670912987500174,中性,完美 陌生人 屁事 墙角 异性恋,"[(0, 0.103027165), (1, 0.89697284)]",1
//:非常酷的，谈家常式的科普视频！值得骄傲的是我们勇于面对今日世界对同性恋人群的不理解和迫害，我们敢于坚持做自己！🌈🌈🌈,0.99999999934518,积极,家常 视频 骄傲 世界 人群,"[(0, 0.80289245), (1, 0.19710755)]",0
努力≠会成功≠有回报=不后悔把姿态放低≠会被看不起≠委屈自己学会低头≠廉价≠丢面子=聪明遭遇不公平≠你倒霉≠命运对你不公=让你认清现实保持善良≠傻≠吃亏=无愧于心合群≠混得好≠人品好不合群≠没人缘≠做人有问题特立独行≠装逼≠作戏=我开心就好关你屁事同性恋≠变态=正常的性取向异性恋≠高贵=正常的性取向歧视同性恋≠尊崇常理≠你很正派支持同性恋≠支持者也是同性恋=最起码的平权内向≠不好相处外向≠受欢迎脾气好≠没底线≠可以随便开玩笑脾气不好≠不近人情≠心坏回怼≠在意≠心胸狭窄=帮你治疗愚蠢不回怼≠怂≠屈服于你=让你更加傻逼三观合得来≠任何想法都得一致三观合不来≠你就是对的，别人就是错的豪爽≠坚强≠什么事都不在乎敏感≠斤斤计较≠事儿逼对你面带笑容≠喜欢你=出于礼貌总是愁眉苦脸≠讨厌你=可能只是日常丧开口荤段子≠幽默≠有趣=让人觉得你很没素质寡言少语≠高冷≠不想理你=我的性格就如此雷厉风行≠遇事不过脑子三思而后行≠凡事优柔寡断爱情≠必需品=奢侈品=有则更好，没有也能活喜欢你≠你可以肆无忌惮对你好≠永远对你好≠理所应当=你该心存感激没有对你好≠对不起你=别人的本分年龄≠资本≠自诩高深的筹码我这都是为你好≠别人也觉得好多数≠真理≠绝对正确跟风≠正义需要你指点≠需要你指指点点你想说≠别人也想听多读书≠浪费时间≠让你受苦=真正的财富 收起,0.999999996755227,积极,努力 成功 姿态 学会 低头 廉价 聪明 遭遇 公平 倒霉 命运 不公 现实 善良 合群 人品 合群 人缘 做人 特立独行 作戏 屁事 变态 性取向 异性恋 高贵 性取向 常理 正派 支持者 平权 内向 外向 脾气好 底线 脾气 愚蠢 屈服于 三观 三观 豪爽 敏感 事儿 礼貌 开口 荤段子 幽默 有趣 素质 性格 脑子 凡事 爱情 奢侈品 心存 年龄 资本 筹码 真理 正确 正义 指点 指指点点 读书 浪费时间 财富,"[(0, 0.21338812), (1, 0.78661186)]",1
耳机,0.32,中性,耳机,"[(0, 0.3267506), (1, 0.67324936)]",1
// :同性恋会觉得关我屁事喔除非你撬了我的墙角// :异性恋结婚也要经过同性恋同意吗？按照这个推理,0.225366341537676,消极,屁事 墙角 异性恋,"[(0, 0.17324652), (1, 0.8267535)]",1
//://://:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.999999949518471,积极,英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.0334468), (1, 0.9665532)]",1
性单恋性单恋是一个汉语词汇，拼音是ì ā à。指 “对某人产生爱恋，却不希望获得情感回应的人（这类人的恋爱情节可能会因对方的情感回应而消失）。”因此，他们有的可以接受恋爱关系，有的则不能。中文名性单恋外文名定义只喜欢产生性和情感，不想要回应有单性恋性向的人会对他人产生情感与性吸引，同时也会渴望浪漫的恋爱关系，但不会真正地在现实中发展。这一类人不需要来自他人的爱慕情感，或不想和爱慕的人发展成恋爱关系。甚至一些单性恋者会因为感受到对象对自己的好感而停止喜欢对方，甚至厌恶对方。有些性单恋者会抵触浪漫的关系，他们会更喜欢对方对自己冷淡或是无感，而不是爱慕与明显的好感。性单恋者的性取向不限，可能是异性恋，也可能是同性恋或其他非典型性性取向。 收起,1.0,积极,单恋 单恋 汉语 词汇 拼音 爱恋 情感 类人 情节 会因 情感 消失 关系 中文名 单恋 外文 定义 情感 单性 恋性 人会 情感 浪漫 关系 现实 爱慕 情感 爱慕 关系 单性 恋者 对象 好感 单恋 浪漫 关系 冷淡 无感 爱慕 好感 单恋 性取向 异性恋 典型性 性取向,"[(0, 0.041297805), (1, 0.9587022)]",1
//://:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.999999949518471,积极,英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.033447165), (1, 0.96655285)]",1
该片以国际化同性恋发展背景为视角，分析了中国同性恋的发展状态与生存语境，在一个新的现实的起点开始探索人性，打破了艺术的表现盲区和传统道德观念的钳制。让人们更深刻的认识和理解同性恋一词的真正意义以及更宽容的对待，即使是同性恋，我们也应该正确理解，理性对待，而不是苛责与歧视。 ​,0.999999999999997,积极,国际化 背景 视角 中国 状态 语境 现实 起点 人性 艺术 盲区 传统 道德观念 钳制 意义 宽容 正确理解 理性,"[(0, 0.9603791), (1, 0.03962086)]",0
我到现在也不能认同同性恋//://-吴淼:人都是自己陪着自己活到老的，自私点吧，没什么不好。//: 为人父母不用经过考试，真是可怕//:哎//:看得太难受了……//·:我………………//:.......,0.99999413917618,积极,自私 父母,"[(0, 0.2530038), (1, 0.74699616)]",1
可能是我发过一篇前列腺高潮的文章，所以有一些男孩子关注了我，我在文章中也写过，前列腺高潮并不等于自己就是一个同性恋，我并不是歧视同性恋，我只是想说明这喜好不是说只有0才有资格去享受（表达不清楚，不过应该都能理解我的意思）然后我是个直男，我觉得我不喜欢跟你讨论这个问题，你要一直去说这就是属于性骚扰了，讨论前列腺高潮问题可以，说什么操我之类的恶心，拒绝。 收起,0.00023344500367517,消极,前列腺 高潮 文章 男孩子 文章 前列腺 高潮 资格 前列腺 高潮 恶心,"[(0, 0.7851343), (1, 0.21486571)]",0
什么玩意就同性恋违背自然规律？大自然哪有功夫管你这个？人类灭绝他都不关心吧 ​,0.980160382294373,积极,玩意 功夫 人类 关心,"[(0, 0.11799587), (1, 0.88200414)]",1
+1300惹，同性恋结婚关那些人什么事情，佛了都,0.838592821488883,积极,事情,"[(0, 0.58118206), (1, 0.41881794)]",0
特别怀疑好多学校心理老师就没资质，记得我们中学心理老师上课讲同性恋是病，平常心理咨询室门都不开的……//: //：李奕奕曾经写给法院的控诉状，结尾一句是：“我只求能还我一个公道。”但她终究没有等到  评论配图,0.999999773734441,积极,学校 心理 老师 资质 中学 心理 老师上课 平常 心理 咨询室 法院 控诉状 结尾 公道 评论,"[(0, 0.9454905), (1, 0.054509535)]",0
#七月流火 # 嗐，我脑子里其实一直有个关于副里面简杙的梗。大学时期的简杙独来独往，不怎么和别人说话。简杙就读的大学算是很有名的高等学府了，可是就算这样还是有风言风语传出。“那边那个女的，哎对对就那个特漂亮的，听说她是个同性恋……”“是吗！那那么多男的都还追她……”“恶心，不正常。”尽管简杙学习成绩无比优秀，那个分数都不像是人考出来的，她学医学专业的同时还选修了心理学和性学，尽管如此她似乎也从未流露出疲态。但偏见是不可能就这么改回来的。简杙对此无感，但这样的直接结果就是没有几个人愿意跟她说话。追她的男生照常追，但是其他男生对她避之唯恐不及，女生则更害怕她，认为她是怪物。只有同寝室的孙荇能跟她搭几句话。所以，孙荇大概是简杙对朋友的全部定义。孙荇是正儿八经学的精神疾病那方面的专业，但是比她小一岁的弟弟学的是心理学专业，当时要搞一个心理学社团，没人去，孙荇她弟死缠烂打让他姐去，孙荇拗不过他，就回去死缠烂打简杙，然后简杙也被拉下了水。后来简杙因为一些事情被迫公开出柜，一时间震惊全校，然后之前她和孙荇的照片就被发在了学校论坛上，孙荇她弟气不过，为了给简杙和孙荇出气愣是找到了发帖子的人，拎到校长面前才解决这件事。直到现在简杙都还不知道孙荇她弟的名字，当走出校长办公室听到孙荇走到操场之后怒气冲冲喊出“孙攸你先把自己担心好你知不知道你差一点就能被校长掴一耳光”的时候，她这才无比迟钝地反应过来：“等等，原来你弟弟不叫孙菜啊……”孙荇&孙攸：？？？？？ 收起,0.999721221194263,积极,流火 脑子里 大学 时期 大学 有名 漂亮 恶心 学习成绩 优秀 分数 心理学 性学 疲态 无感 男生 男生 女生 怪物 孙荇能 孙荇 朋友 定义 正儿八经 精神疾病 专业 弟弟 心理学 专业 心理学 社团 孙荇 事情 公开 出柜 全校 照片 学校论坛 发帖子 校长 名字 校长 办公室 操场 校长 耳光 迟钝 弟弟 孙荇,"[(0, 0.9867371), (1, 0.013262893)]",0
//://:没毛病异性恋你们觉得自己是谁啊甘霖娘//:同性恋会觉得关我屁事喔除非你撬了我的墙角//:异性恋结婚也要经过同性恋同意吗？按照这个推理,0.365305241998401,中性,毛病 异性恋 甘霖 屁事 墙角 异性恋,"[(0, 0.58588636), (1, 0.4141137)]",0
 挽回爱情并不是靠话语感动，是要你去行动的挽回前任指导超话任何事情的存在都是有因果关系的，如果你一直纠结于分手这个苦果而不仔细研究分手原因，那么你是不会得出处理事情的正确方法论。不知问题在哪，怎么去解决问题，希望每一个真心想要挽回的人都可以正确找到问题所在并能成功解决问题从而推动挽回的进程。#分手失恋了怎么挽回前任男友老公出轨分离小三挽救婚姻异地恋异国恋姐弟恋同性恋怎么挽回父母反对如何挽回  情感问题 星座 婚姻 算命 算卦 塔罗牌 占卜 八字 和合 情降 小三 分离 美妆 结婚 舞蹈 美食 摄影 旅游 出国 留学 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座# 收起,1.0,积极,爱情 话语 前任 指导 事情 因果关系 苦果 仔细 原因 事情 正确 方法论 解决问题 正确 成功 解决问题 进程 前任 男友 老公 婚姻 异地 异国恋 姐弟恋 父母 情感 星座 婚姻 塔罗牌 八字 情降 舞蹈 美食 摄影 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座,"[(0, 0.27484587), (1, 0.72515416)]",1
//:虽然我不太喜欢“厌女”这个词，但是这个观点实在是太有趣了 “主体地位模糊所带来的威胁，使得厌女男更激烈地排斥男性同性恋，通过将对方贬低为‘非男人’，驱逐出群体，来维护‘真男人’群体的‘高等地位’。” 查看图片,0.997912006705798,积极,观点 有趣 主体 地位 模糊 激烈 男性 男人 群体 男人 群体 地位 图片,"[(0, 0.048172563), (1, 0.95182747)]",1
！//:马//://:看看//://://@--:马//:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.999999919466952,积极,英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.03344696), (1, 0.9665531)]",1
//: //://://@--:马//:对了沉迷英国演艺圈的要不要来补个课可以和为什么同性恋气质成了英国社会一种时尚的《消费文化：20世纪后期英国男性气质和社会空间》搭配观看，链接在原评论,0.999999969121977,积极,英国 演艺圈 气质 英国 社会 时尚 文化 世纪 英国 男性 气质 社会 空间 链接 评论,"[(0, 0.033446465), (1, 0.96655357)]",1
//://:？//:对外国来说确实 和区别很大 所以今天他们都炸了  查看图片 //:还有这个月是美国同性恋骄傲月，不炎上才怪呢你们这些睁眼瞎的有本事对推特4热度说去：神性之爱鞭辟入里，用是对的。看洋妞把不把你锤爆掉。,0.944696472086408,积极,外国 确实 区别 很大 图片 美国 骄傲 不炎 睁眼瞎 热度 神性 洋妞,"[(0, 0.050234374), (1, 0.94976556)]",1
//://://:没毛病异性恋你们觉得自己是谁啊甘霖娘//:同性恋会觉得关我屁事喔除非你撬了我的墙角//:异性恋结婚也要经过同性恋同意吗？按照这个推理,0.299363511936701,消极,毛病 异性恋 甘霖 屁事 墙角 异性恋,"[(0, 0.58585185), (1, 0.41414818)]",0
//:哈哈哈哈哈哈哈//:同性恋会觉得关我屁事喔除非你撬了我的墙角//:异性恋结婚也要经过同性恋同意吗？按照这个推理,0.951135064232809,积极,屁事 墙角 异性恋,"[(0, 0.17321531), (1, 0.8267847)]",1
//:同性恋会觉得关我屁事喔除非你撬了我的墙角//:异性恋结婚也要经过同性恋同意吗？按照这个推理,0.379785066960786,中性,屁事 墙角 异性恋,"[(0, 0.17321005), (1, 0.8267899)]",1
9012年还在那叽叽歪歪别人同性恋的求你回娘胎里回炉重造 ​,0.0900951137623102,消极,娘胎,"[(0, 0.28681883), (1, 0.7131812)]",1
卷卷更健康,0.786813040331224,积极,健康,"[(0, 0.31315404), (1, 0.6868459)]",1
再次出柜，我也没办法『写给父母：李银河“同性恋是人类的一种自然现象”』写给父母：李银河“同性恋是人类的一种自然现象” ​,0.999750608406054,积极,出柜 办法 父母 李银河 人类 现象 父母 李银河 人类 现象,"[(0, 0.05779002), (1, 0.94220996)]",1
//:我非常不喜欢“给美国队长一个男朋友”这种话题，他本来就是是异性恋，不是同性恋，如果为了表明立场而塞给他一个男朋友，只能说美队沦为了一个符号或者说工具，到什么场合就换个功能。支持同性恋的部分人，我希望他们可以记住，这个彩虹表示的是尊重，尊重别人爱同性，也尊重别人爱异性。,0.999030802592603,积极,美国 队长 男朋友 话题 异性恋 立场 男朋友 美队 符号 工具 场合 功能 彩虹 尊重 尊重 同性 尊重 异性,"[(0, 0.945598), (1, 0.05440203)]",0
#分手失恋了怎么挽回前任男友老公出轨分离小三挽救婚姻异地恋异国恋姐弟恋同性恋怎么挽回父母反对如何挽回 情感问题 星座 婚姻 算命 算卦 塔罗牌 占卜 八字 和合 情降 小三 分离 美妆 结婚 舞蹈 美食 摄影 旅游 出国 留学 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座# 在你们的家乡，管这个叫啥？ ​ 收起,0.999999999999999,积极,前任 男友 老公 婚姻 异地 异国恋 姐弟恋 父母 情感 星座 婚姻 塔罗牌 八字 情降 舞蹈 美食 摄影 女追男 水瓶座 双鱼座 白羊座 金牛座 双子座 巨蟹座 狮子座 处女座 天秤座 天蝎座 射手座 摩羯座 家乡,"[(0, 0.030845942), (1, 0.96915406)]",1
// :// :没毛病异性恋你们觉得自己是谁啊甘霖娘// :同性恋会觉得关我屁事喔除非你撬了我的墙角// :异性恋结婚也要经过同性恋同意吗？按照这个推理,0.214735552343515,消极,毛病 异性恋 甘霖 屁事 墙角 异性恋,"[(0, 0.5858716), (1, 0.41412848)]",0
韩国吧文化真的精彩，好多同性恋都私下彩排好上台跳女团舞，走位相当专业，你方唱罢我登场，全没有拿一杯酒看人到天亮的无聊，相当可爱 太郎的秒拍视频 ​,0.683518587656665,中性,韩国 文化 精彩 私下 彩排 上台 女团 走位 专业 登场 杯酒 天亮 无聊 太郎 视频,"[(0, 0.96277606), (1, 0.037223935)]",0
年龄的差异注定是个问题。亲戚朋友的眼光、双方父母赞成与否、你两三观上的差异等等。对方比你大看过的世界肯定会不一样，只是两个人相处倒还好，多沟通也能过去。但是人总有朋友同事吧，避免不了会有接触。努力提升自己吧！国外同性恋都合法化了，只是差了七岁，你怕什么？祝好 你怎么看待相差7岁的姐弟恋？ 收起,0.999999974607844,积极,年龄 差异 亲戚朋友 眼光 父母 差异 世界 朋友 同事 努力 姐弟恋,"[(0, 0.098016314), (1, 0.9019837)]",1
//:其实重庆成都这边，大概做陪都的时候就挺开放的，再加上川渝人都有一种与我无瓜就别管的态度，所以拒绝同性恋的人也不会指指点点说什么，看见了过后就忘了,0.162891120074828,消极,重庆 成都 陪都 态度 指指点点,"[(0, 0.89246774), (1, 0.10753225)]",0
就你会搞！这个二等奖,0.264294655201171,消极,二等奖,"[(0, 0.3662708), (1, 0.6337292)]",1
？？？？？//:个人认为，同性恋本来就是极端的性取向，可以说是不健康的！作为学校老师或者家庭父母应该给予正确的异性恋的性取向引导，而不是宣传这些所谓的“平权”、“性自由”！,0.999999194904771,积极,性取向 健康 学校 老师 家庭 父母 正确 异性恋 性取向 平权 自由,"[(0, 0.25800708), (1, 0.7419929)]",1
同性恋自拍能不能少发点 摆脱！发现其实也帅的人照片发的越少 可怕 ​,0.302410475391967,中性,发点 照片,"[(0, 0.7471041), (1, 0.2528959)]",0
哈哈哈哈哈哈哈//:同性恋会觉得关我屁事喔除非你撬了我的墙角//:异性恋结婚也要经过同性恋同意吗？按照这个推理,0.955791535806216,积极,屁事 墙角 异性恋,"[(0, 0.17318128), (1, 0.8268187)]",1
//: 得，天线宝宝也不行！看来啥都不能拍了//:《天线宝宝》中的丁丁，头上的倒三角形天线及身上的紫色，都是同性恋的象征。博主是反对异性恋吗？//: //:天线宝宝做错了什么,0.730633220892849,积极,天线宝宝 天线宝宝 丁丁 倒三角形 天线 紫色 博主 异性恋 天线宝宝,"[(0, 0.9277457), (1, 0.07225432)]",0
同性恋会觉得关我屁事喔除非你撬了我的墙角//:异性恋结婚也要经过同性恋同意吗？按照这个推理,0.207359144941083,消极,屁事 墙角 异性恋,"[(0, 0.17320101), (1, 0.826799)]",1
我关注了我是同性恋超话，小伙伴们快来加入我是同性恋超话一起聊聊吧~戳这里→ 我是同性恋超话 ​,0.793226357487069,积极,小伙伴 聊聊吧,"[(0, 0.20581156), (1, 0.7941885)]",1
我尊重同性恋，我理解抑郁症，觉得有纹身的小姐姐超酷。我知道捐献造血干细胞不需要忍受很大疼痛在骨头上打洞，我会喂楼底下的流浪猫，会给老奶奶让座位，会对店员说谢谢……纵然，我是一个普通人，脾气不好，曾经失败痛苦、伤心绝望，吃尽生活的苦，但我依然，想努力地成为一个温柔的人。 希望世界可以善待我。 收起,0.999999977115197,积极,尊重 纹身 小姐姐 超酷 干细胞 很大 疼痛 骨头 我会 流浪 老奶奶 座位 店员 谢谢 普通人 脾气 痛苦 伤心 努力 温柔 世界,"[(0, 0.96179855), (1, 0.038201436)]",0
《明清剧坛上的男旦》:陈森推崇的名士徐子云虽然好男色而不淫，不押优而友优，与当时流行的以男旦为娼妓、追求皮肤淫滥的时尚虽然不同，但他的好尚男色也跳不出“渔色” 和“意淫” 的同性恋范畴。而才子田春航对于欣赏男旦色相的热衷和对戏曲艺术的淡漠，也使他摘不开与当时狂热的男旦风潮的干系。传留至今的这些笔记和小说说明了这样的事实—男旦的第一次走红不仅是在舞台上下，而且也进入了文学领域。物极必反，魏长生们终于引出了祸端:乾隆五十年议准: 嗣后城外戏班，除昆弋两腔仍听其演唱外，其余秦腔戏班，交步军统领五城出示禁止。现在本班戏子，概令改归昆弋两腔，如不愿者，听其另谋生理。傥有怙恶不遵者，交该衙门查拏惩治，递解回籍。(大清会典享例)。 收起,0.999999999999928,积极,剧坛 男旦 陈森 名士 徐子云 男色 优而友 男旦 娼妓 皮肤 时尚 好尚 男色 渔色 范畴 才子 田春航 男旦 色相 热衷 戏曲 艺术 淡漠 狂热 男旦 风潮 干系 笔记 小说 事实 男旦 舞台 文学 领域 魏长生 祸端 乾隆 议准 戏班 昆弋 秦腔戏 步军统领 五城 本班 戏子 概令 昆弋 愿者 另谋 衙门 回籍 会典,"[(0, 0.9820355), (1, 0.017964525)]",0
日常和我妈的姊妹谈话我妈：诶呀 不知道你能给我找个啥样女婿老刘：给你找个女的我妈：放屁！同性恋打死你老刘的人间很直的 ​,0.000318245360302005,消极,我妈 姊妹 女婿 老刘 个女 我妈 人间,"[(0, 0.072450906), (1, 0.92754906)]",1
