评论ID,评论文本,翻译-评论文本,fenci,sentiment
@ratnakumarighalley4762,"love your every videos 
love from bhutan",爱你的每个视频来自不丹的爱,视频,正面
@deadflo__,I love sticky corn. I always grab some at my parents' farm whenever its in season.,我喜欢粘玉米。无论何时，我总是在父母的农场里抓住一些。,喜欢 父母 农场 抓住,正面
@Cyrellejoymayuno,Its so stress free,它是如此无压力,压力,正面
@edith4360,每道菜的名字都起的好好,每道菜的名字都起的好,名字,正面
@PreetimundaPreetimunda-nu2qn,I really feel to be a member of ur home.,我真的觉得自己是您家的成员。,成员,正面
@rekhasaru7790,"I was like, why is she making tiny food items. Who gone ate those cutie foods, at the beginning.
But in the end, they got enough bulk to enjoy the moment.
Love from Nepal 
A Regular viewer wishing to see all your loving videos",我当时想，她为什么要制作小食物。一开始就吃了那些可爱的食物。但是最后，他们有足够的体积来享受这一刻。来自尼泊尔的爱希望观看所有爱心视频的普通观众,食物 可爱 食物 足够 体积 享受 希望 观看 爱心 视频 观众,正面
@raRawho4,"The way she said "" its ugly"" immediately after opening the lid",打开盖子后，她立即说“丑陋”的方式,打开 丑陋 方式,正面
@claritacruz9536,This girl should be awarded with her excellent creativity and cooking skills.,这个女孩应该以其出色的创造力和烹饪技巧授予。,女孩 出色 创造力 烹饪 技巧 授予,正面
@lamanhnewlife,"These videos transport me to the heart of the countryside, where the connection to nature is palpable in every harvest and dish",这些视频将我带到了乡村的心脏，在每次收获和菜肴中，与自然的联系都可以显而易见,视频 带到 乡村 心脏 收获 菜肴,正面
@thawzin2721,Cooking is also an art. She is fabulous. She respects every kinds of food. That's what make her adorable. My family loves to watch her videos. Thank you.,烹饪也是一种艺术。她很棒。她尊重各种食物。那就是让她可爱的原因。我的家人喜欢看她的视频。谢。,烹饪 艺术 很棒 尊重 食物 可爱 原因 家人 喜欢 视频,正面
@MuSpringDailyLife,"Watching your video always brings me peace and joy. Your family, the nature, it's all nice. It makes me feels like, 'ah I want to life like that'. Anyway, love all of your video, wish you all the best, and please stay healthy.",观看您的视频总是让我和平与喜悦。您的家人，大自然，一切都很好。这让我感觉就像是“啊，我想这样生活”。无论如何，热爱您的所有视频，祝您一切顺利，请保持健康。,观看 视频 喜悦 家人 感觉 像是 热爱 视频 健康,正面
@elladailylife,Very nicely ️,非常好测,好测,正面
@damnhandles,"This was surprisingly one of my favorite episodes lately! It was a little different because she made a few things that she hardly ever makes like cake, cookies and bread. But also that rack of giant ribs looked amazing and everything just look like things I would genuinely enjoy.",令人惊讶的是，最近我最喜欢的剧集之一！这有点不同，因为她做了一些她几乎没有像蛋糕，饼干和面包那样做的事情。但是，巨大的肋骨看起来很棒，一切看起来都像我真正喜欢的东西。,惊讶 喜欢 剧集 蛋糕 饼干 面包 事情 肋骨 很棒 喜欢,正面
@Prisha2020channel,The Father recording his daughter's hard  work is so mesmerizing father is always ur no.1 supporter,父亲录制女儿的辛勤工作是如此令人着迷的父亲，这永远是您的第一支持者,父亲 录制 女儿 辛勤工作 着迷 父亲 支持者,正面
@macarena778,She's not just creating food. She's creating art! Incredible art!,她不只是在创造食物。她正在创造艺术！令人难以置信的艺术！,创造 食物 创造 艺术 艺术,正面
@lalisahatimura,"Tdk ada satu videomu yg luput dr mataku sampai smua videomu ku simpan untuk kunonton kapan"" walaupun barulang kali ku tonton tp aku tdk prnah bosan.. Kau adalah sosok inpirasiku.. Love u penji sangat sangat mengidolakanmu",直到我保存的所有视频都没有看过“即使我只是看着它，但我并没有无聊…你是我的 . 是非常崇拜你,保存 视频 看过 看着 无聊,负面
@neinei5718,"大王は相変わらずかわええのう
日本でも川苔は食べます。天ぷらにしたり佃煮にしたり、味噌汁に入れたり。
採れる川が限定されていて、作るのに手間がかかるので超高級品です。
でも香りがとても良くて美味しいですね",伟大的国王照常我也在日本吃河苔藓。天妇罗，或放入味汤。这是一个非常奢侈的物品，因为可以收集的河流有限，需要时间才能实现。但是气味非常美味,国王 苔藓 放入 味汤 奢侈 物品 收集 河流 有限 时间 气味,负面
@jennylawson1980,"Not only is she an amazing and knowledgeable cook, but she is a hard working, dedicated woman to all her family friends and country 
We love you Penji. Thank you for all the years of beauty and cooking and creating. You have a wonderful artistic eye.",她不仅是一个了不起且知识渊博的厨师，而且她是一个努力工作，敬业的女人我们爱你佩吉。感谢您多年的美容，烹饪和创造。你有一个美妙的艺术眼睛。,了不起 知识 厨师 努力 敬业 女人 美容 烹饪 创造 美妙 艺术 眼睛,正面
@cindypeng5495,水質好的地方才會有好的苔，雲南真的是個風水秀麗的好地方,水质好的地方才会有好的苔，云南真的是个风水秀丽的好地方,水质 地方 风水 秀丽 地方,正面
@jacquelinedegenhardt4655,"Hello from America! I watch your videos religiously. I absolutely love your way of life and how you prepare meals for your family. Life looks so much more calm and slow where you live. I wish I had the chance to experience your way of living. Keep doing what you do, you are loved by alot of people!",来自美国的您好！我虔诚地观看您的视频。我绝对喜欢您的生活方式以及您如何为家人准备餐点。生活看起来更加镇定和慢地生活。我希望我有机会体验您的生活方式。继续做自己的工作，很多人都爱着！,虔诚地 观看 视频 喜欢 方式 家人 餐点 镇定 和慢 希望 机会 体验 方式,正面
@erlindamangcao3202,"The river is sooo beautiful…sooo clean…
And the table setting was amazing..wow…just wow",这条河是如此美丽…如此干净…桌子设置很棒。.哇…哇,干净 桌子 很棒,正面
@AJ-zb2pd,The table setting was a work of art!,桌子设置是一件艺术品！,桌子 艺术品,正面
@jackroark2060,"I know when i click on one of her videos it's gonna be 20+ minutes of pure bliss, tranquility, and comfort. Always amazing content!",我知道当我单击她的一个视频时，将是20分钟以上的纯洁，宁静和舒适感。总是很棒的内容！,视频 纯洁 很棒 内容,正面
@maozsantuyy4315,"Woww... semakin kesini konten anda semakin keren, dari dulu pertama nonton video anda masih sangat sederhana berbeda dengan sekarang.Dapurmu tempat membuat konten sekarang lebih bersih,rapi, aesthetic bikin siapapun pasti betah berlama-lama di dapur.Satu yang tetap sama adalah keluargamu yang ramah dan penuh kehangatan, tolong sampaikan salamku untuk kakek nenekmu.
I love you all",哇.您的内容越酷，从第一个观看视频的第一个观看仍然非常简单，您现在可以使内容更加干净，整洁，美学厨房仍然是您的友好家庭，请向您的祖父母传达我的问候。我爱你们,内容 观看 视频 观看 内容 干净 整洁 美学 厨房 友好 家庭 传达 问候,正面
@KhanhNganOrganic2020,"I absolutely adored the sticky rice paired with the tantalizing moss garlic sauce—it was a flavor sensation I long to experience again. Those dishes were the highlights of the menu, beckoning me to indulge further. As I savored each bite, I couldn't help but imagine what other culinary delights awaited me.

Oh, to live a life like hers, surrounded by such beauty and culinary excellence! It's a dream many of us can only aspire to. The thought of being in such a breathtaking place, where every moment feels like a serene escape, is simply enchanting.","我绝对喜欢粘稠的米饭和诱人的苔藓大蒜酱，这是一种风味，我渴望再次体验。这些菜是菜单的亮点，招呼我进一步沉迷。当我品尝每口叮咬时，我忍不住想象其他烹饪乐趣在等待我。哦，过着像她这样的生活，被如此美丽和烹饪的卓越所包围！这是我们许多人只能渴望的梦想。在如此令人叹为观止的地方的想法，每时每刻都感觉像是一个宁静的逃脱，这简直令人着迷。",喜欢 粘稠 米饭 诱人 苔藓 大蒜 风味 渴望 体验 菜单 亮点 招呼 沉迷 品尝 叮咬 忍不住 想象 烹饪 乐趣 等待 烹饪 包围 只能 渴望 梦想 地方 想法 感觉 像是 逃脱 着迷,正面
@user-kh1pc5me2h,海のもずくや海苔みたいですね。川が綺麗だから取れる恵みですね‬,它看起来像海洋紫外或海藻。这是您可以得到的恩典，因为河很美,海藻,正面
@dirtymo5751,"Ваши ролики настолько удивительные и красивые, как будто смотришь художественный фильм.",您的视频是如此的惊人和美丽，好像您正在看故事片一样。,视频 惊人 好像 故事片,负面
@btween3582,"잘 보고있었는데 한국어 자막 없어져서 슬퍼진 사람…
영상미도 좋고 잔잔하고 음식만들거나 먹는게 신기하고 재밌어서 asmr로 제일 좋아하는 유튜버 한국어 자막 다시 올려줬으면 좋겠다..ㅜㅡㅜ",我看着很好，但是韩国字幕消失了。度过美好的时光真是太好了，制作或吃食物真是太神奇了又有趣。,看着 字幕 消失 度过 美好 时光 食物 神奇 有趣,正面
@Manj_J,THE MOSSY LOG CAKE OH MY GOD!!!! AND THE ENDING WITH ALL THE DECOR AND THE MOUNTAINS AND THE MOSS!!! I LOVE IT SO MUCH OMG!!!,苔藓的原木蛋糕哦，天哪！以及所有的装饰，山脉和苔藓的结尾！我非常喜欢它！,苔藓 原木 蛋糕 装饰 苔藓 结尾 喜欢,正面
@SPORTANDIE,真的是可以打敗世界主廚，追了你很久，你創意無限～ 每一樣都可以發揮的淋灕盡致,真的是可以打败世界主厨，追了你很久，你创意无限～ 每一样都可以发挥的淋漓尽致,打败 世界 主厨 创意 无限 发挥,正面
@shreyaC007,I love how Penjie's eyes get so bright as she receives praises from her family. True happiness <3,我喜欢佩吉（）的眼睛如何变得如此明亮，因为她从家人那里受到赞美。真正的幸福<3,喜欢 眼睛 变得 明亮 家人 幸福,正面
@lthoang2024,Những nơi yên bình và đẹp nhất ước gì có cảnh như thế để làm cho mọi người xem. Đam mê nhưng không làm được như thế.,最和平，最美丽的地方希望拥有这样的场景，以使人们看到。热情，但不这样做。,地方 希望 拥有 场景 热情,正面
@tharakadhanushanka9170,Hi I am from Sri Lanka.I love your videos  and they are so amazing.As well as you are my favourite YouTuber because of your creativity.,嗨，我来自斯里兰卡。我喜欢你的视频，它们真是太神奇了。因为您的创造力是我最喜欢的。,喜欢 视频 神奇 创造力 喜欢,正面
@paungchompu,"สุดยอดค่ะ ทางภาคอีสานของไทยเรียกสาหร่ายชนิดนี้ว่า ""เทา"" ค่ะ นิยมนำมาทำลาบ หายากมากแล้ว เพราะพบได้เฉพาะแหล่งน้ำที่สะอาดๆ เท่านั้น เพนจีเก่งมาก สร้างสรรอาหารได้หลากหลาย",在泰国的东北地区最好的藻类称为“灰色”，因为它只能发现佩吉很罕见的睫毛。,藻类 称为 灰色 只能 发现 罕见 睫毛,负面
@janetchen5050,太令人驚豔的青苔大餐，色香味具全，創意十足，藝術美學之作，太讚了、太厲害了！️️️,太令人惊艳的青苔大餐，色香味具全，创意十足，艺术美学之作，太赞了、太厉害了！️,惊艳 青苔 大餐 色香味 具全 创意 艺术 美学 厉害,正面
@StressFree_Relaxing,I have been following you for a long time now I remember you have 2M followers back then. I can say your technique in cooking has improved. You really give the best in everything.,我已经关注您很长一段时间了，现在我记得您当时有20万关注者。我可以说您的烹饪技术有所改善。您真的在一切方面都尽力而为。,关注 记得 关注 烹饪 技术,正面
@akuilanasilivata3227,"from the moment i watched her video few years back,i was determined no other cook can surpass her .cAbundance in creativity and innovative ideas .",从几年前观看她的视频的那一刻起，我就确定没有其他厨师能超越她的创造力和创新想法。,观看 视频 厨师 超越 创造力 创新 想法,正面
@irinastal7186,"Как красиво всё сделано, высший класс! Кто видел и пробовал везунчики, красота и вкуснота СПАСИБО ЗА ПРЕКРАСНЫЕ ВИДЕО",上层阶级的一切都多么美丽！他看到并尝试了幸运，美丽和美味的美好的视频,阶级 幸运 美好 视频,正面
@cindypeng5495,視覺味覺的雙重饗宴！菜名也起的風雅，最喜歡枯木逢春和綠肥紅瘦這兩個名字，樹幹蛋糕上斜斜一道青苔碎，恰合此景；烤大排骨抹了滿滿一片青苔末，「綠」肥「紅」瘦，謝謝盆姐的春日盛宴,视觉味觉的双重飨宴！菜名也起的风雅，最喜欢枯木逢春和绿肥红瘦这两个名字，树干蛋糕上斜一道青苔碎，恰合此景；烤大排骨抹了满一片青苔末，「绿」肥「红」瘦，谢盆姐的春日盛宴,视觉 味觉 双重 飨宴 菜名 风雅 喜欢 名字 树干 蛋糕 上斜 青苔 恰合 排骨 青苔 盛宴,正面
@user-ro9br5qu9h,"Какая красота, что значит талант. Умница!!!",什么美丽，人才是什么意思。聪明的 ！,人才 聪明,正面
@martiidarefionalisadedekk520,"Saya penggemar anda dari indonesia
Anda sangat luar biasa
Saya mengagumi anda
Terimakasih atas hiburan dari channel ini yang menginspirasi 
Sukses selalu Ping dan keluarga",我是你的印度尼西亚粉丝你是非凡的我很佩服你谢您的娱乐此频道的娱乐成功总是和家人,粉丝 佩服 频道 成功 家人,正面
@tatiigosta422,"Ооооо!!!! Это видео с едой которая очень красиво оформлена , можно ( и нужно!) продавать в ресторанах высшей категории!!!! Браво!!!!",哦！这部视频带有设计非常精美的食物，您可以（您需要！）在最高类别的餐厅出售！,视频 带有 精美 食物 类别 餐厅,正面
@fatimahmah4621,"好棒啊
阿盆姐，真的是作品，每样菜肴的寓意和制作都是那么用心，祝福您啊，越来越好。每周看了您的视频，感觉被滋养了。。加油",好棒啊阿盆姐，真的是作品，每样菜肴的寓意和制作都是那么用心，祝福您啊，越来越好。每周看了您的视频，感觉被滋养了。加油,作品 菜肴 寓意 用心 视频 感觉 滋养 加油,正面
@emiliayonekokumata7167,You are not only a great cook but also an artist! Beautiful views from the mountain river. It's the first time I've seen cooking with moss. I suppose it tastes like seaweed. Thank you for the show!,您不仅是一个很棒的厨师，而且是艺术家！山河的美丽景色。这是我第一次见到苔藓做饭。我想它的味道像海藻。谢你的演出！,很棒 厨师 艺术家 景色 见到 苔藓 做饭 味道 海藻 演出,正面
@cookinga.d6540,"Sungai yg bersih,pemandangan alam yg indah sekali.menyejukkan mata",干净的河流，美丽的自然风景。,干净 河流,正面
@subbalakshmiamma2854,Who are Indians here 🇮🇳 like from KARNATAKA,谁是这里的印第安人🇮🇳喜欢卡纳塔克邦,喜欢,正面
@ren-chama3180,川の海苔はとても美味しそうに調理されていて、見た目も美しくて素晴らしいですね️️️,河中的海藻非常美味，看起来美丽而美妙。,海藻 美妙,正面
@user-rc3qn8ib6r,"做蛋糕竟然做到凌晨四點！太有毅力了！
看完之後突然很想吃海苔",做蛋糕竟然做到凌晨四点！太有毅力了！看完之后突然很想吃海苔,蛋糕 毅力 海苔,正面
@jennyberanaldez3270,From Philippines ️  watching since 2020,自20年以来从菲律宾观看,观看,正面
@bluestarrbeauty,My favourite was the sticky rice and the moss garlic sauce.  Those are the two dishes I would have liked to try.  One can only dream of a life like hers.  Such a beautiful place.,我最喜欢的是粘稠的米饭和苔藓大蒜酱。这些是我想尝试的两种菜。一个人只能梦想像她这样的生活。如此美丽的地方。,喜欢 粘稠 米饭 苔藓 大蒜 只能 梦想 地方,正面
@user-hn1yu1gr4b,好喜欢这条视频啊！每次出的视频都特别高质量,好喜欢这条视频啊！每次出的视频都特别高质量,喜欢 视频 视频 高质量,正面
@lyluu5185,"Ở Tây Bắc, Việt Nam chúng tôi gọi nó là ""Rêu đá"", là một loại thực phẩm phổ biến ở đây nên có rất nhiều cách chế biến và bảo quản!",在西北，越南，我们将其称为“苔藓”，这是一种受欢迎的食物，因此有很多方法可以加工和存储！,称为 苔藓 受欢迎 食物 方法,正面
@scottyuan1209,你是我的英雄，我從來沒有見過像你這樣的廚師，我為你感到驕傲。我住在美國，我可以觀看。這麼多年了。謝謝。,你是我的英雄，我从来没有见过像你这样的厨师，我为你感到骄傲。我住在美国，我可以观看。这么多年了。谢。,厨师 感到 骄傲 观看,正面
@sadhikavlogs347,"Any kerala' s  malayalies

ആദ്യായിട്ട എന്റെ കമെന്റിനു ഇത്രേം ലൈക്‌  കിട്ടുന്നത് 592 likes",任何喀拉邦的海象我来的行政改进是592个喜欢,海象 行政 改进 喜欢,正面
@Sargentii,我真的很喜欢这样的视频。它们看起来非常平静和有趣。来自俄罗斯的问候 ️🇷🇺,我真的很喜欢这样的视频。它们看起来非常平静和有趣。来自俄罗斯的问候 ️🇷🇺,喜欢 视频 平静 有趣 问候,正面
@Yyysss2347,She is using every bit of nature things.. So talented,她正在利用大自然的一切事物。,利用 事物,正面
@sobeyssobeys7876,多才多艺的滇西小哥！这个视频在品味上登峰造极了！滇西小哥是个伟大的艺术家！,多才多艺的滇西小哥！这个视频在品味上登峰造极了！滇西小哥是个伟大的艺术家！,小哥 视频 品味 登峰造极 小哥 艺术家,正面
@maggiecheung934,每次看小哥一家人一起吃饭就觉得好幸福呀～阖家欢乐真的就是世界上最平凡幸福的一桩事了～,每次看小哥一家人一起吃饭就觉得好幸福呀～阖家欢乐真的就是世界上最平凡幸福的一桩事了～,小哥 一家人 吃饭 幸福 世界 平凡 幸福,正面
@echocrep,好强的摆盘...看起来超好吃,好强的摆盘.看起来超好吃,摆盘 好吃,正面
@user-fi4wp4so4b,"ครอบครัวเพ็นจีเป็นครอบครัวใหญ่
เพนจีเป็นเชฟมิสชิลินทำอาหารเป็นเลิศให้ครอบครัว
มีความสุขมากๆเลย️🇹🇭", 家族是一个大家庭。佩吉（）是奇林（）小姐，为家庭做好了美味的食物。很高兴,家庭 做好 食物,正面
@user-gv8xd6qp6j,"진짜 금손이세요 !
매일 펀치님 영상보며 힐링하고있답니다
항상 건강하세요 ^^",你是一个真正的金手！我每天都在观看打孔视频时正在康复永远健康^,金手 观看 打孔 视频 健康,正面
@Helenemonblogdefille,This video was so poetic ! Thank you so much for sharing this hard work with us Penjie !,这个视频是如此诗意！非常感谢您与我们的分享这项艰苦的工作！,视频 诗意 分享 艰苦,正面
@julinursandiandfriendsoffi6848,"Di Indonesia jenis lumut ini juga banyak, namun pemanfaatannya belum diketahui lebih lanjut. Sebagian pemancing menggunakannya sebagai umpan saat  memancing ikan...",在印度尼西亚，这种类型的苔藓也很大，但尚不清楚其利用。一些垂钓者在钓鱼时将其用作诱饵.,类型 苔藓 很大 利用 钓鱼 用作 诱饵,正面
@butterflyfly8846,هل هذا طعام للاكل ام تحف فنية لا تشبع  العين من النظر اليها روووووووعة,这是食用的食物还是不满意的艺术品。,食用 食物 满意 艺术品,正面
@ririnalbasyera297,it is not just a presentation of food but it is a stunning masterpiece.. PROUD OF YOU APENJI,这不仅是食物的介绍，而且是一个令人惊叹的杰作。,食物 介绍 杰作,正面
@samididias7723,"Lumut ditempatku seperti itu dibuat untuk umpan mancing ikan Mujaerr.... 
Salam dari Waduk Cengklik Indonesia",像我这样的苔藓是为了钓鱼诱饵的.印度尼西亚水库的问候,苔藓 钓鱼 诱饵 水库 问候,正面
@Ndisalive,Thank you for always putting forth these videos. They are beautiful,感谢您始终发布这些视频。他们好美,发布 视频,正面
@toulv3052,看了你的视频这么多年，有幸清明后有机会去云南大理玩，仙境一般的云南，好期待。,看了你的视频这么多年，有幸清明后有机会去云南大理玩，仙境一般的云南，好期待。,视频 有幸 清明 机会 大理 仙境 期待,正面
@annalai2056,團體工作太強了。每位都天才創作者。,团体工作太强了。每位都天才创作者。,团体 天才 创作者,正面
@Johndough30,I always look forward to watching your videos in the mornings when i have my cup of coffee and breakfast.. Hello from Puerto Rico!,当我喝杯咖啡和早餐时，我总是期待在早晨观看您的视频。,喝杯 咖啡 早餐 期待 观看 视频,正面
@ZakuroShiLiu,"So satisfying. I love your videos 
Puppy!!!","如此令人满意。我爱你的视频 小狗！",视频,正面
@thirsupitishanti9107,ตรอบครัวเพนจี้สุดน่ารัก!!?!!,佩尼格家人很可爱！,家人 可爱,正面
@user-lo3qf4yv1e,"Ngày nào chị cũng xem kênh của em, có những video xem đi xem lại nhiều lần. Cảm ơn cô Bồn Kê xinh đẹp và giỏi giang.",每天我观看频道，都有一次又一次观看的视频。谢你美丽，好。,观看 频道 观看 视频,正面
@てぃーたろう,"日本からこんにちは🇯🇵
いつも素敵な動画ありがとうございます",来自日本的您好🇯🇵谢您的始终很棒的视频,很棒 视频,正面
@PersonaYuu,"あなたのビデオログを楽しみにしていました
アップロードしてくれてありがとうございます",我期待您的视频日志谢您上传,期待 视频 上传,正面
@kobemariano4397,Hello penjie. I never thought that the moss from the river can be cooked and to be eaten. We also have that kind of moss but its seasonal. I always admire your skills in cooking..you are so talented in many ways..your fan from the Philippines.,你好彭吉。我从没想过河里的苔藓可以煮熟并被食用。我们也有那种苔藓，但它的季节性。我一直很欣赏您的烹饪技巧。您在许多方面都很有才华。菲律宾您的粉丝。,苔藓 煮熟 食用 苔藓 季节性 欣赏 烹饪 技巧 粉丝,正面
@zhxcn44,团队很强，整个晚餐菜肴应当来自顶级厨师的设计，非常感谢你们宣扬中华烹饪文化，谢谢你们所有人的工作。,团队很强，整个晚餐菜肴应当来自顶级厨师的设计，非常感谢你们宣扬中华烹饪文化，谢你们所有人的工作。,团队 晚餐 菜肴 顶级 厨师 宣扬 烹饪 文化 所有人,正面
@angitiona123,"wow! I love everything on this episode. I don’t usually comment just watch but on this one, i feel like i have to. Thank you for sharing and showing your creativity, knowledge and the willingness and respect to learn other cultures and their way of livelihood. Food brings us all together, share stories , laughter , celebration and all.",哇！我喜欢这一集的一切。我通常不会只注意观看，但在这一篇文章中，我觉得我必须这样做。感谢您分享并展示您的创造力，知识，对学习其他文化的意愿和尊重。食物将我们带到一起，分享故事，笑声，庆祝活动和所有人。,喜欢 观看 文章 分享 展示 创造力 知识 学习 文化 意愿 尊重 食物 带到 分享 故事 笑声 庆祝 所有人,正面
@JhoniRoyes,Sunggu Desa yang indah,美丽的村庄,村庄,负面
@watvay,每期的视频我都非常期待，这一期让我觉得即美观又巨美味的！真舍不得下嘴呢！一家人围在一起吃吃说说的气氛总是特别舒服！,每期的视频我都非常期待，这一期让我觉得即美观又巨美味的！真舍不得下嘴呢！一家人围在一起吃说的气氛总是特别舒服！,视频 期待 舍不得 下嘴 一家人 气氛 舒服,正面
@sglee6919,幸福的家庭…看了真是心生欢喜,幸福的家庭…看了真是心生欢喜,幸福 家庭 欢喜,正面
@serinasharif2431,Indahnya Alam...sungai pun bersih..tidak tercemar,大自然的美.河很干净.未受到污染,干净,正面
@user-bk1wc1lo6o,Who are Bangladesh here🇧🇩🇧🇩🇧🇩🇧🇩 like from Bangladesh,孟加拉国谁喜欢孟加拉国,喜欢,正面
@user-wj7hh7qi3s,感恩盆雞做怎麼好節目給我看，願新家安康快樂,感恩盆鸡做怎么好节目给我看，愿新家安康快乐,感恩 盆鸡 节目 新家 快乐,正面
@tinamcgarey,Love how much detail went into her settings.  It was almost to beautiful to eat.  Her ideas of using the seaweed in all the dishes she made is really amazing.   Great  job.   This one is one of my favorites.,爱她的设置有多少细节。吃几乎是美丽的。她在她制作的所有菜肴中使用海藻的想法真的很棒。做得好。这是我的最爱之一。,细节 菜肴 海藻 想法 很棒 做得好 最爱,正面
@coconut7379,"""做这么好看一定做了很久吧丫头“  这一家人好会提供情绪价值","""做这么好看一定做了很久吧丫头“ 这一家人好会提供情绪价值",好看 丫头 一家人 提供 情绪 价值,正面
@sudheeshkumarp9503,"Oh my God.. Moss feast was awesome. U are truly marvelous in everything you do . The moss cake was extraordinary, beautiful ️. I don't have words to praise you. God bless you dear.",哦，我的上帝.苔藓盛宴很棒。您在所做的每一件事上都真是太棒了。苔藓蛋糕非常非凡，美丽配。我没有话来赞美你。上帝保佑你亲爱的。,上帝 苔藓 盛宴 很棒 苔藓 蛋糕 亲爱,正面
@user-mz2oh4fq2d,This girl's imagination is at the next level. Beautiful video ever,这个女孩的想象力是下一个层次。美丽的视频,女孩 想象力 视频,正面
@dondonnatata4397,Now I am inspired to bring extra to the table once we get another family get-together. Thanks for inspiring us to go beyond!,现在，一旦我们结识了另一个家庭，我就会受到启发。感谢您激励我们超越！,结识 家庭 启发 激励 超越,正面
@ignomoly,the moss covered cake log is very creative... and tasty looking... thanks for sharing... <3,苔藓覆盖的蛋糕日志非常有创造力.而且看起来很美味.谢分享. <3,苔藓 覆盖 蛋糕 分享,正面
@user-nw1xe1lb1z,"Penjie, you need to sign up for a Masterchef competition. I know you can win with your cooking skill. You're amazing!!",，您需要注册比赛。我知道您可以凭借自己的烹饪技巧获胜。你太棒了！,注册 烹饪 技巧 获胜,正面
@rebecaneves3402,"Me sinto completamente grata por você fazer esses vídeos, e por poder assisti-los!!  Muito obrigada",我非常感谢您制作这些视频，因为我可以观看它们！非常感谢,视频 观看,正面
@maggie14411331,大王終於泡在乾淨流動的河水裡了，好開心~,大王终于泡在干净流动的河水里了，好开心~,干净,正面
@claraazucenagonzalezgutier1808,A mí mamá le relaja mucho ver tus videos  muchas gracias por tu esfuerzo saludos y bendiciones desde México,妈放松了很多，可以看到您的视频非常感谢您的努力问候和墨西哥的祝福,放松 视频 努力 问候,正面
@ladylandofhornbill,"Magnificent piece of artwork, it's beautiful and I'm sure it's delicious too. Best part of it all, the whole family enjoyed the foods happily and full of praise of how it tastes. This family is truly blessed.",宏伟的艺术品，它很漂亮，我敢肯定它也很美味。最好的部分，全家人快乐地喜欢食物，并对它的味道充满赞扬。这个家庭真的很幸运。,宏伟 艺术品 很漂亮 全家人 快乐 喜欢 食物 味道 充满 赞扬 家庭 幸运,正面
@monimoni9226,"We people of North east India(manipur) also eat this kind of seaweed. In our language its called ""nungsham""(rock hair). Lots of love from India 🇮🇳",印度东北部（曼尼普尔邦）的人们也吃这种海藻。用我们的语言称为“ ”（岩石头发）。来自印度的很多爱,海藻 语言 称为 岩石 头发,正面
@rn5053,Setiap video dia gak pernah skip. Thank you penji,他从未跳过的每个视频。谢佩吉,视频,正面
@user-sb6kc9wd9x,I'm watching her videos since 3  years she is an amazing person and her way of  cooking and the natural scenery all the things are captivating,自从三年以来，我正在观看她的视频，她是一个了不起的人，她的烹饪方式和自然风景都令人着迷,观看 视频 了不起 烹饪 方式 着迷,正面
@mimili2188,太有創意了，喜歡這集,太有创意了，喜欢这集,创意 喜欢,正面
@peseta64,"Прекрасный канал. Я смотрю видео и просто отдыхаю, всего Вам самого доброго)))))",美丽的频道。我看一个视频，只是休息，对你来说最好）,频道 视频 休息,正面
@toanchinhnguyen3019,I really enjoy watching your videos. Seeing you prepare dishes using your hometown's ingredients really makes me want to go to your hometown once. You just gained another subscriber.,我真的很喜欢看你的视频。看到您使用家乡食材准备菜肴确实使我想一次去家乡。您刚获得了另一个订户。,喜欢 视频 家乡 食材 菜肴 确实 家乡 订户,正面
@simonebrooks1124,Wow I've never seen anything like this before! Penjie put her all into this feast. A beautiful work of art that's evidently quite scrumptious,哇，我以前从未见过这样的东西！佩吉把她全部投入了这场盛宴。一件美丽的艺术品显然很美味,投入 盛宴 艺术品,正面
@neelaveenisunkani698,"I can just say WOW, it’s really an amazing treat for eyes. Lots of love ️ from India 🇮🇳.",我只能说哇，这确实是一个了不起的眼睛。来自印度的很多爱。,只能 确实 了不起 眼睛,正面
@meerasubhashchandra9928,She is skilled not only in cooking she is so creative  n nature lover too  No match to the other chinese cooking channel,她不仅擅长做饭,擅长 做饭,正面
@saumyassimplelife1058,Itni mushkil se shoot krke hume ye sb dikhane ke liye shukriya,感谢您通过如此努力地看到所有这些,努力,正面
@liachew1599,Hello from Taiwan我心目中的女強人！沒有之一 這些作品完全可以世界 國際比賽！！美食的最高境界, 我心目中的女强人！没有之一 这些作品完全可以世界 国际比赛！美食的最高境界,心目 女强人 作品 世界 国际 美食 境界,正面
@user-jk5wj5lg4l,"Привет из России,вам нужно Мишленовскую звезду за такие вкусности и оформление.Я восхищаюсь вами.",来自俄罗斯的问候，您需要米其林之星，以实现这种敬意。,问候 敬意,正面
@user-ib2lu3iw6c,"Спасибо ВАМ Пен за ваш труд и прекрасные блюда, здоровья, счастья и благополучия",谢笔的工作和精美的菜肴，健康，幸福和繁荣,精美 菜肴 健康 幸福 繁荣,正面
@user-hm2be1lb6v,賞心悅目的盛餐。家人真幸福！,赏心悦目的盛餐。家人真幸福！,盛餐 家人,正面
@hoyinlo7486,每一道菜就是一件藝術品,每一道菜就是一件艺术品,艺术品,正面
@yogimishra777,"Earlier I did not even have a good mobile, so I used to watch but could not comment etc. Then my daughter taught me how to comment.",早些时候，我什至没有一个好的手机，所以我曾经看过但无法发表评论等。然后我的女儿教我如何发表评论。,我什 手机 看过 发表 评论 女儿 发表 评论,正面
