Unnamed: 0,发表时间,作者,评级,标题,内容,fenci,sentiment
,2024-05-01 21:05:09,DoraRR,1,网爆网站,10年前的站用户也注销账号啦,用户 注销 账号,正面
,2024-05-01 21:04:33,扇险象环生快递春节下决心戒掉,1,老闪退,纱布一直闪退,纱布 闪退,负面
,2024-05-01 20:52:40,SSSS呀～,1,误导消费，差评！,付费资源写着充值成为会员就可以看，结果买了会员还是不行，客服说是买特定的套餐才可以，可是我按照客服要求提供了两张宣传页面截图，里面根本找不到这样的描述！要求退费时候却推三阻四，要等五天后才能处理，欺诈行为！,付费 资源 充值 会员 会员 不行 客服 套餐 客服 提供 页面 截图 不到 描述 退费,负面
,2024-05-01 19:30:58,刃海v,5,致小破站,高素质，高素养者的天堂,素养 天堂,正面
,2024-05-01 17:01:01,爵士鼓下降,1,希望能投屏,希望能投屏，好多都只能看一会就没了真的很烦,希望 投屏 只能 没了 很烦,负面
,2024-05-01 16:09:56,圆得挺圆的,5,快看快看快看快看快看,最近看到《暂停！让我查攻略》，看了其他花絮发现可以换配音，于是我更新了我的站。问题是，我不能自己换配音，看完后也没有进入那种游戏界面，，，，是因为我是苹果手机吗，如果是的话我就不多说了，毕竟苹果很多都弄不了,攻略 花絮 发现 配音 配音 看完 游戏 界面 苹果 手机 苹果,正面
,2024-05-01 15:51:01,tsfsstsf,1,不能下载,明明玩好好的，却不能下载👎,下载,正面
,2024-05-01 15:42:28,恩·刻呢随缘吧晴,1,还我2233娘！,登录界面和视频不见了提示的2233娘都不见了！还我2233娘！,登录 界面 视频 不见 提示 不见,负面
,2024-05-01 15:06:08,百变樱/.✨,5,级别好,呵呵呵呵呵呵呵…成功地在里面看到了马猴烧酒！！五星好评,成功 烧酒 好评,正面
,2024-05-01 14:05:17,朝夕可期,5,高品质输出的代表,有一种说法在站上大学，站绝对是传播价值的实力担当，对我非常有帮助，祝哔哩哔哩越来越好。,说法 大学 传播价值 实力 担当 哔哩 哔哩,正面
,2024-05-01 13:11:10,沧岚超可爱,1,简中互联网的恶臭,如果说我希望哪个、公司消失，那我会毫不犹豫的选这个，如果选哪个人包庇那毫无疑问的是陈睿,希望 公司 消失 我会 包庇,正面
,2024-05-01 08:23:57,楓花恋,1,吞评app哪家强，认准哔哩哔哩！,您可以骂人，但是理性客观的评论就会被删，因为你说出了真相，相反那种情绪化的、娱乐化的评论都不会被删，哪怕你骂人都没事，但就是不能说真话。而且这个功能不是惩恶扬善 它筛选留下的反而是那些最善于游走于灰色、最能让人难受又不受处罚的人。相反 那些真正敢于说真话敢于写质量帖的人反而被吞哦,骂人 理性 客观 评论 被删 说出 情绪化 评论 被删 骂人 没事 真话 功能 筛选 留下 善于 游走 灰色 难受 不受 处罚 真话 质量,负面
,2024-05-01 08:15:59,愿世界少一点骗子,1,差评,越更新越垃圾，审核员是吃答辩了吗,垃圾 审核员 答辩,负面
,2024-05-01 07:29:02,的v额度大市场上的错误,1,儿童厕所,评论区里的发言没几个心智成熟，上过班的。跟知乎一样恶臭,评论 发言 心智 成熟 过班 知乎 恶臭,正面
,2024-05-01 06:14:42,zrxill,5,好好,哔站真的是很好的软件 上面有很多好老师 缩短了教育差距 评论氛围也很好 大家都比较有爱 加油哔哩哔哩,哔站 很好 软件 老师 缩短 差距 评论 氛围 加油 哔哩 哔哩,正面
,2024-05-01 02:16:46,下四分村s,1,现在b站也算是垃圾收容所了,举报评论没用，引一堆垃圾广告，卖淫鸡窝,举报 评论 没用 垃圾 广告 卖淫 鸡窝,负面
,2024-05-01 00:21:09,jdidgsush,5,难受,好用吧，但短视频越来越多了，而且看视频的时候突然没声音，退出视频才有声，不知道是不是,好用 视频 视频 声音 退出 视频,负面
,2024-04-30 22:41:32,冷睎@冰苑吖,5,很好的,站是个很的软件类似抖音卡通软件都不用下了站的东西也很多,软件 类似 软件 不用,正面
,2024-04-30 22:39:39,请科学上网,1,直播手机变铁板烧还天天加载异常,你也是土豆服务器？,土豆 服务器,正面
,2024-04-30 21:52:27,6️⃣🪡🌲,1,广告成堆,冷知识，国际端不这样。只有国人才配得上叔叔的特别照顾,知识 国际 人才 配得 叔叔 照顾,正面
,2024-04-30 21:31:26,李亮亮，，,1,不熄屏,苹果手机刷站不熄屏,苹果 手机,正面
,2024-04-30 21:22:24,TFS大神,5,超好的吧,（该条评论已经被删除）站,评论 删除,负面
,2024-04-30 20:47:58,wuyu5201314,1,垃圾控评,早日倒闭,倒闭,正面
,2024-04-30 17:19:17,意已逝吾已死,3,你修个bug不如不修,我记得以前横屏播放时放大是可以往上拖的，现在只能往中心放大，我放大就是为了看边边角角上看不清的东西，你这么一改放大还有什么用呢,记得 横屏 播放 放大 只能 中心 放大 放大 边边角角 看不清 放大,正面
,2024-04-30 16:54:04,陈姿杉,5,希望多推广长视频 增加对创作者的激励,（该条评论已经被删除）如题,评论 删除,负面
,2024-04-30 16:36:28,拂琴一笑再笑,5,mac电脑 无法顺利用homepod播放,如题，建议做一下优化，其他软件皆可，只有哔哩哔哩打开时候自动跳转到上…,建议 哔哩 哔哩 打开 跳转,负面
,2024-04-30 16:21:12,我乃大将军,5,蜀黍我呀，喜欢😘,（该条评论已经被删除）🐭🐭,评论 删除,负面
,2024-04-30 14:46:11,Summersun19,2,APP不能调整收藏夹的顺序，客户端不能调整收藏夹里的视频顺序,如题，里不能调整收藏夹顺序，客户端不能调整收藏夹里的视频顺序。这么久了什么时候能解决，管理收藏夹和里面的视频的时候很不方便,收藏夹 顺序 客户端 收藏夹 视频 顺序 解决 收藏夹 视频,负面
,2024-04-30 13:52:28,小拇指春天,5,不能说的就是不能shun,我观看的我喜欢,观看 喜欢,正面
,2024-04-30 10:57:27,§!.,1,.,垃圾软件不开会员就一直有个按钮挂在那里影响观影删掉了搞心态,垃圾 软件 会员 按钮 观影 删掉 心态,负面
,2024-04-30 08:26:57,2020年我要考研,1,首页自动修改成单列,为什么总是给我的首页从双页改成单页，需要你开发者教我怎么用站？纯老坛洞悉,改成 单页 开发者 老坛 洞悉,正面
,2024-04-30 07:58:39,alexztasar123,1,啊碧现在是吧马卖给某宝了？,马卖给淘宝去卖了能不能别拉上用户，开跳转淘宝，暂停视频跳转淘宝，看着视频切出去干点别的切回来又跳转淘宝，尼几个马全在淘宝卖是不是。,用户 跳转 视频 跳转 看着 视频 切出去 回来 跳转,负面
,2024-04-30 07:25:07,唐河边寻宝人,5,哔站我学习休闲的好朋友,结识哔站时间不长，很快就被她渊博的知识吸引应有尽有，太爱了。,结识 哔站 时间 知识 吸引,正面
,2024-04-30 01:45:51,麻辣小苦瓜,1,搜索排版,新的搜索排版真的很丑！！！！巨丑，！！！！！让人没有看视频的欲望了。。。。。。。。能不能改回去。。。真的受不了了。大哥大姐们！！！！！！！,搜索 排版 视频 欲望 大哥 大姐,正面
,2024-04-29 23:14:37,最終環彩羽改MAX,1,这软件建议从iOS下架啦！,这太糟糕了！直播严重故障！,糟糕 故障,负面
,2024-04-29 21:28:39,度云无耻,1,二十一世纪的纳粹大本营,基本上把种族歧视 支持战争 极端民族主义贯彻到底 少年强则国强 少年智则国智 少年纳粹则国纳粹,支持 战争 民族主义 强则 国强 智则 国智,正面
,2024-04-29 20:37:30,6hhdn,2,ios看某些视频稳定闪退,笑死，我是剪这视频的，其他端都没问题，就发某个特定的号老是全部闪退，我就好奇了你站,视频 闪退 好奇,正面
,2024-04-29 20:23:30,善男信女想念你,1,亲日的玩意,（该条评论已经被删除）一直在屏蔽对日本不好的视频言论和视频删的真快。抗日战争抗日精神的视频秒删,评论 删除 屏蔽 视频 言论 视频 精神 视频,正面
,2024-04-29 20:21:02,元韬兄,5,内心感受,站的环境还是挺好的，低素质的也会被关小黑屋。但刷屏的还得整治一下，毕经弹幕是为了帮助我们，活跃气氛的。转眼过了两年，已经4了，感触还是挺深的，并没有低分评论说的那么差，很好了！现在使用人数也越来越多了，下载尝试，一定会给你不一样的感觉！可以上课，可以看短视频，也可以看电影，记录片和动漫。,环境 素质 刷屏 整治 弹幕 气氛 转眼 感触 低分 评论 人数 下载 感觉 上课 看短 视频 电影 记录片 动漫,正面
,2024-04-29 20:20:52,黎米li,1,自动连播烦,关注各个主不是为了酿酒的，是想多看看，麻烦你给我推送下关注的吧，我关注好几百个他们是都不更新吗主页我怎么没看见？还是站的推送过于垃圾？？？！！,关注 麻烦 推送 关注 关注 主页 推送 垃圾,负面
,2024-04-29 20:13:31,支持的热心人士,4,谢谢🙏,好颯，多多给我们提供实时录像，多谢🙏,提供 录像,负面
,2024-04-29 19:19:38,疯岑,5,太好了,本来就是因为时光代理人才来的，天天都吃国宴！！爽炸了！光时姐天下第一！！！！,时光 代理人 国宴,正面
,2024-04-29 18:40:42,内向不落,5,这平台收获很多继续加油,收获很多，继续加油,收获 加油,正面
,2024-04-29 13:12:10,我只是顺手点了评价,1,B站你改我空间背景图干什么？？？你们脑子有吧！！！,用了好几年的贺卡背景图变成2233娘了。 空间背景的原始图我自己六年前拍摄的，对我有一定纪念意义，把它当背景图就没想过再换，现在找都找不到了。 付费买的评论背景点赞效果和动态卡片也一起给我悄悄卸下来了，就给留了个头像挂件，不知道你们是想干什么。 周年庆不发福利发什么颠？？？吃饱了撑的没事干换我空间背景图？？？脑子有吧？？？,背景图 空间 背景 原始 拍摄 纪念 意义 背景图 不到 付费 评论 背景 效果 动态 卸下来 给留 个头 挂件 吃饱 了撑 空间 背景图 脑子,正面
,2024-04-29 13:04:40,氪金任性,1,骗钱,（该条评论已经被删除）骗钱,评论 删除 骗钱,负面
,2024-04-29 06:04:54,窝窝头两块钱三个,5,好用！,使我的8旋转！,旋转,正面
,2024-04-29 04:53:25,samzhul,1,软件问题,看直播发烫,发烫,负面
,2024-04-29 04:38:36,qinggan,1,垃圾b站吞我评论,（该条评论已经被删除）10条里面9条被吞干脆直接别玩了申请倒闭得了抄隔壁某音都炒不明白，这个求助的视频我发了十多条评论就一条发出去了“最近反转太多看看吧”干脆把账号都删了得了,评论 删除 条被 申请 倒闭 求助 视频 评论 发出 反转 账号,负面
,2024-04-29 03:32:24,千层酱,3,体验是越来越差了,产品换换人，开发也换一波 ——— 依然没用的，依然越来越臃肿的——-关闭个性化广告无效，开屏广告还是定制的,产品 换换 开发 没用 臃肿 关闭 个性化 广告 无效 开屏 广告 定制,负面
,2024-04-29 03:14:25,百度有🐎吗,1,1分都给多,讨论环境差，广告多到鬼一样。厕所一样的体验,讨论 环境 广告 厕所 体验,正面
,2024-04-29 02:18:34,蜂蜜抽自,5,希望看到,站让我感到温馨的地方是什么都能在站上找到，比如网课时可反复看回放，电视也可投、站本就是一片净土，在这个“快餐文化”是袋，特别是某音、浏览器..之类的之前都是很好的软坚，却在商业化的带路一去不复发。站也有一点点商业化，这个是时代不可避免商业化、广告...但也不能过于...,感到 地方 找到 反复 回放 电视 净土 快餐 文化 浏览器 很好 软坚 商业化 带路 商业化 时代 商业化 广告,正面
,2024-04-29 01:07:02,卢卡卢卡蹦蹦,1,什么时候能取消竖屏模式评论新添加的简介板块？真的很烦诶,反馈过也没有个后续，差评,反馈 后续,正面
,2024-04-28 22:24:29,别殇🎩我来了！,5,我：绝爱b站！,站我神，没有你我高中课程听不了一点，没有你我没有的音乐听不了一点，哦！站你是我的光啊（使劲抱住站大腿斯哈斯哈）（疯狂的表示喜爱）（扭曲阴暗爬行）,高中课程 音乐 使劲 抱住 大腿 疯狂 喜爱 扭曲 阴暗 爬行,正面
,2024-04-28 22:06:34,ss784,3,投屏总是断,为什么投屏到电视上总是断呢？放10分钟的视频，到1-2分钟的时候就说网络原因就断了。别的投屏从来不出现这个问题。,投屏 电视 视频 网络 原因 投屏,负面
,2024-04-28 22:05:27,z s q m,1,一返回就只能直达首页，不能逐级返回,但是点开推广视频再点返回，却能回到刚刚看过的那个视频。看来不是不能逐级返回，就是不想好好搞,推广 视频 返回 回到 看过 视频 返回 不想,正面
,2024-04-28 21:26:07,yiyiyiyiyiyiyigi,3,首页推荐不好用,点我不感兴趣，下次打开还是重复推荐很多乱七八糟的东西，就像有另一个人在用账号一样,打开 推荐 账号,正面
,2024-04-28 21:00:10,普通冲浪网友,2,经常无响应,根本不适配啊太多了，经常转彩虹圈，窗口大小也很难调节，键盘功能也不能用,适配 键盘 功能,正面
,2024-04-28 20:59:20,啊昵称是什么啊,1,广告,（该条评论已经被删除）每次打开都有广告 不是特意的 轻微晃动也跳转别的 烦死人,评论 删除 打开 广告 晃动 跳转 烦死人,负面
,2024-04-28 20:47:34,陈睿跟陈少杰一伙的,1,诈骗软件吗？,我都注销账号好几年了，现在收到验证码信息，这是诈骗软件吗？还是已经注销的账号别人还能登陆？？？？？倒卖用户信息已经成常态，但你这也够离谱的，都注销账号这么久了，而且没再下载过还能收到验证消息，斗鱼2号？,注销 账号 收到 验证码 信息 软件 注销 账号 登陆 倒卖 用户 信息 常态 离谱 注销 账号 下载 收到 验证 消息 斗鱼,负面
,2024-04-28 19:01:14,顫慄者,5,好东西,这太好看了！,好看,正面
,2024-04-28 18:37:15,爆米花和爆米花,5,喜欢B站,推荐哦，真的很好,推荐,正面
,2024-04-28 16:43:31,荔枝不看垃圾视频,5,哈,好用不多说,好用,正面
,2024-04-28 12:39:41,fuipop,1,别用,当账号达到5或6级时，大概率被盗号，站不管,账号 概率 被盗,负面
,2024-04-28 12:34:33,咸香的麦芽糖,1,广告多到影响体验,为什么现在软件内晃动手机就跳转广告？,软件 晃动 手机 跳转 广告,负面
,2024-04-28 10:36:36,chenwk7,1,不会改动不要改动！,搜索页面设置排序方式现在要到二级菜单才能调整，原来不是挺简单的吗，不会改动就不要改动！徒增我们用户使用成本！,搜索 页面设置 排序 方式 菜单 简单 徒增 用户 成本,负面
,2024-04-28 10:34:37,开始觉得无聊了,1,广告去不掉,***的，更新了之后专门加了移动的广告，还去不掉，真行,广告,正面
,2024-04-28 10:32:00,axl y,1,充电专属去死好吗,（该条评论已经被删除）弄个充电专属恶心谁，大会员开着老子还要向每个单独缴费？,评论 删除 充电 专属 恶心 会员 老子 缴费,负面
,2024-04-28 10:26:46,flash杨,1,恶心的舆论把控,检测关键词，故意清扫对自己不利的舆论，脸都不要了,关键词 清扫 不利 舆论,正面
,2024-04-28 09:58:09,过路人晚风BlBL,5,来B站看好剧,大师好能力呀,大师 能力,正面
,2024-04-28 09:29:23,commander1372652132,1,如今b站广告满天飞，逐渐短视频化去acg化，所以五星还是分开给吧,站只会变味，但是永远不会倒闭（乐,变味 倒闭,正面
,2024-04-28 00:14:42,148282247,1,垃圾，充斥着大量骂战黑子的软件，管理也不管,垃圾,垃圾,负面
,2024-04-27 21:51:33,励志超市所有人,5,豪丸🤓,豪丸🤓,豪丸,正面
,2024-04-27 21:26:11,情微伤,5,能不能提个意见,弹幕能不能不要飘满屏，飘满屏都看不清说了话，还影响观看的视觉，拜托了，别飘满屏,弹幕 看不清 观看 视觉,正面
,2024-04-27 21:25:34,123456%（h,1,一星都多了,真的是蛮无语，能不能整改一下你们家的审核组，除了学习美食区能看，其他区尤其明星影视辱骂人身攻击拉踩的视频层出不穷，审核好像有点眼瞎，还是你们就喜欢恰烂钱，弹幕评论区没眼看，每一条都是恶意满满的，举报都举报不掉，真是好样的，那天倒闭了就真是你的福报了,整改 审核 学习 美食 区能 影视 辱骂 视频 审核 好像 眼瞎 喜欢 恰烂 弹幕 评论 眼看 恶意 举报 举报 倒闭,负面
,2024-04-27 20:28:14,11ii0,2,bug太多了,倍速播放切换下一的时候自动变回一倍速，稍后在看那里看的时候视频不适配屏幕,播放 切换 视频 适配 屏幕,负面
,2024-04-27 20:16:34,辰风殿,1,垃圾软件,垃圾，真垃圾，全都是要加 才能看短视频的，零星,垃圾 垃圾 看短 视频 零星,负面
,2024-04-27 18:33:16,蓝枫帝,5,很好,太好用了,好用,正面
,2024-04-27 18:24:16,新野兮筱,5,，,告别颓废,告别 颓废,正面
,2024-04-27 15:50:51,都市生物天蛾人,1,搞系统区别对待,能不能别恶心我们党了,恶心,负面
,2024-04-27 12:13:35,独具微笑,1,跟星穹铁道联名活动太恶心人了…,要求居多巨麻烦还强制要求投币 垃圾 第一次差评,麻烦 强制 投币 垃圾,负面
,2024-04-27 10:05:23,我们都已经关注起来了,5,非常有用,这个软件真的很有用，直播啊，什么东西都可以看回放,软件 有用 回放,正面
,2024-04-27 10:02:11,0д0эдфпп,1,新搜索页面太差了,新搜索页面太差了，一排两列很乱，也没有设置选择能改回去。从13年注册站这已经记不清是第几次客户端的反向更新了约更新越难用,页面 选择 注册 客户端 反向,负面
,2024-04-27 09:40:24,能不能改一下啊！,1,希望能修改一下,我认为站一切还好，但那个青少年模式真的很烦，找了客服次，材料也提交了次，总是说被驳回。现在因为退不出来已经删了。真的希望能改一下。,还好 模式 很烦 客服 材料 提交 驳回 退不 希望,负面
,2024-04-27 08:57:45,日返盘闪退,1,白屏闪退修修啊,（该条评论已经被删除）老闪退！！！,评论 删除 闪退,负面
,2024-04-27 08:16:38,zhenkenhren,1,包月还不是，还要加钱成为大会员，套路人,包月还不是，还要加钱成为大会员，套路人,包月 会员 套路,负面
,2024-04-27 08:13:11,徐紫旋,5,nb,（该条评论已经被删除）😁😄😁😄😀😃😁😃😃😀😄😀😆😁😀😆😁😄😀😆😁😄😂😀😆😁😆😀😁😃😆😆😁😄😁😃😁😆😀😁😁,评论 删除,负面
,2024-04-27 06:23:55,然后互粉互粉互粉发货,1,码率低,不会会员清晰度就是一坨,会员 清晰度,负面
,2024-04-27 01:31:34,垃？软件,1,骗人的，看什么都要钱要开会员还贵。,垃圾软件,垃圾 软件,负面
,2024-04-27 01:10:41,M...-Ddd,5,阿b你是一只猫娘,希望阿风气能好些，虽然人心不可控，不过也要抛下一些希望。我们是社会主义初期，主打一个奉献与进步，相信阿也会进步,希望 风气 人心 可控 抛下 希望 主打 奉献,正面
,2024-04-27 00:49:04,但小编就教你,5,这个好,这个不错啊,不错,正面
,2024-04-27 00:02:12,嘿呀嘿靓仔仔,3,7.75好多bug啊，啊B,7好多啊，啊看视频底部的按钮都点不开。     我还以为是我手机坏了，打开其它就没事….,视频 按钮 都点 手机 打开 没事,负面
,2024-04-26 22:40:29,23322338,1,视频没有声音,有时候刷到视频突然没得声音 上滑到上个视频再下滑才有声音好几次了 有时就是上滑下滑后所有视频都没得声音 退出重进才有,刷到 视频 声音 滑到 视频 下滑 声音 上滑 下滑 视频 没得 声音 退出 重进,负面
,2024-04-26 22:25:49,钓鱼的羊,1,大家一定要删除blibli,哔哩哔哩是日本控制的 打倒日本帝国主义,哔哩 哔哩 控制 打倒 帝国主义,正面
,2024-04-26 21:54:49,烟出的小丑,5,确实挺不错,确实不错 古惑仔什么的都有挺好的,确实 不错,正面
,2024-04-26 20:43:22,这款游戏很好，超级好。,5,我爱五跳舞,我是现充,现充,正面
,2024-04-26 20:07:25,余西.cn,5,哔哩哔哩最美视频app,永远保持初心，做年轻人心中那一个永不变色的二次元、学习、中长视频，爱您。,年轻人 变色 学习 视频,正面
,2024-04-26 18:33:53,11451466477,5,喜欢,（该条评论已经被删除）什么想看的都有,评论 删除 想看,负面
,2024-04-26 18:30:43,混合机e,1,烂货,不下载不让看，趁早倒闭,下载 不让 倒闭,正面
,2024-04-26 16:08:08,林坟,1,音量调节设计问题,每次看直播刚点进去是竖屏，音量调节只能用按钮一下一下按，只有横屏才能滑动调节音量。能不能设计成竖屏也可以屏幕滑动或者按一下按钮然后滑动调节呢。用的烦人,音量 只能 按钮 横屏 音量 屏幕 按钮 烦人,负面
,2024-04-26 11:32:45,你的老婆我的梦,1,不明白,有些动漫为什么台湾免费，内地就不免费，什么意思,动漫 内地,正面
,2024-04-26 10:02:48,efdfhjhg,1,垃圾平台,控评非常严重 也不给你提示,控评 提示,正面
,2024-04-26 07:41:56,Witty Liu,1,更新后无法直接分享到QQ,如题，更新后点击分享按钮选择，卡住，然后就没有然后了，怎么点击都没有反应……,点击 分享 按钮 选择 点击,正面
,2024-04-26 06:43:08,10messi,1,首页全是推广视频,广告视频越来越密集屏蔽不完，李旎真的驷马了,广告 视频 密集 屏蔽 驷马,负面
,2024-04-26 02:05:32,S837489,1,为什么横屏稿件不能关闭竖屏模式按钮。,天才啊，竖屏稿件可以关闭竖屏模式按钮但横屏稿件不行。用户喜欢用竖屏模式看横屏视频是吧。,天才 竖屏 稿件 关闭 竖屏 模式 按钮 横屏 稿件 不行 用户 喜欢 竖屏 模式 看横 视频,负面
,2024-04-25 23:46:12,呃呃呃额33,1,为什么老是自己退出登录？,我刚充了一个月大会员，号就找不到了,会员 不到,负面
,2024-04-25 23:04:13,至甫道人,5,up主的视频质量很不错,各类资源齐全，评论区和弹幕有趣生动.,资源 评论 弹幕 有趣,正面
,2024-04-25 23:02:20,事吕某,5,哔哩哔哩真的是太太太太太好用了,简直就是集万人之意，在这里面你可以学到很多东西,学到,正面
,2024-04-25 21:55:48,举报肯定不成功,1,破软件,破软件，天天黑屏，天天闪退,软件 闪退,负面
,2024-04-25 21:12:02,erwwqs,1,广告，离谱的屏蔽机制,这回搜索界面也插广告啦～而且有些内容连续点不感兴趣好几次还给我推送，差评送上，你木撕了,搜索 界面 广告 内容 连续 还给 推送 评送,正面
,2024-04-25 20:02:03,我是终身大会员,5,为什么更新出来一堆Bug,为什么音画不同步甚至音频跟视频内容都对不上，带着耳机看着看着没声音了,音画 音频 视频 内容 耳机 看着 看着 声音,负面
,2024-04-25 19:40:37,玩家3906,1,存在监听对话隐私的问题,随时在监听周边的对话，监听到关键词会推送视频，感觉很冒犯且不安全，不舒服,对话 关键词 推送 视频 感觉 冒犯 舒服,正面
,2024-04-25 19:06:50,没有昵称1111222679754,1,疯狂推送拉黑的视频主的视屏,拉黑了的主，一直刷到，举报，拉黑，不感兴趣，一点用都没有，真不知道运营是多想推他们，还是收了钱。,刷到 举报,负面
,2024-04-25 19:05:20,的半生不熟的黑色金属结合,5,能不能更改下追番列表啊,每次不小心误触到什么番 就会自动调到第一个 很难受啊🫠能不能像设置手机桌面一样调节番剧的位置呢,小心 误触 难受 手机 桌面 番剧 位置,正面
,2024-04-25 14:58:26,mogugulgugu,5,有质量的干货多,各个平台的软件都在用，站的特点是够专业，有别的平台没有的资料，这资料还可以帮我解决心理问题，帮我成长。很感谢，继续加油,平台 软件 专业 平台 资料 资料 解决 心理 成长 感谢 加油,正面
,2024-04-25 14:56:32,换换幻想,1,能不能优化一下猜我喜欢我不想看,都点了很多遍了，为什么还是出现在我的首页？我充了大会员的，尊重一下你的客户很难吗？😅首页全是推广，不花钱上不了你的首页呗？？你既要又要的样子真的很难看。风气太差了，和当年一开始成立的时候根本不一样了，能不能管管发癫的主,会员 尊重 客户 推广 花钱 样子 难看 风气 成立 发癫,正面
,2024-04-25 12:09:56,创造战争,1,风纪委员也是双标的,视频引战，然后呢评论引战的封了，视频不封啧啧啧,视频 引战 评论 引战 视频,正面
,2024-04-25 10:49:12,什么破游戏啊，,1,还有摇一摇跳转淘宝,摇一摇跳转淘宝死一死啊,跳转,负面
,2024-04-25 10:42:49,杀戮Ksssss,1,越改越难用，实验功能不给开关，跟这调教用户呢？,更新后搜索后显示的视频从单列变成了单列+双列+广告+推荐的混合，乱的一批，广告和推荐就算了，毕竟为了活下去迫不得已，但单列+双列的混合真的恶心，用了快10多年了一直是单列你说改就能改的啊？还不给开关让用户自己选择？傲慢到家了👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,搜索 显示 视频 广告 推荐 广告 推荐 恶心 开关 用户 选择 傲慢,负面
,2024-04-25 10:32:12,日返盘闪退,3,我的老闪退,（该条评论已经被删除） 12  ， 17，从17开始，某次缓存视频闪退之后，就经常卡在登录那个白屏，打不开 然后闪退。偶尔有一个提示消息问我直接退出还是修复问题，修复完了又闪退然后再进去还是白屏，好几次了，现在重新下载卡在同意隐私条款，进不去。 求你们好好修修吧。我怀疑和经常无网和切换，还有缓存到本地导致的问题,评论 删除 缓存 视频 闪退 登录 打不开 闪退 提示 消息 退出 修复 修复 闪退 下载 条款 进不去 修修 怀疑 切换 缓存 导致,负面
,2024-04-25 08:09:27,混元形意马师傅,5,棒棒哒,内容精彩 好看 好玩 有意思,内容 精彩 好看 好玩,正面
,2024-04-25 07:18:26,YongTaiSin,1,不要再更新了！！！！！,一天天搁这乱更新，本来用的好好的音频列表进度同步一次又一次的改出，一次次的修！！,音频 列表 改出,负面
,2024-04-25 02:33:47,LXS art,1,气愤😡请添加个关闭触屏音量控制开关，经常误触突然大声！,（该条评论已经被删除）添加个关闭触屏音量控制开关，经常误触突然大声！不知道你们为什么要设计这个很反人类的滑动触屏音量开关。不添加的话我一直差评下去，这个反人类的功能是谁想出来的！？,评论 删除 添加 关闭 触屏 音量控制 开关 误触 人类 触屏 音量 开关 添加 人类 功能,正面
,2024-04-25 01:17:35,好奇害死喵喵,1,垃圾,苹果8版本有点难绷点击评论后，无法把评论栏取消掉，看视频看评论时候评论栏挡视线。,苹果 版本 点击 评论 评论 取消 视频 评论 评论 视线,负面
,2024-04-24 23:57:14,yukichou7ccl,1,app广告太多,无论是首页还是视频页面下方，都是广告，次次不小心碰到就跳转出去商城那里下载。每次点进去看视频总在视频下方，找了一圈设置也没看到如何删不尽这些广告词条，买了一年会员也没看到有特权删掉这些广告条，真的服了。啥时候能解决，次次都要手动删掉真的够了,视频 页面 广告 小心 碰到 跳转 下载 视频 视频 广告 词条 会员 特权 删掉 广告条 解决 手动 删掉,负面
,2024-04-24 23:12:14,别再讨好吖,1,会员购真的很垃圾！受不了,差评！！我找了五个朋友去在会员购上抢2024崩坏星穹铁道嘉年华的门票，结果一张都没给我抢到；你们门票都是卖给黄牛了吗？做个人吧会员购！！哪有那么难抢的门票？！我对站真的很失望！！我站大会员以后下也不会续订了！！真的很生气！！,朋友 会员 购上 崩坏 星穹 铁道 门票 抢到 门票 会员 门票 失望 会员 续订 生气,负面
,2024-04-24 23:06:33,牛奶09090,3,摇一摇广告好恶心啊,开屏摇一摇广告能不能去掉？点开站直接给我跳到京东去了，用你家必须手机放桌子上是吧🤮,开屏 广告 去掉 手机 桌子,负面
,2024-04-24 19:15:24,检测师1,3,一些建议,能不能修改一下对方未回复之前只能发一条消息，我撤回了一下，想修改一下，结果不能继续发了,修改 回复 只能 消息 撤回 修改,负面
,2024-04-24 19:10:54,贺程哲,1,垃圾软件,进订单了都还不能购买抢票失败，赚这么多钱怎么不去扩大一下服务器,订单 购买 抢票 失败 服务器,负面
,2024-04-24 18:02:04,紫霄丶依韵,5,b站,有乐趣 深度的视频，宝藏不少,乐趣 视频,正面
,2024-04-24 17:55:58,狠叹,5,很好,感觉还是很不错的……,感觉 不错,正面
,2024-04-24 15:28:42,RJIN_Y,1,一颗星都不想给,为什么取消分？为什么取消分？为什么取消分？,取消 取消 取消,负面
,2024-04-24 14:06:09,samone_cai,2,双语字幕 功能,很多国外的软件，都出来多字幕的功能了，站什么时候可以有双语字幕功能的选项啊！,软件 字幕 功能 字幕 功能 选项,正面
,2024-04-24 12:27:49,gdiidgidosodkkslzo,1,广告软件,平均三个视频一个广告？是不是有点太频繁了？,平均 视频 广告 频繁,负面
