评论,Unnamed: 1,Unnamed: 2,分词
谢主播分享，这个拍的很有创意,,,谢主 分享 创意
挺有意思，跟大片的感觉,,,有意思 大片 感觉
看完就觉得开头还可以，整篇不知道在讲啥尬死了，就觉得那个导演的还挺有意思的,,,看完 开头 整篇 导演 有意思
那是不是说以后拍电影就不用真人了，明星要失业了，怪不得都去带货卖酒了,,,拍电影 不用 真人 明星 失业 带货 卖酒
导演技不错！这个男主角样子还不够真实，,,,导演 不错 男主角 样子 真实
特效很赞。效果太棒了,,,特效 效果 太棒了
这是新剧吗，讲的什么意思我咋看不懂,,,新剧 看不懂
感觉表情真的有点假,,,感觉 表情 真的
越发不火了,,,越发 不火
柳叶熙的3建模效果质感，感觉越来越差了。,,,柳叶熙 建模 效果 质感 感觉 越来越
假如这是广告，我觉得是用了心的，好看,,,广告 是用 好看
这次的发型妆容服饰我欣赏不太来,,,发型 妆容 服饰 欣赏
头发有点不真实。,,,头发 真实
"为啥要换个发型,原来很好看啊",,,为啥 发型 好看
这样太秃了发际线注意一下不是说你柳夜熙只是没有以前好看,,,发际 夜熙 好看
换声音了？,,,声音
这次感觉纯粹是为了特效,,,感觉 特效
恐怖谷效应,,,恐怖 效应
抖音不扶持就没流量,,,扶持 流量
出道即巅峰，时隔半年咋断崖式下跌了呢？,,,出道 巅峰 时隔 半年 断崖 下跌
新发型显得头大脸大,,,新发型 显得
嘴唇真丑,,,嘴唇
你们最大的问题是编剧，剧本表达不清晰，总是莫名其妙的看，莫名其妙的完，其实你们想表达的主题非常好，就是手法不行，个人看法，善意的表达,,,编剧 剧本 表达 清晰 莫名其妙 莫名其妙 表达 主题 手法 不行 看法 善意 表达
买不起口红吗 每次就涂哪一点,,,买不起 口红 每次 哪一点
唯一不喜欢的就是这口红，总感觉像日本艺伎,,,唯一 喜欢 口红 感觉 日本 艺伎
没有最初的惊艳了，现在感觉平无奇了。,,,最初 惊艳 感觉 平无奇
谁给阿熙做的发型，出来挨打,,,阿熙 发型 挨打
第一集柳叶熙配音和口型符合说话习惯，动作细致，符合人的动作习惯。看了3集，后面没有细看，看最新集，这集配音口型不对。动作有延迟，生硬。有一点不符合人类动作习惯。,,,第一集 柳叶熙 配音 口型 符合 说话 习惯 动作 细致 符合 动作 习惯 细看 最新 配音 口型 动作 延迟 生硬 一点 符合 人类 动作 习惯
三千点赞几天不见怎么这么拉了,,,三千 几天 不见
画面逼真，广告创意不错,,,画面 逼真 广告创意 不错
看不懂都是导演的锅！ 编剧很牛逼的 主要是限制视频时间 所以感觉剧情不连贯！编剧牛逼就完了！,,,看不懂 导演 编剧 视频 时间 感觉 剧情 不连贯 编剧
为什么我从去年关注你到现在没有一个视频能看董？是你的视频太先进了，还是我的思维跟不上现代的科技？,,,去年 关注 视频 视频 先进 思维 跟不上 科技
柳夜熙更新的太慢了，这几年都不火了,,,夜熙 更新 太慢 几年 不火
希望你明年的视频越来越惊艳,,,希望 明年 视频 越来越 惊艳
成本很高的，所以更新得很慢好的作品就是要慢磨练啊，那种流水线的视频虽然好看，但真的很没新意啊,,,成本 很高 更新 很慢 作品 磨练 那种 流水线 视频 好看 真的 新意
除了十八流的文案编剧，其他都是一流,,,十八 文案 编剧 一流
这要拍成动漫或者电视剧我肯定爱死,,,拍成 动漫 电视剧 肯定
虽然好看，但是看不懂什么剧情,,,好看 看不懂 剧情
以前觉得还行，现在越看越尴尬,,,看越 尴尬
故事很有深意，但是有点太老套了，可能是新鲜感过了吧,,,故事 深意 老套 新鲜感
建议作品整理一下顺序以便在此重温 谢,,,建议 作品 整理 顺序 重温
配音是换了吗，都很好听捏,,,配音 好听
能不能出个完整版的合集，分开了，有些看不懂,,,完整版 合集 分开 看不懂
之前拖更了那么久，我们都以为完结了。,,,拖更 完结
太喜欢了，虽然看不懂,,,喜欢 看不懂
一个小的短视频拍出了电影的感觉,,,视频 拍出 电影 感觉
口型和台词都对不上 … 这都做不好还整啥,,,口型 台词 对不上 不好 还整
凉了吗，我怎么好久都刷不到了,,,好久 不到
面部僵硬死了 本来就没啥水平 也只有在抖音上能被吹上天,,,面部 僵硬 本来 水平 上天
这画质一天不如一天了感觉,,,画质 感觉
之前做的很像真人，现在看就是动漫人物,,,真人 动漫 人物
在虚拟世界里还能看到真的东西，真好。,,,虚拟世界 真的 东西
柳夜熙一细看她的妆容不咋的,,,夜熙 细看 妆容
虽然但是真的很像黑眼圈…报看啊报看脸有一种很生硬的黑的感觉再完善一下吧 开头创意很好,,,真的 黑眼圈 报看 一种 生硬 感觉 完善 开头 创意
差评 今天看着颜值下降了太多,,,看着 颜值 下降
这个笔真的好帅，如果有真的有这种笔就好的，我肯定会买,,,真的 好帅 真的 肯定
感觉衣服不是很配，换明制汉服好看,,,感觉 衣服 换明 汉服 好看
创意绝了，但是怎么感觉这次的柳夜熙有点老啊，黑眼圈和眼袋很重诶，没有其他期好看。,,,创意 感觉 夜熙 黑眼圈 眼袋 很重 好看
为什么现在越做越没创意了我是因为第一期的视频而关注柳夜熙的，那个时候的作品质量都非常好，包括柳夜熙这个建模也行，然而现在视频质量不仅越做越差，柳夜熙也变得不好看了看现在大家对柳夜熙的那些评论真是心寒，拜托你好做吧,,,越做越 创意 是因为 第一期 视频 关注 夜熙 作品 质量 包括 夜熙 建模 视频 质量 越做越 夜熙 变得 好看 了看 夜熙 评论 心寒 拜托 你好
这次视频好水啊，剧情也没什么设计啊,,,视频 剧情 没什么 设计
柳叶熙怎么变假了看到第一个视频的时候像真人,,,柳叶熙 变假 第一个 视频 真人
好拉的配音,,,配音
这条广告费不便宜啊，效果很好,,,广告费 便宜 效果
画面逼真，科技感十足,,,画面 逼真 科技 十足
感觉账号的制作换人了，剧情没刚开始好了,,,感觉 账号 制作 换人 剧情
为什么这么多人说这广告不好，我觉得很好啊，最起码我想看完啊，不像有的广告一眼也不想看,,,广告 不好 最起码 广告 一眼 不想
很好的题材，可惜缺了一个好编剧，跟慧周一样，一些立意很好的故事，只是简单点到，而且没有更好的衔接起来，,,,很好 题材 可惜 编剧 慧周 立意 很好 故事 简单 更好 衔接起来
啥乱七八糟的，终究是编不下去了,,,乱七八糟 终究
我真的不理解。人家为什么不能接广告啊？人家好的赚钱有什么不好的吗，看着真的好生气啊，你上班做东西是为爱发电？,,,真的 理解 广告 赚钱 不好 看着 真的 生气 上班 东西 发电
超级喜欢这款广告，集魔法玄幻为一体！,,,超级 喜欢 广告 魔法 玄幻 一体
那么多人表现得很惊奇，就我觉得这个还没电视好看,,,表现 惊奇 电视 好看
像看大片一样，很有创意,,,大片 创意
谢植入，以后刷抖音少一份期待了,,,植入 刷抖 一份 期待
是把一集做长一些吧，20分钟左右这样，剧情交代得更清楚点。可以增加戏份但是不必增加特效，不然剧情有些看不明白，而且这么多信息量挤在几分钟之内讲完，看着很累。这么炫的特效这么酷的设定，不把故事说好来有点可惜。,,,一集 做长 分钟 剧情 交代 增加 戏份 增加 特效 剧情 明白 信息量 几分钟 之内 讲完 看着 特效 设定 故事 说好 可惜
画质为啥这么糊,,,画质 为啥
这是什么？没有头和尾，但看起又不错,,,看起 不错
太深奥，以我的智商看不懂,,,深奥 智商 看不懂
更新的太慢了，流量感觉变少了,,,更新 太慢 流量 感觉 变少
每个作品都有一定的寓意，还含有大量的中国元素，真的好爱,,,作品 寓意 含有 中国 元素 真的
，这个柳夜熙的没有之前那种虚幻，空洞的感觉了，现在这个反而真实了，个人还是喜欢之前的配音,,,夜熙 那种 虚幻 空洞 感觉 真实 喜欢 配音
美女姐是从壁画里飞出来的吧,,,美女 是从 壁画
看来都是栩如生了呀，虚拟人仿佛就是和真人一模一样的 ,,,栩如生 虚拟人 仿佛 真人 一模一样
该说不说这建模完美啊！其实虚拟偶像好像蛮有前景的，因为不会塌房,,,建模 完美 虚拟 偶像 好像 前景
这个扮相这个造型真的是特别的有感觉,,,扮相 造型 真的 特别 感觉
国风也是太美了啊！闪耀着艳丽民族风啊,,,国风 太美 闪耀着 艳丽 民族
再现当年的敦煌莫高窟壁画，好像是从壁画中走出来了一样,,,再现 当年 敦煌 莫高窟 壁画 好像 是从 壁画
不得不承认，这个画面画的实在太好看了。真的是惟妙惟肖。,,,承认 画面 实在 好看 真的 惟妙惟肖
虚拟人生动形象，也有她自己独特的美丽，来自元宇宙的美人 ,,,虚拟人 生动 形象 独特 美丽 宇宙 美人
虚拟人这也是很有创意，都是很漂亮的呀，看着都是很喜欢的哦，栩如生 ,,,虚拟人 创意 很漂亮 看着 喜欢 栩如生
简直就和设计里面的人物画的妆一模一样。,,,设计 人物画 一模一样
服饰和发饰都给我们带来惊艳的感觉。,,,服饰 发饰 带来 惊艳 感觉
你的声音如展翅欲飞的蝴蝶扑闪着灵动的翅膀,,,声音 展翅欲飞 蝴蝶 扑闪 灵动 翅膀
这是和传奇世界那个游戏官方合作了吗,,,传奇世界 那个游戏 官方 合作
通过古诗刻画人物形象，古诗与人物相配，气氛满,,,古诗 刻画 人物形象 古诗 人物 相配 气氛
小雪和古诗词真的很搭配呢，小姐好漂亮适合这个氛围,,,小雪 古诗词 真的 搭配 小姐 漂亮 适合 氛围
恭喜天妤成为传世界宣传大使,,,恭喜 天妤 世界 宣传 大使
期待1与天妤的相遇啦,,,期待 天妤 相遇
构建和谐社会，有天妤有我们一起同行呀,,,构建 和谐社会 有天妤 同行
天妤现在要进军时尚圈了吗？,,,天妤 进军 时尚
那个虚拟人是天妤吧？她拍的短剧都挺好看的,,,虚拟人 短剧 好看
粉丝见面会快点来一波！,,,粉丝 见面会 快点
哇！虚拟人也能走红毯？,,,虚拟人 走红
这个视频拍的质感满太喜欢这种风格了,,,视频 质感 满太 喜欢 风格
风格还真挺搭的,,,风格
我的天啊，虚拟人位合影，也太牛了吧，期待看到各位主创们的表现，天妤能情绪看电影嘛,,,虚拟人 合影 期待 主创 表现 天妤 情绪 电影
原来如此，我还放大看了，怎么就中间的脸那么假,,,原来如此 放大
天妤和封神好搭，哈 非常棒,,,天妤 封神
美女姐回复我了,,,美女 回复
更的太少了，而且有很多重复的,,,更的 重复
咱就是说，这得让程序员和建模师等人掉多少头发,,,程序员 建模 头发
他的眼睛好像是桃花眼。,,,眼睛 好像 桃花
是不是真人建模啊，手指，走路的姿态特别像真人,,,真人 建模 手指 走路 姿态 特别 真人
全景虚拟，智能应该像这样为人类发展,,,全景 虚拟 智能 人类 发展
我一开始以为广告呢！视频制作精良：精在形状，圆形，方行，方形的叠加移位留下的阴影，方形图像上天妤姐抱琵琶，有下巴人字形，在于丢在意不在意的天廊之别！空间，空白，还是阴影的堆砌引人思考！,,,广告 视频 制作 精良 形状 圆形 方形 叠加 移位 留下 阴影 方形 图像 上天 琵琶 下巴 人字形 在意 不在意 天廊 空间 空白 阴影 堆砌 思考
这动画做的好,,,动画
是身体真人只是把的脸弄上去了,,,身体 真人
身体好真实啊，尤其是刚下车的时候，还以为哪个女明星呢,,,身体 真实 下车 女明星
哇塞拍的真不错太好看了轻漫计划太棒了,,,哇塞 真不错 好看 轻漫 计划 太棒了
这不是实体身体加上虚拟化的头吗？,,,实体 身体 虚拟化
天妤好漂亮,,,天妤 漂亮
堪比大电影,,,堪比大 电影
最后有点发福的感觉,,,发福 感觉
穿这个的话，我想你可以换个头饰更好看,,,头饰 更好
谁家好人头是古风的 穿礼服啊,,,谁家 人头 古风 礼服
这身体好像真人,,,身体 好像 真人
头一次感觉像是换脸，就跟抠图似的,,,感觉 像是
感觉天妤变胖了，有点肉的脸,,,感觉 天妤
这镜头和变化真的好乱,,,镜头 变化 真的
看到颈纹了,,,颈纹
我以为是动画片，真的好看，太漂亮了,,,动画片 真的 好看 太漂亮
天妤终于开始找碎片了,,,天妤 终于 碎片
总感觉有点什么深层次的东西，但是我没完全,,,感觉 深层次 东西
的衣服和你的头饰不怎么搭呢，也许应该把衣服改成敦煌的黄蓝色，嗯，再添加点橙色，就会更好看啦，你的头饰呢，还是需要做出巨大的改变，有幸的话我有时间，嗯，会用手画的方式帮你设计一套,,,衣服 头饰 也许 衣服 改成 敦煌 蓝色 添加 橙色 更好 头饰 做出 改变 有幸 时间 手画 方式 设计 一套
我怀疑你在给游戏做广告,,,怀疑 游戏 做广告
已经举报了，内容信息不正确，蹴鞠不是这个样子的,,,举报 内容 信息 正确 蹴鞠 样子
好高的质量,,,质量
报道新闻就好到实地报道！竟扯一些没用的东西,,,报道 新闻 实地 报道 没用 东西
人是真人脸换了！脸部建模有点僵硬。再接再厉,,,真人 脸部 建模 僵硬 再接再厉
请问脸怎么回事？特别是那眼睛，你要是弄新疆服饰可以这样，但别拼凑,,,请问 怎么回事 特别 眼睛 新疆 服饰 拼凑
放在虚拟人界也是炸裂的存在,,,放在 虚拟人 炸裂
天妤等你好久了，你只在传统节日，才更新吗？,,,天妤 好久 传统节日 更新
看了这么多的天妤的短视频盘一盘天妤的优点，当然她的优点是通过对比与人的相处对比表现出来的！壹，她很高明，作为壁画，似乎被元镜唤醒，陷入人间纠纷，在那无彼无极之境，无时无刻之镜！貮，心细（体现在有对情人问明年的今天会是什么样）（画爱心的动作），粗犷（算力的咄逼人）“醒狮莫贪玩，随我回壁画”“救南姝，撕心裂肺的喊叫，南姝不要”,,,天妤 视频 一盘 天妤 优点 优点 相处 表现 高明 壁画 元镜 唤醒 陷入 人间 纠纷 无彼 无极 无时无刻 心细 体现 情人 问明 爱心 动作 粗犷 算力 逼人 醒狮 贪玩 壁画 南姝 撕心裂肺 喊叫 南姝
加油，多接点广告，因为你接的广告都好看,,,加油 接点 广告 广告 好看
这个视频创意在哪？,,,视频 创意
能不能换个真人的妆容,,,真人 妆容
还能 出以前的那一些吗终于不是什么咸鱼之王这种垃圾广告咯,,,终于 咸鱼 垃圾 广告
这身打扮好像初凰]除了头饰和发型,,,打扮 好像 初凰 头饰 发型
我都看了好几遍了，都看不懂，这是什么意思？,,,好几遍 看不懂
这特效也太厉害了，怎么拍的？求带,,,特效 厉害
拍的真好，怎么拍的美女,,,真好 美女
视频做的太棒了，感谢作者大让我们看到这么有意义的作品,,,视频 太棒了 感谢 作者 意义 作品
天宇妹，原来你下了妆也这么漂亮呀，你这样的视频是怎么拍的呀？我好羡慕你哦，,,,天宇 漂亮 视频 好羡慕
出连续动画片吧,,,连续 动画片
很喜欢你的分享,,,喜欢 分享
好完美的女人哦！太漂亮了吧,,,完美 女人 太漂亮
果然这么完美的人只能是虚拟人 无意间刷到，这才是我心目中的古代美人啊 大气温婉，冷静智慧 难以形容 总之太棒了,,,完美 只能 虚拟人 无意间 刷到 心目 古代 大气 温婉 冷静 智慧 难以形容 太棒了
你都被写进题里了,,,进题
天妤已经不更新了吗？,,,天妤 更新
她是真人吗？不知道的，还以为真的是动漫呢,,,真人 真的 动漫
去年第一次刷到你时以为是电脑制作的动漫，但你确实很美,,,去年 第一次 刷到 你时 电脑 制作 动漫 确实
我这个脸型不知道可不可以也做一个漫画脸,,,脸型 可不可以 漫画
希望能改下发型，搭配不同的衣服,,,希望 改下 发型 搭配 衣服
我就想知道虚拟人与动画片的有什么区别,,,虚拟人 动画片 区别
你要是真的就好了,,,真的
挺好看的一个人物，如果是汉朝初年，绝对可以去匈奴和亲，给大汉争取一段修养生息的时间,,,好看 人物 汉朝 初年 匈奴 和亲 大汉 一段 修养 生息 时间
感觉就是换脸除了脸不真 其他都像真,,,感觉
效果杠滴 喜欢,,,效果 杠滴 喜欢
每次看天妤的视频都有新收获，这个三侯的解释好美,,,每次 天妤 视频 收获 三侯 解释
做的越来越敷衍，不来点剧情吗,,,越来越 敷衍 不来点 剧情
更新太慢了,,,更新 太慢
她真的不是从别的世界来的吗,,,真的 世界
天妤把鼻子再优化一下就完美了,,,天妤 鼻子 优化 完美
身形，气质，外貌，性格，都是我喜欢的,,,身形 气质 外貌 性格 喜欢
天妤姐真的不管穿什么都好看,,,天妤姐 真的 好看
这个礼服太有创意,,,礼服 创意
为什么感觉这个头和身体不太匹配大了一截感觉,,,感觉 身体 匹配 一截 感觉
中式妆发，西式服装，希望还是要提升一下审美，更统一点，太出戏了,,,中式 西式 服装 希望 提升 审美 统一 出戏
哇塞，我觉得这种古典重视盘发+现代礼服裙的搭配好看啊,,,哇塞 古典 重视 盘发 礼服 搭配 好看
这个眼睛看着怪的,,,眼睛 看着
天啦，这也太美了叭 像漫画里出来的一样！啥时候直播带货啊,,,太美 漫画 啥时候 直播 带货
拍个电影吧。提个小意见 笑的时候，眼部不太自然。,,,电影吧 意见 眼部 自然
真的好像女明星一样啊,,,真的 好像 女明星
感觉少了点灵魂，再接再厉,,,感觉 灵魂 再接再厉
牙齿太靠下了，我就说总觉得牙怪的,,,牙齿 靠下 牙怪
我的天呀，什么特效，厉害,,,天呀 特效 厉害
真的有在认真讲好中国故事,,,真的 中国 故事
演员表情挺好 但是这个动画人物就僵尸脸太帅了，惊艳全场,,,演员 表情 动画人物 僵尸 太帅 惊艳 全场
这期的脸和服装有点拉了,,,这期 服装
天妤漂亮精细，也很温暖。,,,天妤 漂亮 精细 温暖
用现代科技弘扬中华传统文化,,,现代科技 弘扬 中华 传统 文化
其实我觉得身体是真人的，头部是虚拟人的，两者合成，衣袖的毛茸和左侧的脖子有点不一样,,,身体 真人 头部 虚拟人 合成 衣袖 毛茸 左侧 脖子
好精彩的故事，很感人,,,精彩 故事 感人
我以为我看了柳夜熙，再次确认一下名字，奇怪这么像柳夜熙的吗？,,,夜熙 确认 名字 奇怪 夜熙
这到底是真人还是什么，我都快美的分不清了,,,真人 美的 分不清
太美了，表演天赋技能杠滴妆画得有点过了,,,太美 表演 天赋 技能 杠滴
你的变装填补了我空虚的心 而柳夜熙的光脚丫却把我重地摔回到了现实,,,变装 填补 空虚 夜熙 脚丫 重地 回到 现实
是天妤还是柳夜熙,,,天妤 夜熙
我第一眼还以为是真人化妆,,,第一眼 真人 化妆
真是经典之作啊,,,经典之作
拍的像拍电影似的，还有古装,,,拍电影 古装
女儿脸上出现的凤凰惊艳到我了，天妤好会,,,女儿 脸上 凤凰 惊艳 天妤
剧情真的是正能量满,,,剧情 真的 能量
好真实的故事,,,真实 故事
可是有多少人有特异功能看到原本的真相呢,,,特异功能 原本 真相
天妤的衣服要是能再精致一些就好了,,,天妤 衣服 精致
为什么你的关注…这么少?,,,关注
有谁见过他的真容,,,真容
正能量太感动了，我很喜欢。,,,能量 感动 喜欢
画面太美了,,,画面 太美
我觉得天妤再不更新我就要疯掉了,,,天妤 更新 疯掉
致敬那些脸上有瑕疵的人,,,致敬 脸上 瑕疵
很好看，特别感动，剧情真的是正能量满的家长努力吧,,,好看 特别 感动 剧情 真的 能量 家长 努力
这个虚拟人太假了，还不如把天羽换成真人,,,虚拟人 太假 天羽 换成 真人
天妤团队牛逼,,,天妤 团队
第一遍没看懂，又看了第二遍,,,第一遍 没看 第二遍
这是我头一次喜欢看的广告,,,喜欢 广告
看半天没有看懂让人们看的是什么更没有看明白,,,半天 明白
正片能不能快点来啊，好期待啊,,,正片 快点 期待
预告要素好多啊，无比期待了咱就是说,,,预告 要素 好多 无比 期待
这次的剧情真的带感嘛！天妤剧情突破了啊,,,剧情 真的 带感 天妤 剧情 突破
预告好揪心啊，天妤出现我都舒了一口气，期待正片！,,,预告 揪心 天妤 一口气 期待 正片
被天妤那句话暖到，姐真的是温暖又有力量,,,天妤 那句话 真的 温暖 力量
这么好看，肯定是拿程序员头发换的,,,好看 肯定 程序员 头发
真的好看啊，不过这个真的是建模脸 太好看了 比建模还好看,,,真的 好看 真的 建模 好看 建模 好看
真厉害的效果，怎么搞的，我也要会,,,厉害 效果
啥时候带货，我要给媳妇买,,,啥时候 媳妇
太美了，科技元素满,,,太美 科技 元素
非常有创意很好看，视频再长一点就完美了！,,,创意 好看 视频 一点 完美
这创意很好，我以为是电话剧呢,,,创意 电话
中国风真的是太好看了,,,中国 真的 好看
说真，柳夜熙颜值更高更有辨识度，你这也太一般了,,,夜熙 颜值 辨识
好逼真啊，现在国漫都这么好了,,,逼真 国漫
用心了，短剧太好看了,,,用心 短剧 好看
作品太吸引人了,,,作品 吸引
天妤也来带货了,,,天妤 带货
很久没看到这么好的广告了,,,很久没 广告
好唯美的意境啊，愿美好的一刻可以停留在你的心里,,,唯美 意境 美好 一刻 停留
广告吗，若不是最后一句，还真没有反应出来是广告，好唯美,,,广告 一句 广告 唯美
一瞬间回到了年轻的起点，太美了吧,,,一瞬间 回到 年轻 起点 太美
抖音元宇宙世界杯期待你的表现,,,音元 宇宙 世界杯 期待 表现
对，多输出一些正能量人设，中国传统文化输出，传统节日，传送人物传记，结合中国历史，科技与传统文化结合，游戏科技也可以实现教育！加油,,,输出 能量 中国 传统 文化 输出 传统节日 传送 人物传记 中国 历史 科技 传统 文化 游戏 科技 教育 加油
产品很好用,,,产品 很好
我想看天妤姐和柳夜熙同框,,,天妤姐 夜熙
天妤啥时候学的车啊,,,天妤 啥时候
要是国漫都是这种风格，我天追了,,,国漫 风格 我天
天妤坐上车的样子给人无限的高级感，虚拟人物带给我们的遐想太美好了。,,,天妤 上车 样子 无限 高级 虚拟 人物 带给 遐想 美好
能奔向月球的车真的好酷哦！,,,月球 真的 好酷
天妤与汽车的结合简直创意满分啊！,,,天妤 汽车 创意 满分
天妤坐上车以后进去异次元，太不可思议了,,,天妤 上车 异次元 不可思议
比小鲜肉古装剧好看多了,,,鲜肉 古装剧 好看
天妤，你有驾照吗？没驾照不许开车！严禁无证驾驶！,,,天妤 驾照 驾照 不许 开车 严禁 无证 驾驶
国潮也可以充满科技感，这是科技与新潮的敦煌元素，绝了，简直不要好看啊，,,,国潮 充满 科技 科技 新潮 敦煌 元素 好看
喜欢类似这样的动漫 动作流畅自然 不僵硬 质感线条也好看,,,喜欢 类似 动漫 动作 流畅 自然 僵硬 质感 线条 好看
凤凰幻化而成的轿跑真的太帅了,,,凤凰 幻化 真的 太帅
国潮也可以充满未来感，科技与新潮的敦煌元素，绝了,,,国潮 充满 未来 科技 新潮 敦煌 元素
感觉天妤坐上车以后进入了异次元，画面太美妙了，好有代入感啊~,,,感觉 天妤 上车 异次元 画面 美妙 代入
国泰民安脸来形容天妤最合适不过了,,,国泰民安 形容 天妤 最合适
天妤的长相完全符合中式审美，国风虚拟人,,,天妤 长相 完全符合 中式 审美 国风 虚拟人
天妤的国泰民安的脸太美了，画风和谐，引起极度舒适。,,,天妤 国泰民安 太美 画风 和谐 舒适
实在是太美了，很有大唐美女的味道,,,实在 太美 大唐 美女 味道
天妤，可以看你穿现代衣服吗？求了,,,天妤 衣服
还是有剧情好看，没有剧情不好看了,,,剧情 好看 剧情 好看
这现频繁的广告创意真的很不错,,,频繁 广告创意 真的 不错
动漫神话人物形象好静美啊,,,动漫 神话 人物形象 静美
赶紧更新,,,赶紧 更新
这个衣服摆动倒是挺不错的,,,衣服 摆动 挺不错
烟花太美了，祝所有人国庆快乐，祝我们祖国繁荣昌盛,,,烟花 太美 所有人 国庆 快乐 祖国 繁荣昌盛
开明面容也捎带科技感就好了，这样两方对决不会显得有些突兀，毕竟都是三海经里面的人物,,,开明 面容 捎带 科技 两方 决不会 显得 突兀 三海 人物
天妤每一次的出场都让人惊艳，期待能再出一些山海经系列的作品！,,,天妤 出场 惊艳 期待 山海经 系列 作品
真的很好看！在二次元的世界里打出了一片天,,,真的 好看 二次元 世界 打出
我居然看流泪了,,,流泪
我的算力口型不对啊,,,算力 口型
怎么像动画身体又是真人。,,,动画 身体 真人
姐真是人美心善 这集泪目了,,,心善 泪目
天妤的祝福接受到了啊，我的中秋圆满了,,,天妤 祝福 接受 中秋 圆满
她真的比建模还完美,,,真的 建模 完美
感觉这服装和气质不是很搭,,,感觉 服装 气质
高级感爆棚,,,高级 爆棚
天呐！天妤和哈尼克孜梦幻联动了！天妤现在妥娱乐圈人儿,,,天妤 哈尼 克孜 梦幻 联动 天妤 娱乐圈 人儿
抖音的服化都比电视剧好看,,,服化 电视剧 好看
于等到天妤姐更新，原来是在憋大招，光看预告就能想象到正片的精彩程度了！,,,天妤姐 更新 憋大 预告 想象 正片 精彩 程度
天妤姐的白娘子造型绝美，仙气值拉满了！,,,天妤姐 白娘子 造型 绝美 仙气 拉满
这应该不是纯特效制作吧，应该是真人实景拍摄后期换脸？,,,特效 制作 真人 实景拍摄 后期
天妤的新发型和新衣服真的好看,,,天妤 新发型 衣服 真的 好看
感觉手是真的，形体也真，就脸是虚拟的,,,感觉 真的 形体 就脸 虚拟
就是问天妤的现代装剧集什么时候上，一整个期待住,,,问天妤 剧集 期待
天妤姐的更新频率也太高产了吧！最卷虚拟人了,,,天妤姐 更新 频率 高产 虚拟人
手，身体，都是真人，就是头 是动漫的,,,身体 真人 动漫
它又像真人，又像假人，真的有世界上的人有那么美吗？,,,真人 真的 世界
天妤姐的现代装也是,,,天妤姐
敦煌风装扮的天妤是典雅端庄，现代装就是气质女神️,,,敦煌 装扮 天妤 典雅 端庄 气质 女神
跑的时候为啥显得有点矮,,,为啥 显得
我仿佛看到了柳叶熙，因为刘姐也是穿这种汉服的（样子），所以我就,,,仿佛 柳叶熙 刘姐 汉服 样子
感觉如果脸的反光轻点更好看总体都比柳夜熙好看多了,,,感觉 反光 轻点 更好 总体 夜熙 好看
自我感觉比柳叶熙更加符合中国传统文化元素,,,自我感觉 柳叶熙 符合中国 传统 文化 元素
弹琵琶的天妤太美啦，最后的眼神好飒,,,琵琶 天妤 太美 眼神 好飒
天宇，你是真实存在的还是捏出来的呀，我感觉你好像是真实存在的。但是我又想你是不是平板电脑制作了我都好伤心，好难过。还声叹气的,,,天宇 真实 感觉 好像 真实 平板 电脑 制作 伤心 难过 叹气
天妤，她的手好像真的人，可是脸很像动漫，不是，你们仔细看他的手是不是真的很像大人的真手？,,,天妤 好像 真的 动漫 仔细 真的 大人 真手
身体是真的，你看她胳膊上的丝带褶皱，3技术应该还没这么自然。头应该是换过去的了。挺明显的,,,身体 真的 胳膊 丝带 褶皱 技术 自然 换过去
这也太好看了吧 天怡姐这个好看呀 带来了我们的欢乐和温暖 可以 姐你好善良呀 好想做你闺蜜呀,,,好看 天怡姐 好看 带来 欢乐 温暖 你好 善良 闺蜜
你和柳夜熙多少有点关系，说吧，你是不是她闺蜜？,,,夜熙 关系 闺蜜
那背景和柳夜熙的好像,,,背景 夜熙 好像
天宇姐，前面的那套黑色衣服真好,,,天宇 黑色 衣服
终于看到国风虚拟人物了,,,终于 国风 虚拟 人物
这个唇色好看,,,唇色 好看
我还是感觉你最近就第1个视频里面的图中比较朴素比较好看嘛。,,,感觉 视频 朴素 好看
好美的国风虚拟人物啊，太好看了，每一处都恰到好处，太精致的美,,,美的 国风 虚拟 人物 好看 每一处 恰到好处 精致
有没有可能是男的,,,有没有
没个部位单独拿出来都挺好看。 合在一起就有违和感。,,,部位 单独 好看 合在一起 有违
似乎动作和肌肉的伸缩没有结合起来，只有动作，身上的肌肉还有配合发力，看起来有一些僵硬,,,动作 肌肉 伸缩 动作 身上 肌肉 配合 发力 僵硬
你这粉丝太少了，果断关注，比那个柳啥的好看多了，这才东方美,,,粉丝 果断 关注 好看 东方
主题和内容挺好，但个人觉得制作还有待改进,,,主题 内容 制作 改进
左手的动作要加强一下，很多时候右手舞了半天，左手就只是摇晃了一下，加油,,,左手 动作 右手 半天 左手 摇晃 加油
不太好看，技术比柳夜熙差点,,,不太好 技术 夜熙 差点
就是个动画片，说得那么高档做什么？请告诉我她和动画人物有什么区别！,,,动画片 高档 告诉 动画人物 区别
元宇宙的起点从中国文化开始,,,宇宙 起点 中国 文化
"光线真的好讲究，一动一颦关情，宜烟宜雨宜风，有鼓声，是""啊""与""明""的完美结合吧，关注你了！",,,光线 真的 讲究 一动 一颦关情 鼓声 完美 关注
