content,fenci
中国足球≠中国足球国家队,中国 足球 中国 足球 国家队
国足垃圾的原因很多，其中一条就是所有重心都放在国家队上而几乎完全放弃了基层建设,垃圾 原因 国家队
广场舞大妈怎么了街舞街舞，最早本来就是街头舞，迈克杰克逊的舞也是街舞一种，只要跳的好怎么不能伴舞了这话里话外还是一股子贵族游戏只有贵族才能玩，普通人踢足球那是踢皮球，贵族踢皮球那是倒挂金钩,广场 大妈 街舞 街舞 杰克逊 街舞 贵族 游戏 贵族 普通人 踢足球 踢皮球 贵族 踢皮球
村超是全民健身的体现，走得就是一个全民参与的路线，它和中超不是一个路线。,全民 全民 路线 路线
村超的背景是地方政府盘活经济的一环，足协都没资格插手，唯一的主管部门当地文体局都得配合当地政府办好赛事，组织好后勤，本质上跟是不是足球比赛关系都不大，不是谁想指手画脚都可以的,背景 地方 政府 经济 资格 主管部门 文体局 当地政府 赛事 后勤 本质 足球比赛 关系
开始了，足协开始出手下辫子。,辫子
董路就是来探路的，如果网上反应不够激烈，那么接下来就是各路主开始找茬。,董路 探路
接着呢，开始发布中超各级别联赛剪辑视频，说什么什么球队赢了，什么什么人怎么进球，中超怎么怎么样。,剪辑 视频 球队 进球
南美贫民窟里玩泥巴的小朋友足球，比广场舞还吧这就是运动本身，这是游戏，这是纯粹的快乐。,南美 贫民窟 泥巴 小朋友 足球 广场 游戏
不可能，绝对不可能一边说足球环境不好没人踢球，一边说踢球爱好者于足球发展没有任何好处。这是绝对不可能的。,足球 环境 踢球 踢球 爱好者 足球
给迈克尔杰克逊伴舞这我不关心，我关心的是迈克尔杰克逊当初是向哪个专业机构学习的舞蹈来着,杰克逊 关心 关心 杰克逊 专业 机构 舞蹈
先跟中冠队掰掰手腕验验成色。现在没钱人踢球有几个翻身的家长有几个愿意赌未来的让踢球的人大多是有钱人的孩子这没毛病。足球基础跟想要成绩的球迷不是一帮人,冠队 手腕 成色 踢球 家长 踢球 有钱人 孩子 毛病 足球 基础 成绩 球迷 一帮人
你送去喂海鲜，年薪几千上亿，也不能到梅西对面踢球,海鲜 年薪 梅西 对面 踢球
董路站在国足那边疯了,董路 国足
西方足球队有点历史的最初都是从民间自发组队开始的。村超如果能全国多点开花，不被资本强行拔苗助长，搞个几十年，也能达到欧洲目前俱乐部水平。,足球队 历史 民间 组队 全国 开花 资本 欧洲 俱乐部 水平
典型的功利足球的代言者，只盯着奖杯和名次，忘记了足球运动本来就应该是走近大众给人带来快乐，和足协那帮蛀虫是一丘之貉，鉴定完毕,典型 功利 足球 代言 奖杯 名次 足球运动 大众 蛀虫
确实蹭热度。,热度
人家踢球锻炼身体他什么,踢球 锻炼身体
业余的没办法和职业对比这是事实但是不排除也业余队里也有好苗子也有明星球员为啥被董路蹭热度说没成绩因为动了董路的蛋糕了如果人人都有这种环境董路的培训机构就没学员了这才是重点,业余 办法 职业 事实 业余 队里 苗子 明星 球员 董路 热度 成绩 董路 蛋糕 环境 董路 机构 学员 重点
贵州村体育模式加油,贵州 模式
他解说足球像德云社，有收视率我拿10万块钱,足球 德云社 收视率
瘪犊子网红又扯犊子啦,犊子 网红 犊子
一个恶奴狗腿子在替它的主子叫,恶奴 狗腿子 主子
贵州的村超为什么能火起来，还不是因为中国足球拉跨，中国球迷基数又大，大家对足球的热情总要找个地方释放吧。很多人说村超球队能踢中国职业球队，当然这肯定是在嘲讽中国足球，董路这么激动估计也是这个原因..但中国足球难道不该被嘲讽吗一滩烂泥…干啥啥不行，吃海参第一名,贵州 能火 中国 足球 中国 球迷 基数 足球 热情 地方 球队 中国 职业 球队 中国 足球 董路 原因 中国 足球 烂泥 海参
不给我评论真那么厉害李教练被查他上司被查董路是谁他又是谁,评论 上司 董路
董路这些话喷的是村超他这不是在喷那群不关注足球但是喜欢无脑黑“海参队”，看到村超一顿乱吹然后转头来踩职业足球的人,董路 足球 无脑 海参 职业 足球
对当地民生，有好处，其他重要吗不喜欢的可以走远点，喜欢的可以走近点，都不要自以为是。,民生
国足现在能给谁伴舞了还是什么地，村超能给人们带来热情，开心，放松。国足在这么搞下去能影响国人的寿命是真的，人家年年办的，吃你家大米还是咋了，现在的国足在这么踢个10年8年，全民对这个运动没任何兴趣了，你拿个大力神杯回来，还不如菜市场买两斤猪肉加菜高兴，争光?,热情 国足 国人 寿命 国足 全民 兴趣 大力神杯 菜市场 猪肉 争光
教科书般的自媒体剪辑造谣,教科书 媒体 剪辑
自媒体为了流量可真能断章取义,媒体 流量
更多的村超之流的业余实力才能让你们这些专业团队发展的更好。如果完全没有村超这种业余组织，那你们那些专业团队也没啥存在的必要。,业余 实力 专业 团队 业余 专业 团队
村超是一群热爱足球的人聚在一起的圈子。中国联赛是一群只知道钱毫无底线的人在一起的圈子。董路?什么玩意儿。只有真正让热爱足球的人越来越多，中国足球才有进步的可能。不能让足协一家独大，不然只会永远在退步,足球 圈子 中国 底线 圈子 董路 玩意儿 足球 中国 足球
那么董路对足球好像也没贡献,董路 足球 贡献
董路不舔足协的话，他这批球员以后就没有机会，老外都知道中国足协太腐败了，老百姓才会自谋出路，老百姓都在关注村超唾弃足协国足已经说明问题了，中国真的不适合足球,董路 球员 机会 老外 中国足协 腐败 老百姓 老百姓 中国 足球
赚不到这个钱不请他解说就阴阳怪气嘲讽平民化，把足球搞得不近平民高高在上的贵族化很好国足贵族化了成绩就上去了吗村级赛事就把这些人吃相难看暴露出来，和足邪一样都想伸手过来捞钱的醋生,平民化 足球 平民 贵族化 国足 贵族化 成绩 村级 赛事 醋生
以前说中国足球不行，专家解释说咱们没有足球群众基础，现在群众参与进来了，又说跟跳广场舞一样，董路这人，恰流量罢了,中国 足球 专家 足球 群众 基础 群众 广场 董路 流量
丑哔董建构多作怪，瞎嚷嚷之前先滚回小学去学学育这个字什么意思,哔董 建构 小学 学学
这回扫黑没有把这董汉奸扫进去，确实不可思议它带到西班牙去的足球小将，每一个孩子家里都出了大钱的，有些甚至于倾家荡产现在这敏感时期不回国，无非就是心里有鬼,汉奸 西班牙 足球 小将 孩子 大钱 敏感时期 回国 有鬼
这个是什么小丑啊,小丑
大妈能给周星驰演电影,大妈 周星驰 电影
现在这样的视频环境，耳听为虚，眼见亦是,视频 环境 眼见
置顶兄弟们，评论区留下卡卡给你留下最经典的记忆吧。,置顶 兄弟 评论 经典 记忆
金嗓子代言人,金嗓子 代言人
印象最深的么那兄弟我可就不客气了，卡卡罗、卡卡舍瓦、卡卡内斯塔。。。,印象 兄弟 客气
看到其他小姑娘，我会夸她漂亮，可爱，温柔，知书达礼。但看到踢球的小女孩，我会敬佩她们。她们或许皮肤不白皙，也没有卡姿兰大眼睛，甚至也没有漂亮的妆容。但，她们身上有一股不服输，不低头的劲头。。这是一般人不具备的。多年以后，她们或许不会走上职业足球这条路，但希望在她们觉得生活困苦的时候，能想到当年的她，不顾一切，奋勇向前，虽败而不悔。。,小姑娘 我会 知书达礼 踢球 小女孩 我会 敬佩 皮肤 白皙 卡姿 兰大 眼睛 妆容 低头 劲头 职业 足球 条路 困苦
卡卡和梅西，天壤之别。,梅西
08:08 强吃防守队员，有点当年强吃梅西那球的感觉了,队员 梅西 感觉
2010年被红牌罚下后一开始还在无奈的笑，走到场下后边走边哭......,红牌
参与这活动不比看腐朽的中超和国足苟延残喘更有意思，也更有意义,中超和国
居然没有一个喜欢大罗的，大罗是足球之神不知道吗,大罗 大罗 足球
这人是全英国人的一场噩梦,英国人 噩梦
有那么一次……欧冠……四强里三支英超球队 而且气势如虹 眼看几乎捧杯了……活活被卡卡带领的米兰给硬摘了桃子了,欧冠 英超 球队 米兰 桃子
……………………………一路过之荷兰队球迷,荷兰队 球迷
卡卡也是出息了，都能和娜姐合照了,和娜姐
说的最好的就是，中国足球最纯粹的地方，无论在哪，脱离了本质就没有意义，希望足球是足球，运动是运动，愿腐败远离和谐社会,中国 足球 地方 本质 意义 足球 足球 腐败
卡卡穿的还是当年的那双猎鹰,猎鹰
甩开海因策的那个画面，真....太帅了。,海因策 画面 太帅
中学的时候，同学里喜欢卡卡的太多了， 那会书包上贴米兰的 路上随处见  真的又帅踢得又好 性格也不错,中学 同学 书包 米兰 性格
我踏马直接一键三连，贵州村超，踢球讲究的就是一个快乐，贵州村超让我看到了纯粹的美好，同样看到的是中国当代人的积极乐观向上风雨彩虹，铿锵玫瑰，历史是曲折的前进和螺旋式的上升，贵州榕江一定能走得更高更远，中国也一定能飞向星辰大海非常感谢主的全力制作也希望主前程万里迈向星辰大海有机会我也想去贵州榕江，亲自感受当地的魅力,一键 贵州 踢球 贵州 中国 当代人 风雨 彩虹 玫瑰 历史 螺旋式 贵州 榕江 中国 星辰 大海 星辰 大海 机会 贵州 榕江 魅力
榕江的椪柑是真好吃,榕江
卡卡真好，来了中国好多次，肉眼可见的友好，我爱卡卡。,中国 肉眼
这你不给卡卡讲讲哟西是怎回事让他感受一下中国球迷的热情与包容,中国 球迷 热情
为什么村超这么火，因为实在是没有其他任何办法玩足球了,办法 足球
辣姐太娜了,辣姐
欧冠决赛看看,欧冠 决赛
卡卡真是么得足球初恋,足球
有点感动，原来足球还在,足球
银鞍照白马飒沓如流星,银鞍照 白马 流星
卡卡，球王看的都摇头，这合同签的太多了卡卡卡卡卡卡大帅逼,球王 大帅
雨夜斩红魔和伊斯坦布尔,红魔
《汽车区主》,汽车 区主
卡卡多来中国,中国
有娜姐锦鲤加持就是不一样,有娜姐 锦鲤
能帅一辈子的男人。,能帅 男人
一样的猎鹰，一样的远射死角，一样的精准直塞，一样的从人缝里把自己和足球一起带过去。,猎鹰 死角 精准 直塞 缝里 足球
现在30岁以上的还有很多高频看球的兄弟吗反正我现在是只看下国家队世界大赛和国足重要比赛，俱乐部赛事不咋看了，可能热爱已经远去，我今年31,看球 兄弟 国家队 世界大赛 国足 俱乐部 赛事
好羨慕卡卡愛好的東西有天賦變成其職業也可以靠他賺取財富,東西 天賦 職業 財富
卡卡王涛的玩物罢了,王涛 玩物
想起了我以前踢球的样子，我参加高中校队成绩一般，大学参加院队杯总是第三，最后大四快毕业的时候终于拿了冠军，我身披十号，几乎踢满每一场比赛。我现在已经工作七年，最近还失业了，结尾想起的这首那些花儿让我一下泪目，当时踢球的日子是那样纯粹美好,踢球 样子 校队 成绩 大学 院队 毕业 冠军 失业 结尾 花儿 泪目 踢球 日子
那必须是客场对曼联一条龙,客场 曼联
谁敢说这个不会出现下一个张琳艳呢,张琳艳
牛蛙,牛蛙
据说是天下和地上最好的足球节目,足球 节目
速度、技术、人品、外貌的完美结合，......,速度 技术 人品 外貌
这地方还有高铁,地方 高铁
还是米兰的卡卡最帅,米兰 最帅
排面啊,排面
米兰足球协会米兰诺国际足球俱乐部,米兰 足球 协会 米兰 国际足球 俱乐部
什么时候这些明星是自愿来而不是花钱来的，才说明问题,明星 花钱
这期节目质量真高,节目 质量
看车看球又看美女，关注这个主太赚了,看球 美女 主太
我擦  你厉害了  卡卡 最爱的球星,球星
希望踢球带来快乐 而不是改变命运，功利性的足球永远走不远,踢球 改变命运 功利性 足球
卡佩罗永存,卡佩罗 永存
那些说防守不行的，你上你敢铲卡卡吗赔不死你，象征性上点身体得了，再怎么说都是业余球员兴趣为主,象征性 身体 业余 球员 兴趣
会几种语言啊,语言
卡卡签了合约没有合约内容是什么,合约 合约 内容
足球区,足球
辣姐我是你老粉丝了看了你十年了,辣姐 粉丝
《不输英超》,英超
卡卡英文挺好的啊，哪里学的,英文
老帅哥,帅哥
娜姐要去看欧冠决赛吗,欧冠 决赛
若干年前微信头像用过米兰时期，卡卡脱衣“我是上帝之子”,头像 米兰 时期 上帝
卡卡越长越像泰坦尼克里那个卡尔了,越长越 泰坦尼克
圣诞树阵容,圣诞树 阵容
娜姐应该问他能不能收徒教热苏斯射门啊,收徒 教热 苏斯 射门
好儿子代表英超,儿子 代表 英超
八强时候我就猜多特会是黑马进决赛，果然进了，今年我押一手多特冠军,八强 黑马 决赛 冠军
同样是超巨，反观,反观
皇马迷留，可惜伤病了，对他保着一己之力帮助木兰登上欧洲之巅的期望,皇马 伤病 木兰 欧洲
村超这种活动太棒了，缓解压力又能培养社区足球文化。,太棒了 压力 社区 足球 文化
卡子现在的颜值和巅峰的我不相上下,卡子 颜值 巅峰
卡卡童话里的王子,童话 王子
足坛的谦谦君子卡卡。,足坛
卡卡太帅了  不愧是比我巅峰颜值还高的男人,太帅 巅峰 颜值 男人
再说一遍 我心中最好的足球,足球
我第一次看卡卡还是世青赛的时候，那时候率领巴西夺冠好像，,世青赛 巴西
娜姐排面,排面
搞足球营销可是花了血本儿了,足球 血本
卡配罗女孩集合了,卡配罗 女孩
陌上人如玉，公子世无双,如玉 公子
村超是请不起球王吗,球王
01:48    辣妹，赶紧对我狠狠地，多多的套圈我最喜欢你的圈套,辣妹 套圈 圈套
印象深刻的还是广西金嗓子,印象 广西 金嗓子
可惜，一个是沉没成本太高，一个是他们不敢这么干,成本
村超最大的意义就是让足球回到他本来的样子,意义 足球 样子
其实变相碰了，小圈子便于控制。村超火，喜欢踢球的人多了，那么圈子变大，有能力的容易出来上来，那么没能力靠钱进球队拿高额收益的就会变难，这条产业链上的人不愿意放手就要黑。（比如：球队中间人两头拿钱，把能力凑合但是给钱的送进球队，把能力强的刷掉，再比如这样进来的球员 想保住这么好的饭碗肯定也不想踢球厉害的变多，之前铁子 入国足刷成就提高工资不就这个道理）圈子越大，能力差的就越容易被发现，那么这种捞取利益的方式就越难，所以一些既得利益者就各种喊不好。因为目前职业联赛中很多这类人要的不是中国足球好，要的是自己安稳赚大钱。,小圈子 踢球 圈子 能力 能力 球队 高额 收益 产业链 球队 中间人 能力 球队 能力 球员 饭碗 踢球 铁子 入国 成就 道理 圈子 能力差 利益 方式 既得利益者 职业联赛 类人 中国 足球
国足招安村超,招安
和柏林联合有点像,柏林
而且真正期待和感叹中国足球未来的，为何贵州自身的青少年足球比赛却没人看呢说到未来，孩子才是未来不是吗甚至连直播渠道都没有，村超的存在可以提高贵州当地农村孩子对于足球的兴趣这一点是值得肯定的，但是贵州当地青少年足球联赛却没人关注和宣传却又很让人不解,中国 足球 贵州 青少年 足球比赛 孩子 渠道 贵州 农村 孩子 足球 兴趣 贵州 青少年 足球联赛
所以说有些网友不要总是瞎传一些不着调的话，真把节奏带起来可能本来不会叫停的，到最后真被叫停了,网友 节奏
哎，有人自己被资本异化了还不够，还总用自己那套去评价别人。,资本 异化 评价
足球，咱就是喜欢才去踢，赚多少钱，本就不是足球的目的，中国足球坏就坏在，目的变成了赚钱。,足球 足球 目的 中国 足球 目的
这么多精壮的汉子聚在一起还得了,汉子
之前还在当老师那段时间，有一次在课间拿着手机看一些足球咨询，有个学生围上来看我看什么（学生做总喜欢这样还喜欢指点两句）。,老师 段时间 课间 手机 足球 学生 学生 指点
看到我在看球之后道：老师你还看足球啊你赌球赚了多少,看球 老师 足球 赌球
我一愣道：我不赌球。,赌球
学生：不可能，哪有看足球不赌球的。,学生 足球 赌球
有一说一  中国就不该存在这么牛笔的赛事   都去踢球了  谁去工作啊,中国 牛笔 赛事 踢球
纯粹个。天天除了广告就宣传,广告
中国踢球你踢得起动动扭扭几万块，洗洗睡吧，了解下青训费用再来发视频，更别说要踢上去了，不塞钱想要往上想多了吧,中国 踢球 青训 费用 视频
董路批评的是某些自以为中国足球的未来在自娱自乐的联赛，根本没有说蛋糕不蛋糕的事情。中国人的理解水平对得起国足的水平,董路 中国 足球 自娱自乐 蛋糕 蛋糕 事情 中国 水平 国足 水平
只要没在足协注册过，足协就没权利干涉,权利
业余的比专业的名声厉害，你让专业吃饭的脸往哪放其二是看不得别人好呗，你这一火以后别人都找你不找我我吃什么都说断人财路犹如杀人父母，能干净到哪，这不就动人蛋糕了，还真是应网友说的了我好不了你也不能好,业余 专业 名声 专业 财路 杀人 父母 动人 蛋糕 网友
中超管个屁，第一，村超就像是另一个“淄博现象”，当地政府还想搞旅游和招商引资，谁敢动当地政府跟他急。第二，少数民族，自治州，你中超什么级别，破坏民族团结这顶大帽子能担得起不。,淄博 现象 当地政府 招商引资 敢动 当地政府 少数民族 自治州 级别 民族团结 大帽子
我就想看他们为了足球积极敢打敢拼的样子，而不是像吃了海参的蛄蛹者,足球 样子 海参
我想如果要大力发展中国足球，还得先从小孩做起，为什么呢，因为，让那些抵制游戏的答辩家长从这个世界上消失，这样的话，就能大力发展中国足球。,大力发展 中国 足球 小孩 游戏 家长 世界 消失 大力发展 中国 足球
对足球行业的敬畏是战绩赢来的，我办个村乒超里面球员各种神仙操作也不可能影响到对国乒的敬畏,足球 行业 敬畏 战绩 球员 神仙 敬畏
任何东西只要有政治和资本参祸就变了味。,东西 政治 资本 参祸
全世界都知道它烂，但就是拿它没办法,全世界 办法
男足拉胯 不包含女足,男足 女足
我觉得看完村超后，估计大伙都不愿意看中超了吧,大伙
村超没动人家蛋糕，但是把人家吃饭的桌子掀了。,蛋糕 桌子
都发展多少年了，裁判都与皮球合二为一，这种协会都没什么用，都是资本家的蛋糕而已，什么火了就搞什么，什么都要管，什么都没用，看着很想笑,皮球 协会 资本家 蛋糕
动了谁的蛋糕难道第一个不是卖海参的吗,蛋糕 海参
职业的让人失去兴趣 业余的让人拾取兴趣,职业 兴趣 业余 兴趣
万一村超都比国足厉害的话，那叫国足怎么办，拿着几百万、几千万的年薪，踢不赢村超就糗大了。。,国足 国足 年薪
因为扒了国足的底裤,国足 底裤
自从闫世泽说中国足球杀无赦斩立决后，我很多年没有看中国足球了，现在有兴趣看看和资本无关的足球了,世泽 中国 足球 中国 足球 兴趣 资本 足球
"国足能吊打他们,主给国足贴金呢。当我没看过国足啊,那就是一堆烂泥.",国足能 国足 贴金 烂泥
大家还是很喜欢户外运动的，人家有那个场地有那个氛围和能力，相关单位不帮忙也不要起反面作业。,户外运动 氛围 能力 单位 作业
这个赛事好久以前就开始搞了，并不是一夜爆红的，最多是从侧面体现出足球运动员的选拔标准存在很大的问题，当然啦，他们也不会听也不会改,赛事 足球 运动员 标准
足协是要禁止民间足球吗禁止无证踢球吗,民间 足球 踢球
国足吊打村超你就问问国足感应战不,问问
只要你玩的火热，就没有他们不插手的。借口多了去了，别看他们干不好，但是给你搅和黄了一点问题都没有。,火热 借口
真想叫停村超，信不信有100种方法而且还和足协无关。,方法
中国的梅西是工地班砖的，我国的罗是开挖机的,中国 梅西 工地 班砖
每个省其实都可以搞这种业余联赛 只要政府大力支持  怎么都会出几个 国家队主力对不,业余 政府 大力支持 国家队 主力
中超狗都不看，那么垃圾还有踢假球的,垃圾 假球
啥匹从来不干人事,人事
最后一段就说错了，你说那些都是要花时间的，是发展起来了对未来好。未来关它们什么事，它们只想现在的块钱,时间 块钱
如果真的不想让坏人来动蛋糕，那就不要继续瞎吹了，让他保持在“有蛋糕，但是不多”的状态，然后遍地开花才是最好的。蛋糕不多，但是遍地都是才会让大资本获得不到足够的利益，自然也就不会吸引他们来了。,坏人 蛋糕 蛋糕 状态 蛋糕 资本 利益
能造村超的谣高低是一天吃10斤海参把脑子吃坏的大吧。大家觉得对吗,能造村 海参 脑子
关键是村超踢的跟世界杯似的，足协面子挂不住了。整天吃海参的踢不过下面吃草的，他能不来捣乱嘛,关键 世界杯 面子 海参
现任民间原住民足协 打脸之后必须打压，借鉴京都球侠的结局。。。,现任 民间 原住民 京都 球侠 结局
我不讨厌足球，但是也不关注足球，我喜欢看球场上和球场外的奇葩事。所以关注主也是国足暴丑闻后想看看都有多少事。我也没看过整场的村超比赛。但是看新闻报道里气氛特别好，这个气氛我喜欢，就是热闹。乡村也可以通过体育像村超 村等运动来振兴乡村发展。就振兴乡村发展这一点，谁敢叫停,足球 足球 球场上 球场 奇葩 国足暴 丑闻 整场 新闻报道 气氛 气氛 乡村 乡村 乡村
国服不服那就来一场证明自己呀,证明
纠正一下，国足来了也不一定能吊打他们，毕竟有先例，国足被某不知名三线球队暴打，这些人也是业余的,先例 国足 球队 业余
让球鞋和砖家都去死吧，敢来村超瞎逼逼，我就去尼玛的老百姓自娱自乐也让你们不安了你们死不死啊,球鞋 砖家 去死吧 老百姓 自娱自乐
葫芦娃我给你说一下虽然我没关注你，但是我也在看你的视频，现在的最主要事情就是不要让有些球盲去吹，去网上造谣是最主要，最近很球盲都在说村超比中超强，你应该出一期这个讲明白这个事最近这个很乱。,葫芦娃 视频 事情 球盲 明白
还在买中超门票的 别买了 恶心一波足协,门票 恶心
群众喜爱的，它们就要反对，它们是什么成分,群众 成分
你这话说的，要是一大群1000人+的大爷大妈组织广场舞村舞，那不也没问题吗可问题就在于会影响其他百姓日常生活和日常生产，不论那一种规模化的活动都要进行报备和得力的组织，村超现有的问题就不少，没有一定程度的安保措施，没有合法合规的报备申请，没有得力专业的组织筹划等等，相关运动协会就该插手整改，以免歪风邪气带坏啦整个运动的发展，让专业人士来领导赛事不断进步发展，要不然就会像游泳一样，不少年轻人在无专业指导和安保下游泳出现溺亡事件。,大爷 大妈 广场 舞村 百姓 规模化 程度 安保 措施 合法 专业 筹划 协会 专业人士 领导 赛事 年轻人 专业 指导 安保 事件
看着大蛋糕吃不着才是最难受的,蛋糕
蛋糕不蛋糕的无所谓，不差钱不差钱不差钱,蛋糕 蛋糕 差钱 差钱 差钱
打脸啊，打脸了打脸了重要的事情说三遍,事情
迈着锅台上炕，无视啊无视啊无视,锅台
同样是村超，上次村姚明都去看了，到了足球怎么就这么别扭呢。,姚明 足球
谁难道乒乓球嘛,乒乓球
足球场能做体操，能跳广场舞，能玩飞盘，怎么着唯独不能踢球是吧除非对中国足球有帮助才能踢是吧,足球场 体操 广场 飞盘 踢球 中国 足球
其实，看球的人都知道，村超模式就是最简单，最有效的足球管理模式，这种最纯粹的足球是中国足球没有的，所以，村超动了谁的蛋糕不言而喻了,看球 模式 足球 足球 中国 足球 蛋糕
这个自行组织的跳广场舞不类似吗，挺好的,广场
在贵州旅游，明天去看看啊,贵州
你不去动它，不代表它未来不动你。,代表
足协指导思想出问题，后续发展政策就跟着出问题。村超，带来的是应该是反思我们现在政策，而绝不是引来骂战，也绝不是干扰了中超，高水平的竞技何惧地方自发比赛。,指导思想 政策 政策 高水平 竞技 地方
又不打职业联赛，就是乡里乡亲的兴趣爱好图个乐呵。动谁的蛋糕了影响国足的吃海参了吗专业的少管业余的事。,职业联赛 乡里乡亲 蛋糕 国足 海参 专业 少管 业余
村超还真有可能归地方足协管，毕竟足球赛事需要报备，并不是说你想办就办，不然场地怎么会批给你,地方 足球赛事
那群吊人就得贺老总来治,吊人 老总
没有盘口就是最纯粹的足球,足球
喜欢踢球，能有时间踢球，就很好了,踢球 时间 踢球
感觉会像淄博一样，一大堆抖音网红去蹭流量，干扰别人正常生活,感觉 淄博 音网 流量
站葫芦超可以搞一搞，第一名葫芦娃现场转圈,葫芦 葫芦娃 现场 转圈
真正可怕的是一些网络吸血鬼，,网络 吸血鬼
大家还记得小马云拉面哥这些人吗，被捧红，然后招苍蝇，最后的下场是腐臭，运气好的回归原来的正常生活，不好的像某反诈民警似的；,小马 拉面 苍蝇 下场 腐臭 运气 民警
我是天津人，常年在华北华东跑，山东是我最喜欢的省份，高速宽阔，人民热情淳朴，突然淄博火了，我就开始担心，我担心爆火之后像拉面哥小马云一样先被捧上天，然后跌落万丈悬崖，虽然现在淄博还是很火也没有暴雷，可我还是很悲观；,天津人 华北 华东 山东 省份 热情 淄博 拉面 小马 悬崖 淄博 暴雷
村超也是如此，明明就是大家自娱自乐踢踢球玩一玩聚一聚，引来了太多的蛀虫测热度，有的捧上天有的骂成屎，这些人会让一些不是很有分辨能力的人被带节奏，最后挺好的一个活动挺好的事情变了味儿。,自娱自乐 踢踢球 聚一聚 蛀虫 热度 人会 能力 节奏 事情 味儿
足球本来面目是使人快乐，消遣娱乐，不是勾心斗角的利益.,足球 利益
哪砖家就是来蹭流量的,砖家 流量
现在也逐渐没热度了，前段时间一直在吹，拿着村超贬低国足本来挺好的，非要搞对立,热度 前段时间
球鞋什么东西，没听说过，听起来就不是正规组织  ，估计也是一群没用的东西 。,球鞋 东西 东西
非法集会,集会
一年几百几千万的海参，你说呢,海参
看我，动你蛋糕,蛋糕
"踢的水平好不好职业不职业倒是其次，最重要的是通过这种活动让更多的人民群众喜欢足球，只有激发热情，中国足球才有可能出现""梅西""""罗""",水平 职业 职业 群众 足球 热情 中国 足球 梅西
说什么消防安全问题的，这不是搞笑吗人家现场这么多警察同志和各类医疗卫生保障点，连摊位都是有序规范的摆放的，这是在找理由和借口打压村超，人家村超经过当地政府同意自己办自己的活动，展示文化风俗，一不犯法二不违规的，凭什么要叫停,现场 同志 医疗卫生 摊位 有序 规范 理由 借口 当地政府 文化 风俗
中超:没钱。冷板凳都不给你坐,冷板凳
娃大七,娃大七
运动员的激情投入与热血拼搏永远才是运动竞技好看的地方，否则除了各项运动最高殿堂的比赛不会有人要看。你支持中超的原因可能各式各样都正常，但你绝对没资格批评村超，因为中超也不是世界最牛的足球比赛。你羞辱他们技术不好，又何尝不是在羞辱自己,运动员 激情 热血 竞技 地方 殿堂 原因 资格 世界 足球比赛 技术
失去敬畏没毛病，一直以为天天吃海参才能踢足球，原来不吃也能踢，还踢的很好。,敬畏 毛病 海参 踢足球
玩什么不好偏玩这个竞技体育是精神鸦片，是西方精英集团拿来麻醉穷人的，让穷鬼有事干，别闹事，难道我们要麻醉自己的人民吗,竞技 精神 鸦片 精英 集团 麻醉 穷人 穷鬼 麻醉
好些某专家不懂在贵州，这种人数规模的斗牛比赛也很多，怕他们说我们影响对世界斗牛文化的认识，哈哈,专家 贵州 人数 规模 斗牛 世界 斗牛 文化
之前谁得利、谁觉得被掀开那层布的，他们和他们的合作“方”的意愿最大。还有可能是国境外面伸进来的“手”,意愿 国境
中国足球的希望贵州村超中足走一边去,中国 足球 贵州
葫芦娃吹牛逼 村子超水平绝对国足国足,葫芦娃 吹牛 村子 超水平 国足国足
我觉得这里面被推崇的是体育精神，即使球技差点，水平低点，只要认真去热爱这门体育运动，为这项运动去努力突破自己的极限，不管他们是不是真的具有职业那样的水平。而现在中国足协是什么样子的，腐败赌球层出不穷，运动员丧尸了体育精神，这些都是资本导致的。请让一门体育运动成为纯粹的体育运动，而不是成为资本家捞钱的手段，纯净体育胜过当前的“职业体育”。,体育精神 球技 差点 水平 低点 体育运动 职业 水平 中国足协 样子 腐败 赌球 运动员 丧尸 体育精神 资本 体育运动 体育运动 资本家 手段 职业
建议取消村超，因为村超水平高有点打国足的脸，国足的脸肿了后，脸大了被骂就埋不进屎坑里了,建议 超水平 国足 脸肿 坑里
就怕同行衬托,衬托
为了拉动消费已经无所不用其极了……，连农村都不打算放过,农村
支持足协滚蛋,滚蛋
不听我的，不让我赚钱，我就不让你踢球，更别说锻炼身体，,踢球 锻炼身体
虽然你不信，但是，能踢球的，就是在民间，现在那些职业的，都是靠关系进去的，首先，中国从来没有大规模的招收过足球运动员，其次，足球运动员，应该是常年招收，但是，你看到哪个正规球队，俱乐部招过球员特么的一句好话都没有，就把人赶出来了,踢球 民间 职业 关系 中国 足球 运动员 足球 运动员 球队 俱乐部 球员
村超本质就是大家聚一起开心 没有商业的铜臭味 真正的实践了发展体育运动 增强人民体质  现在的社会气氛就是商业利益太重 连发展体育是为了提高普通老百姓的体魄的根本目的都忘记了（教育行业也差不多要挂这上面了）,本质 商业 铜臭味 体育运动 体质 社会 气氛 商业利益 太重 老百姓 体魄 目的 行业
吃蛋糕的人早喂饱3代了，人家不在乎了,蛋糕
逆反倒伐足协，从下而上重新建立中国足球,中国 足球
不是已经发红头文件要去村超调研了吗，第三者插足,红头文件 第三者
最不敬畏的恰恰是国足,敬畏 国足
为了流量啥话都敢说哈，你可以只剪村超,流量
