content,class,fenci
如果你还有想冲上去的勇气，那就去吧，,不良示范,冲上去 勇气
世界本来就不公平。但是视频里的年轻人也不是每个出生都自带主角光环。如果你想活成他们的样子，那么请去做。而不是坐在电脑屏幕前奋斗不过三天，热血透不过键盘。什么是后浪？我觉得并不是有钱有资本才是后浪，我们的资本就是年轻。虽然整部片子全部都是光鲜亮丽的东西。我觉得这没什么不好。我们总要有一个为之奋斗的目标。敢于拼搏奋斗的才可以叫做后浪。至于那些一直抱怨这社会不公或者别人就是比自己强，我想那些人他们永远都是不会成功的,相对剥夺,世界 公平 视频 年轻人 出生 自带 主角 光环 活成 样子 坐在 奋斗 热血 透不过 键盘 后浪 有钱 资本 后浪 资本 年轻 整部 片子 全部都是 奋斗 目标 拼搏 奋斗 后浪 抱怨 社会 不公 成功
回复  :我不高尚，也还没有活成那样子...我想说，一个人是有能力的，其实注定不能每个人都很有能力（能力是比较出来的），爱好不是成为能力的理由，资源有限，竞争少不了。能调整心态幸福生活也是一种能力，只能说《后浪》理想但缺乏共鸣，很多人觉得年轻人没有冲劲青春了，也害怕下一代满口脏话，但是人的本质是错误性（非理性），追求美好不需要理由！回过头想，我也还没成为前浪，继续努力！加油！我要做后浪。对不起，有点键盘侠了，我又自我过头，后面是自说自话不要介意,不良示范,回复 高尚 活成 样子 能力 注定 能力 能力 爱好 能力 理由 资源 有限 心态 能力 只能 后浪 理想 缺乏 共鸣 年轻人 冲劲 害怕 满口脏话 本质 错误 追求 美好 理由 回过 前浪 努力 加油 后浪 键盘 过头 介意
世界不公平才是常态，抱怨也无法改变，去做自己心中的自己，为了理想而活,相对剥夺,世界 公平 常态 抱怨 改变 理想
回复  :公平就是不公平，如果每个人都幸福的话，每个人都不幸福。,相对剥夺,回复 公平 公平 幸福 幸福
回复  :世界本来就不公平，所以社会要努力让这个世界变得更公平。而现在的这些所谓的公平是那些是那些先辈努力争取来的，我又凭什么抱怨世界不公平,相对剥夺,回复 世界 公平 社会 努力 世界 变得 公平 公平 先辈 抱怨 世界 公平
你所热爱的，就是你的生活,不良示范,热爱
感觉这栋楼里对成功的要求可真高，我觉得成功就是做到自己的最好，我是不可能跟一些富二代跟一些家庭条件比我好的人比，人家补习是一对一我是坐在一个补习班几十个人之中，但是我仍然可以考得比他们一些人好，我知道就算我成绩好了，将来工作时他们可以继承家业我要自己努力，但是我好歹也是在学习上赢了，况且谁又知道我是不是不可能比他们过得好呢。机会是留给有准备的人，人人都有机会让自己变得更好，如果就因为我家庭条件没别人好我就放弃了努力，那我什么都得不到。既然我的家庭条件使我什么东西都要靠自己拼，那比起不拼我更愿意选择去拼。,污名化,感觉 成功 成功 家庭 条件 补习 坐在 补习班 考得 成绩 继承 家业 努力 好歹 学习 机会 留给 机会 变得 家庭 条件 放弃 努力 得不到 家庭 条件 选择
世界本来就不公平,相对剥夺,世界 公平
回复  :就是的，某幻君，中国，花少北还有党妹和其他很多主本来就是普通人的，他们也是通过努力才得到今天的成果的啊,相对剥夺,回复 幻君 党妹 普通人 努力 成果
回复  :那您会怎么样？,相对剥夺,回复
14171：最新不高燃演讲，将奋进的力量展现的淋漓尽,其他,演讲 奋进 力量 展现 淋漓
人与人环境的差别是可以改变的，比如我现在才初二，我妈已经带我走过了日本和欧洲，还始终支持我，而我后桌的妈妈对她管控极其严格，有一次她获得了去北京参赛的机会，机票都寄来了，结果她妈不让她去，说浪费时间。这么大的环境差距，她还能考过我，凭的就是那一份努力，坚持！,不良示范,环境 改变 走过 支持 后桌 妈妈 了去 参赛 机会 机票 寄来 不让 浪费时间 环境 差距 考过 努力
哈哈哈哈，翻了半天评论终于找到真实的普通人了，站果然都是二代和大,相对剥夺,评论 找到 普通人
回复  :他们做了多少，你了解一下。用大多的弱小来否定自己应该吗？这是开放的时代，无论怎样都有努力的可能，无论如何都有发展的方向。不要用现在的平凡否定否定不平凡的路。,不良示范,回复 弱小 否定 开放 时代 努力 方向 平凡 否定 否定 平凡
回复  :对啊，多的是农村上北大的 咋就不是那些人呢,不良示范,回复 农村
回复 @--烧 :20几岁  才大学毕业    而且视频里面还有十几岁   他们所享受的生活干的事情   需要的资金你读书打零工可以支撑  ？中国有多少人连飞机都没做过  视频里面的生活是家境优越的人才能享受的   吐槽什么你都没搞清楚   视频里面的就是家境优越的人   享受生活   恰恰和你举得列子相反  吐槽这个的希望后浪该加一些边防官兵和努力拼搏的普通人  不是全是那些家境优越的人  再说不用提什么我朋友创业什么什么   搞设计什么什么   真的听着有点幼稚,相对剥夺,回复 大学毕业 视频 享受 事情 资金 读书 打零工 支撑 飞机 视频 家境 优越 人才 享受 视频 家境 优越 享受 举得 列子 希望 后浪 边防 官兵 努力 拼搏 普通人 家境 优越 不用 朋友 创业 幼稚
我们终究只是些普通人,相对剥夺,普通人
老哥 牛逼 ，看到你这句笑了 ,相对剥夺,老哥
哦………为了节目效果放了很多卓有成就的年轻人，但是，像我们这种大多数普通人满腔热血地看完了，顶多是三分钟热度，然后生活回归沉寂，因为这个视频突出的是已有成就的年轻人，而我们的声音依旧从未被听到过，我们的生活一定不是像他们那样的，一定是在平凡生活中像蜗牛一样一点点挪动的，所以，如果你看完了以后真的很激动，那就坚持努力下去，如果你没有感觉，我们不会像视频里的那样道德绑架你，做自己该做的就好了，生活总要继续，总有容身之所，加油。,相对剥夺,节目 效果 年轻人 普通人 看完 热度 回归 沉寂 视频 已有 成就 年轻人 声音 听到 平凡 蜗牛 挪动 激动 努力下去 感觉 视频 绑架 容身 加油
加油，伙计！,不良示范,加油 伙计
加油加油,不良示范,加油 加油
嗯，我梦想的很多东西都因为年轻时没有条件或者父母不同意放弃了，但是梦想一旦错过了就成为了不切实际的梦想了。再怎么喜欢骑游，最后也败给了时间，毕业之后自行车的链条就再也不需要上油了。,相对剥夺,梦想 年轻 条件 父母 放弃 梦想 错过 梦想 喜欢 骑游 败给 时间 毕业 自行车 链条 上油
加油吧，伙计！,不良示范,加油 伙计
你要加油啊,不良示范,加油
一起加油吧！,不良示范,加油
你要加油啊，你不是一个人💪,不良示范,加油
感觉看到了以后的自己，不管怎样加油吧,不良示范,感觉 加油
人生永远都不会晚，内心要向上呀。加油,不良示范,人生 内心 加油
现在的梦想，就只是和心爱的人，踏踏实实的过上安稳的日子。好好的做好自己这个人民教师的工作，有条件了就和心爱的人抚养一个孩子，然后开始为这样一个新生命操心。家庭，事业，作为一个普通人，把这两个方面权衡好，掌握好，就是最平凡的梦想了。小时候那些天马行空的梦想，终究是小时候的一个小小的梦想而已啦。,相对剥夺,梦想 心爱 安稳 日子 做好 教师 条件 心爱 抚养 孩子 操心 家庭 事业 普通人 平凡 梦想 小时候 天马行空 梦想 小时候 梦想
抱抱你 我要中考了 是浙江人 从小就被灌输好多好多 让我特别累的思想 我从二楼跳下去过 虽然不高 但也让我打了几个星期石膏 其实我这样选择并不是傻 不懂事 不懂得为家人着想 只是我真的活得太累了 那些我追逐的自然是自己的目标 不是别人强加给我的 但是我总是有很重的负担 从懂事起就喘不过气 总是会偷偷的哭 眼泪怎么都忍不住 五年级开始就抑郁症 一直坚持吃药 现在好很多了 再怎么样也要好好活下去啊陌生人 我们一起加油,不良示范,抱抱 思想 二楼 跳下去 石膏 选择 懂得 家人 着想 活得 追逐 目标 强加 很重 负担 懂事 眼泪 忍不住 吃药 陌生人 加油
回复  :现在的孩子确实压力比我们已经工作的这一代人当初更大，也没啥鸡汤能说的，加油吧，未来可能还有很多困难和痛苦，但是世界上大多数人都是和你一样的，千万不要被生活达到。,不良示范,回复 孩子 确实 压力 一代人 鸡汤 加油 困难 痛苦 世界
回复  :谢谢你 早就看得很透了 不管怎么样应该好好活着 人生就只有一次 快乐与不快乐都是自己决定的 生活什么的以后也不会打倒我的 你也加油呀,不良示范,回复 活着 人生 快乐 快乐 打倒 加油
加油大哥！没事，一切都会好的！,不良示范,加油 大哥 没事
我03年出生的，现在在读高中。本来家里的条件就不太好。一直听说现在社会竞争压力有多大，养家糊口有多难，最终都会放弃理想屈服于现实。于是就下了终身独身，不结婚，专心于自己理想的想法(当然有时还是会期待能遇见一个愿意与我一同奋斗的好姑娘)。但奈何社会阅历不足，不清楚我的想法是否有效，就想你请教一下在座各位已经踏上社会的前辈们。如果真的不结婚，是否能够稍微缓解理想与现实的冲突？是否能让自己的理想更有可能实现呢？,相对剥夺,出生 在读 条件 不太好 听说 社会 压力 放弃 理想 现实 就下 独身 结婚 专心 理想 想法 期待 遇见 奋斗 姑娘 奈何 社会 阅历 想法 请教 在座 踏上 社会 前辈 结婚 缓解 理想 现实 理想
加油，你的努力会让你的孩子或者孩子的孩子离梦想更近一步,不良示范,加油 努力 孩子 孩子 孩子 梦想
兄弟，加油！人生是一场马拉松，起点本就不同，何必自哀自怨。为自己的努力而喝彩吧，挺直腰杆，潇洒走一回,不良示范,兄弟 加油 人生 起点 自哀 自怨 努力 喝彩 挺直 腰杆
回复  :那要看你有多大的毅力能顶住不婚的压力，一般人都顶不住的，但是年轻就是好，有理想就尽力的去追吧。至少努力过，不会后悔，去过自己想过的生活，加油！已经给生活快磨碎了的大叔留。,不良示范,回复 毅力 顶住 不婚 压力 顶不住 年轻 理想 努力 后悔 加油 磨碎 大叔
一门深入，深入发现，在级熟悉喜欢的行业才能让自己变得了不起，你的问题将不再是问题。我在你这个年龄也是如此，后来有了机会对于别人是小变化相对于我来说是完全不一样了，我觉得你行，你已经在路上。早晚有一天你会把这些话说给10后加油,不良示范,发现 熟悉 喜欢 行业 变得 了不起 年龄 机会 加油
回复  :我也是03，你想的未来和我差不多，觉得学校里那些追求男友女友的人真的很无聊，让人费解，虽然我姑且算是个优秀的人，但我还是想要平凡的人生,相对剥夺,回复 学校 追求 男友 女友 无聊 费解 算是 优秀 想要 平凡 人生
其实我觉得后浪不一定要像视频里那样，这样的人太少了，其实后浪就是对生活充满希望，敢于探索敢于冒险的精神，和为了梦想付出一切不顾代价的品质，其实心里肯定还是不甘于臣服于生活与现实，或许不如从现在开始改变，忙里抽闲，把抽根烟的时间换成看书，把和家人吵架的时间换成温存，在家里养盆好养活的花，它开花的时候你会感到自豪的。梦想是伟大的却不一定要实现，实现梦想需要付出的不是每一个有家庭的普通人都能付的起的，但是就一小步，哪怕每天看书只有几页甚至几行，也是后浪的精神。再举点大人物的例子不太合适，但是真的是如此的，不如从今天开始改变。,相对剥夺,后浪 视频 后浪 探索 冒险 精神 梦想 付出 不顾 代价 品质 肯定 不甘 臣服于 现实 改变 抽闲 时间 换成 看书 家人 吵架 时间 换成 温存 养盆 开花 感到 自豪 梦想 梦想 付出 家庭 普通人 能付 看书 后浪 精神 大人物 例子 合适 改变
你也是后浪，你顾着一个家，没有家哪来的国，你也应该奔涌，把这个小家带领的欣欣向荣，也是在为国家贡献，加油，你这样的人🤪,不良示范,后浪 奔涌 小家 带领 国家 贡献 加油
回复  :加油，活着不难，这个社会还怕活不下去吗？是不是嘛,不良示范,回复 加油 活着 社会
先写作业，后浪,相对剥夺,作业 后浪
我是多么羡慕那些生在繁华地区的，或有足够多机会的，或家庭有足够支持的，或家庭足够完整美满，或那些根本不怕去试错的同龄人啊。我是真的羡慕啊。世界没有给我足够多的机会，我也没有力量去体验这个视屏中的那些人的人生，人与人终归是不同的。     我只能尽可能的去完成我现在能做的的事，毕竟就算我这样的人，也有我必须去做的事。那样的话，我大概可以看见我辈同龄中那些优秀的人的身影，故而。不虚此生。,污名化,羡慕 繁华 地区 足够 机会 家庭 足够 支持 家庭 足够 完整 美满 试错 同龄人 羡慕 世界 足够 机会 力量 体验 视屏 人生 终归是 只能 同龄 优秀 身影
加油哦！,不良示范,加油
没关系 你也可以努力 总有一天你也会完成自己想做的事 就算只有一件也是可以鼓舞到你的！加油(ง •̀_•́)ง,不良示范,努力 鼓舞 加油
每个人都有属于自己的能量场，去积极探索‭现发‬‬内在的真实，‭放释‬‬自己独有的能量，‭属于出活‬‬自己的‭赋天‬‬才华！相信自己很重要，加油哦,不良示范,能量 积极探索 现发 放释 独有 能量 加油
同感啊虽然只是高中生但我清楚我没有没有资本去试错，去探索     我甚至连坚持一个稍微昂贵的爱好（攀岩和乐器）都不可能也许未来只能平庸……第二个但：但这不是借口我也在努力，希望和你一起加油干杯！,不良示范,同感 资本 试错 探索 昂贵 爱好 乐器 只能 平庸 借口 努力 希望 加油 干杯
回复  :加油，干杯！努力做到最好的我们！,不良示范,回复 加油 干杯 努力做到
也许先天条件并不是所有人都是一样的，但是，我们也要做更好的，自己一起加油。,不良示范,条件 所有人 加油
白岩松不说过：不沉迷于过去，也不狂热地追求未来，痛并快乐着，这样就好。想必你已经看透了命运，不需要天真的加油助威，相信你自己，一步一步走下去吧,不良示范,狂热 追求 快乐 看透 命运 加油 助威
李子柒没有生活在繁华城市，最开始的她就是表现诗意田园，华农也是农村，站还有不少各个年龄段各个地方生活环境的人在这分享他们的生活见闻，而你只羡慕繁华大城市，人生价值不该只有一种，现代化城市也绝非所有人的终点,不良示范,繁华 表现 诗意 农村 年龄段 地方 环境 分享 见闻 羡慕 繁华 不该 所有人
世界本身就是不公平的 很难解决我们能做的 就只有做好自己该做的那一部分在生活的重压之下有能力抽出一部分时间去学习,相对剥夺,世界 公平 解决 做好 重压 能力 抽出 时间 学习
并不是每一个视频中的人家境都是非常好，而是有些人遇见了机遇将热爱变成事业，用努力去改变中午，不要在意现在怎么样，而要努力的去将自己变成想要的样子。加油！虽不是最优秀，但依然是中国不可或缺的。,不良示范,视频 家境 遇见 机遇 热爱 事业 努力 改变 在意 努力 想要 样子 加油 优秀
我们都是路上的追梦人，一起加油！,不良示范,追梦 加油
我很想说一句，可能我是个悲观主义者，“你们有了我们梦寐以求的权利—选择的权利”，难道看似选择越多就真的一定更好吗，选择难道不是另种形式的“被迫”？难道我们有了选择的自由对于个体就真的有了自由？我们身处讯息的时代，然而讯息不等同于知识，不等于智慧。我们真的不该反思一下那些摆在年轻人面前的选择，不带有着各种精英主义、消费主义、娱乐致死、偶像崇拜、人群对立、政治隐喻吗，我们如何在快速更迭的选择社会里保有独立思考能力更是我所关心与忌惮的。最后，我仍保持某种乐观。,相对剥夺,悲观主义 权利 选择 权利 看似 选择 选择 形式 选择 自由 个体 自由 讯息 时代 讯息 知识 等于 不该 反思 摆在 年轻人 选择 带有 精英 主义 消费主义 致死 人群 对立 政治 隐喻 选择 社会 保有 能力 关心 忌惮 乐观
世界上哪有那么多人像视频里的那样，不过还是要活下去。加油哦(´-ω-`),不良示范,世界 视频 加油
回复  :你所热爱的，就是你的生活。,不良示范,回复 热爱
回复  :你所热爱的，就是你的生活。,不良示范,回复 热爱
回复  :占少数？,不良示范,回复
回复  :其实我觉得就算是中产以及以下也能过的滋润啊，节假日旅旅游，双休日打打游戏、适当做自己爱好的事，这些一般收入的人都能做到吧，只是看自己是想着享受生活，还是把钱存着罢了,相对剥夺,回复 滋润 打打 游戏 爱好 收入 想着 享受
回复  :加油！不要被评论区一些黑暗的评论带偏 上了好大学你会发现视频里说的是真的,不良示范,回复 加油 评论 评论 大学 发现 视频
回复  :感谢感谢，2021高考我会加油的,不良示范,回复 感谢 感谢 高考 我会 加油
回复  :奔涌吧后浪,不良示范,回复 奔涌 后浪
回复  :嗯，怎么说呢，你说的有道理，不过有点表面现象哦。不贫困真的不知道什么是贫困，不富裕不是贫困，真正的脱贫也不是补钱那么简单。我之前老认为自己家就挺穷的，后来知道得补贴脱贫的人才穷，一年给2000，给三年。然后上大学知道可以申请助学贷款，年收入低于两万才有资格。地区贫困高考有国家专项政策，需要地区抢贫困资格和专项名额，结果我上大学的时候很多人走贫困生资格走亏了，同一个学校同一个专业，除了清华北大大家没有最强的实力拼不起，专项名额少竞争更激烈。我对贫困理解也不深，这些只是上大学前了解到的而已。,不良示范,回复 道理 表面现象 贫困 贫困 富裕 贫困 脱贫 补钱 简单 补贴 脱贫 人才 大学 申请 助学 贷款 年收入 低于 资格 地区 贫困 高考 国家 专项 政策 地区 贫困 资格 专项 名额 大学 贫困生 资格 亏了 学校 专业 最强 实力 专项 名额 激烈 贫困 理解 大学
回复  :当然，我非常同意贫困家庭的所有人必须努力，要不然物质生活也会很紧张。家庭不能带给孩子的福利，孩子必须付出多倍的努力来争取。,相对剥夺,回复 贫困家庭 所有人 努力 物质 紧张 家庭 带给 孩子 孩子 付出 努力
回复  :好好考个大学，视频里的都是真的，只不过要努力才能换取，很少普通人坚持得了而已，不要把时间浪费在没意义的地方,相对剥夺,回复 大学 视频 努力 换取 普通人 时间 浪费 意义 地方
回复  :18岁以后的生活有更多的精彩等着你，2021高考加油。也祝我自己2022年高考加油,不良示范,回复 精彩 高考 加油 高考 加油
回复  :呵呵。你又知道了,相对剥夺,回复
回复 -萬世 :………你是哪里看出他富二代的,污名化,回复
回复  :高考只能说相对公平，让我们有这么一丝机会，如果没有高考，整个推荐入学，我们还有什么机会,不良示范,回复 高考 只能 公平 机会 高考 推荐 入学 机会
回复  :加油！现在的努力是为了将来更多选择的权利，说不定将来的一天你就有选择自己热爱事业的资本，和视频里的人一样，不过在这里之前，我们必须一起努力！,不良示范,回复 加油 努力 选择 权利 选择 热爱 事业 资本 视频 努力
回复  :考不上确实是能力不足，上了的也不一定能力就够，但这已经是最公平的一次了,不良示范,回复 考不上 确实 能力 能力 公平
回复  :你还小啊，只要努力学习，努力生活，很多看似遥不可及的事情都可以成真的！你的未来也可以很精彩！--来自一个农村家庭出身的穷孩子但有幸体验到了一些精彩的人,不良示范,回复 努力 看似 事情 精彩 农村 穷孩子 有幸 体验 精彩
回复  :确实，那些人就不是没有选择的权利，而是没有勇气与毅力去选择，不是时代没有选择他们，而是他们没有选择这个时代,不良示范,回复 确实 选择 权利 毅力 选择 时代 选择 选择 时代
回复  :高考加油呐,不良示范,回复 高考 加油
回复  :加油！我也是高二党,不良示范,回复 加油 二党
回复  :奔涌吧！后浪,不良示范,回复 奔涌 后浪
回复  :没错集美，我也这么觉得，我们留了一篇作文，把这个当做素材，我周围的人就开始吵吵说什么“没有选择的权利”。可是，368天之后的高考就是一次让我自己选择的机会啊怎么会没有呢。,不良示范,回复 没错 作文 当做 素材 吵吵 选择 权利 高考 选择 机会
回复  :我跟你一模一样，我也农村的，但我觉得这个视频也没啥问题，我得知有人喷后浪的时候我惊了？？ 就离谱 这都能喷。,不良示范,回复 农村 视频 得知 后浪 离谱
视频里表达的那种年轻人朝气蓬勃的青春气息我觉得还是不错的。当然我也是年轻人，今年二十都没有。只是看了视频后换个方向想，在当今社会，更多的年轻人并不是说在追求诗和远方，更多的是为了生存，为了上更高的阶级。或许有人会杠我，诶，你一个毛都没长齐的小孩子说什么呢，在这哗众取宠，散发负能量。其实，我之所以能怎么说是深切体会过，因为当你像我这样带着一个农民家庭的全部期待和所能给到的帮助，再拼命挣扎打进上层社会的末端时，你就会体验到不一样的快感但是我不觉得后悔，也不会害怕，尽管我没有视频里面那种后浪体验。因为我相信，现在的社会未来是给奋斗者的，现在中国的社会阶级也不是固定化的，我还可以赢，因为钻石之所以是钻石，是因为炼化的过程来之不易，痛苦不堪，极其困难，而石头之所以是石头，是因为想得到的几乎没什么困难，只需在路上弯腰拾取即可。,群体对立,视频 表达 年轻人 气息 不错 年轻人 视频 方向 年轻人 追求 生存 阶级 没长 小孩子 散发 能量 农民 家庭 期待 所能 给到 拼命 挣扎 体验 快感 后悔 害怕 视频 后浪 体验 社会 奋斗者 社会 阶级 钻石 钻石 过程 困难 石头 石头 想得到 困难 弯腰 拾取
回复 -冰刺 :好好学习 考上好大学眼界真的不一样！(°∀°)ﾉ加油加油！,不良示范,回复 冰刺 好好学习 考上 大学 眼界 加油 加油
努力就好了 加油吧,不良示范,努力 加油
回复  :多看书少说话,不良示范,回复 看书 说话
回复 - :,不良示范,回复
回复  :简直说到心坎上了，说一说我的感受吧！首先看完也觉得文案没有任何问题！我是一名深度贫困山区的教师，一个近30的老后浪去年选择来到山区教育新后浪的人！在这里见证的是社会底层的生活状态，面对着一群从来没有走出过大山的孩子们，他们通过手机去了解这个世界，去发现这个世界！我经常告诉他们勇敢热情敢想敢拼去努力成为自己想成为的人！即使我们都深知大多数学生他们会走向社会的底层工作生活，可能终其一生也打破不了阶级壁垒，但是不妨碍他们会成为眼里有光的人，这取决于你的生活态度而不是生活方式！我选择给孩子们传递这样的思想并不是不愿意他们去看到社会的阴暗面而是立足阴暗去发现生活的闪光寻找属于自己的生活信念！于我而言希望我的学生们以后都是眼里有光的人，哪怕只影响了一个也是我生活的意义！对于网上的抨击也能理解有批评的声音才让我们有多个视角去看这个世界，就像这个视频里我最喜欢的一句话我们和而不同，因为不同所以这个世界才多彩但是别忘了不管我们拥有怎样的生活态度生活方式也都有相同之处！所以我认为也是受众于绝大多数年轻人的！多思考多体味！（艺术老师一枚文采不好表述可能不太好，见谅！）,群体对立,回复 心坎 感受 看完 文案 贫困山区 教师 后浪 选择 来到 后浪 见证 社会底层 状态 面对 走出 孩子 手机 世界 发现 世界 告诉 勇敢 热情 拼去 努力 深知 学生 走向 社会 底层 打破 阶级 壁垒 妨碍 取决于 方式 选择 孩子 传递 思想 社会 阴暗面 阴暗 发现 闪光 寻找 信念 希望 学生 意义 抨击 理解 批评 声音 视角 世界 视频 喜欢 世界 拥有 方式 受众 年轻人 思考 体味 艺术 老师 文采 表述 不太好 见谅
回复  :人家是已经拼过了啊，自然不一样，你也要自己加油才行,不良示范,回复 拼过 加油
回复  :这？我农村父母辈的放学后还要各种帮忙家务农活，放假就是下地干活或者赚外快攒学费，哪个更无忧无虑？时间少？时间没有变少，只不过以前看小说杂志，现在是玩手机，我所知现在网络成瘾的概率远大于之前的武侠小说，所以你还觉得现在的学生更累吗？,相对剥夺,回复 农村 父母辈 放学 帮忙 家务 农活 放假 外快 学费 时间 时间 小说 杂志 手机 所知 网络 成瘾 概率 学生 更累
回复  :大一数学师范生觉得很赞，难道我们以后教导学生，或者说给学生传递的是一种不努力、一种始终消极的思想吗？仅凭自己的努力，或许无法打破所谓的阶级壁垒，但是完全有能力让自己过上更好的生活，这一点我觉得应该是毋庸置疑的。,群体对立,回复 数学 教导 学生 学生 传递 努力 消极 思想 仅凭 努力 打破 阶级 壁垒 能力
回复  :贫困占少数？ 6亿人民哭死,相对剥夺,回复 贫困
回复  :对我也觉得   视频里的生活是我这辈子都体会不了的 但文章本身真的很棒 我在想如果这个片子的素材用的都是那些平凡大众 包括我这样的普通人  那些人还会有这种反应吗  搞不懂 一个视频就让他们急了？？,相对剥夺,回复 视频 体会 文章 很棒 片子 素材 平凡 大众 包括 普通人 视频 就让
回复  :好像又被吞了，这点特别讨厌，都不发个提示给我个复制自己评论的机会。。如果我高中的时候，考不过一个在农村里上完初中甚至高中的孩子，那说明我在努力和天赋上至少有一项比他差很多很多，而且要比我们在成绩上的差距大得多。一百米让你先跑十米可能跑不过博尔特，但你一定能跑过一个和你实力相仿的人，人的努力是有极限的。我是很幸运的，一方面家里是小城市中产，另一方面年龄也正好，在上上次房价暴涨前买的学区房。我要是小个六七岁，那到入学前两年要买一套省会的学区房，砸锅卖铁还不一定够。实际上当年凑出这笔钱都很不容易，一开始没钱家里也没人能看着装修，在舅舅家住了一个多学期，每天早上坐舅舅的摩托车跨过大半个城市去上学，晚上回家坐公交车就要两个小时。所以后来知道我爸被类似升级版传销的东西骗了，他自己还干了很多荒唐事，最后他和我家欠着几百万的时候，我心态倒是还好。毕竟我已经在读大学了，这种经济状况没有从小就开始影响我已经是很幸运了。我小时候在公路局大院里有几个玩得比较好的朋友，他们家是租院子里一楼的煤房甚至地下室住的，是在小城市打工挣扎在温饱线上的人，难道是他们或者他们的父母辈不努力吗？说到父辈，我又想起来，二三十年前想拿个城镇户口何其难，我外公、我爸都是部队转业才拿到的编制和户口，普通农村人只会更难，可能少部分跑出去踩在当时的灰色地带，投机倒把赚到钱的可以吧。而当时的农村，大部分地方教育都更烂，我妈老家镇上的高中，当年隔三差五高考挂白板，现在多半也不容乐观。很多省份中考升学率在50%左右，穷人们可能有这样那样的缺点，但真不是只要努力就能享受我们这样的普通生活。,相对剥夺,回复 好像 讨厌 不发 提示 复制 评论 机会 农村 孩子 努力 天赋 成绩 差距 实力 相仿 努力 极限 幸运 年龄 正好 房价 暴涨 前买 学区 入学 省会 学区 凑出 看着 装修 舅舅家 学期 舅舅 跨过 上学 回家 公交车 小时 类似 升级版 传销 荒唐事 心态 还好 在读 大学 经济 状况 幸运 小时候 公路局 朋友 院子 一楼 煤房 地下室 打工 挣扎 父母辈 努力 父辈 户口 外公 部队 转业 拿到 编制 户口 农村 灰色 地带 农村 地方 老家 镇上 高考 白板 省份 升学率 穷人 缺点 努力 享受
回复  :虽然但是，之前的新闻。。（非刚非黑，单纯论述，对一切群体表示尊重，如果认为与自己观念不同不必上小论文,其他,回复 新闻 论述 群体 尊重 观念
回复  :我支持你，不必受到自暴自弃者的影响 我们看完视频 受到激励 就去努力拼搏就好了，我们努力成为视频中所说的后浪，而那些负能量者是雷打不动的视频中也说只有弱小的人才习惯嘲讽与否定 网络负能量千千万，我们做好自己努力拼搏去到达更好的平台认识更有学识的人才，这样我们就成为 后 浪,不良示范,回复 支持 视频 激励 努力 拼搏 努力 视频 后浪 能量 视频 弱小 人才 习惯 嘲讽 否定 网络 能量 做好 努力 拼搏 到达 平台 学识 人才
回复  :挺你，农村人也可以改变未来 年轻就是有实力 年轻就是拼搏的时代 努力搞好学业 钻研学业 好改变自己的未来 我们都是后浪 不必受到网络负能量的影响 视频中的那些话也是说给正在努力拼搏积极向上朝气蓬勃的年轻人说的，只有在“拼搏的河流”中的人才会看到希望 继续努力。那样的人迟早会像视频中所表现的“年轻人”而自暴自弃者永远只会感叹自己的不是 然后去到处散播负能量,不良示范,回复 农村 改变 年轻 实力 年轻 拼搏 时代 努力 搞好 学业 钻研 学业 改变 后浪 网络 能量 视频 努力 拼搏 年轻人 拼搏 河流 人才 希望 努力 视频 表现 年轻人 感叹 能量
回复  :一个努力奋斗的年轻人和视频里面的人一样让人热血沸腾，加油(ง •̀_•́)ง,不良示范,回复 年轻人 视频 加油
回复  :你是不是年纪小啊，真的不懂吗，中国14亿人，6亿人在城市，8亿人在农村。顶尖永远是少数的。,相对剥夺,回复 懂吗 农村 顶尖
这话不错，真正的普通人，还是学历低的多,相对剥夺,不错 普通人 学历
回复  :3000就没有3000的活法了？而且现在流水线也能有5000左右，并且单休吧这东西总是人人都能干的吧？,相对剥夺,回复 流水线 能干
回复  :？？别断章取义了行不，我爸3500我妈2500，五线小县城，过得很滋润,污名化,回复 了行 县城 滋润
回复  :首先，我没说3000块的人是傻子，而你说我觉得3000的人是傻子，这不是断章取义？其次，我现在过得很开心，能够做自己喜欢的事，有自己的目标追求，能和喜欢的人一起旅游，能和朋友们一起喝酒吹牛，我觉得我不比后浪过的差，,相对剥夺,回复 傻子 傻子 开心 喜欢 目标 追求 喜欢 朋友 喝酒 吹牛 后浪
回复  :我们俩，对于生活的思想不一样，生活过得也不一样，我觉得就到这吧，没有讨论的必要，您觉得您是对的，那就是对的吧,相对剥夺,回复 思想 讨论
回复  :你先想一下，为什么扶贫先扶志,相对剥夺,回复 扶贫 先扶志
"回复  :考不上你怎么不想想是教育资源分配不公平，北京考个211都觉得丢脸，河北考个二本就谢天谢地，高考制度是公平的，不公平的是资源和环境，所以别再说什么""考不上就是学习能力不足""了，没有那么绝对的事。你说的其他地方都没啥问题，毕竟事在人为",相对剥夺,回复 考不上 想想 资源分配 公平 丢脸 高考制度 公平 公平 资源 环境 考不上 学习 能力 地方
回复  :高考确实是一次你自己可以选择的机会，也是最公平的一次，加油吧，不要后悔,不良示范,回复 高考 确实 选择 机会 公平 加油 后悔
回复  :旅游要时间要钱，打游戏要肝要钱,相对剥夺,回复 时间 要钱 要钱
回复  :一起加油哦,不良示范,回复 加油
