,内容
1065,好多都见过
1066,金蝉花，那个不是菌？都是搬回家煮了吃了
1067,岩百菜可以用大车来拉
1068,小时候捡到灵芝拿来说，带回家大人也不认识，等长大从药书上看到图样，想去山上找，再也找不到了
1069,回春草和金线连就过份了
1070,灵芝有啥用呀？小时候弄了一个好大呀
1071,我看他们用一种草塞屁股说治治疮
1072,小时候全都见过，现在见不到了
1073,我一个都不认识
1074,这回春草是什么科的？
1075,我这竹林里本来金线莲很多，后来来了一群外地的天天挖，被搞秃了
1076,银线莲说成金线莲了
1077,灵芝多了野生的
1078,回春草有，我们这边叫蛇草。干嘛用啊？
1079,唉为什么不早点认识你呀。这些草药几十年前多。现在基本都没有了
1080,你确定那是金线莲？
1081,乌灵参那样用老板？
1082,威灵仙不是这样的
1083,为何好像觉得看到过好几种？并且是很多的那一种，难道我们这遍地都是中药材，
1084,大多数都有…我们这…经常遇见…就是冬虫夏草没有
1085,我挖了两斤多鸟灵参
1086,回春堂不是说是蛇蛋吗？
1087,有一种动物叫虫遍。
1088,乌灵参有什么功效？
1089,第五个不是雪莲花，是石莲花，根系生长于石头缝隙中。
1090,冬虫夏草，冬天是虫，夏天是草，你说它到底是虫还是草
1091,怎么没有黄莲
1092,紫花地丁我家这多了，是要根还是叶啊
1093,都不敢乱采了 怕哪天又说是保护植物
1094,原来小时候我见过那么多 那么珍贵的草药 金线莲 回春草 西洋参 重楼 半夏 威灵仙 紫花地丁只是那时候都不知道名字
1095,金线莲有何妙用呢，
1096,不让大家犯罪啊，现在挖野生植物要犯罪的
1097,这几种草药我只见过八种确实是难得的草药，但是在我们这里总感觉算不上什么稀奇的东西
1098,都得用酒泡
1099,只认识前十种
1100,回春草我们都以为是毒蘑菇全踩坏了。
1101,还有淫羊藿
1102,那个第七种，小时候我们那竹林里有好多，不敢碰，大人说是蛇吐的东西，现在才知道是一种名贵中药
1103,回春草感觉似曾相识
1104,大部分都看见过理都不理
1105,紫花地丁，我们叫梨头草，好多。
1106,我见过好几种，我现在作品好像还有什么紫色哪个什么丁
1107,冬虫夏草，和冬虫草，有区别吗？
1108,我感觉我都见过
1109,请问师傅菖蒲生长到哪里呢
1110,七回春草多少米一斤，要干货还是鲜货？
1111,我们这边山连山，满山都是宝，有了抖音才知道，缺无人问津
1112,我见过的好像不是这种颜色啊
1113,半夏，是不是农村叫三步跳
1114,金蚕花像刷把菌是不是同一种东西，
1115,乌灵生是什么
1116,除了雪莲我们山上都有！我也都认识
1117,你确定这个回春草不是毒蘑菇？
1118,铁皮石斛我家里有，不知道用来干嘛的？
1119,十六麻玉颗颗以前收的人好多
1120,金蝉花泡酒，我都不敢喝
1121,我今天捡到了几颗，正愁着他叫什么呢，有什么功效吗
1122,好多都是不认识的啊
1123,好多是野草
1124,不早说金线莲我知道山里一片一片
1125,会用才是入药草，不会用它就是棵野草。
1126,紫花地丁一到春天田里到处全是！谁收都是野生的我好采了卖给你
1127,有几种我们这边好多
1128,除了几种，其他的云南都有！
1129,认识冬虫夏草！能泡坛子里太好吃，市场有卖办酒席凉拌菜
1130,威灵仙和淫羊藿差不多吗
1131,紫花地丁小的时候拿来打架 现在满山都是
1132,野生的金线莲老家有，但是不多。有哪些功效？请懂的人科普一下
1133,好像每一种都看过，却又想不起在哪里看过
1134,有正宗野生的吗
1135,金线莲回收吗
1136,这多的中药什么作用，
1137,仙草灵芝天降人间爱护利用，不要遭蹋。
1138,记忆中的天边那株草，抖音里还没有看见。两根茎，一根直径，叶瓣中开出两朵花，好美！可以让人起死回生，天书有记载。
1139,冬虫夏草现在就有我们那里多，贵州
1140,紫花地丁，马路牙子上都开满了，半夏蒜地里也好多
1141,铁皮石斛九大仙草之首
1142,金蚕花我们这很多，没人要
1143,西洋参收吗
1144,这些我们这都有啊问题也没有人收也没有人睬
1145,好多种田间地头山里随处可见的东西
1146,前辈 金线莲是珍贵药才吗？
1147,回春草？我们这叫长虫迅子，看到就跑远远的
1148,就是在山上见到了也不认识，我只认识灵芝。
1149,回春草不是这种，你别乱发，容易误导人
1150,半夏我们这太多了 没人挖
1151,半厦我家地里有点多全是野生的，没人挖
1152,好多药我们这里都有可是不知道怎么用
1153,案值296万！广西查获走私高鼻羚羊角146根、白犀角手镯6个。#野生动物 #保护动物 #警察 #政媒原创作者联盟 #违法必究 
1154,羚羊与犀牛角的药用成分是没有任何东西可以代替的。在退热方面简直是神效啊。
1155,平常高烧抽搐用的羚羊角却再也买不到了，这东西应该大力养殖才对
1156,没有买卖就没有伤害
1157,这个一般判多少年
1158,我想知道这些东西你们是怎么处理的
1159,手镯我想要一个如果买了也属于犯法了吧
1160,支持买卖同罪
1161,这些会怎么处理？
1162,你忘关直播了
1163,这个在内蒙古遍地都是
1164,我也买了一个羊角手镯 不知道是真是假 
1165,十几年
1166,有盼头了
1167,看着都疼
1168,@是金秘书啊 他们这个羚羊角后来是怎么处理的
1169,天啊
1170,不懂这些东西拿来能干嘛、吃了成仙还是包治百病啊
1171,这些有什么用处
1172,真搞不懂有钱人戴羚羊角镯子能长生不老吗
1173,畜牲，这得杀上百只
1174,生命没有价值，这是无价的。
1175,应该严厉惩罚
1176,此草在《本草纲目》中叫茺蔚，因宜于妇人所以名唤益母草。益母草的用途有很多可以做泡脚包、煮鸡蛋和熬制益母草膏。#益母草 #益母草红枣汤 #熬制益母草膏 #野生植物 @抖音自然 @抖音小助手
1177,历时2天，把10斤益母草汤熬成膏，你知道女人吃它有什么好处吗？#新农人计划2022 #乡村守护人 #农村美食 
1178,女生多喝点益母草汤，还是挺好的 #猪杂 #家常菜 #煲汤 #益母草 
1179,乡间无杂草，认识全是宝，辣蓼草也叫水蓼，一年生蓼科植物。它可以制作酒曲，泡柿子，醉鱼，您还知道吗？#我的乡村生活 #辣蓼草 #酒曲 #泡柿子 @抖音自然
1180,益母草被称为最好的女人草，农村人把它做成益母草膏，作用太厉害#大自然的馈赠 #益母草 #农村美食 
1181,艾草是不是等于益母草？
1182,益母草一种白花，一种紫花，那种花好一点
1183,艾草难道就是益母草吗
1184,益母草跟艾草叶怎么区别
1185,才知道这是益母草，以前总以为是野草
1186,煮粥：将益母草、苏木、桃仁切碎，加水煎30分钟将药汁与黑豆混合，加水煮熟，放入梗米和水煮..泡水：益母草可加红枣直接泡水，代茶饮用。
1187,这是艾草，益母草我记得有花啊
1188,这个叫艾草吧，不是益母草
1189,我老家叫苦艾，难怪小时候见妈妈拿叶子煮鸡蛋，但不知道他又叫益母草
1190,益母草出花的，艾草没花的，艾叶做糍粑，益母草煲汤叶子煮鸡蛋，女士们喝了很好
1191,我们这个已经开花了，可以摘吗？
1192,我等你教我，不熬就取关
1193,夏天我就用这个烧水泡脚
1194,我们老家有很多，老家叫芝麻薅
1195,最高指示:应好好的发掘中华医药这个宝库。
1196,做月子的时候煮鸡蛋吃
1197,原来这就是益母草呀！小时候路边到处都是，就喜欢摘这个花穿花环
1198,小时候农村路旁边好多
1199,这个就是益母草啊！在我老家有这益母草很多但不知道什么用处
1200,太像艾草了
1201,这就是益母草啊？
1202,这个怎么吃啊
1203,提醒！红珊瑚、玳瑁 、砗磲国家禁止进出境！属于濒危野生动植物制品
1204,关键是一级重点保护动物
1205,带一串也不行吗？
1206,珊瑚是动物啊 一直以为是植物或者微生物呢
1207,都是摯愛呀
1208,红珊瑚是什么东西，活的？
1209,珊瑚不犯法吧？
1210,没有买卖就没有伤害，踏踏实实玩点种子不好吗
1211,经鉴定，涉案珊瑚、砗磲、玳瑁、海龟均属于国家二级保护动物，砗磲科生物均属于濒危物种；
1212,重拳打击为了暴利的违法者
1213,葛根被誉为“千年人参”，是农村随处可见的一种植物，吃起来味道糯甜糯甜的。#新农人计划2021 #农村美食 #葛根 #葛根粉 
1214,老家多得一塌糊涂
1215,用400斤野生葛根做橘酿葛根粉，历时7天，看看能出多少粉？ #野生葛根  #葛根粉  #抖音年度新农人 
1216,这老头葛根你这样吃浪费食材，葛根要用来炖大骨汤，来我们广东了解一下葛根煲汤
1217,农村这种野菜根营养价值堪比人参，拿来煲汤味道好，你吃过没有？ #跟着抖音学做菜  #乡村守护人  #农村美食 
1218,野生的葛才好
1219,食品是“黑”的好，鸡也一样！乌鸡，要吃原种的…#抖音新农人 #＃乡村振兴 #生态农业 #乡村味道 
1220,我还没穷到这种吃树根的地步
1221,重达百斤的葛根，在中国被挖到灭绝，为何到美国却成了“恶魔”？（三） #葛根 #科普 #中国 #美食
1222,不苦吗？爷爷
1223,花6小时手工做出来的葛根粉晶莹软糯丝滑，吃一次就忘不了…… #葛根 #葛根粉
1224,降血糖吗
1225,小向我为了美腻拼了！上山挖了30斤野生柴葛，复刻出了非遗美食，做完还给二花了一瓶！#古法葛根粉 #农村美食 #我的乡村生活    
1226,怎么买的？什么价位
1227,古人怎么发现葛根能吃的
1228,报告ⅹx单位，在江西x地发现疑似野人踪迹，有人发现其经常捕食野河蟹、蝗虫，偶尔还吃树根
1229,那么我们这野生的味苦，很柴的，请问是咋回事？
1230,清热解毒的葛根，退烧效果最好
1231,两种葛都能吃吗？葛叶也能吃吗？以前我这里都是喂兔子的
1232,根你吃完了，这回叶子总可以归我吃吧
1233,都给你吃好多，快来
1234,兔子爱吃叶，虫吃腾，人吃根
1235,小时候经常吃
1236,原来这就是葛根啊
1237,小时候的美食
1238,这就是野生的
1239,加油加油，挺好
1240,可以这样吃？
1241,这老头一天就知道吃
1242,好像见过，就是没人去挖这个。
1243,是不是，我们这里的葛麻藤
1244,叫法不一样
1245,这也太细了点吧
1246,是有点小
1247,不是穷，是这个确实是好东西
1248,面葛藤 我们那边到处是
1249,有的是
1250,怎么卖的
1251,这个太小了
1252,小时候喜欢吃。
1253,我才不信你，。因为我吃了是苦的。
1254,第1次看到葛根还能生吃
1255,最讨厌野生葛根生命力及强，用草甘膦都打不死
1256,想尝尝，没见过
1257,想买葛根，你们橱窗没看到
1258,那到底哪种药用最好呢？
1259,我们这边有很多这种植物，不知道是不是葛根，坐标广西南宁
1260,能解酒吗
1261,你们怎么不卖葛根
1262,你们这里葛根量大吗
1263,怎么购买
1264,大叔帮辩别下这是不是葛根？
1265,感谢叔叔分享，让我长见识
1266,不是皮也能吃吗
1267,回老家我还吃过 生吃 
1268,这种小根的含粉量极低，而且几乎都只是芊维
1269,山葛和粉葛哪个粉多
1270,老头 这个很难搞到吧
1271,我们家也有唉
1272,可以生嚼吗？
1273,我们那好多[捂脸]，没人认识
1274,我们这边实在多的烦人，从来不知道它可以吃
1275,是不是毛藤啊
1276,这叫葛根？老家山上多的是
1277,这不是给兔子吃的草吗
1278,老家山上到处是 还真不知道这东西能吃
1279,又想骗我种田，好不容易离开老家
1280,锄头挖太累了 用挖机挖效率高
1281,我们这边叫葛毛藤 去年还挖了手臂粗的 水份好多
1282,葛根能提取粉，粉还挺好吃的。
1283,山林中非常多。一种藤条而已。含有淀粉，口感并不好。接下来要给没见过的人做葛粉条了，葛粉死了
1284,这不是我们小时候用来毒鱼那个吗
1285,我外婆家好多 我小时候天天吃[猪头]
1286,葛粉我们从来不买[看]，我们那边到处都是野生葛藤，都是我婆婆自己去山上挖，自己做，卖一些，然后留一些给自家人。市面上太多假的了，有的里面掺些红薯粉，还有的在里面掺些姜藕粉，而且价格还不便宜
1287,怎么买？
1288,我们老家好多都没人挖，
1289,我们这边很多，有没有人收[捂脸]
1290,我这好多这种山葛
1291,广东人:这个可以煲靚汤的噢[灵机一动]
1292,是不是要挖粉葛，我刚挖了一根好老，因为叶子掉了不知道是不是山葛[捂脸]
1293,卖吗
1294,冬天挖粉才多
1295,@黄山茶姐：我们这里，只要你有力气有时间不怕苦不怕累上山一定多少都能挖到野生葛根。野生葛根分粉葛和柴葛，好多卖家卖的根本不是野生的，野生葛根粉不可能有大批量成品[捂脸]
1296,蒸的不硬么，都是纤维能吞下去
1297,干嘛放糖？不用放白糖的[捂脸][捂脸]
1298,这个分季节吃根的，雨水天不好吃水心[呲牙][呲牙]
1299,@泡茶 这个就是刚刚虫子寄生的藤的根
1300,广东还种这个煮汤
1301,我们这里有好多，几十块钱一斤野葛
1302,这玩意解酒 抗酒 我说的对吗？
1303,我们那边半山遍野都是。
1304,到处可见，就是找不到根[捂脸]
1305,就在我身边，我一直不知道能吃，只知道兔子爱吃
1306,我们这大根大根的，大把没人挖
1307,这就是葛根吗，我们这边路边多，
1308,这种葛根下面是有白色虫子的，这种虫子更好吃。
1309,我们家挖出来做葛粉，吃了清凉去火[赞]
1310,葛根炖筒子骨[呲牙]
1311,小时候我经常去挖来生吃
1312,我们那里当杂草，除不掉
1313,我家的有大腿那么粗[捂脸]
1314,我老家好多，没人知道
1315,时候经常挖葛根在河边敲碎了放在水里把鱼闹晕就抓鱼吃了
1316,我们叫这牛藤 他的藤很劳
1317,拿这玩意儿可以去河沟里捞鱼[呲牙][呲牙]
1318,最喜欢生吃了那味道越嚼越好
1319,太小了，[捂脸]我们都是挖五年以上的根，一根下来五百斤
1320,我们山葛放在腊肉旁边熏，感冒的时候是一味药材[看]
1321,我老家后山几十斤的葛根有很多
1322,这也可以做粉哦，我们那边山上很多
1323,你手上拿的是野生的葛，我们买的葛粉都是人工种的
1324,小时候找葛根吃，吃错了，食物中毒了，上吐下泻。[捂脸]
1325,不专业……这种葛根太嫩了产不了多少葛粉！
1326,我爸每年冬天挖好几百斤野生葛根，这两年野猪多了，挖的少了
1327,很好吃
1328,煮汤好喝
1329,又糯又甜，就是嚼不烂
1330,挖的是山葛还是粉葛，那天我去挖挖到的全是树根
1331,我就知道这种藤上会有虫子疙瘩。里面的肥虫我吃过
1332,我们那边很多没人说可以吃，第一次见你吃
1333,粉葛的根粗还是山葛的根长的粗
1334,葛藤是不是特别厉害 而且藤特别多 特别难处理 我想问问 我这儿到处都是 除都除不完
1335,用来泡水喝解酒六的一批
1336,您好，葛根怎么种，
1337,知道这个 就是没有吃过
1338,葛根适合什么南方还是北方
1339,您好，葛根什么时间种植
1340,小时候我曾祖父让我吃过，跟树根一样但是很甜，一直不知道是什么！长大了知道了他却不在了
1341,我家周围全部都是
1342,原来就是小时候妈妈经常让我去摘给兔子吃的叶子
1343,这东西很难挖
1344,粉的才好吃，拿来煲汤，最好
1345,可恶，这些人！
1346,国家保护海龟😭😭😭😭
1347,政府一定对付这些凶手做出的恶行
1348,阿龟🥺
1349,@ethantmz0 真的是可恶😠
1350,把兇手 刹死
1351,人神共憤！
1352,我的阿龟
1353,阿弥陀佛🙏🏻因果报应
1354,乌龟的灵魂会找他
1355,南无阿弥陀佛
1356,好残忍
1357,阿弥陀佛🙏
1358,好可怜🥺
1359,"Anggota pegawai terjumpa lagi dengan dua bungkusan besar yang dipercayai berisi dengan daging penyu ,11 keping plastron, kuali, pisau, kapak, dan lain"
1360,suhbanallah kesian
1361,hunting for penyu meat??
1362,@fmm2106 aduhh bah..kesian💔
1363,o my god
1364,😳omg
1365,kes di mana ni jmp bangkai penyu sedih nya Allahuakbar😭😭😭😭
1366,不要让那些发不义之只财的人钻空子
1367,如果这次疫情放过了人类，也请人类放过祂们，地球不是人类的专属，请俯下你“高贵”的身躯，尊重生命，敬畏自然！
1368,以后人家给这种类似的动物制品要给我，我立马扔掉
1369,跟我们穷人说没用，我们压根见都没见过…更别说吃
1370,野生动物，好像穷人也吃不起吧！！
1371,穿山甲这种东西是神灵的孩子，如果人类吃的话是要付出代价的
1372,一命抵一命吧 敢杀一只穿山甲 拿自己的命换 这样看他敢不敢交易
1373,哎，害了多少野生动物………
1374,这东西很贵
1375,饭都吃不上 哪里还有钱吃这个
1376,世上每一样植物和动物，都有它在世上的意义，少量的消失没太大影响，一旦大规模消失，就影响太大了，总体来说，动植物消失越多，某一天人也会瞬间消失很多，自然法则是包含了我们人的
1377,不是人类灭绝，就是地球同归于尽！
1378,只有保护它们才能让它们免于灭绝
1379,尊重生命，敬畏自然
1380,立法 重罚
1381,没有杀戮，就没有伤害！！
1382,实行严格动物禁止、有犯者重处理重罚
1383,希望国家出面严惩贩卖野生动物交易
1384,尊重生命，爱护动物，守护动物
1385,希望的眼眸，不只是人类拥有，大自然中所有的生命同样拥有，保护野生动物、维护生态平衡是人类最好的选择！
1386,保护它们（野生动物）也就是保护我们人类自己。
1387,正确对待穿山甲！人类不可缺少的朋友
1388,保护它们
1389,人类，放过所有野生动物吧
1390,天哪，不忍直视
1391,太没有人性了
1392,希望这些人得到严惩
1393,一定要抓到这些人
1394,严惩！严惩！
1395,怎么下的去手？
1396,在这种特殊时期还敢动野生动物念头的行为，建议他们体验一下被做成标本的感觉
1397,法盲吗？
1398,真是不知道死怎么写的[看]
1399,不是传言 真的可以[泪奔]
1400,虎落平原被犬欺！
1401,我还想在印尼回国时候带点呢这也不敢带了
1402,以前我们小时候妈妈就去药店买了一根，有时候我们发烧就喝这个[捂脸]那个时候一根才几百，二十几年前了
1403,他们这个羚羊角后来是怎么处理的
1404,应该严厉惩
1405,10来吨啊，得多少穿山甲啊，
1406,卖的严判买的也要严判没有买卖就没有杀戮！！买卖缺一不可
1407,少只穿山甲宝宝失去了爸爸妈妈，家破人亡。。。
1408,我的个天哪，10几吨鳞片，那的多少只穿山甲。不敢想象……
1409,重判，他们就不敢了
1410,这些动物是无辜的
1411,罚，罚他倾家荡产去！
1412,都这样了，你们还不罢休吗？
1413,我估计穿山甲以后可能不是二级了！再这样下去！是濒危物种了…
1414,这得要捕杀多少穿山甲啊
1415,无期吧
1416,这是一味中药 所以那么多人才....
1417,严肃处理
1418,还有心吗
1419,看到这么多穿山甲，好难过
1420,全部无期
1421,穿山甲鳞片比黄金都贵
1422,这是养殖的还是野生的？山上怎会那多呢
1423,對動物交易應提高懲罰力度!是保護自然生態良性循環更是保障民族有安養舒淨的生活環境使子嗣享自然富養資源
1424,严惩不贷！
1425,两万多斤！国外得有多少穿山甲
1426,判刑
1427,依法处置！
1428,希望不要有价值！应该是无价！
1429,太可恨了、必严惩不贷
1430,给他量刑重判
1431,一定要保护野生动物
1432,人类再不保护环境，保护野生动物，就是在自掘坟墓！
1433,保护生态环境，保护所有生物的共同家园--地球
1434,保护野生动植物，保护地球生态环境
1435,没有买卖就没有伤害！
1436,似乎能感受到大自然的内心
1437,支持！
1438,国家一定要重视起来，人类和野生动植物缺一不可
1439,保护生物多样性，人与自然和谐共生
1440,需要一起努力
1441,我们的地球不能没有它们。。。
1442,一定要严惩这些犯罪分子！
1443,惩罚的手段越狠，才能真正从源头上遏制这种行为！
1444,人类需要地球，地球并不需要人类。人类却在肆无忌惮的破坏地球的一切
1445,人与自然和谐共生
1446,保护环境爱护动物，人人有责
1447,保护野生动植物
1448,维护全球生命共同体，人人有责
1449,保护生态环境 人人有责
1450,维护地球所有生命
1451,生态维护人飘过
1452,还要避免泛滥成灾，动态调整保护状态
1453,我们的地球不能没有它们！
1454,自然本来就不需要保护，只需要人类管控不要恶意的去砍伐灭杀，自然他自己会恢复
1455,植物与自然相生相克是亘古不变的
1456,地球不只是我们人类的，同样也是其他动植物的
1457,生物多样性与自然息息相关 ，人类也是大自然中的一员。如何和大自然做到共生共存？ 我们总是向大自然索取… 一个物种的消失会直接影响三十种以上物种的生存 ；金山银山不如青山绿水！
1458,你在保护大自然的同时它也在保护你！
1459,爱护植物，保护植物，我们要大自然有所敬畏
1460,是我们需要大自然和地球，而不是大自然和地球需要我们
1461,我记得小时候见过植物，现在想想有好几种现在见不到了
1462,啊，学到了，感觉摘过好多东西的自己又残忍又无知
1463,保护自然保护自己
1464,敬畏自然
1465,不认识的植物我们可以欣赏喜爱 ，去拍照留念，但是不要去占为己有和剥夺它的生命
1466,地球就是我们的家园，需要大家来保护爱护！
1467,世界万物相生相克
1468,保护大自然，从点滴做起。不摘野外的一草一木
1469,保护生物多样性是每个人的责任
1470,保护生物多样性
1471,转发 · 爱护身边的一草一木
1472,万物有灵，多些保护，少点破坏，在下的每一位都离不开大自然
1473,不要乱摘野外的一草一木
1474,共生方能共存
1475,植物链也是一种循环，一损俱损一荣俱荣，保护大自然，从我们做起
1476,保护地球人人有责
1477,我在一个群里看到有人收购野生草药，心里也是有说不出的舍不得。不懂刚怎么说他们。在农村长大，我知道野生的草药越来越少了。
1478,自然不能失去平衡，植物和人类息息相关
1479,万物有灵！善待生灵
1480,很多犯罪分子都是通过物流或者客运班车 的司机 来贩卖野生动物。
1481,必须严惩不贷，请保护大自然
1482,一定要严判，这些人对整个世界带来太大的灾难了！
1483,把他关起，一辈子不让他出来
1484,严重处理，绝不姑息！！！
1485,继续作恶，重判重罚
1486,必须要严惩
1487,都抓了。万物皆有灵
1488,严格打击
1489,查的好
1490,捕杀，倒卖，购买野生动物的都该判刑
1491,严惩不贷
1492,什么行业不能干为啥要破坏生态
1493,严惩不贷打击捕猎杀野生动物偷猎者。
1494,抓住严惩
1495,要全国各地严厉打击才对
1496,必须严惩不贷、保护好大自然、人人有责
1497,禁止捕杀 贩卖 购买和食用野生动物。违者应该严惩不贷，人类爱护大自然 爱护野生动物同时也是爱护自己
1498,应该长期查治。
1499,应当严肃查处
1500,从严从重处理
1501,干得好，不法分子应该严处
1502,重罚，判刑！
1503,必须严惩不贷！！！
1504,抓，狠狠的抓
1505,抓，一定要抓！
1506,严惩不贷，绝不辜惜
1507,必须要严惩重罚！重重的罚
1508,坚决严办，决不能留情！！！
1509,从重从严处理
1510,市场管理方必须负责
1511,应该追责
1512,野生动物都有灵性，这次也是对人类一个教训，希望我们要爱护大自然，保护野生动物！
1513,严查，严办
1514,必须追责当事人
1515,罪魁祸首，绞的世界不安宁
1516,这次要重判重罚！
1517,善待自然 保护自己！！！
1518,严查重罚
1519,严厉查处
1520,人在想法设法吃它们的时候，它们也在想方设法的报复，大自然的反噬
1521,有些人请尊重每一条生命，吃点正常人吃的东西
1522,现在的人，为了钱，什么事，都干的出来
1523,唉，人类生活的那么好了，真的就留动物一点活的机会吧
1524,人类不是地球的主人，善待生命
1525,不要伤害小动物
1526,野生动物干嘛吃他们呢
1527,他们灭绝了之后对我们人类有好处吗
1528,希望大家都保护野生动物
1529,都什么时候了，还有人执迷不悟的偷盗 贩卖 食用吗
1530,地球上最残暴的不是豺狼虎豹，而是人类
1531,这次疫情过后。希望大家都能记住，没有买卖就没有杀戮，吃野味也不能长生不老，放野生动物一条生路
1532,相信今后越来越多的人，会保护野生动物
1533,人类真残忍，希望世界上多一些保护野生动物的人
1534,保护野生动物人人有责，把哪些捕猎者都抓起来！
1535,这些人才是最可怕的野生动物
1536,万物皆有灵，有因就有果，如果人类不去杀它们，吃它们，就不会有现在这样的结果
1537,真不明白人类为什么要去伤害那些可怜的动物，醒醒吧！
1538,有一群人在拼命的保护，有一群人在拼命的吃
1539,别害己害人啦，放过动物们吧，万物皆有灵
1540,万物皆有灵性，请善待动物
1541,猎杀者太缺德了一切都有因果报应！它们属于大自然是在保护我们的环境保护地球
1542,动物都是有灵性的，不要去伤害小动物，看到这，我觉得他们好可怜呀坚决抵制吃野生动物的人
1543,人类不要再去伤害小动物了……
1544,这样下去，人类终将会报应，保护好它们，也是保护自己
1545,心疼，感觉是不是太残忍了
1546,善恶终有报，天道好轮回
1547,人类的贪婪，其实就是在破坏自己的生存环境。。。。。
1548,破坏生态平衡要遭报应的，地球不是只有人类
1549,保护野生动物，万物皆有灵，地球是生命地球，让地球充满活力，而不是毫无生机的死寂
1550,曾经有专家说过，动物和人是同一个世界的东西，如果他不能生存了那么跟着人也要消失了
1551,保护动物善待我们生存的环境吧
1552,保护野生动物森林资源人人做起
1553,身为人类，真的对不起，心疼！
1554,再不认识到自己的错，大自然真的会加倍报复我们人类的
1555,大家积极举报贩卖野生动物
1556,保护野生动物要立法！人类无限的贪欲会自我毁灭。
1557,相信因果报应吗 我相信 现在它一步一步的来报复地球人了
1558,强烈要求严格，贩卖，销售，就连买的，一同判刑，动物也是生命
1559,看见卖野生动物就举报
1560,人类最终毁于自己之手
1561,我希望人类不要在伤害它们了，它们也是一条生命
1562,人类是最可怕的动物
1563,人类呀！醒醒吧！不要在伤害无辜的小动物了，不要在害人害己
1564,贩卖、食用野生动物者不重罚不足以平民愤！！
1565,没有买卖 就没有杀生
1566,保护野生动物其实也是保护人类自己，尊重大自然也是为了以后更好的生存
1567,不要伤害野生动物，谢谢
1568,邪恶商人等着自己的报应吧。
1569,我不喜欢人类但为什么我是人类
1570,应该严惩，坚决打击野生动物捕杀和贩卖。
1571,触目惊心，严惩不怠！！！
1572,打断产业链！严惩不法分子
1573,没有买卖，就没有伤害
1574,象牙只有在象的身上才好看
1575,请保护好大自然
1576,请保护动物！！！谢谢了！！！
1577,没有买卖，就没有伤害！我的愿望是生存
1578,保护动物从你我做起
1579,人和自然是生命共同体 生态文明
1580,保护动物人人有责，从我做起
1581,都醒醒吧！别让动物灭绝好不好！别贪吃贪图那些漂亮的东西！
1582,保护环境就是在保护你的下一代
1583,想要隔着屏幕拥抱它们
1584,看到倒下的大象，心疼
1585,人与自然和谐共存，没有买卖就没有伤害
1586,合法的野生动物制品也不买
1587,保护动物，从我做起。
1588,人类最终要为人类的行为付出代价
1589,保护动物 爱护地球 环境人人有责！
1590,这么可爱的小动物，怎么忍心去伤害它
1591,别让它们灭绝了，，，，求求人类了！！！！
1592,不要再伤害它们了
1593,希望他们以后不会消失
1594,保护珍稀动物
1595,拒绝各种皮，从我做起
1596,严厉打击非法捕猎，保护生态人人有责
1597,保护自然，保护生态环境，就是保护人类自己。
1598,敬畏地球生命
1599,支持放生！
1600,让野生动物重回自然吧
1601,希望我以后也可以成为野生动物救助站的一员
1602,珍爱生命！珍惜自然！用爱守护这蓝色星球
1603,这个世界属于所有生灵！
1604,保护生物多样性就是保护我们人类自己
1605,多么美丽的大自然。爱护地球从你我做起。
1606,珍爱生命，爱护我们赖以生存的地球家园
1607,生存是每一个生命最至高无上的权利
1608,没有买卖就没有杀害，没有杀害就没有遗憾。
1609,每个可爱生灵都值得被守护
1610,保护生态系统，守护野生动植物
1611,维护生物多样性保护地球
1612,不要再伤害野生动物了，没有买卖就没有伤害！
1613,放过它们吧 我还没见过呢
1614,可怜的小家伙
1615,看到这种视频就想哭真不明白为什么人类那么残忍
1616,唉，为什么人永远不知道保护动物，世界不止属于人类
1617,和动物共享繁华，站在食物链顶端，已经有很多无尽的资源可以支配，不要猎奇，取之有度
1618,地球不是人类的，小心报复
1619,人类不知道是多少动物的噩梦。。
1620,人类阿，请放过它们吧！人类才能更好的生活
1621,请善待这些小东西
1622,可以不爱请别伤害
1623,每一个生命都值得尊重
1624,要注意好好保护！
1625,偷猎者可恨 但是买家同样可恨
1626,总有人不明白，如果世界上的动植物濒临灭绝，人类会同样如此！！
1627,敬畏大自然！青山绿水我的家
1628,做什么事，也要懂法律
1629,国家应该打击这种行为！
1630,法律 法规需要加强惩罚力度。
1631,告别野味
1632,物种入侵，没有天敌，生态失衡
1633,请爱护他们，不要再伤害他们了。
1634,疫情不倒，逆向前行，打击野生动物资源违法行为
1635,要严查源头都是什么人在运送
