评论,fenci,情感分类,主题概率,主题类型
非常遗憾的是此款本子是我用本子以来第一台缺少硬盘工作指示灯的，很不方便，如果装大型软件时如果死机了都不一定什么时候能知道,遗憾 此款 本子 本子 第一台 缺少 硬盘 工作 指示灯 大型软件 死机,neg,"[(8, 0.11405496), (13, 0.8144543)]",13
屏幕是宽屏的，所以看起来很小，键盘海还是手感很烂，没有预想的好，还以为惠普改了呢…………，后盖板设计严重鄙视，升个内存嗨哟啊从键盘拆掉…………,屏幕 很小 键盘 手感 很烂 预想 惠普 后盖板 设计 鄙视 内存 嗨哟 键盘 拆掉,neg,"[(11, 0.64433026), (12, 0.2984446)]",11
产品介绍没有说明该怎么去装，幸亏我有带驱动的，要不然肯定搞不定了！,产品 介绍 幸亏 驱动 肯定 搞不定,neg,"[(0, 0.010212022), (1, 0.010211949), (2, 0.01021188), (3, 0.18545876), (4, 0.010211884), (5, 0.010211855), (6, 0.010211931), (7, 0.010211881), (8, 0.010211868), (9, 0.010211934), (10, 0.010211869), (11, 0.6919984), (12, 0.010211858), (13, 0.01021188)]",11
散热，头疼。,散热 头疼,neg,"[(0, 0.023834975), (1, 0.02383491), (2, 0.023834929), (3, 0.023834925), (4, 0.023835095), (5, 0.023834929), (6, 0.023834903), (7, 0.023835082), (8, 0.6901457), (9, 0.023834918), (10, 0.023834921), (11, 0.023834918), (12, 0.023834918), (13, 0.023834918)]",8
太过简单了。安置之类就不说了。偶发现靠近光驱的也就是右边键盘很软，一压明显下凹，左边的键盘很结实。右边最后一排键盘的缝比其他的多要大，可以看到透到下面的小小洞,简单 安置 发现 靠近 光驱 右边 键盘 很软 左边 键盘 结实 右边 一排 键盘 缝比 多要 透到 小小,neg,"[(12, 0.95109296)]",12
可惜不带系统,可惜 系统,neg,"[(0, 0.02381008), (1, 0.02381062), (2, 0.023810187), (3, 0.02381009), (4, 0.69046646), (5, 0.023810219), (6, 0.023810374), (7, 0.023810424), (8, 0.023810187), (9, 0.023810627), (10, 0.02381018), (11, 0.023810167), (12, 0.023810131), (13, 0.023810271)]",4
"性价比一般,系统用不习惯.重装系统难,搞了半天才搞得出来.发现电脑右下角有一条很丝的裂纹,不容易发现.凑合用吧",性价比 系统 习惯 重装系统 搞了半天 发现 电脑 右下角 一条 很丝 裂纹 发现 凑合,neg,"[(6, 0.9336018)]",6
为啥重装系统就一定要关闭呢？现在没了番茄花园这些组织，装个系统都超麻烦。这个模都是在键盘中间会有凸出，之前买的540也一样，敲到中间的感觉不爽，三个太接近了。,为啥 重装系统 关闭 番茄花园 组织 装个 系统 麻烦 键盘 凸出 敲到 感觉 不爽 三个 接近,neg,"[(11, 0.94190466)]",11
装小郁闷了一天。装之前需要先快速格盘，然后观点就可以了。,装小 郁闷 快速 格盘 观点,neg,"[(0, 0.011923966), (1, 0.011923994), (2, 0.011923976), (3, 0.011923966), (4, 0.01192397), (5, 0.84498835), (6, 0.011923975), (7, 0.011923975), (8, 0.011923966), (9, 0.011923975), (10, 0.0119239725), (11, 0.011923972), (12, 0.011923966), (13, 0.011923981)]",5
惠普节约成本的代价就是：预装小红帽（改装比较麻烦)，没有硬盘指示灯、没有电源指示灯、风扇也是定时循环运转的。,惠普 节约 成本 代价 预装 小红帽 改装 麻烦 硬盘 指示灯 电源 指示灯 风扇 定时 循环 运转,neg,"[(13, 0.94532573)]",13
1. 电池待机时间只有两小时。,电池 待机时间 小时,neg,"[(0, 0.01786588), (1, 0.017865807), (2, 0.017865991), (3, 0.017865809), (4, 0.017865816), (5, 0.01786597), (6, 0.0178658), (7, 0.017865803), (8, 0.017865825), (9, 0.7677438), (10, 0.017865963), (11, 0.017865803), (12, 0.017865818), (13, 0.017865857)]",9
原机带的系统不会用，自己装比较繁琐，希望京东能给提供免费装系统的服务,原机 系统 繁琐 希望 京东 提供 免费 系统 服务,neg,"[(6, 0.9071021)]",6
价格比市场价是优惠了不少，但是貌似比我买第一台的时候要贵一些啊~要是再便宜一些就是绝对的京东了~~~,价格比 市场价 优惠 貌似 第一台 便宜 京东,neg,"[(2, 0.14360751), (4, 0.21837522), (7, 0.539732)]",7
令我不满意的是，京东到货不由分说的立马付款，不让验货，比较霸道,满意 京东 到货 不由分说 付款 不让 验货 霸道,neg,"[(6, 0.6811857), (10, 0.22347972)]",6
这个型号还真难抢，性价比相当的高。买回来直接上系统非常完美，没有驱动问题。,型号 真难 性价比 买回来 系统 完美 驱动,neg,"[(1, 0.40877613), (7, 0.13734654), (13, 0.35560364)]",1
的电脑分区需要下一番功夫，弄了2个小时才搞定原来的系统装上了，新手朋友需要一个会电脑的帮忙解决,电脑 分区 功夫 小时 搞定 系统 装上 新手 朋友 电脑 帮忙 解决,neg,"[(8, 0.9285476)]",8
有些热，装麻烦，驱动也不好找，买的最好买个外壳的彩绘的保护膜,麻烦 驱动 不好 外壳 彩绘 保护膜,neg,"[(0, 0.010209666), (1, 0.010209656), (2, 0.010209633), (3, 0.010209693), (4, 0.8672745), (5, 0.010209639), (6, 0.010209641), (7, 0.010209661), (8, 0.010209672), (9, 0.010209658), (10, 0.010209645), (11, 0.010209643), (12, 0.010209649), (13, 0.010209657)]",4
后安装之前在网站上面下载的541系列的驱动，安装完，一切，速度很快，下次再到京东买个，赞,安装 网站 下载 系列 驱动 安装 速度 很快 下次 京东,neg,"[(6, 0.9155488)]",6
装系统比较麻烦 还好有许多网友的经验才顺利完成,系统 麻烦 还好 网友 经验 顺利完成,neg,"[(0, 0.010211162), (1, 0.76756835), (2, 0.010211165), (3, 0.0102111595), (4, 0.010211188), (5, 0.0102111595), (6, 0.010211181), (7, 0.010211188), (8, 0.010211174), (9, 0.010211177), (10, 0.01021118), (11, 0.0102111595), (12, 0.109897465), (13, 0.010211272)]",1
缺点：1.网线电源接口都在左边，极不方便 2.散热量有点大 3.扩展接口不是很多，没音量控制按钮，没硬盘灯。,缺点 网线 电源接口 左边 散热量 扩展 接口 音量控制 按钮 硬盘,neg,"[(5, 0.819514), (9, 0.10249555)]",5
光驱比较粗糙，所有接口都在左侧，本本的表层出厂没有贴保护膜，运输过程中比较容易挂花表面，电源接口比较松，容易碰掉电源线。没有触摸板开关键，没有硬盘指示灯。,光驱 粗糙 接口 左侧 本本 表层 出厂 保护膜 运输 过程 挂花 表面 电源接口 碰掉 电源线 触摸板 关键 硬盘 指示灯,neg,"[(3, 0.95352715)]",3
"指纹太郁闷了......,刷卡不给开增票,不知道怎么解释,刷卡之前没说明,刷完了才说,我订单上明明写着开增票的",指纹 郁闷 刷卡 给开 增票 解释 刷卡 刷完 订单 明明 增票,neg,"[(13, 0.9225331)]",13
1、送货时间太长！,送货 时间,neg,"[(0, 0.02381054), (1, 0.02381045), (2, 0.02381039), (3, 0.023810433), (4, 0.4099864), (5, 0.023810508), (6, 0.02381039), (7, 0.023810431), (8, 0.30428797), (9, 0.023810461), (10, 0.023810372), (11, 0.023810502), (12, 0.023810655), (13, 0.0238105)]",4
换成的话要装特定的盘，一般的盘要进把关掉，否则，不认。,换成 要装 特定 关掉,neg,"[(0, 0.014305184), (1, 0.8140314), (2, 0.01430547), (3, 0.01430522), (4, 0.014305401), (5, 0.014305255), (6, 0.014305409), (7, 0.014305184), (8, 0.014305351), (9, 0.014305184), (10, 0.014305211), (11, 0.014305338), (12, 0.014305184), (13, 0.014305232)]",1
散热不好，机器用一会就很热，怪不得送散热器呢，,散热 不好 机器 一会 散热器,neg,"[(0, 0.24158375), (1, 0.0119065875), (2, 0.011906604), (3, 0.011906597), (4, 0.011906599), (5, 0.011906627), (6, 0.011906572), (7, 0.011906612), (8, 0.6155371), (9, 0.011906591), (10, 0.0119066015), (11, 0.011906635), (12, 0.011906563), (13, 0.011906572)]",8
"和用过的独显本本一样: 散热有点差 ,酒红色没有理想的艳,深暗红色,本本厚了点.",用过 独显 本本 散热 红色 理想 暗红色 本本,neg,"[(0, 0.89671856)]",0
给机子系统评分才3，主要是图形处理功能要低点，其他还可以。还有，应该搞一个鼠标触摸板的开关功能！,子系统 评分 图形处理 功能 低点 鼠标 触摸板 开关 功能,neg,"[(6, 0.9070722)]",6
比我想象中重很多，接口太少。还有这个系统起动太慢了，可能是我用不习惯的原因吧。,想象 中重 接口 系统 起动 太慢 习惯 原因,neg,"[(6, 0.89676976)]",6
"： 外观漂亮,各功能指示灯也很好看,价格较中关村划算一些。给女孩子用较适合,看电影、听音乐音效还可以",外观 漂亮 功能 指示灯 好看 价格 中关村 划算 女孩子 适合 电影 音乐 音效,neg,"[(2, 0.60363895), (8, 0.25652966), (13, 0.08366335)]",2
颜色不真实！！！不知道怎么设置，看着很不舒服！！！谁给指点一下,颜色 真实 设置 看着 舒服 指点,neg,"[(0, 0.20345838), (1, 0.010214188), (2, 0.67397165), (3, 0.010214151), (4, 0.010214147), (5, 0.010214156), (6, 0.010214163), (7, 0.010214153), (8, 0.010214168), (9, 0.010214202), (10, 0.010214159), (11, 0.0102141835), (12, 0.010214158), (13, 0.010214181)]",2
光驱运行时声音比较大,光驱 运行 声音,neg,"[(0, 0.017857937), (1, 0.017858004), (2, 0.017858008), (3, 0.01785794), (4, 0.017857933), (5, 0.017857926), (6, 0.017858023), (7, 0.017857904), (8, 0.76784587), (9, 0.01785846), (10, 0.017857973), (11, 0.017857999), (12, 0.017857946), (13, 0.017858068)]",8
"重量偏重,今晚用出现网络连接不上的问题,后又恢复正常,不知道还会不会出现这种现象",重量 偏重 今晚 网络连接 不上 恢复正常 现象,neg,"[(5, 0.12929164), (13, 0.76340544)]",13
"摄像头似乎有点问题,音孔太紧,开机太慢,刚买蓝屏一次,太巨型,光驱太劣质,接口没全开",摄像头 音孔 太紧 开机 太慢 蓝屏 巨型 光驱 劣质 接口 全开,neg,"[(2, 0.9225416)]",2
摄像头不清楚，散热一般，说是商务型的，散热还是不怎么样！华硕屏的亮度都不好，声音小，音质比以前的强，原来的本音质真的很垃圾,摄像头 散热 商务 散热 不怎么样 华硕 亮度 不好 声音 音质 音质 真的 垃圾,neg,"[(8, 0.63267), (9, 0.30607787)]",8
1、没有想象中的那么强悍，尤其是显卡！2、这样的配置摊上这么个破系统，算是白瞎了，新机器用起来就不是很快，让我如何忍受！不过这不能怪京东，只能怪华硕！,想象 强悍 显卡 配置 摊上 系统 算是 机器 很快 忍受 京东 只能 华硕,neg,"[(1, 0.6516825), (11, 0.28706163)]",1
偏重，散热一般，一满载就到70多度。,偏重 散热 满载 多度,neg,"[(0, 0.0143065555), (1, 0.014306534), (2, 0.014306541), (3, 0.014306541), (4, 0.014306543), (5, 0.2204585), (6, 0.014306531), (7, 0.014306548), (8, 0.60786307), (9, 0.014306539), (10, 0.014306539), (11, 0.014306536), (12, 0.014306536), (13, 0.014306537)]",8
1、不是系统，换没驱动！,系统 驱动,neg,"[(0, 0.023809705), (1, 0.69047284), (2, 0.023809768), (3, 0.02380978), (4, 0.023809845), (5, 0.023809733), (6, 0.023809936), (7, 0.023809802), (8, 0.023809783), (9, 0.02380985), (10, 0.023809746), (11, 0.023809772), (12, 0.023809725), (13, 0.02380976)]",1
1、机器较沉,机器 较沉,neg,"[(0, 0.023832561), (1, 0.023832511), (2, 0.023832489), (3, 0.023832519), (4, 0.023832472), (5, 0.023832774), (6, 0.02383251), (7, 0.023832519), (8, 0.023832591), (9, 0.023832511), (10, 0.6901767), (11, 0.02383282), (12, 0.02383248), (13, 0.023832494)]",10
唯一感觉不足的是硬盘就分了两个驱，每个100多，要是能分成3个或更多就好了，呵呵,唯一 感觉 硬盘 就分 两个 分成 更多,neg,"[(13, 0.88378805)]",13
预装的系统版很鸡肋，还不如直接装旗舰版，或者专业版。,预装 系统 鸡肋 旗舰版 专业版,neg,"[(0, 0.011915728), (1, 0.011915801), (2, 0.8450952), (3, 0.011915717), (4, 0.011915739), (5, 0.011915734), (6, 0.011915743), (7, 0.011915783), (8, 0.011915721), (9, 0.011915902), (10, 0.011915727), (11, 0.011915723), (12, 0.011915719), (13, 0.011915747)]",2
本机预装的跟瑞星杀软不兼容，蓝屏，不能进入系统，不能自行卸载！！千万小心别装，用卡巴可以。,预装 瑞星 兼容 蓝屏 系统 自行 卸载 小心 卡巴,neg,"[(8, 0.5312104), (9, 0.38293377)]",8
1、所谓钢琴漆，既不耐磨耐刮，还容易留手印。,钢琴漆 耐磨 手印,neg,"[(0, 0.017867358), (1, 0.017867353), (2, 0.017867362), (3, 0.017867379), (4, 0.017867353), (5, 0.017867366), (6, 0.017867362), (7, 0.017867353), (8, 0.017867355), (9, 0.017867455), (10, 0.017867353), (11, 0.017867353), (12, 0.7677242), (13, 0.017867386)]",12
风扇确实够响的，尤其是到晚上周围安静下来。风扇频频开启，发热量有些惊人,风扇 确实 够响 晚上 安静下来 风扇 频频 开启 发热量 惊人,neg,"[(9, 0.91553116)]",9
  还不是很会。买来时没有帮忙装上一些常用软件，未提供系统选择（可以帮忙装上双系统）,买来 帮忙 常用软件 提供 系统 选择 帮忙 双系统,neg,"[(6, 0.24311182), (11, 0.66154635)]",11
白色似乎不耐脏，但，欣喜的是：这种特别的外壳资材，却是非常特殊，有点脏一抹就掉了，特别干净，非常出乎我的意料！！！,白色 耐脏 欣喜 特别 外壳 资材 却是 一抹 特别 干净 出乎 意料,neg,"[(9, 0.92850107)]",9
现在和以前的版本不太一样，现在的顶盖是全蓝色的，不如以前了，而且顶盖的不能发光了，有点不爽。,版本 顶盖 蓝色 顶盖 发光 不爽,neg,"[(0, 0.010211669), (1, 0.010211736), (2, 0.010211904), (3, 0.010211804), (4, 0.010211669), (5, 0.010211761), (6, 0.8672473), (7, 0.010211682), (8, 0.010211809), (9, 0.0102117015), (10, 0.010211682), (11, 0.010211826), (12, 0.010211669), (13, 0.010211807)]",6
"预装,重新安装装驱动比较麻烦",预装 重新安装 驱动 麻烦,neg,"[(0, 0.014288484), (1, 0.014288586), (2, 0.0142885465), (3, 0.014288558), (4, 0.24147387), (5, 0.014288516), (6, 0.014288569), (7, 0.014288583), (8, 0.014288535), (9, 0.01428859), (10, 0.014288526), (11, 0.014288529), (12, 0.014288502), (13, 0.58706355)]",13
我付款已第三天，至今未收到货！由于点错了，才进到这个介面的。无奈中！！！,付款 第三天 收到 点错 进到 介面 无奈,neg,"[(4, 0.16458015), (7, 0.7280931)]",7
预装的分区比较变态；改装成之后，运行打开加速器后，经常卡。左手部位比较热,预装 分区 变态 改装成 运行 打开 加速器 左手 部位,neg,"[(2, 0.90705186)]",2
只有1内存，要是京东再送1就更赞了。系统1跑起来比较难忍。,内存 京东 系统 难忍,neg,"[(0, 0.014293264), (1, 0.014293547), (2, 0.014293266), (3, 0.014293255), (4, 0.014293326), (5, 0.014293266), (6, 0.0142933335), (7, 0.01429328), (8, 0.014293286), (9, 0.01429333), (10, 0.014293341), (11, 0.014293318), (12, 0.014293263), (13, 0.81418693)]",13
可能是我太霉，新本本竟然原装系统就有问题，无法启动，好在客服服务很好，当天就给我快递来原装恢复盘，现在已经正常使用了，希望以后不要再出现这种问题,是我太 本本 原装 系统 启动 客服 服务 当天 快递 原装 恢复 希望,neg,"[(2, 0.5742561), (6, 0.35978064)]",2
内存太小了点，肯定跑不动 需要加内存。改成后内存基本够用，可等内存价格回落后再购买。,内存 太小 肯定 跑不动 内存 改成 内存 够用 内存价格 落后 购买,neg,"[(3, 0.10353559), (12, 0.82499474)]",12
标准内存太小，自己加了一个！没有自带的恢复光盘，重装系统后驱动有问题，自带的快捷键无法使用，还好网站上可以讲驱动全部下载使用,标准 内存 太小 自带 恢复 光盘 重装系统 驱动 自带 快捷键 还好 网站 驱动 下载,neg,"[(1, 0.23648727), (4, 0.7063438)]",4
1.宽屏真是看着很难受，谁发明的宽屏呀,看着 难受 发明,neg,"[(0, 0.26168767), (1, 0.017896578), (2, 0.017896594), (3, 0.017896578), (4, 0.017896578), (5, 0.52355313), (6, 0.017896578), (7, 0.017896691), (8, 0.017896578), (9, 0.017896578), (10, 0.01789658), (11, 0.017896585), (12, 0.01789659), (13, 0.01789669)]",5
装的时候很麻烦。驱动现在有个未知设备不知道什么东西。,麻烦 驱动 有个 未知 设备 东西,neg,"[(0, 0.010209179), (1, 0.0102090575), (2, 0.010209032), (3, 0.010209069), (4, 0.0102090845), (5, 0.010209013), (6, 0.01020904), (7, 0.010209039), (8, 0.8672823), (9, 0.010209033), (10, 0.0102091115), (11, 0.010209027), (12, 0.01020903), (13, 0.010209035)]",8
此款机型硬盘除了服务分区外只有一个主分区，系列可以考虑出厂预装系统时做好分区,此款 机型 硬盘 服务 分区 分区 系列 出厂 预装 系统 做好 分区,neg,"[(7, 0.92852515)]",7
比6的不足就是没有蓝牙。虽然6要贵些，不过看到京东卖到断货就知道群众的眼睛是雪亮的呵呵。,蓝牙 京东 卖到 断货 群众 眼睛 雪亮,neg,"[(9, 0.88384914)]",9
风扇声音比较大；自己拆卸键盘添加内存、更换硬盘很不方便；装回键盘还需要一定的技巧才行。,风扇 声音 拆卸 键盘 添加 内存 更换 硬盘 装回 键盘 技巧,neg,"[(0, 0.6770413), (9, 0.25145823)]",0
确实热了些，风扇转速高，待机风扇声音不算大，和的比大一点，全速热量就有些高,确实 风扇 转速 待机 风扇 声音 不算 比大 一点 全速 热量,neg,"[(11, 0.9225339)]",11
装系统麻烦，如果不想用或者7的话，我折腾了很久，用那个深度订制的安装盘搞定的。随机不带驱动盘，也不好，只能上网下载,系统 麻烦 不想 折腾 很久 深度 订制 安装盘 搞定 随机 驱动 不好 只能 上网 下载,neg,"[(3, 0.6853236), (4, 0.26107818)]",3
自提的机器，开机正常，但屏幕没有背光。直接到楼上去找京东客服。,自提 机器 开机 屏幕 背光 楼上 京东 客服,neg,"[(0, 0.89674973)]",0
装系统实在是太费事了啊！！！刚买来的时候插口不好用，后来打了惠普的客服才知道怎么安系统，电话打了1个多小时，费牛劲了,系统 实在 费事 买来 插口 不好 惠普 客服 系统 电话 小时 牛劲,neg,"[(1, 0.74623376), (12, 0.18777543)]",1
价格没有优势，因为不送东西。自己买完后和在电脑城买差不多。不过自己买的鼠标，包呀可以自己选择也不错。那有那么多好事都让你给遇到呢。,价格 优势 东西 买完 电脑城 鼠标 选择 不错 好事,neg,"[(12, 0.7927624), (13, 0.12145057)]",12
帮我装系统的师傅说，这本子的系统不是一般的难装，所有版本的都试过了没法装进去，好像是内部系统的要求比较高，没办法还是装了，但使用起来影响不大。,系统 师傅 本子 系统 版本 没法 装进去 好像 内部 系统 办法 影响,neg,"[(1, 0.92853135)]",1
"就是系统比较难装,尤其是要装的话,一定要有带串口驱动的系统盘来安装,否则装不上去,比较郁闷！最后还是装了,还好没有什么大型商业软件需求.",系统 串口 驱动 系统盘 安装 郁闷 还好 大型 商业软件 需求,neg,"[(6, 0.27507886), (13, 0.6469027)]",13
"平台,性能还是不错的,但是风扇确实很响,假如玩游戏的话,风扇一定会一直响着,可能是风扇的品质也一般,比我的东芝301的风扇要响不少,发热量还好吧,出风口在后面,不过感觉热风会吹到屏幕的下方部位",平台 性能 不错 风扇 确实 玩游戏 风扇 风扇 品质 东芝 风扇 发热量 还好 出风口 感觉 热风 屏幕 下方 部位,neg,"[(2, 0.7553198), (13, 0.20179197)]",2
系统难搞，用了一天时间，把装好，后来又装成了，因为不大需要玩游戏什么,系统 难搞 时间 装好 装成 玩游戏,neg,"[(0, 0.010210528), (1, 0.010210588), (2, 0.010210536), (3, 0.010210499), (4, 0.86726284), (5, 0.01021049), (6, 0.010210574), (7, 0.010210548), (8, 0.010210581), (9, 0.010210603), (10, 0.010210506), (11, 0.010210528), (12, 0.010210564), (13, 0.010210622)]",4
刚买的时候没发现 笔记本后盖隆起 估计没盖好后盖 螺丝钉就拧上了 退换货太太太麻烦了 时间成问题 自己忍了 找个螺丝刀自己拆了机子修好了 给这笔记本配这些装备 如电脑包屏幕膜可着实费了不少功夫,发现 笔记本 隆起 估计 没盖 螺丝钉 拧上 退换货 太太 麻烦 时间 成问题 螺丝刀 机子 修好 笔记本 装备 电脑包 屏幕 着实 功夫,neg,"[(13, 0.9577439)]",13
就是京东降价太快。买的时候5199。没过几天居然4999了。直接损失200块钱。感觉本子像阉割过一样。分量很轻……,京东 降价 没过几天 损失 块钱 感觉 本子 阉割 分量,neg,"[(5, 0.7870089), (8, 0.12714641)]",5
1.垃圾，刚装好，删除机器自带的试用软件，就彻底死机，用11恢复不了。没恢复盘,垃圾 删除 机器 自带 试用 软件 死机 恢复 恢复,neg,"[(2, 0.4998587), (5, 0.41437006)]",2
没系统 对菜鸟来讲是种折磨,系统 菜鸟 折磨,neg,"[(0, 0.017888678), (1, 0.017888738), (2, 0.017888693), (3, 0.017888673), (4, 0.017888848), (5, 0.017888812), (6, 0.01788871), (7, 0.017888715), (8, 0.017888807), (9, 0.49941492), (10, 0.017888691), (11, 0.017888688), (12, 0.28592026), (13, 0.017888727)]",9
键盘左上4-12之间有点凸起，最高有2。还有键盘与触摸板之间的板有点变形，感觉像压线拱起来（没拆开看过），不过不影响使用,键盘 左上 之间 凸起 键盘 触摸板 之间 变形 感觉 压线 拆开 看过 影响,neg,"[(0, 0.9336174)]",0
最好能预装  这样对我买来换系统的方便点   而且耗电比较厉害~  只能当游戏本用~,预装 买来 系统 耗电 厉害 只能 游戏,neg,"[(0, 0.40228006), (9, 0.33888063), (12, 0.16046561)]",0
对于电脑硬件方面的缺点是显卡运行大型游戏有些吃力，而且经常出现玩一些很简单的3游戏时出现贴图错误更换驱动也如此所以只能说3650在设计上还有缺陷其次京东发的货也有质量问题键盘左上角处有明显塌陷感,电脑硬件 缺点 显卡 运行 大型 游戏 吃力 经常出现 简单 游戏 贴图 错误 更换 驱动 只能 设计 缺陷 京东 质量 键盘 左上角 处有 塌陷,neg,"[(0, 0.7943609), (8, 0.11705691), (12, 0.055820264)]",0
"钢琴烤漆的面盖很容易印上指纹,显示屏与下面的连接时塑料的,据说用久了容易松动.",钢琴 烤漆 面盖 指纹 显示屏 连接 塑料 松动,neg,"[(5, 0.59859705), (13, 0.30602074)]",5
"机子刚入手装了一下系统硬盘就坏了,找店家换了,处理速度还是让人相当满意的,",机子 入手 系统 硬盘 店家 处理速度 满意,neg,"[(9, 0.8838505)]",9
外壳做工有点茶，有些地方有毛边，出现一次花屏，不知道会不会再出现,外壳 做工 地方 毛边 花屏,neg,"[(0, 0.011915029), (1, 0.011915026), (2, 0.011914991), (3, 0.6483825), (4, 0.011914998), (5, 0.0119151175), (6, 0.011914983), (7, 0.011915075), (8, 0.011915029), (9, 0.011915058), (10, 0.011914995), (11, 0.011915049), (12, 0.20863718), (13, 0.01191503)]",3
要是内存是2就更好了。京东找运输公司的时候也不问下能不能发到收货地址的吗？？？？？？还是我自己又再花了20块钱去拿的货。。。。。。。,内存 更好 京东 运输 公司 下能 发到 收货 地址 块钱,neg,"[(4, 0.9155106)]",4
键盘敲击声音大尤其小键盘，开盖按键还不好用，很不好打开，外壳边缘还有毛边，装 无法激活,键盘 敲击 声音 小键盘 开盖 按键 不好 不好 打开 外壳 边缘 毛边 激活,neg,"[(1, 0.93362415)]",1
就是安装系统不方便，并且华硕官网没有这个型号的专门驱动，只能下载近似型号的。,安装 系统 华硕 官网 型号 驱动 只能 下载 近似 型号,neg,"[(4, 0.9155658)]",4
新机貌似不支持启动，只能用光驱安装系统,新机 貌似 支持 启动 只能 光驱 安装 系统,neg,"[(1, 0.5123488), (6, 0.39239207)]",1
钢琴面容易沾指纹，摄像头的图像效果太差了点，电池的一个锁止开关不能自动锁止，要手动扳一下才能锁住。还有就是没有的驱动光盘还要自己去管网下载太麻烦了。,钢琴 指纹 摄像头 图像 效果 电池 锁止 开关 自动 锁止 手动 锁住 驱动 光盘 管网 下载 麻烦,neg,"[(9, 0.94838274)]",9
送了根连接电视的接线，本本上却没有的接口，不知为什么！！！！！！！！,连接 电视 接线 本本 接口 不知,neg,"[(0, 0.0102136275), (1, 0.010213634), (2, 0.010213649), (3, 0.0102137), (4, 0.010213614), (5, 0.010213663), (6, 0.8672227), (7, 0.010213622), (8, 0.010213629), (9, 0.010213678), (10, 0.010213633), (11, 0.01021361), (12, 0.010213624), (13, 0.010213622)]",6
绝对是指纹收集器，太容易留下指纹了，另外如果想增加内存，其实，很难！,指纹 收集器 留下 指纹 增加 内存,neg,"[(0, 0.010209066), (1, 0.010209084), (2, 0.16480906), (3, 0.01020911), (4, 0.010209079), (5, 0.010209088), (6, 0.010209062), (7, 0.01020922), (8, 0.010209163), (9, 0.010209197), (10, 0.0102091), (11, 0.010209103), (12, 0.010209128), (13, 0.71268153)]",13
提前一天定，隔天就降了300块，太亏了，京东还不给补偿，郁闷。,提前 隔天 亏了 京东 补偿 郁闷,neg,"[(0, 0.01021779), (1, 0.010217796), (2, 0.010217804), (3, 0.010217776), (4, 0.010217824), (5, 0.8671687), (6, 0.01021781), (7, 0.010217782), (8, 0.010217778), (9, 0.010217783), (10, 0.010217802), (11, 0.010217779), (12, 0.010217775), (13, 0.010217799)]",5
内存应该升级2才好，另外买完就降价300大洋。比较郁闷。驱动还算好找，就是华硕的客服不太满意，告诉他音箱声音太小，他说什么叫不影响使用就好！暴郁闷！,内存 升级 买完 降价 大洋 郁闷 驱动 好找 华硕 客服 满意 告诉 音箱 声音 太小 影响 郁闷,neg,"[(10, 0.16095112), (13, 0.79140365)]",13
美中不足的就是内存了???一处败笔啊！,美中不足 内存 一处 败笔,neg,"[(0, 0.81414926), (1, 0.014296151), (2, 0.014296131), (3, 0.014296171), (4, 0.014296216), (5, 0.014296137), (6, 0.014296151), (7, 0.014296131), (8, 0.014296354), (9, 0.014296205), (10, 0.014296255), (11, 0.014296313), (12, 0.014296225), (13, 0.014296304)]",0
屏的分辨率最高1440*900。字体小但很细腻。有点累眼。调到1280*768后，字体等不细腻了。,分辨率 字体 细腻 有点累 调到 字体 细腻,neg,"[(2, 0.19140951), (11, 0.70069504)]",11
内存小了点，不过可以加。装系统有点麻烦，再就是开的发票在网上查不到，有点奇怪。就不知道售后认不认这发票,内存 系统 麻烦 再就是 发票 网上 查不到 奇怪 售后 认不认 发票,neg,"[(11, 0.9225472)]",11
内存太小了点，标配2就好了，视频130小了点，好模糊的！装有点麻，没有驱动！麻烦点！,内存 太小 标配 视频 模糊 装有 驱动 麻烦,neg,"[(8, 0.3121346), (12, 0.59258443)]",12
噪音稍大，再就是装系统确实蓝屏的几率比较大，装算了，别的缺点暂时真没发觉，水平有限,噪音 再就是 系统 确实 蓝屏 几率比 较大 算了 缺点 暂时 发觉 水平 有限,neg,"[(9, 0.93363816)]",9
"模具差,我的屏幕边框上有3个毛刺,天天一打开就看见,搓气啊",模具 屏幕 边框 上有 毛刺 天天 打开,neg,"[(11, 0.8837871)]",11
散热一般，风扇声音略大了些！,散热 风扇 声音 大了些,neg,"[(0, 0.014302303), (1, 0.014302193), (2, 0.01430226), (3, 0.014302216), (4, 0.014302236), (5, 0.014302221), (6, 0.014302195), (7, 0.014302335), (8, 0.014302375), (9, 0.52311796), (10, 0.014302208), (11, 0.014302216), (12, 0.30525503), (13, 0.014302245)]",9
美中不足的是：送来的赠品--包包质量有点问题，但京东不让换，这让人感觉有点遗憾~~,美中不足 送来 赠品 包包 质量 京东 不让 感觉 遗憾,neg,"[(2, 0.2148716), (9, 0.6993623)]",9
1，系统进不去,系统 进不去,neg,"[(0, 0.023814635), (1, 0.69040924), (2, 0.023814656), (3, 0.023814635), (4, 0.023814643), (5, 0.023814661), (6, 0.023814691), (7, 0.0238147), (8, 0.023814656), (9, 0.02381478), (10, 0.023814678), (11, 0.02381465), (12, 0.023814643), (13, 0.02381467)]",1
