original_content,processed_content
　海外勢の強みは豊富な車種だ。輸入組合によると、海外メーカーは国内で９５モデル（６月時点）を販売。独メルセデス・ベンツは８月２５日に国内７車種目の新型車を投入し、ＢＹＤは今月２０日に日本で２車種目の「ドルフィン」を発売するなど攻勢をかけている。,海外 強み 豊富 車種 輸入 組合 よる 海外 メーカー 国内 モデル 時点 販売 メルセデス・ベンツ 国内 車種 新型 投入 今月 日本 車種 ドルフィン 発売 攻勢 かけ
　新たな試みも始まる。独アウディは鹿児島県屋久島町と協定を結び、１０月にＥＶ「イートロン」シリーズのレンタカー事業を始める。島内の電力はほぼ全て水力発電で、広報担当者は「屋久島町は『脱炭素』に最も近い島。持続可能な社会に向け、ＥＶ体験を広げていきたい」として観光客を通じた販売拡大を狙う。,新た 試み 始まる アウディ 鹿児島 屋久島 協定 結び イートロン シリーズ レンタカー 事業 始める 島内 電力 ほぼ 全て 水力 発電 広報 担当 屋久島 炭素 最も 近い 持続 可能 社会 向け 体験 広げ いき たい 観光 通じ 販売 拡大 狙う
　普及への課題は充電施設の整備だ。ゼンリンによると、全国の公共充電スポット数は、政府の補助金削減や老朽化で２３年３月時点で約３万基と１８年頃から横ばい。都市部に集中し、九州・山口は３５８１基と１９年より６％減少した。,普及 課題 充電 施設 整備 ゼンリン よる 全国 公共 充電 スポット 政府 補助 削減 老朽 時点 年頃 横ばい 都市 集中 九州 山口 減少
　自動車産業に詳しい伊藤忠総研の深尾三四郎上席主任研究員は「ＥＶ市場は今後も広がる。車種が増え、地方でセカンドカーの需要も見込める。再生エネが普及する九州はＥＶ先進地となる潜在能力があり、自治体の後押しがカギを握る」と指摘している。,自動車 産業 詳しい 伊藤 総研 深尾 三四郎 上席 主任 研究 市場 今後 広がる 車種 増え 地方 セカンド カー 需要 見込める 再生 エネ 普及 九州 先進地 潜在 能力 自治体 後押し カギ 握る 指摘
　国や自治体はＥＶ普及を補助金などで後押ししている。経済産業省は「クリーンエネルギー自動車導入促進補助金」を導入しており、車種によって購入額の最大８５万円を補助する。,自治体 普及 補助 後押し 経済 産業 クリーン エネルギー 自動車 導入 促進 補助 導入 車種 購入 最大 補助
　地方自治体も補助制度を設けており、鹿児島県屋久島町は１台につき５５万円を補助。福岡市は１０万円で、再生可能エネルギーの電力で充電すれば５万円増額する。国の補助と併用が可能で計１００万円以上の補助を受けられる自治体もある。長崎市はＥＶの軽自動車税を全額免除している。,地方自治体 補助 制度 設け 鹿児島 屋久島 補助 福岡 再生 可能 エネルギー 電力 充電 すれ 増額 補助 併用 可能 以上 補助 受け 自治体 長崎 軽自動車 全額 免除
　山口県下関市は、家庭向けの充電設備で助成し、ＥＶから住宅への電気供給ができる機器の設置で５万円を上限に補助する。,山口 下関 家庭 向け 充電 設備 助成 住宅 電気 供給 機器 設置 上限 補助
　ただ東京都は最大８５万円の補助制度を設け、国や自治体の支援と合わせて２００万円近い補助を受けられる場合があり、地域によって支援内容に差がある。,東京 最大 補助 制度 設け 自治体 支援 合わせ 近い 補助 受け 場合 地域 支援 内容
Title: テスラ、中国で２車種をまた値下げ…ＢＹＤの追随で価格競争激化,テスラ 中国 車種 値下げ 追随 価格 競争 激化
【北京＝山下福太郎】米電気自動車（ＥＶ）大手テスラは１日、中国でセダンタイプの「モデルＳ」の販売価格を７％、ＳＵＶ（スポーツ用多目的車）の「モデルＸ」は１２％値下げすると発表した。両車種は８月中旬に値下げしたばかりで、中国での価格競争が一段と激しくなる可能性がある。,北京 山下 福太郎 電気 自動車 大手 テスラ 中国 セダン タイプ モデル 販売 価格 スポーツ 多目的 モデル 値下げ 発表 車種 中旬 値下げ 中国 価格 競争 一段と 激しく 可能
　モデルＳは５・６万元安い６９・８９万元（約１４００万円）、モデルＸは９・８万元安い７３・８９万元となる。８月中旬の値下げを含めると、モデルＳは計１４％、モデルＸは計１８％値下がりする。,モデル 安い モデル 安い 中旬 値下げ 含める モデル モデル 値下がり
　テスラは昨年夏以降、中国で数度の値下げを実施しており、中国ＥＶ大手のＢＹＤなども追随している。,テスラ 昨年 以降 中国 値下げ 実施 中国 大手 追随
Title: 中国ＢＹＤ、コンパクトＥＶ「ドルフィン」２０日発売…地方の２台目を想定,中国 コンパクト ドルフィン 発売 地方 想定
中国の電気自動車（ＥＶ）大手ＢＹＤは１日、日本向けでは２車種目となるＥＶ「ドルフィン」を２０日に発売すると発表した。コンパクトカータイプで、車の利用が多い地方で２台目の自家用車としての購入などを想定している。,中国 電気 自動車 大手 日本 向け 車種 ドルフィン 発売 発表 コンパクトカータイプ 利用 多い 地方 自家用車 購入 想定
　価格は２０日に公表予定だが、中国では１２万～１４万元程度（２５０万円前後）で販売している。丸みを帯びたデザインが特徴で、日本向けに車高を低くして機械式駐車場の高さ制限に対応した。幼児の車内への置き去りを防止する機能を標準搭載している。上位グレードでは、満充電時の航続距離を４７６キロ・メートルとした。,価格 公表 予定 中国 程度 前後 販売 丸み 帯び デザイン 特徴 日本 向け 低く 機械 駐車 制限 対応 幼児 車内 置き去り 防止 機能 標準 搭載 上位 グレード 充電 航続 距離 キロ メートル
　昨年のＢＹＤのＥＶ販売台数は約９１万台で、米テスラに次ぐ世界２位。今年１月に日本の乗用車市場に参入し、最初に投入したスポーツ用多目的車（ＳＵＶ）「ＡＴＴＯ３」は８月下旬までに約７００台が売れた。,昨年 販売 台数 テスラ 次ぐ 世界 今年 日本 乗用車 市場 参入 最初 投入 スポーツ 多目的 月下 売れ
Title: 「３０年までにすべての車型でカーボンニュートラルに対応」…いすゞ自動車・南真介社長,すべて カーボンニュートラル 対応 いすゞ自動車 社長
商用車業界も脱炭素への対応が急務となっている。技術開発や生産の効率化を目的とした合従連衡が相次ぐ。いすゞ自動車は３月、小型トラックの「エルフ」を１７年ぶりに全面改良し、初となる量産電気自動車（ＥＶ）タイプを発売した。南真介社長に話を聞いた。,商用 業界 炭素 対応 急務 技術 開発 生産 効率 目的 合従連衡 相次ぐ いすゞ自動車 小型 トラック エルフ ぶり 全面 改良 量産 電気 自動車 タイプ 発売 社長 聞い
　――４月に社長に就任した。,社長 就任
　「５月に企業理念を『地球の運ぶを創造する』と、刷新した。従来の『運ぶを支え』という表現から前進した。これまでの保守的な社風から殻を破りたいとの思いを込めた。,企業 理念 地球 運ぶ 創造 刷新 従来 運ぶ 支え 表現 前進 保守 社風 破り たい 思い 込め
　（温室効果ガスの排出量を実質ゼロにする）カーボンニュートラルで、我々の根底にあったディーゼルエンジンのあり方は変わる。改善を重ねるだけでは、変化の速さに追いつかない。人口減少社会で、これまでのように日本から世界へという考えは成り立たなくなる。海外で働く人材を取り込み、活用していくことが目標だ」,温室 効果 ガス 排出 実質 ゼロ カーボンニュートラル 根底 ディーゼルエンジン あり方 変わる 改善 重ねる 変化 追いつか 人口 減少 社会 日本 世界 考え 成り立た 海外 働く 人材 取り込み 活用 いく 目標
　――かつて資本関係のあった米ゼネラル・モーターズ（ＧＭ）の工場再建に関わった。,資本 関係 ゼネラル・モーターズ 工場 再建 関わっ
　「米国人の中に、日本人が入ってエンジン工場を支えるのはとても難しく、当初は協力を得られなかった。日本のためという考えではなく、米国社会に貢献するという観点で、ＧＭ側と腹を割って話し合った結果、成功できた」,米国 日本人 入っ エンジン 工場 支える とても 難しく 当初 協力 日本 考え 米国 社会 貢献 観点 割っ 話し合っ 結果 成功
　――２０２１年から本格的に始まったスウェーデン商用車大手のボルボ・グループとの提携の狙いは。,本格 始まっ スウェーデン 商用 大手 ボルボ グループ 提携 狙い
　「（ＥＶ化をはじめとする次世代技術）『ＣＡＳＥ』への対応が必要な中で、小型から大型のトラックまですべてを自社で手がけるのは難しい。大型車の需要は国土が狭い日本では非常に少なく、中小型に専念したかった。パートナーを探していたところ、ボルボが見つかった。,はじめ 次世代 技術 対応 必要 小型 大型 トラック すべて 自社 手がける 難しい 大型 需要 国土 狭い 日本 非常 少なく 中小 専念 たかっ パートナー 探し ボルボ 見つかっ
　ボルボも選択と集中を進めており、日本を含むアジア地域は詳しくなかったのではないか。（完全子会社の）ＵＤトラックスをいすゞが買収するという形で、うまくいった」,ボルボ 選択 集中 進め 日本 含む アジア 地域 詳しく 完全 子会社 トラックス いすゞ 買収 うまく いっ
　――ＵＤトラックスを傘下に収めた効果は。,トラックス 傘下 収め 効果
　「一番大きいのは、大型トラックの開発を任せられることだ。物流、購買面での相乗効果もあって、現在はサービス拠点の相乗りを進めている。数字に表れない部分では、欧米型の経営を取り入れることができた。これまでは訓示形式の集会が多かった。社長就任後に国内外の工場を回った時は、タウンホールと呼ぶ自由な意見交換会を開いた。従業員の会社への理解は深まったように思う」,一番 大きい 大型 トラック 開発 任せ 物流 購買 相乗 効果 現在 サービス 拠点 相乗り 進め 数字 表れ 部分 欧米 経営 取り入れる 訓示 形式 集会 多かっ 社長 就任 国内外 工場 回っ タウン ホール 呼ぶ 自由 意見 交換 開い 従業 会社 理解 深まっ 思う
　――中長期的に取り組みたいテーマは。,中長期 取り組み たい テーマ
　「長期的には、カーボンニュートラルの展開を見定めたい。商用車はＥＶに限らず、水素や（二酸化炭素と水素を合成してつくる液体燃料）イーフューエルを使う選択肢もある。自動運転や（インターネットの通信機能を備えた）コネクテッドカーが３０年代にかけてどう変わるかも考える必要がある。３０年に、すべての車型でカーボンニュートラルにつながる自動車をそろえる目標を立てている」,長期 カーボンニュートラル 展開 見定め たい 商用 限ら 水素 二酸化炭素 水素 合成 つくる 液体 燃料 イーフューエル 使う 選択肢 自動 運転 インターネット 通信 機能 備え コネクテッドカー 年代 どう 変わる 考える 必要 すべて カーボンニュートラル つながる 自動車 そろえる 目標 立て
　――日野自動車と三菱ふそうトラック・バスが５月に経営統合の方針を発表した。,日野自動車 三菱ふそう トラック バス 経営 統合 方針 発表
　「日本という島国は、商用車メーカーにとってパイが小さい。様々な分野で投資が必要となり、相手を活用するという狙いは理解できる。商用車業界は今後、二つのグループに集約され、競争力がつくだろう。日本の産業全体にとって、良い動きだと感じている」,日本 島国 商用 メーカー パイ 小さい 様々 分野 投資 必要 相手 活用 狙い 理解 商用 業界 今後 二つ グループ 集約 競争 つく だろ 日本 産業 全体 良い 動き 感じ
　――中国勢がＥＶトラックで存在感を増している。,中国 トラック 存在 増し
　「小型車では中国勢が台頭すると思う。性能が良ければ売れるのではなく、顧客との長いつきあいや各国市場の事情への理解がないと成功しない。新型エルフでは、『Ｉ―ＭＡＣＳ』という開発手法を導入した。プラットフォーム（車台）を一つにして、部材を自由に替え、各国の需要に合わせられる仕組みだ。中国勢に対して優位な位置にある」,小型車 中国 台頭 思う 性能 良けれ 売れる 顧客 長い つきあい 各国 市場 事情 理解 成功 新型 エルフ 開発 手法 導入 プラットフォーム 車台 一つ 部材 自由 替え 各国 需要 合わせ 仕組み 中国 優位 位置
　 ◆南真介氏（みなみ・しんすけ） 　１９８３年早大商卒、入社。取締役専務執行役員を経て、２０２３年４月から社長。企画・財務部門で働き、ボルボとの業務提携や、傘下のＵＤトラックスの買収など、他社との協業を進めてきた。トヨタ自動車との資本提携にも取り組んだ。東京都出身。,みなみ しん すけ 早大 入社 取締役 専務 執行 役員 社長 企画 財務 部門 働き ボルボ 業務 提携 傘下 トラックス 買収 他社 協業 進め トヨタ自動車 資本 提携 取り組ん 東京 出身
Title: トヨタ世界生産７月８０万台　過去最高　半導体不足が緩和,トヨタ 世界 生産 過去 最高 半導体 不足 緩和
トヨタ自動車が３０日発表した７月の世界生産台数（トヨタ、レクサス両ブランド）は、前年同月比１４・６％増の８０万９４００台、販売台数は７・８％増の８５万９５０６台で、いずれも７月として過去最高だった。半導体不足の緩和で生産が回復し、各地域の需要も堅調だった。,トヨタ自動車 発表 世界 生産 台数 トヨタ レクサス ブランド 前年 同月 販売 台数 いずれ 過去 最高 半導体 不足 緩和 生産 回復 地域 需要 堅調
　生産の内訳は、半導体を多く使う高級車種の比率が高い国内が３９・２％増の３０万８６８６台と大幅に伸びた。海外は３・３％増の５０万７１４台だった。販売の内訳は国内が３５・２％増の１４万１１７８台、海外が３・７％増の７１万８３２８台だった。海外では欧州全体やフィリピン、インドがそれぞれ２割近く伸びた。,生産 内訳 半導体 多く 使う 高級 車種 比率 高い 国内 大幅 伸び 海外 販売 内訳 国内 海外 海外 欧州 全体 フィリピン インド 近く 伸び
　一方、中国では生産が２３・５％減、販売が１５・４％減で、ともに前年割れとなった。新設した生産ラインが本格稼働した前年の反動減があったことに加え、電気自動車（ＥＶ）を中心に、現地企業との競争が激化していることが響いた。,中国 生産 販売 ともに 前年 割れ 新設 生産 ライン 本格 稼働 前年 反動 加え 電気 自動車 中心 現地 企業 競争 激化 響い
　グループ会社のダイハツ工業、日野自動車を含めた世界生産は１０・０％増の９１万８３４７台、世界販売は５・２％増の９１万８３４５台だった。,グループ 会社 ダイハツ工業 日野自動車 含め 世界 生産 世界 販売
Title: トヨタ、７月の世界生産台数が過去最高…半導体不足緩和で国内生産に伸び,トヨタ 世界 生産 台数 過去 最高 半導体 不足 緩和 国内 生産 伸び
トヨタ自動車が発表した７月の世界生産台数（トヨタ、レクサス両ブランド）は、前年同月比１４・６％増の８０万９４００台で、７月として過去最高だった。半導体不足の緩和で国内生産の伸びが目立った。,トヨタ自動車 発表 世界 生産 台数 トヨタ レクサス ブランド 前年 同月 過去 最高 半導体 不足 緩和 国内 生産 伸び 目立っ
　世界販売は７・８％増の８５万９５０６台で、同月として最高だった。国内販売は３５・２％増の１４万１１７８台だった。,世界 販売 同月 最高 国内 販売
　一方、中国では生産、販売のいずれも前年同月を下回った。電気自動車（ＥＶ）を中心に競争が激化している影響が響いた。,中国 生産 販売 いずれ 前年 同月 下回っ 電気 自動車 中心 競争 激化 影響 響い
Title: 支援分野は日本の裁量、「オファー型」ＯＤＡに１００億円…レアメタルの供給網強化も視野,支援 分野 日本 裁量 オファー レアメタル 供給 強化 視野
政府開発援助（ＯＤＡ）のうち日本側が支援メニューを提案する「オファー型協力」について、外務省が２０２４年度予算の概算要求に約１００億円を計上したことがわかった。来年度に「開発協力連携室」（仮称）を新設し、対中国を念頭にサプライチェーン（供給網）強化などの３分野で戦略的に支援を実施する。,政府 開発 援助 日本 支援 メニュー 提案 オファー 協力 外務省 年度 予算 概算 要求 計上 わかっ 来年度 開発 協力 連携 仮称 新設 中国 念頭 サプライ チェーン 供給 強化 分野 戦略 支援 実施
　複数の政府関係者が明らかにした。日本のＯＤＡは従来、相手国の要請に基づき、道路や橋、鉄道の建設などを実施してきた。しかし、日本経済の低迷でＯＤＡに対する国民の見方が厳しくなっていることから、岸田首相が今年３月、インドでの演説で、日本側が日本の国益に直接資する事業を提案・実施する「オファー型協力」を提唱。６月に８年ぶりに改定した「開発協力大綱」に実施方針を明記した。,複数 政府 関係 明らか 日本 従来 相手 要請 基づき 道路 鉄道 建設 実施 日本 経済 低迷 国民 見方 厳しく 岸田 首相 今年 インド 演説 日本 日本 国益 直接 資する 事業 提案 実施 オファー 協力 提唱 ぶり 改定 開発 協力 大綱 実施 方針 明記
　来年度の「オファー型協力」は、〈１〉供給網強化〈２〉デジタル〈３〉気候変動――の３分野で推進する。近く、こうした方針を明記した戦略文書を公表する予定だ。,来年度 オファー 協力 供給 強化 デジタル 気候 変動 分野 推進 近く 方針 明記 戦略 文書 公表 予定
　供給網強化に向けては、レアメタル（希少金属）の鉱山開発支援を念頭に置いている。レアメタルは電気自動車（ＥＶ）などに使われるが、中国の生産シェア（占有率）が高く、供給途絶のリスクが指摘されている。開発を積極的に支援することで、レアメタルの確保を図る。,供給 強化 向け レアメタル 希少 金属 鉱山 開発 支援 念頭 置い レアメタル 電気 自動車 使わ 中国 生産 シェア 占有 高く 供給 途絶 リスク 指摘 開発 積極 支援 レアメタル 確保 図る
　デジタル分野では、途上国への進出に二の足を踏む日本の新興企業の進出を後押しする事業などを想定している。通信などの分野は、中国企業が進出しており、対抗する狙いもある。一方、気候変動分野では、脱炭素化を進めるための水力発電技術の移転や、水素やアンモニアの製造支援などを検討している。,デジタル 分野 途上 進出 二の足 踏む 日本 新興 企業 進出 後押し 事業 想定 通信 分野 中国 企業 進出 対抗 狙い 気候 変動 分野 炭素 進める 水力 発電 技術 移転 水素 アンモニア 製造 支援 検討
　外務省が概算要求で計上した来年度のＯＤＡ予算の総額は、前年度当初比４８９億円増の４９１７億円（他省庁分を除く）。「オファー型協力」は全体のごく一部でスタートするが、外務省は、国際協力局に新設する連携室を中心に民間企業や他省庁とも連携して戦略的に展開する方針だ。成功事例を積み上げ、「オファー型協力」の規模拡大を目指す。,外務省 概算 要求 計上 来年度 予算 総額 前年度 当初 省庁 除く オファー 協力 全体 ごく 一部 スタート 外務省 国際 協力 新設 連携 中心 民間 企業 省庁 連携 戦略 展開 方針 成功 事例 積み上げ オファー 協力 規模 拡大 目指す
Title: 日産・ルノー　円滑な連携でＥＶ戦略加速を,日産 ルノー 円滑 連携 戦略 加速
日産自動車は、仏自動車大手ルノーと、懸案となっていた資本関係の見直しを決着させた。,日産自動車 自動車 大手 ルノー 懸案 資本 関係 見直し 決着
　資本関係の再構築で連携を円滑にし、電気自動車（ＥＶ）事業の強化などにつなげてもらいたい。,資本 関係 構築 連携 円滑 電気 自動車 事業 強化 つなげ もらい たい
　日産とルノーは、ルノーの日産に対する出資比率をこれまでの４３％から引き下げ、互いに１５％ずつの株を持ち合う対等の関係に改めることで最終合意した。,日産 ルノー ルノー 日産 出資 比率 引き下げ 互いに 持ち 合う 対等 関係 改める 最終 合意
　ルノーがＥＶ事業を分社化して設立する新会社に、日産が最大で６億ユーロ（約９５０億円）を出資することでも合意した。,ルノー 事業 分社 設立 会社 日産 最大 ユーロ 出資 合意
　両社は当初、３月末の契約を目指していたが、日産が持つ自動運転技術などの知的財産権を新会社にどこまで提供するかで調整が難航し、７月下旬にずれ込んだ。,両社 当初 月末 契約 目指し 日産 持つ 自動 運転 技術 知的 財産 会社 提供 調整 難航 月下 ずれ込ん
　脱炭素への対応や自動運転の普及などで、自動車産業は１００年に１度の変革期にある。,炭素 対応 自動 運転 普及 自動車 産業 変革期
　資本関係の見直しは日産の長年の悲願だっただけに、これを契機に、ルノーとの関係をさらに強固なものにし、変革への取り組みを加速させることが重要だ。,資本 関係 見直し 日産 長年 悲願 契機 ルノー 関係 強固 変革 取り組み 加速 重要
　日産は、経営危機に陥った１９９９年に、ルノーから約６０００億円の出資を受けた。,日産 経営 危機 陥っ ルノー 出資 受け
　その後は、業績の回復で日産の売上高や販売台数がルノーを大きく上回るようになったが、資本関係ではルノーの傘下となる「ねじれ」状態が続き、日産側に不平等だとの不満が強まっていた。,業績 回復 日産 売上 販売 台数 ルノー 大きく 上回る 資本 関係 ルノー 傘下 ねじれ 状態 続き 日産 平等 不満 強まっ
　新たな関係の下で急ぐべきなのは、ＥＶ戦略の練り直しだ。,新た 関係 急ぐ べき 戦略 練り直し
　もともと、ＥＶでは、日産が２０１０年に量産車の「リーフ」を発売するなど、先行してきた。しかし、最近では米テスラや、ＢＹＤなど中国勢の台頭により、大きく後れをとっている。,もともと 日産 量産 リーフ 発売 先行 最近 テスラ 中国 台頭 大きく 後れ とっ
　特に、中国市場では、政府当局の後押しでＥＶが急速に普及し、ガソリン車を主力とする日本勢が苦戦を強いられている。今年に入り、日産は前年比で２割以上、中国での販売台数が減少した。,中国 市場 政府 当局 後押し 急速 普及 ガソリン 主力 日本 苦戦 強い 今年 入り 日産 前年 以上 中国 販売 台数 減少
　世界最大の自動車市場である中国で巻き返すには、魅力あるＥＶの投入が不可欠となろう。,世界 最大 自動車 市場 中国 巻き返す 魅力 投入 不可欠 なろ
　提携相手のルノーは今回、自動車大手で初めてＥＶ事業を分社化する。成長性の高いＥＶ分野を切り分け、資金を集めやすくするのが狙いだとみられている。,提携 相手 ルノー 今回 自動車 大手 初めて 事業 分社 成長 高い 分野 切り分け 資金 集め やすく 狙い
　蓄電池やソフトウェアも含め、ＥＶの開発には巨額の資金が必要だ。ルノーは欧州市場を得意とし、日産はアジアで強い。補完関係にある両社が協力して効果的に投資を行い、新車開発やコスト削減を進めることが大切になる。,蓄電池 ソフトウェア 含め 開発 巨額 資金 必要 ルノー 欧州 市場 得意 日産 アジア 強い 補完 関係 両社 協力 効果 投資 行い 新車 開発 コスト 削減 進める 大切
Title: ボルボＥＶ新型モデルは小型ＳＵＶ、国産と同価格帯…不動奈緒美社長「狭い道路事情に適応」,ボルボ 新型 モデル 小型 国産 価格 不動 奈緒美 社長 狭い 道路 事情 適応
スウェーデン自動車大手ボルボ・カーは２４日、日本国内で３車種目となる電気自動車（ＥＶ）の新型モデル「ＥＸ３０」を１１月中旬から発売すると発表した。小型スポーツ用多目的車（ＳＵＶ）で価格は５５９万円（税込み）。速度計をタッチパネルで表示するなど部品の点数を減らし、価格を抑えたという。,スウェーデン 自動車 大手 ボルボ カー 日本 国内 車種 電気 自動車 新型 モデル 中旬 発売 発表 小型 スポーツ 多目的 価格 税込み 速度 タッチパネル 表示 部品 点数 減らし 価格 抑え
　満充電時の航続距離（欧州基準）は、東京―京都間に相当する４８０キロ・メートル。狭い駐車場でも止めやすいよう、ボルボのＳＵＶとしては最小サイズ（全長４２３５ミリ、全幅１８３５ミリ、全高１５５０ミリ）とした。年内に２０００台の受注を見込んでいる。,充電 航続 距離 欧州 基準 東京 京都 相当 キロ メートル 狭い 駐車 止め やすい ボルボ 最小 サイズ 全長 ミリ ミリ ミリ 年内 受注 見込ん
　国産ＥＶのＳＵＶとほぼ同価格帯とすることで普及拡大を狙う。ボルボ・カー・ジャパンの不動奈緒美社長は読売新聞のインタビューで「狭い道路事情など、日本の環境に最もふさわしいＥＶ。ボルボの国内での認知度を広げるきっかけにしたい」と語った。,国産 ほぼ 価格 普及 拡大 狙う ボルボ カー ジャパン 不動 奈緒美 社長 読売新聞 インタビュー 狭い 道路 事情 日本 環境 最も ふさわしい ボルボ 国内 認知 広げる きっかけ たい 語っ
　車台や車載電池を同じグループの中国・吉利汽車と共通化し、コストを減らした。環境面にも配慮し、車体に使用する鉄の１７％、アルミの２５％にリサイクル素材を使い、ドアの内側部分に建築廃材を活用した。,車台 車載 電池 グループ 中国 吉利 汽車 共通 コスト 減らし 環境 配慮 車体 使用 アルミ リサイクル 素材 使い ドア 内側 部分 建築 廃材 活用
　ボルボでは２０２４年にも、より低コストな電池を搭載したＥＸ３０の安価モデルを投入する予定だ。,ボルボ コスト 電池 搭載 安価 モデル 投入 予定
Title: 電動化「ユーザーに選ばれるため、独自の価値を磨き続ける」…マツダ・毛籠勝弘社長,電動 ユーザー 選ば 独自 価値 磨き 続ける マツダ 勝弘 社長
マツダは、２０３０年に販売台数に占める電気自動車（ＥＶ）の比率を２５～４０％に高める方針を掲げている。６月、トップに就いた 毛籠もろ 勝弘社長が読売新聞などの取材に応じ、電動化を含む戦略について語った。,マツダ 販売 台数 占める 電気 自動車 比率 高める 方針 掲げ トップ 就い もろ 勝弘 社長 読売新聞 取材 応じ 電動 含む 戦略 語っ
　――電動化に対する考え方は。,電動 考え方
　「電動化は、どの自動車メーカーもやらなければいけない課題だ。ユーザーに選ばれ続けるため、マツダ独自の価値を磨き続けるしかないと考えている。乗り越えるべきハードルは高いが、着々と進めていく」,電動 自動車 メーカー やら なけれ いけ 課題 ユーザー 選ば 続ける マツダ 独自 価値 磨き 続ける 考え 乗り越える べき ハードル 高い 着々 進め いく
　――今のスピード感で間に合うのか。,スピード 間に合う
　「遅いのは悪手ではなく、戦略だ。我々はＥＶシフトにおいて、フロントランナーにはならない。意志を持ったフォロワー（後続者）として、知識を蓄積し、技術開発をしていく」,遅い 悪手 戦略 シフト フロント ランナー 意志 持っ フォロワー 後続 知識 蓄積 技術 開発 いく
　――主力市場の米国では、ＥＶや電池を生産する企業を優遇するインフレ抑制法が成立した。,主力 市場 米国 電池 生産 企業 優遇 インフレ 抑制 成立
　「米国は、大統領選の結果によっても大きく左右されるので、複雑で見通しにくい。ただ、どこかの時点で、現地で電池を調達し、（ＥＶを）生産するフェーズに入らないといけないだろう」,米国 大統領 結果 大きく 左右 複雑 見通し にくい 時点 現地 電池 調達 生産 フェーズ 入ら いけ だろ
　――米国では、どのメーカーから電池を調達すると想定しているのか。,米国 メーカー 電池 調達 想定
　「現在は（現地で生産する）パナソニックホールディングスと協議しているところだ。楠見雄規社長も『北米フォーカス』だと明言しており、パートナーとしては有力だと考えている。具体的な部分はこれから詰めていく」,現在 現地 生産 パナソニック ホールディングス 協議 社長 北米 フォーカス 明言 パートナー 有力 考え 具体 部分 これから 詰め いく
　――苦戦が続く中国市場をどう攻略するか。,苦戦 続く 中国 市場 どう 攻略
　「中国は電動化一直線だ。エンジン車とハイブリッド車だけではもはや顧客を獲得できない。内燃機関（エンジン）車の価格下落は続くという想定を置かざるを得ず、足元の採算は非常に厳しい。今後１年程度は我慢が必要だが、２５年頃からＥＶを本格投入することで、反転攻勢を図りたい」,中国 電動 一直線 エンジン ハイブリッド もはや 顧客 獲得 内燃 機関 エンジン 価格 下落 続く 想定 置か ざる 足元 採算 非常 厳しい 今後 程度 我慢 必要 年頃 本格 投入 反転 攻勢 図り たい
　――ＥＶシフトによる地元経済への影響をどう考えているか。,シフト 地元 経済 影響 どう 考え
　「電動化技術は、地元企業と共創することで地域に育んでいく。互いに補完しながら雇用を維持し、経済成長に貢献したい。まずは、地元企業にメリットのある方法を考える」,電動 技術 地元 企業 地域 育ん いく 互いに 補完 雇用 維持 経済 成長 貢献 たい 地元 企業 メリット 方法 考える
　――ＰＢＲ（株価純資産倍率）が１倍を割り込んでいる。,株価 純資産 倍率 割り込ん
　「収益を上げ、株価を上げていくしか解決策はない。経営効率を改善するだけでなく、（株主らへの）コミュニケーションも重要だ。電動化のタイミングが不透明で、この会社は大丈夫かと思われているのだろう。その部分は新たな体制で変えていく」,収益 上げ 株価 上げ いく 解決 経営 効率 改善 株主 コミュニケーション 重要 電動 タイミング 不透明 会社 大丈夫 思わ だろ 部分 新た 体制 変え いく
　――経営効率化のために、業務に生成ＡＩ（人工知能）を活用しないのか。,経営 効率 業務 生成 人工 知能 活用
　「法務上の問題など、複雑な業務を生成ＡＩで処理できないか。将来的な導入は考えている。ただ、先進的な技術はＩＴを使いこなす素養がなければ、意味がない。すべての従業員がＡＩを一定レベルまで使えるように、教育していきたい」,法務 問題 複雑 業務 生成 処理 将来 導入 考え 先進 技術 使いこなす 素養 なけれ 意味 すべて 従業 一定 レベル 使える 教育 いき たい
　 ◆毛籠勝弘氏（もろ・まさひろ） 　１９８３年京都産業大法卒、入社。グローバルマーケティング本部長などを歴任し、北米での販売改革を進めた。２０２３年６月から社長兼ＣＥＯ（最高経営責任者）。京都府出身。,勝弘 もろ まさ ひろ 京都産業大 入社 グローバル マーケティング 本部 歴任 北米 販売 改革 進め 社長 最高 経営 責任 京都 出身
Title: トヨタ系６社増益　黒字転換２社　車生産回復、円安　主要８社４～６月期,トヨタ 増益 黒字 転換 生産 回復 主要
トヨタ自動車グループの主要８社が２８日発表した２０２３年４～６月期連結決算の最終利益は６社が増益、２社が黒字転換した。自動車の生産回復や円安が影響し、業績予想の上方修正も相次いだ。一方で、電気自動車（ＥＶ）の急速な普及が進む中国市場の動向は先行きの懸念材料となっている。（佐藤一輝）,トヨタ自動車 グループ 主要 発表 連結 決算 最終 利益 増益 黒字 転換 自動車 生産 回復 影響 業績 予想 上方 修正 相次い 電気 自動車 急速 普及 進む 中国 市場 動向 先行き 懸念 材料 佐藤 一輝
