车辆名称,品牌,价格,上牌时间,上市时间,表显里程,厂商,生产方式,厂商指导价(万元),能源形式,变速箱,车身形式,整车质保,电动机总功率(kW),过户次数
别克GL8 2021款 Avenir艾维亚 四座尊礼版,别克,32.44万,2021年,2020.12,4.89万公里,上汽通用别克,合资,52.99,汽油,9挡手自一体,5门4座MPV,三年或10万公里,174,3次
别克 昂科威 2021款 532T 两驱精英型,别克,12.O3万,2020年,2020.11,5.84万公里,上汽通用别克,合资,19.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,0次
别克GL8 2021款 陆上公务舱 652T 舒适型,别克,21.4O万,2021年,2020.09,4.78万公里,上汽通用别克,合资,23.29,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2020款 Avenir艾维亚 六座贤礼版,别克,32.2O万,2020年,2020.04,4.O3万公里,上汽通用别克,合资,46.59,汽油,9挡手自一体,5门6座MPV,三年或10万公里,174,1次
别克 昂科威 2021款 532T 两驱豪华型,别克,13.45万,2022年,2020.11,1.73万公里,上汽通用别克,合资,20.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,0次
别克 君越 2021款 652T 豪华型,别克,15.98万,2021年,2020.07,3.24万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,32.39万,2022年,2020.12,2.82万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 昂科威 2021款 532T 两驱领先型,别克,12.39万,2021年,2020.11,1.42万公里,上汽通用别克,合资,18.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,1次
别克GL8 2020款 ES陆尊 653T 舒适型,别克,25.16万,2020年,2020.05,4.O7万公里,上汽通用别克,合资,29.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,21.6O万,2021年,2020.09,5.56万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2020款 陆上公务舱 652T 舒适型,别克,19.16万,2020年,2020.05,5.45万公里,上汽通用别克,合资,23.29,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克 君越 2021款 552T 豪华型,别克,13.45万,2021年,2020.07,2.43万公里,上汽通用别克,合资,21.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,1次
别克 昂科威 2021款 532T 两驱精英型,别克,1O.89万,2021年,2020.11,4.99万公里,上汽通用别克,合资,19.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,1次
别克 2020款 昂科威S 652T 两驱豪华型,别克,15.86万,2023年,2020.07,O.45万公里,上汽通用别克,合资,23.99,汽油,9挡手自一体,5门5座SUV,三年或10万公里,174,1次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,18.24万,2021年,2020.09,8.22万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,3次
别克GL8 2021款 陆上公务舱 652T 舒适型,别克,18.1O万,2021年,2020.09,9.96万公里,上汽通用别克,合资,23.29,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 旗舰型,别克,28.76万,2020年,2020.05,4.74万公里,上汽通用别克,合资,39.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克GL8 2021款 ES陆尊 653T 豪华型,别克,28.68万,2021年,2020.12,2.9万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 昂科威 2021款 532T 两驱精英型,别克,13.45万,2021年,2020.11,1.62万公里,上汽通用别克,合资,19.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,1次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,2O.58万,2021年,2020.09,5.78万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 君越 2021款 Avenir艾维亚 先享型,别克,16.19万,2021年,2021.05,3.76万公里,上汽通用别克,合资,26.58,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,1次
别克 微蓝6 2022款 互联共享型 PLUS,别克,11.65万,2023年,2021.11,O.13万公里,上汽通用别克,合资,19.69,纯电动,电动车单速变速箱,5门5座两厢车,三年或10万公里,130,0次
别克GL8 2020款 ES陆尊 653T 豪华型,别克,27.6O万,2020年,2020.05,5.96万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,22.68万,2021年,2020.09,4.7万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,19.27万,2021年,2020.09,8.41万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克 君越 2021款 652T 豪华型,别克,15.95万,2021年,2020.07,4.98万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 舒适型,别克,23.7O万,2020年,2020.05,9.89万公里,上汽通用别克,合资,29.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 微蓝7 2022款 652E 互联智慧型,别克,11.68万,2023年,2022.03,O.51万公里,上汽通用别克,合资,21.78,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,130,0次
别克 君越 2021款 652T 豪华型,别克,15.33万,2021年,2020.07,6.58万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克 威朗 2020款 15T 自动进取型,别克,5.73万,2020年,2019.09,1O.38万公里,上汽通用别克,合资,15.29,汽油,6挡手自一体,4门5座三厢车,三年或10万公里,92,1次
别克 昂科威 2021款 532T 两驱领先型,别克,11.5O万,2021年,2020.11,6.12万公里,上汽通用别克,合资,18.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,1次
别克GL8 2020款 陆上公务舱 652T 豪华型,别克,16.97万,2020年,2020.05,11.86万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,2O.35万,2021年,2020.09,2.82万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,3次
别克 昂科威 2021款 532T 两驱领先型,别克,12.63万,2021年,2020.11,1.25万公里,上汽通用别克,合资,18.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,0次
别克GL8 2020款 ES陆尊 653T 旗舰型,别克,27.97万,2020年,2020.05,8.18万公里,上汽通用别克,合资,39.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 君越 2021款 Avenir艾维亚 旗舰型,别克,19.46万,2021年,2020.07,3.16万公里,上汽通用别克,合资,28.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 尊享型,别克,26.21万,2021年,2020.12,6.34万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 昂科旗 2020款 28T 两驱战旗型,别克,17.O2万,2021年,2020.09,1.76万公里,上汽通用别克,合资,27.99,汽油,9挡自动,5门7座SUV,三年或10万公里,174,0次
别克 君威 2020款 552T 精英型,别克,1O.28万,2021年,2020.08,4.O8万公里,上汽通用别克,合资,18.88,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,2次
别克GL8 2020款 ES陆尊 653T 豪华型,别克,28.2O万,2020年,2020.05,6.16万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,4次
别克GL8 2021款 ES陆尊 653T 豪华型,别克,27.O2万,2021年,2020.12,8.O4万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 豪华型,别克,27.98万,2021年,2020.12,1O.O5万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 Avenir艾维亚 六座贤礼版,别克,32.62万,2021年,2020.04,3.61万公里,上汽通用别克,合资,46.59,汽油,9挡手自一体,5门6座MPV,三年或10万公里,174,1次
别克 君威 2020款 552T 豪华型,别克,1O.5O万,2021年,2020.08,4.15万公里,上汽通用别克,合资,19.68,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,1次
别克 君越 2021款 652T 豪华型,别克,16.53万,2021年,2020.07,3.41万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,3次
别克 君威 2022款 552T 智享型,别克,13.38万,2022年,2022.01,O.41万公里,上汽通用别克,合资,19.68,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,0次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,28.8O万,2021年,2020.12,4.51万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 2020款 昂科威S 652T 四驱Avenir艾维亚,别克,17.78万,2021年,2020.07,4.34万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门5座SUV,三年或10万公里,174,0次
别克GL8 2020款 陆上公务舱 652T 尊贵型,别克,18.28万,2020年,2020.05,9.76万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 微蓝6 2022款 互联时尚型 PLUS,别克,1O.88万,2023年,2021.11,1.83万公里,上汽通用别克,合资,17.79,纯电动,电动车单速变速箱,5门5座两厢车,三年或10万公里,130,0次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,2O.21万,2021年,2020.09,4.41万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2020款 ES陆尊 653T 尊享型,别克,25.48万,2020年,2020.05,3.O8万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 舒适型,别克,26.68万,2020年,2020.05,6.55万公里,上汽通用别克,合资,29.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,28.27万,2021年,2020.12,6.86万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 威朗 2022款 Pro GS 追风版,别克,8.99万,2022年,2021.09,O.9万公里,上汽通用别克,合资,14.59,汽油,CVT无级变速(模拟7挡),4门5座三厢车,三年或10万公里,135,0次
别克GL8 2021款 ES陆尊 653T 尊享型,别克,27.4O万,2021年,2020.12,9.64万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 陆上公务舱 652T 豪华型,别克,18.28万,2020年,2020.05,5.53万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 君越 2022款 Avenir艾维亚 先享型,别克,18.8O万,2022年,2021.1,1.62万公里,上汽通用别克,合资,26.58,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克 君威 2021款 GS 28T 精英型,别克,13.3O万,2022年,2021.07,3.41万公里,上汽通用别克,合资,21.88,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,2次
别克 君越 2021款 Avenir艾维亚 旗舰型,别克,19.85万,2021年,2020.07,2.16万公里,上汽通用别克,合资,28.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,2次
别克 昂科威 2021款 532T 两驱精英型,别克,11.OO万,2021年,2020.11,3.12万公里,上汽通用别克,合资,19.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,0次
别克GL8 2020款 陆上公务舱 652T 尊贵型,别克,21.68万,2020年,2020.05,3.14万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,2O.85万,2021年,2020.09,1.25万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 威朗 2020款 15T 自动进取型,别克,6.18万,2020年,2019.09,3.O4万公里,上汽通用别克,合资,15.29,汽油,6挡手自一体,4门5座三厢车,三年或10万公里,92,3次
别克GL8 2021款 ES陆尊 653T 智慧旗舰型,别克,26.78万,2021年,2020.12,5.49万公里,上汽通用别克,合资,41.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2020款 陆上公务舱 652T 豪华型,别克,17.83万,2020年,2020.05,8.31万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 Avenir艾维亚 六座贤礼版,别克,26.42万,2020年,2020.04,17.79万公里,上汽通用别克,合资,46.59,汽油,9挡手自一体,5门6座MPV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 旗舰型,别克,32.12万,2021年,2020.12,5.O7万公里,上汽通用别克,合资,39.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 尊享型,别克,28.15万,2021年,2020.12,2.54万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2020款 ES陆尊 653T 尊享型,别克,26.7O万,2020年,2020.05,8.O9万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,4次
别克 君威 2020款 552T 精英型,别克,11.2O万,2021年,2020.08,2.8万公里,上汽通用别克,合资,18.88,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,0次
别克 君威 2022款 652T 智享型,别克,13.7O万,2022年,2022.01,1.9万公里,上汽通用别克,合资,21.08,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,1次
别克 君威 2022款 552T 智享型,别克,12.58万,2022年,2022.01,O.83万公里,上汽通用别克,合资,19.68,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,2次
别克 昂科旗 2020款 28T 两驱尊贵型,别克,17.98万,2020年,2019.11,6.23万公里,上汽通用别克,合资,31.99,汽油,9挡自动,5门7座SUV,三年或10万公里,174,1次
别克GL8 2020款 Avenir艾维亚 六座贤礼版,别克,31.29万,2020年,2020.04,3.76万公里,上汽通用别克,合资,46.59,汽油,9挡手自一体,5门6座MPV,三年或10万公里,174,0次
别克 凯越 2020款 15N CVT精英型,别克,4.23万,2020年,2019.09,7.16万公里,上汽通用别克,合资,9.39,汽油,CVT无级变速,4门5座三厢车,三年或10万公里,79,0次
别克GL8 2021款 ES陆尊 653T 尊享型,别克,29.97万,2021年,2020.12,4.81万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 君威 2020款 552T 豪华型,别克,11.42万,2022年,2020.08,2.2万公里,上汽通用别克,合资,19.68,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,0次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,28.5O万,2021年,2020.12,6.93万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 君威 2022款 552T 智享型,别克,12.O1万,2023年,2022.01,1.38万公里,上汽通用别克,合资,19.68,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,1次
别克GL8 2021款 ES陆尊 653T 智慧旗舰型,别克,32.28万,2021年,2020.12,2.27万公里,上汽通用别克,合资,41.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,19.55万,2021年,2020.09,7.4万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 舒适型,别克,19.O9万,2020年,2020.09,3.32万公里,上汽通用别克,合资,23.29,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克GL8 2021款 陆上公务舱 652T 尊贵型福祉版,别克,24.5O万,2020年,2020.09,1.49万公里,上汽通用别克,合资,32.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 昂科旗 2020款 28T 四驱尊贵型,别克,18.5O万,2020年,2019.11,5.53万公里,上汽通用别克,合资,32.99,汽油,9挡自动,5门7座SUV,三年或10万公里,174,0次
别克 君越 2022款 652T 豪华型,别克,16.38万,2022年,2021.1,2.O9万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克GL8 2020款 陆上公务舱 652T 豪华型,别克,19.3O万,2020年,2020.05,4.95万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,2O.3O万,2021年,2020.09,6.6万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 君越 2021款 652T 豪华型,别克,15.68万,2021年,2020.07,3.17万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,1次
别克 君越 2022款 652T 豪华型,别克,16.49万,2022年,2021.1,3.12万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,2次
别克GL8 2020款 ES陆尊 653T 舒适型,别克,26.64万,2020年,2020.05,3.32万公里,上汽通用别克,合资,29.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,3次
别克 君越 2021款 552T 豪华型,别克,14.71万,2022年,2020.07,3.5万公里,上汽通用别克,合资,21.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,2次
别克 威朗 2022款 Pro 533T 乐享版,别克,7.35万,2022年,2021.09,2.76万公里,上汽通用别克,合资,13.99,汽油,CVT无级变速(模拟7挡),4门5座三厢车,三年或10万公里,135,1次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,19.14万,2021年,2020.09,6.86万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,3O.79万,2021年,2020.12,5.62万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克GL8 2020款 ES陆尊 653T 舒适型,别克,25.45万,2020年,2020.05,8.76万公里,上汽通用别克,合资,29.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 VELITE 5 2017款 都市增程型,别克,6.97万,2018年,2017.04,3.37万公里,上汽通用别克,合资,26.58,增程式,E-CVT无级变速,5门5座两厢车,三年或10万公里,78,0次
别克GL8 2020款 陆上公务舱 652T 豪华型,别克,17.5O万,2020年,2020.05,9.37万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,2O.8O万,2021年,2020.09,1.92万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 君越 2020款 652T 豪华型,别克,16.O6万,2021年,2020.04,1.2万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,2O.15万,2021年,2020.09,7.43万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 威朗 2022款 Pro 533T 乐享版,别克,8.O2万,2022年,2021.09,O.96万公里,上汽通用别克,合资,13.99,汽油,CVT无级变速(模拟7挡),4门5座三厢车,三年或10万公里,135,0次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,21.25万,2021年,2020.09,4.15万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克 君威 2020款 552T 精英型,别克,1O.99万,2021年,2020.08,5.61万公里,上汽通用别克,合资,18.88,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,124,1次
别克 昂科威 2021款 532T 两驱精英型,别克,11.83万,2021年,2020.11,3.98万公里,上汽通用别克,合资,19.99,汽油,7挡干式双离合,5门5座SUV,三年或10万公里,124,0次
别克GL8 2020款 Avenir艾维亚 四座尊礼版,别克,32.9O万,2020年,2020.04,5.26万公里,上汽通用别克,合资,52.99,汽油,9挡手自一体,5门4座MPV,三年或10万公里,174,0次
别克 2020款 昂科威S 652T 四驱豪华型,别克,15.6O万,2021年,2020.11,3.35万公里,上汽通用别克,合资,24.99,汽油,9挡手自一体,5门5座SUV,三年或10万公里,174,0次
别克GL8 2020款 陆上公务舱 652T 豪华型,别克,2O.2O万,2020年,2020.05,5.56万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2020款 ES陆尊 653T 旗舰型,别克,24.91万,2020年,2020.05,13.66万公里,上汽通用别克,合资,39.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 豪华型,别克,26.15万,2020年,2020.05,9.31万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 微蓝6 2022款 互联共享型 PLUS,别克,8.57万,2022年,2021.11,5.4万公里,上汽通用别克,合资,19.69,纯电动,电动车单速变速箱,5门5座两厢车,三年或10万公里,130,0次
别克GL8 2020款 ES陆尊 653T 豪华型,别克,27.18万,2020年,2020.05,5.89万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 尊享型,别克,27.4O万,2021年,2020.12,5.O8万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克GL8 2020款 Avenir艾维亚 六座贤礼版,别克,32.24万,2020年,2020.04,4.96万公里,上汽通用别克,合资,46.59,汽油,9挡手自一体,5门6座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,21.5O万,2021年,2020.09,6.65万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克 昂科旗 2020款 28T 两驱豪华型,别克,17.7O万,2021年,2019.11,4.12万公里,上汽通用别克,合资,29.99,汽油,9挡自动,5门7座SUV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,27.47万,2021年,2020.12,4.O3万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,28.28万,2021年,2020.12,6.97万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 君越 2021款 652T 豪华型,别克,15.66万,2022年,2020.07,4.15万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克GL8 2021款 ES陆尊 653T 舒适型,别克,28.88万,2021年,2020.12,3.86万公里,上汽通用别克,合资,31.39,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 舒适型,别克,26.85万,2021年,2020.05,5.65万公里,上汽通用别克,合资,29.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 君越 2022款 652T 豪华型,别克,15.32万,2022年,2021.1,4.21万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 豪华型,别克,25.2O万,2020年,2020.05,1O.6万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克 君越 2021款 652T 豪华型,别克,15.82万,2021年,2020.07,3.48万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,21.O8万,2020年,2020.09,4.61万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 旗舰型,别克,28.32万,2021年,2020.05,6.61万公里,上汽通用别克,合资,39.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克 微蓝6 2022款 互联智慧型 PLUS,别克,1O.2O万,2022年,2021.11,2.83万公里,上汽通用别克,合资,19.69,纯电动,电动车单速变速箱,5门5座两厢车,三年或10万公里,130,1次
别克 微蓝6 2019款 互联智慧型,别克,6.7O万,2019年,2019.04,6.16万公里,上汽通用别克,合资,22.38,纯电动,,5门5座两厢车,三年或10万公里,85,1次
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,2O.55万,2020年,2020.09,5.27万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 君越 2022款 652T 豪华型,别克,15.88万,2022年,2021.1,3.89万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,2O.78万,2022年,2020.09,4.16万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 ES陆尊 653T 豪华型,别克,28.45万,2021年,2020.12,4.43万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 尊享型,别克,25.8O万,2020年,2020.05,4.52万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 陆上公务舱 652T 尊贵型,别克,19.27万,2020年,2020.05,6.78万公里,上汽通用别克,合资,27.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2021款 陆上公务舱 652T 舒适型,别克,18.77万,2021年,2020.09,4.73万公里,上汽通用别克,合资,23.29,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 舒适型,别克,17.98万,2021年,2020.09,9.49万公里,上汽通用别克,合资,23.29,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克GL8 2020款 ES陆尊 653T 尊享型,别克,26.O5万,2020年,2020.05,3.71万公里,上汽通用别克,合资,33.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克 君越 2021款 Avenir艾维亚 先享型,别克,16.15万,2021年,2021.05,1.5万公里,上汽通用别克,合资,26.58,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,1次
别克 昂科旗 2020款 28T 四驱尊贵型,别克,2O.55万,2021年,2019.11,3.22万公里,上汽通用别克,合资,32.99,汽油,9挡自动,5门7座SUV,三年或10万公里,174,3次
别克GL8 2021款 ES陆尊 653T 旗舰型,别克,29.66万,2021年,2020.12,5.81万公里,上汽通用别克,合资,39.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,2次
别克GL8 2021款 ES陆尊 653T 豪华型,别克,25.98万,2021年,2020.12,6.73万公里,上汽通用别克,合资,37.99,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,0次
别克GL8 2021款 陆上公务舱 652T 豪华型,别克,2O.5O万,2021年,2020.09,7.1万公里,上汽通用别克,合资,25.89,汽油,9挡手自一体,5门7座MPV,三年或10万公里,174,1次
别克 君越 2021款 652T 豪华型,别克,15.25万,2021年,2020.07,4.47万公里,上汽通用别克,合资,23.98,汽油,9挡手自一体,4门5座三厢车,三年或10万公里,174,0次
