评论,fenci,情感分类,主题概率,主题类型
京东送货确实挺快的，订了的第二天就送到了。电脑配置和价钱都不错，订的时候感觉很好。运行也很快。,京东 送货 确实 挺快 第二天 送到 电脑配置 价钱 不错 感觉 运行 很快,pos,"[(0, 0.27911597), (4, 0.6549064)]",4
价格合适，配置高。外观不错，设计很新颖。,价格 合适 配置 外观 不错 设计 新颖,pos,"[(3, 0.88392144)]",3
京东办事“效率很高，速度很快”，头天下午的订单，第三天下午就收到货了，快递自作主张说是以为我端午放假不在公司所以不送，可惜我老板没他那么仁慈啊。京东客服假期休假却播放无人等候录音，导致浪费很多电话费。,京东 办事 效率 速度 很快 头天 下午 订单 第三天 下午 收到 快递 自作主张 端午 放假 公司 可惜 老板 仁慈 京东 客服 假期 休假 播放 无人 等候 录音 导致 浪费 电话费,pos,"[(10, 0.97001594)]",10
这款笔记本麦克风可以和飞利浦（）电脑麦克风1000匹配？,笔记本 麦克风 飞利浦 电脑 麦克风 匹配,pos,"[(0, 0.86727244), (1, 0.01020986), (2, 0.010209743), (3, 0.01020983), (4, 0.010209861), (5, 0.010209747), (6, 0.010209785), (7, 0.0102099), (8, 0.01020981), (9, 0.010209776), (10, 0.010209877), (11, 0.010209793), (12, 0.010209766), (13, 0.010209818)]",0
大品牌质量优保证，京东买东西行货，带发票，售后有保证，机子配置不错，散热也好，完美屏幕这个很重要哦。,品牌 质量 保证 京东 东西 行货 发票 售后 保证 机子 配置 不错 散热 完美 屏幕,pos,"[(10, 0.31746235), (13, 0.6289576)]",13
设置非常好！为了方便用户更换新的系统，在里设置了一键抹除硬盘所有内容！方便了不适用随机系统的人更换新系统！,设置 用户 更换 系统 设置 一键 抹除 硬盘 内容 随机 系统 更换 系统,pos,"[(10, 0.9336496)]",10
性能配置都算是同价位里的佼佼者了，而且商务机的散热一直做得不错，值得赞扬,性能 配置 算是 同价位 佼佼者 商务 散热 不错 值得 赞扬,pos,"[(4, 0.9155331)]",4
双核独显，商务机，性价比不错，值得购买，放在家里上上网挺不错的,双核 独显 商务 性价比 不错 值得 购买 放在 家里 上上网 挺不错,pos,"[(4, 0.6187606), (6, 0.3097778)]",4
价格真的是没话说，我的同事都羡慕，也是我买的主要原因。,价格 真的 没话说 同事 羡慕 原因,pos,"[(0, 0.0102103045), (1, 0.010210355), (2, 0.010210292), (3, 0.010210409), (4, 0.010210356), (5, 0.0102102775), (6, 0.010210303), (7, 0.010210296), (8, 0.010210287), (9, 0.010210405), (10, 0.010210401), (11, 0.86726546), (12, 0.010210466), (13, 0.010210392)]",11
机子配置还好吧，没特殊需求完全够用。正版的红帽子系统还是蛮好的，虽然不常用，但是换换口味也不错。,机子 配置 还好 需求 够用 正版 红帽子 系统 蛮好 常用 换换 口味 不错,pos,"[(3, 0.93360645)]",3
在和之间选择了，虽然外观我不太满意一度想要换货，但这款产品胜在配置上，听老公的话留在家里用。,之间 选择 外观 满意 一度 想要 换货 这款 产品 配置 老公 留在 家里,pos,"[(4, 0.16729662), (12, 0.7714305)]",12
"性价比好,没的说了.更看中的是的牌子也能有这样高的性价比,难得的.",性价比 没的说 看中 牌子 性价比,pos,"[(0, 0.011907912), (1, 0.0119076315), (2, 0.011907632), (3, 0.011907732), (4, 0.011907706), (5, 0.011907633), (6, 0.011907693), (7, 0.6587194), (8, 0.011907674), (9, 0.011907795), (10, 0.011907652), (11, 0.19838831), (12, 0.0119076185), (13, 0.011907628)]",7
"性价比高，质量也还不错,安装系统时也没有碰到什么难点,驱动到管网去找就可以,1小时搞定~哈哈~送的酷冷底座不太好接~",性价比 质量 不错 安装 系统 碰到 难点 驱动 管网 小时 搞定 酷冷 底座 不太好,pos,"[(13, 0.9380441)]",13
老牌子，性价比还可以,老牌子 性价比,pos,"[(0, 0.02381496), (1, 0.02381504), (2, 0.023815008), (3, 0.02381498), (4, 0.023815097), (5, 0.023815056), (6, 0.023815012), (7, 0.02381532), (8, 0.6904046), (9, 0.023814967), (10, 0.023814993), (11, 0.023814997), (12, 0.023814948), (13, 0.023815012)]",8
现在用着541发表评论，没有噪音，散热不大，硬件很不错。,发表 评论 噪音 散热 硬件 不错,pos,"[(0, 0.010209993), (1, 0.60416573), (2, 0.11527523), (3, 0.010209998), (4, 0.010210065), (5, 0.010210017), (6, 0.010210009), (7, 0.168249), (8, 0.010209995), (9, 0.010209982), (10, 0.010210008), (11, 0.010209971), (12, 0.010209995), (13, 0.010209987)]",1
"价格比市场上要便宜300左右,外观大气,颜色大气,比较商务,我喜欢.",价格比 市场 上要 便宜 外观 大气 颜色 大气 商务 喜欢,pos,"[(1, 0.2835767), (5, 0.6384517)]",5
"样子很不错，键盘""看起来""手感也很好，机子散热相当的好，屏幕也很亮，是惠普的东西…………",样子 不错 键盘 手感 机子 散热 屏幕 很亮 惠普 东西,pos,"[(4, 0.9155453)]",4
这是帮办公室里同事买的，完善屏，非常的不错，我是京东老顾客了，对京东的服务相当的满意。,办公室 同事 完善 不错 京东 顾客 京东 服务 满意,pos,"[(4, 0.65476435), (7, 0.25945273)]",4
外观简洁大方，时间长了也不会烦，惠普的机型都不错的。,外观 简洁 大方 时间 惠普 机型 不错,pos,"[(6, 0.4051229), (7, 0.13987885), (8, 0.35675913)]",6
的品牌，质量应该算过的去，只是比较便宜，更有优势，买之前已经做了多方比较，最后选择的541，虽然花哨的东西少了些，但是都是比较实用有，算是比较强悍的，2的内存，独显，都中规中举的配置，,品牌 质量 便宜 优势 多方 选择 花哨 东西 实用 算是 强悍 内存 独显 中规 中举 配置,pos,"[(0, 0.18144456), (2, 0.7681085)]",2
早上挂的单，下午就去取货，机子性价比很高，用了10天了，才上来评价，发现这机子京东还没有降价，心里很高兴，只有一个扬声器，音效还可以，没有网上说的那么差，重装系统后运行很平稳，没有什么问题！,早上 下午 去取 机子 性价比 评价 发现 机子 京东 降价 扬声器 音效 网上 重装系统 运行 平稳,pos,"[(10, 0.9453465)]",10
屏幕很亮丽，非常悦目，各项指标都在购买前预料中，质量不错，外观也秉承的传统机型,屏幕 亮丽 悦目 各项 指标 购买 预料中 质量 不错 外观 秉承 传统 机型,pos,"[(0, 0.9335976)]",0
屏幕没有坏点和暗点，这个比较不错。配置性价比较高，目前使用已有半个月，基本正常。,屏幕 坏点 暗点 不错 配置 性价比 已有 半个,pos,"[(8, 0.8967596)]",8
性能不错，运行起来很流畅,性能 不错 运行 流畅,pos,"[(0, 0.01428742), (1, 0.81426316), (2, 0.014287471), (3, 0.014287442), (4, 0.014287493), (5, 0.014287393), (6, 0.01428743), (7, 0.014287445), (8, 0.014287571), (9, 0.01428736), (10, 0.01428746), (11, 0.014287426), (12, 0.014287417), (13, 0.014287474)]",1
在不到45的价格上配备了酷睿双核+2+250+独显，还是国际大品牌，很值。当然这是同学的看法，帮同学买的。但我本人就是不喜欢惠普的东西，  。呵呵,不到 价格 配备 了酷 双核 独显 国际 品牌 同学 看法 同学 喜欢 惠普 东西,pos,"[(2, 0.12825732), (4, 0.8145322)]",4
当然是超值啦，去太平洋买键盘膜的时候 那说买540系列的膜的人很多，可见超多人买这部，跟着群众走是没错的啦。,超值 太平洋 键盘 系列 这部 跟着 群众 没错,pos,"[(2, 0.8967593)]",2
用了一周了，性能不错。散热也还可以，比想象中好。屏幕也很完美。,一周 性能 不错 散热 想象 屏幕 完美,pos,"[(4, 0.8839066)]",4
毕竟是惠普的产品，外观做工上还是简约而不简单～,惠普 产品 外观 做工 简约 简单,pos,"[(0, 0.86733973), (1, 0.010204624), (2, 0.010204612), (3, 0.010204666), (4, 0.010204628), (5, 0.010204611), (6, 0.010204626), (7, 0.010204619), (8, 0.010204684), (9, 0.010204618), (10, 0.010204619), (11, 0.010204629), (12, 0.0102047045), (13, 0.010204615)]",0
完美屏，很好。速度超快。装很好装。外型设计简洁。与540相比，还是贵有贵的道理， ,完美 速度 超快 外型 设计 简洁 相比 有贵 道理,pos,"[(8, 0.3098496), (13, 0.60438025)]",13
配置可以，价格比村里报价要低，性价比挺高。,配置 价格比 村里 报价 性价比,pos,"[(0, 0.011910773), (1, 0.01191073), (2, 0.011910739), (3, 0.011910717), (4, 0.011910733), (5, 0.011910728), (6, 0.011910715), (7, 0.84516054), (8, 0.0119107375), (9, 0.011910713), (10, 0.011910748), (11, 0.0119107105), (12, 0.011910706), (13, 0.011910724)]",7
，性价比相当的高。买回来直接上系统非常完美，没有驱动问题。,性价比 买回来 系统 完美 驱动,pos,"[(0, 0.01190524), (1, 0.011905261), (2, 0.011905236), (3, 0.01190523), (4, 0.011905284), (5, 0.011905266), (6, 0.011905247), (7, 0.011905344), (8, 0.0119052585), (9, 0.0119052725), (10, 0.8452316), (11, 0.011905251), (12, 0.01190527), (13, 0.011905278)]",10
完美屏啊~还送包~~性价比很高！,完美 性价比,pos,"[(0, 0.023810325), (1, 0.023810308), (2, 0.02381027), (3, 0.023810236), (4, 0.023810413), (5, 0.023810344), (6, 0.023810295), (7, 0.37195778), (8, 0.023810336), (9, 0.023810273), (10, 0.023810336), (11, 0.023810279), (12, 0.34231833), (13, 0.023810437)]",7
之前没也没去商场看 ,没去 商场,pos,"[(0, 0.0238357), (1, 0.02383579), (2, 0.0238357), (3, 0.0238357), (4, 0.69013566), (5, 0.0238357), (6, 0.0238357), (7, 0.0238357), (8, 0.023835769), (9, 0.023835769), (10, 0.0238357), (11, 0.0238357), (12, 0.0238357), (13, 0.0238357)]",4
呵呵，收到电脑之后首先重装，四个小时的时间，记住一定要先在主板里面把关掉就可以了，安装以后也还是要关闭状态，否则进不去。之,收到 电脑 重装 四个 小时 时间 记住 主板 关掉 安装 关闭 状态 进不去,pos,"[(13, 0.9336288)]",13
（1）外观时尚，键盘独特，色彩亮丽。,外观 时尚 键盘 独特 色彩 亮丽,pos,"[(0, 0.010208311), (1, 0.010208303), (2, 0.01020828), (3, 0.010208279), (4, 0.010208282), (5, 0.0102082705), (6, 0.010208257), (7, 0.010208273), (8, 0.010208294), (9, 0.0102083), (10, 0.8672923), (11, 0.01020831), (12, 0.010208324), (13, 0.0102082705)]",10
我也是第一次在京东上买本本，不错，发票还是17%增值税发票，就是装装了好久，总的来说，京东不错，我的本本是自己去申通拿的，货堆的好多，就在大路上，很不安全。 本本也值！,第一次 京东 上买 本本 不错 发票 增值税 发票 装装 好久 京东 不错 本本 申通 货堆 好多 路上 本本,pos,"[(3, 0.074842386), (5, 0.8800163)]",5
"超好看的表面纹路完美屏!6月18下午下单付款,19号下午到的货,速度快,连续工作试机8小时,稳定无故障!",好看 表面 纹路 完美 下午 下单 付款 下午 速度 连续 工作 试机 小时 稳定 无故障,pos,"[(1, 0.1708013), (9, 0.5841515), (10, 0.19588324)]",9
"1.开始买的  45-307,没想到出了硬件故障问题，除了屏幕闪还有坏点！为了换货，搞的我跑了好几趟，可是最后307没有货了！我就买了联想  430-,刚用几两天。",没想到 硬件 故障 屏幕 坏点 换货 好几趟 联想 两天,pos,"[(4, 0.9070565)]",4
降价太快~  早找到就多等几天了  才一个月就降了500 现在还送无线路由器。哭~~~,降价 找到 几天 一个月 无线 路由器,pos,"[(0, 0.010213058), (1, 0.6219558), (2, 0.010213068), (3, 0.010213098), (4, 0.010213155), (5, 0.010213052), (6, 0.010213093), (7, 0.25548702), (8, 0.010213077), (9, 0.010213069), (10, 0.010213084), (11, 0.0102132065), (12, 0.0102130845), (13, 0.010213108)]",1
"外观漂亮,各功能指示灯也很好看,价格较中关村划算一些。给女孩子用较适合,看电影、听音乐音效还可以",外观 漂亮 功能 指示灯 好看 价格 中关村 划算 女孩子 适合 电影 音乐 音效,pos,"[(0, 0.9336302)]",0
系统换后会更好用点。微软为什么一定要让生产商强制安装这种自以为很的大块头呢？如果能有包就更好了！,系统 换后 更好 用点 微软 生产商 强制 安装 大块头 更好,pos,"[(3, 0.91548145)]",3
外观好看，白色的自己贴纸也方便，运行起来速度也还不错.属于主流配置了。一般用用可以的,外观 好看 白色 贴纸 运行 速度 不错 主流 配置,pos,"[(0, 0.30399725), (1, 0.35871452), (2, 0.25866914)]",1
总体外观还是不错的，就是底板是黑色的，与上盖的白色不是特别的配,总体 外观 不错 底板 黑色 上盖 白色 特别,pos,"[(1, 0.17609009), (12, 0.72860575)]",12
设计非常人性化话，用着挺舒服的；送货特别快，一星期就到日喀则了！,设计 人性化 挺舒服 送货 特别 星期 日喀则,pos,"[(12, 0.88384074)]",12
上周五就把支票给京东了，现在是周四上午了，还没拿到东西。目前赠送又增加了鼠标和杀毒软件，估计时没我的了。,上周五 支票 京东 周四 上午 没拿到 东西 赠送 增加 鼠标 杀毒软件 估计,pos,"[(10, 0.9285184)]",10
买来送人的，没有拆包，也不知道到底怎么样？不过京东的东西，我信得过！,买来 拆包 京东 东西 信得过,pos,"[(0, 0.011912496), (1, 0.84513694), (2, 0.01191256), (3, 0.011912511), (4, 0.011912677), (5, 0.011912523), (6, 0.011912534), (7, 0.011912489), (8, 0.011912488), (9, 0.011912547), (10, 0.011912552), (11, 0.01191253), (12, 0.011912556), (13, 0.011912589)]",1
外观靓，重量还比较轻，运行起来声音很小，晚上用应不会影响到别人。,外观 重量 运行 声音 很小 晚上 用应 影响,pos,"[(2, 0.8968)]",2
京东响应速度很赞，第一天下午下单，第二天上午就通知到货了，不错；,京东 响应速度 第一天 下午 下单 第二天 上午 通知 到货 不错,pos,"[(4, 0.6663032), (10, 0.25570247)]",4
"屏幕够大,是我买它的主要原因.还有就是周围人对华硕评价不错.刚用了几次,还不错.",屏幕 原因 华硕 评价 不错 几次 不错,pos,"[(13, 0.88388497)]",13
整体性能还是不错的，如果是3代就好了，还有内存，顺便问下，内存可以在哪升级，我想升级到四代。,整体 性能 不错 内存 顺便 内存 升级 升级 四代,pos,"[(7, 0.2729538), (13, 0.6412773)]",13
性价比高，速度快。屏幕比较大 玩游戏比较爽。键盘很有特点，像台式机，特别的牛。喜欢，同学们都羡慕呢。,性价比 速度 屏幕 玩游戏 键盘 台式机 特别 喜欢 同学 羡慕,pos,"[(1, 0.42277333), (2, 0.49927852)]",2
1、配置不错，价格可以接受,配置 不错 价格 接受,pos,"[(0, 0.01428658), (1, 0.014286432), (2, 0.014286395), (3, 0.014286411), (4, 0.8142766), (5, 0.0142863905), (6, 0.014286425), (7, 0.014286421), (8, 0.014286414), (9, 0.014286396), (10, 0.014286416), (11, 0.014286395), (12, 0.0142863905), (13, 0.014286416)]",4
电脑性能不错，很实在。,电脑 性能 不错 实在,pos,"[(0, 0.014286308), (1, 0.014286382), (2, 0.014286297), (3, 0.0142863495), (4, 0.8142777), (5, 0.01428632), (6, 0.014286336), (7, 0.014286347), (8, 0.01428634), (9, 0.014286313), (10, 0.014286348), (11, 0.014286332), (12, 0.014286321), (13, 0.01428633)]",4
昨天早上定，昨天下午就到了，速度不错！还坚持让送货的等我验完货了再走，服务质量不错！本本看上去很不错，本来就是看看电影打打游戏，这样的配置这样的价格是很合适的！,昨天早上 昨天下午 速度 不错 送货 的等 我验 完货 服务质量 不错 本本 不错 本来 电影 打打 游戏 配置 价格 合适,pos,"[(4, 0.9535079)]",4
外观大气、漂亮，散热好，噪音低，尤其带的小键盘对造价人员非常方便适用。速度、性能均感觉不错。自带的系统挺好的啊，掌握方法，用起来比更爽。,外观 大气 漂亮 散热 噪音 小键盘 造价 人员 速度 性能 感觉 不错 自带 系统 方法 更爽,pos,"[(4, 0.9453361)]",4
这款套装买好之后，基本上其他配置就可以不用再添加了，性价比很高。,套装 买好 配置 不用 添加 性价比,pos,"[(0, 0.010212087), (1, 0.010212102), (2, 0.0102120945), (3, 0.8672426), (4, 0.010212145), (5, 0.010212103), (6, 0.010212096), (7, 0.010212189), (8, 0.010212141), (9, 0.010212077), (10, 0.010212104), (11, 0.010212084), (12, 0.010212065), (13, 0.010212154)]",3
性价比不错，玩游戏中高配足够了。数字小键盘很实用，基本不用外接键盘了。,性价比 不错 玩游戏 高配 足够 数字 小键盘 实用 不用 键盘,pos,"[(4, 0.9155041)]",4
性能、外观、手感、散热都没问题，装了后大家还会遇到不能关机的问题，只要把通用串行控制器里的所有  属性里的电源管理中的“允许计算机关闭这个设备电源以节约电源”的勾勾去掉即可,性能 外观 手感 散热 关机 通用 控制器 属性 电源 管理 计算机 关闭 设备 电源 节约 电源 勾勾 去掉 即可,pos,"[(11, 0.9535428)]",11
1、高分屏，显示效果不错。显卡没有想象中的强，但是又经比较出色。,高分 显示 效果 不错 显卡 想象 出色,pos,"[(4, 0.88384616)]",4
外观漂亮，性能也不错加了个2内存，换了系统。用起来不错，屏幕很好,外观 漂亮 性能 不错 内存 系统 不错 屏幕,pos,"[(1, 0.3148178), (4, 0.5899418)]",4
外观好，，，做工不错，键盘手感好，应该是一贯的作风吧，，，,外观 做工 不错 键盘 手感 一贯 作风,pos,"[(12, 0.8838825)]",12
做工不错，外壳也很漂亮。测试了一下还行！~中通很快啊，13号下午的订单，今天早上就收到了。,做工 不错 外壳 很漂亮 测试 中通 很快 下午 订单 早上 收到,pos,"[(8, 0.77428204), (10, 0.15426528)]",8
的笔记本就是样子漂亮，不过买笔记本这点我觉得非常重要，所以选它了,笔记本 样子 漂亮 笔记本,pos,"[(0, 0.4823536), (1, 0.34620413), (2, 0.0142868105), (3, 0.014286844), (4, 0.014286937), (5, 0.014286848), (6, 0.014286881), (7, 0.0142868515), (8, 0.014286897), (9, 0.01428685), (10, 0.0142867975), (11, 0.014286814), (12, 0.01428683), (13, 0.014286887)]",0
本子中最具性价比的了，我加了一条2的金士顿的800的条子，兼容没问题，但我拆开加内存时发现机子的原装内存是海力士的,本子 性价比 一条 金士顿 条子 兼容 拆开 内存 发现 机子 原装 内存 海力士,pos,"[(2, 0.9336427)]",2
苹果的设计非常的人性化，很讲究用户体验，即使是刚到手的小白，用起来还是很有意思的。,苹果 设计 人性化 讲究 用户 体验 到手 小白 有意思,pos,"[(0, 0.7237538), (3, 0.10156985), (9, 0.09603503)]",0
外观上，苹果采用了13英寸小巧机身，外壳上是纯美的苹果经典白色机身。整机边角采用小弧度圆滑处理，线条极其简约。键盘触感轻柔，操作感出众！触摸面板面积很大。该机还配置了摄像头；；配置上，该机子配备了英特尔酷睿2双核7350处理器，主频高达2，3二级缓存，1066前端总线，标配2内存和120硬盘，内置刻录机，搭载9400独立显卡，满足日常需要没有任何问题！,外观 苹果 采用 英寸 小巧 机身 外壳 纯美 苹果 经典 白色 机身 整机 边角 采用 弧度 圆滑 线条 简约 键盘 触感 轻柔 操作 出众 触摸 面板 面积 很大 该机 配置 摄像头 配置 该机 配备 英特尔 双核 处理器 主频 高达 二级缓存 前端 总线 标配 内存 硬盘 内置 刻录机 搭载 独立 显卡 日常,pos,"[(8, 0.9821306)]",8
本子不错，用起来不错，取货很快，5月29号凌晨下得单子，下午就取货了，本子也不错，移动硬盘很精致，很有手感，不错。,本子 不错 不错 取货 很快 凌晨 单子 下午 取货 本子 不错 移动硬盘 精致 手感 不错,pos,"[(6, 0.9419362)]",6
这么便宜，确实不错呵，很稳重，性价比高，散热好，超级实惠,便宜 确实 不错 稳重 性价比 散热 超级 实惠,pos,"[(4, 0.4144047), (7, 0.27408808), (11, 0.22419028)]",4
配置还可以，价钱也不错。稳定性不错，散热也很好。设计上虽然不同于系列的，但是也还不错吧。,配置 价钱 不错 稳定性 不错 散热 设计 不同于 系列 不错,pos,"[(4, 0.7423993), (8, 0.17962717)]",4
3999自提的，超高性价比，用着相当不错。还有点当年的感觉。运行稳定 质量有保证 散热也很到位,自提 高性价比 不错 当年 感觉 运行 稳定 质量 保证 散热 到位,pos,"[(1, 0.3315959), (2, 0.10099523), (13, 0.50188255)]",13
除了苹果，就喜欢的设计了。经典的外观，性价比不错，各方面的配置也比较均衡。最喜欢的是自带摄像头。同事是个比较粗心的人，用小黑这种任劳任怨的机器没的挑了呵呵。,苹果 喜欢 设计 经典 外观 性价比 不错 配置 均衡 喜欢 自带 摄像头 同事 粗心 小黑 任劳任怨 机器,pos,"[(4, 0.9483817)]",4
1.这个配置很对的起这个价格，京东的活动很好,配置 很对 价格 京东 活动,pos,"[(0, 0.011914639), (1, 0.011914621), (2, 0.011914639), (3, 0.011914626), (4, 0.8451097), (5, 0.011914614), (6, 0.011914628), (7, 0.011914626), (8, 0.011914629), (9, 0.011914633), (10, 0.011914643), (11, 0.011914625), (12, 0.011914621), (13, 0.011914717)]",4
东西不错，外观设计的好，做工精美，质量可靠，京东的送货速度很快！京东的东西质量还是比较放心的，没有多大问题，包装也不错，发货速度赞一个，基本当天都可以发货。东西刚用上，很不错，比想象中要好。,东西 不错 外观设计 做工 精美 质量 可靠 京东 送货 速度 很快 京东 东西 质量 放心 包装 不错 发货 速度 当天 发货 东西 刚用 不错 想象 中要,pos,"[(4, 0.7716458), (6, 0.1966031)]",4
优点： 东西不错，外观设计的好，做工精美，质量可靠，京东的送货速度很快！京东的东西质量还是比较放心的，没有多大问题，包装也不错，发货速度赞一个，基本当天都可以发货。东西刚用上，很不错，比想象中要好。,优点 东西 不错 外观设计 做工 精美 质量 可靠 京东 送货 速度 很快 京东 东西 质量 放心 包装 不错 发货 速度 当天 发货 东西 刚用 不错 想象 中要,pos,"[(4, 0.8059806), (6, 0.16340216)]",4
本来没打算买笔记本的，看着这个价格不错，就买了一个。,本来 打算 笔记本 看着 价格 不错,pos,"[(0, 0.010205671), (1, 0.010205724), (2, 0.010205606), (3, 0.010205622), (4, 0.010205658), (5, 0.010205604), (6, 0.8673267), (7, 0.010205644), (8, 0.010205642), (9, 0.010205617), (10, 0.010205617), (11, 0.010205616), (12, 0.010205638), (13, 0.010205653)]",6
散热当然不用说了，那就是个好字。性能也不错，系统还是感觉不好用，打算换成。,散热 不用说 性能 不错 系统 感觉不好 打算 换成,pos,"[(1, 0.45508838), (8, 0.4496252)]",1
系统还是感觉不好用，换非常麻烦，对电脑不是很了解的推荐不要自己安装，本人研究了半天才终于换成，非常有成就感。,系统 感觉不好 麻烦 电脑 推荐 安装 研究 半天 终于 换成 成就感,pos,"[(1, 0.92256844)]",1
除了苹果，就喜欢的设计了。,苹果 喜欢 设计,pos,"[(0, 0.017860215), (1, 0.017860476), (2, 0.017860146), (3, 0.017860148), (4, 0.017860256), (5, 0.017860143), (6, 0.017860178), (7, 0.017860208), (8, 0.7678172), (9, 0.017860176), (10, 0.017860195), (11, 0.01786016), (12, 0.017860262), (13, 0.017860249)]",8
3999的时候抢购的 运气真好 这个价格还有什么号说的 品牌和价格都很不错,抢购 运气 价格 品牌 价格 不错,pos,"[(0, 0.0102071725), (1, 0.010206961), (2, 0.010206916), (3, 0.010206927), (4, 0.8673094), (5, 0.0102069145), (6, 0.010206974), (7, 0.010206987), (8, 0.010206954), (9, 0.01020696), (10, 0.010206989), (11, 0.010206921), (12, 0.010206974), (13, 0.010206947)]",4
经自己检测完美屏 三星的内存 希捷的硬盘。外观比较漂亮 家用足够了。,检测 完美 三星 内存 希捷 硬盘 外观 漂亮 家用 足够,pos,"[(4, 0.3629891), (12, 0.5590615)]",12
外形美观，配置实用。虽然装系统比较麻烦，但因为不玩游戏就直接装了，挺好用的。,外形 美观 配置 实用 系统 麻烦 玩游戏 挺好用,pos,"[(10, 0.89679193)]",10
周四中午下的订单，周五一早就收到货了，下午拿去电脑城装系统80元，再加了根1的内存条200元，所有人都说“值”！！,周四 中午 订单 周五 早就 收到 下午 电脑城 系统 再加 内存条 所有人,pos,"[(0, 0.61323607), (4, 0.11136336), (10, 0.21489084)]",0
"样子不错,之前选择的时候还去市区看了6535,在京东也是3999的机器,但是外观要比40差很多,尤其是触控板附近,还有面,40的外观还是不错的,虽然没有膜内漾印,但是基本保留了大体上的外观.",样子 不错 选择 市区 京东 机器 外观 触控板 外观 不错 保留 外观,pos,"[(12, 0.9285302)]",12
我是第一次用本本就买这么贵的，我开始的时候都用点担心，因为不知道京东的东东好不好，现在我觉得，在京东买东西真的很便宜，很好，而且发货超快，昨天定的货，今天就收到了。下次我一定会再在京东买东西的。,第一次 本本 担心 京东 东东 好不好 京东 东西 真的 便宜 发货 超快 昨天 收到 下次 京东 东西,pos,"[(4, 0.28869575), (6, 0.095941745), (10, 0.57170314)]",10
配置比较齐全，什么指纹识别，都有,配置 齐全 指纹识别,pos,"[(0, 0.01785972), (1, 0.017859692), (2, 0.017859718), (3, 0.017859692), (4, 0.01785973), (5, 0.017859668), (6, 0.01785967), (7, 0.76782364), (8, 0.017859798), (9, 0.017859694), (10, 0.017859733), (11, 0.01785971), (12, 0.017859802), (13, 0.01785968)]",7
加了一条内存，用起来没问题，装了系统，装了/话三维图，很好很强大,一条 内存 系统 三维图 很好 强大,pos,"[(0, 0.010208641), (1, 0.010208653), (2, 0.010208648), (3, 0.010208635), (4, 0.010208682), (5, 0.010208632), (6, 0.010208661), (7, 0.010208671), (8, 0.010208633), (9, 0.86728746), (10, 0.010208682), (11, 0.010208739), (12, 0.010208642), (13, 0.010208643)]",9
华硕品牌大  送人体面  配置不错，性价比高！ 玩游戏不错   打完华硕的官方显卡驱动后  显存会变成1显存   很牛,华硕 品牌 体面 配置 不错 性价比 玩游戏 不错 华硕 官方 显卡 驱动 显存 显存,pos,"[(4, 0.5859968), (10, 0.35685048)]",4
性价比高，外观够炫，比较中看。音响是我最满意的部分，声效很好！！！,性价比 外观 音响 满意 声效,pos,"[(0, 0.0119072525), (1, 0.011907308), (2, 0.5601419), (3, 0.011907252), (4, 0.0119073), (5, 0.01190723), (6, 0.011907232), (7, 0.29697102), (8, 0.011907271), (9, 0.011907275), (10, 0.011907236), (11, 0.011907247), (12, 0.0119072525), (13, 0.011907236)]",2
整体性价比很不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,整体 性价比 不错,pos,"[(0, 0.017857414), (1, 0.017857442), (2, 0.01785739), (3, 0.01785752), (4, 0.017857699), (5, 0.0178575), (6, 0.017857581), (7, 0.7678531), (8, 0.0178574), (9, 0.017857384), (10, 0.017857347), (11, 0.01785734), (12, 0.017857451), (13, 0.017857444)]",7
显卡，对于主流游戏来说已经够用了；电脑整体做工也还算优良，散热挺好的。,显卡 主流 游戏 够用 电脑 整体 做工 还算 优良 散热,pos,"[(7, 0.69248503), (8, 0.22956626)]",7
"性价比高,外观也很别致,官网也提供驱动,安装十分简单.",性价比 外观 别致 官网 提供 驱动 安装 简单,pos,"[(1, 0.89677566)]",1
性价比高，外观够炫，比较中看。音响是我最满意的部分，声效很好！！,性价比 外观 音响 满意 声效,pos,"[(0, 0.011907256), (1, 0.011907312), (2, 0.55961585), (3, 0.011907254), (4, 0.011907303), (5, 0.011907234), (6, 0.011907235), (7, 0.297497), (8, 0.011907275), (9, 0.011907279), (10, 0.0119072385), (11, 0.01190725), (12, 0.011907256), (13, 0.0119072385)]",2
"1）背面少个螺丝钉,说是都少，靠 ",背面 少个 螺丝钉,pos,"[(0, 0.76741916), (1, 0.017890912), (2, 0.017890828), (3, 0.017890828), (4, 0.017890828), (5, 0.017890828), (6, 0.017890828), (7, 0.017890828), (8, 0.017890828), (9, 0.017890828), (10, 0.017890828), (11, 0.017890828), (12, 0.017890828), (13, 0.017890828)]",0
配置不错，比我在这里买的8585的要高的多。送货也凑合，其实要用顺风了，但是邮费186元，哇，抢劫啊！还有包包的质量不错。,配置 不错 送货 凑合 顺风 邮费 抢劫 包包 质量 不错,pos,"[(4, 0.37571076), (10, 0.54628164)]",10
