评论内容,fenci
酒店位置好，就在湘江边上，离橘子洲头特别近。房间非常干净，店家服务态度更是没得说。适合旅游，出差的朋友入住。,酒店 位置 房间 干净 店家 服务态度 适合 出差 朋友 入住
房屋很干净整洁，服务也很好，这笔带着小朋友们一起入住，孩子们很开心，总之，试一次比较满意的住宿。,房屋 干净 整洁 小朋友 入住 孩子 开心 住宿
随着环境特别好，可以看到江景特别漂亮，下次来长沙继续住这个酒店，非常的不错,环境 江景 漂亮 酒店 不错
这个房间真的太漂亮了，选择住这里是完全正确的，设施齐全完善，卫生干净整洁，环境也非常的好。,房间 选择 设施 完善 卫生 干净 整洁 环境
房间很漂亮，特别适合家庭出游住宿，环境也好，阿姨打扫的很干净。靠近江边景色也好,房间 很漂亮 适合 家庭 住宿 环境 打扫 干净 靠近 景色
房间很干净，也很温馨，老板人也好，距离市中心也近，下次来长沙还住这里,房间 干净 老板 距离 市中心
设施都比较新，去哪里都很方便，靠近江边，地理位置优越，卫生也很干净。,设施 靠近 地理位置 优越 卫生 干净
老板人很好，服务也是很到位，环境啊房间风格都很 ，下次过来还会来,老板 到位 环境 房间 风格
挺好的  配套设施该有的都有  环境舒适  晚上不吵,配套 设施 环境 舒适
非常满意，组织式入住，方便安全！环境优美，出行快捷！,满意 组织 入住 环境优美 出行 快捷
房间非常舒服，干净卫生，服务周到，感觉很棒。,房间 舒服 干净 卫生 感觉 很棒
环境很好，地理位置优越，房间很大，很干净。,环境 地理位置 优越 房间 很大 干净
位置很好，对面就是冬瓜山好多靓妹不得了。,位置 对面 冬瓜 靓妹
房间住的很舒服，房主态度很好，住的很满意,房间 舒服 房主 态度 满意
超级满意 每次都是住这里 卫生干净 附近离市区很近,满意 卫生 干净 市区
环境很好，卫生很干净，唾得很香，服务很好。,环境 卫生 干净
干净卫生～视野也不错～超出预期～服务也很周全～,干净 卫生 视野 不错 超出
多次入住，服务一如既往的好，来长沙必住,入住
特别好，环境好，价格便宜，建议大家都来住,环境 价格便宜 建议
干净整洁，服务热情，设施齐全，交通方便,干净 整洁 热情 设施 交通
设施：好好好好 卫生：好 环境：好 服务：好,设施 卫生 环境
房间干净卫生 入住方便 管家也很不错。,房间 干净 卫生 入住 管家 不错
好，离步行街近，还可以河边散步,步行街 散步
环境非常好，老板人也不错，体验感很好👍,环境 老板 不错 体验
房间设施很新，住宿体验很好！,房间 设施 住宿 体验
可以，视野开阔，隔音效果好。,视野 开阔 隔音 效果
酒店在裕南街边上，晚上有好多好吃的,酒店 好吃
很满意 环境好 卫生干净整洁,满意 环境 卫生 干净 整洁
环境不错，房间也很干净。。。,环境 不错 房间 干净
挺好的，环境卫生也挺干净的！,环境卫生 干净
干净卫生，体验感非常好！,干净 卫生 体验
设施新，卫生干净，交通便利,设施 卫生 干净 交通 便利
总体很棒，客服很好,总体 很棒 客服
环境不错，设施齐全。,环境 不错 设施
十分满意，干净卫生,干净 卫生
装修很好！很舒适！,装修 舒适
服务很好，值得入住,值得 入住
卫生环境都很不错,卫生 环境 不错
干净，服务及时。,干净
挺好的.推荐,推荐
房间卫生干净,房间 卫生 干净
房间非常棒,房间
暑假带孩子来长沙玩，做了好久攻略，搜了好多酒店，最后选择了这间湘江边的民宿酒店，是在高级写字楼里，安静，安全，房间干净舒适，漂亮，能看到江景，位置在江边，对面有网红冬瓜山小吃街，晚上吃饱散散步，很舒服！工作人员黄小姐人很好，提前联系，知道我们人多，安排大的房间，主动帮我们解决问题，感激！下次来还选择这里，也会推荐给朋友！ 设施：齐全，还有洗衣机，赞 卫生：干净整洁舒适 环境：漂亮温馨 服务：很好，从订房到客房阿姨和退房都满意,孩子 攻略 酒店 选择 民宿 酒店 写字楼 房间 干净 舒适 漂亮 江景 位置 对面 冬瓜 小吃街 吃饱 散散步 舒服 工作人员 提前 安排 房间 解决问题 感激 选择 推荐 朋友 设施 洗衣机 卫生 干净 整洁 舒适 环境 漂亮 订房 客房 退房 满意
房间整洁干净，因全家出动各方面都符合我们的要求，有洗衣机有地方晾衫很方便，窗外可以近距离欣赏橘子洲湘江景观，喜欢安静的可以选择这里，全程自助登记，适合年轻一族！好评！,房间 整洁 干净 全家 出动 符合 洗衣机 地方 欣赏 景观 喜欢 选择 全程 自助 登记 适合 年轻 好评
房间干净，装饰精美。位置离地铁不远，步行5-10分钟。,房间 干净 装饰 精美 位置 地铁 步行
房间非常整洁，很卫生，景色也很好看，设施也齐全，房东也特别贴心，我们不小心打碎了杯子也没要赔偿，还热情地送了伴手礼给我们，非常好的住宿体验,房间 整洁 卫生 景色 好看 设施 房东 贴心 小心 打碎 杯子 没要 赔偿 热情 伴手 住宿 体验
房间环境很不错，整体比较像小公寓的感觉，空调也很给力，马桶也有一次性垫，装修的看起来挺新的，酒店斜对面就是冬瓜山夜市，晚上去很方便楼下是天宝兄弟，离地铁站的距离也还好，比较方便。但是酒店窗帘遮光一般，太阳好的时候早上会透进来，别的都很满意，会考虑再来玩的,房间 环境 不错 整体 公寓 感觉 空调 马桶 装修 酒店 斜对面 冬瓜 夜市 兄弟 地铁站 距离 还好 酒店 窗帘 遮光 满意
店主很耐心，提前沟通好入住公寓式酒店。在东瓜街对面，楼下就是天宝兄弟，去五一广场也很方便，有停车场。房间干净，有沙发，滚桶洗衣机，据说今年5月营业，设施较新，房间里可以看湘江，晚上可下楼去对面的江边散步，看夜景的橘子洲头毛爷爷像。,店主 耐心 提前 沟通 入住 公寓式 酒店 对面 兄弟 停车场 房间 干净 洗衣机 营业 设施 房间 对面 散步 夜景 头毛 爷爷
服务：长沙行的第一家民宿体验感还不错 入住还是挺方便的登记添加微信拿密码就可以入住了，全屋智能声控开关等超方便 环境：地段挺好的 旁边就是大名鼎鼎的天宝兄弟 朝向江景景观不错,民宿 体验 不错 入住 登记 添加 微信 密码 入住 全屋 智能 声控 开关 环境 地段 兄弟 朝向 江景 景观 不错
设施：开在写字楼里的公寓型住宅（貌似这样解释哈）老板给电梯卡，装修风格现代切温馨，有厨房，洗衣机以及家该有的样子，两个1米的双人床适合带俩娃出门的家庭。 卫生：中规中矩 干净卫生 环境：周围吃喝不愁 小吃街在对面 超市在楼下，住宿停车给报销 服务：老板亲自车库接，临走电梯卡放鞋柜上 我不太了解长沙住宿价格，也许是热门旅游城市吧，个人觉得整体城市住宿价格偏高一丢丢！但开到这座城了 就住一晚吃吃小吃啦！但关于整体入住还算方便！,设施 写字楼 公寓 住宅 貌似 解释 老板 电梯 装修 风格 厨房 洗衣机 样子 适合 出门 家庭 卫生 干净 卫生 环境 吃喝 小吃街 对面 超市 住宿 停车 报销 老板 车库 临走 电梯 鞋柜 住宿 价格 热门 整体 住宿 价格 开到 小吃 整体 入住
房间干净，老板人也特别好，晚上睡觉也很安静，周边环境很舒适，离想去的地方也都很近，交通也很便利，很推荐哦～,房间 干净 老板 睡觉 舒适 想去 地方 交通 便利 推荐
整体来说比较干净卫生，还有免费洗衣服务，累的时候待在酒店看书，发呆，喝个下午茶也不错。还可以泡澡看江景。,整体 干净 卫生 洗衣 酒店 看书 发呆 下午茶 不错 泡澡 江景
房间:干净整洁有情调 服务:管家小哥热心和善 出行:方便，到五一广场打车也很近。挨着江边 美食:楼下就是天宝兄弟 对宠物超级友好，只需交付五十元清洁费即可。,房间 干净 整洁 情调 管家 小哥 热心 出行 打车 美食 兄弟 宠物 友好 交付 清洁费
在网上无意间发现的宠物友好酒店，抱着试试看的心态订下来，一进到房间就特别舒服。值得一提的是，他们真的有位宠物考虑，挨着大床旁边布置了超大的宠物垫。真的很不错！带宠物的主人们来长沙一定要冲冲冲！,发现 宠物 友好 酒店 试试看 心态 房间 舒服 宠物 大床 布置 超大 宠物 不错 宠物 要冲
房间干净整洁，设备齐全，很安静，住着很舒服，还能一眼看到湘江，推荐，而且房东管家不会打扰休息，迟点退房也没有关系的，哈哈。,房间 干净 整洁 舒服 推荐 房东 管家 打扰 休息 退房 关系
出差首选这家民宿，经济实惠，主要是地理位置好去哪里都很方便，房间配套齐全且干净。办理入住简单便捷，下次还会再选这家入住。,出差 首选 民宿 经济 地理位置 房间 配套 干净 办理 入住 简单 便捷 再选 入住
性价比高，房间很新很干净，尤其是酒店小哥哥非常热情，必须点赞 周边环境很不错，天宝兄弟就在楼下，对面就是东瓜山夜市，打卡了萌重烤串，酒店后面湘江边散步＂打卡了杜甫江阁，交通也是相当便利有地铁3号线，下次过来还会首选这家酒店的。,性价比 房间 干净 酒店 热情 不错 兄弟 对面 夜市 打卡 萌重 烤串 酒店 散步 打卡 交通 便利 地铁 号线 首选 酒店
朋友来长沙玩刚好订了这家民宿，环境卫生服务确实都很不错。然后位置也很好，楼下就是天宝兄弟，对面是冬瓜山夜市，根本就不怕饿着哈哈哈。离灵官渡地铁站也就几百米的距离，去南门口  五一 黄兴那边直接坐公交半个小时左右就可以到，去哪都很方便啊。极力推荐,朋友 民宿 环境卫生 确实 不错 位置 兄弟 对面 冬瓜 夜市 离灵 地铁站 距离 公交 小时
长沙你好，长沙再见，吃货特种兵之旅结束，希望下次有机会再来呦哈哈哈哈～！虽然过来有点晚了，感谢店家耐心解答！,再见 吃货 特种兵 结束 希望 机会 感谢 店家 耐心 解答
房间十分干净 应该是新修的 房间很宽敞 安保很好 在大厅有前台人员不会让人随便进去 安全是不用担心的 也可以看到江景 江景很美 交通也很方便 东西都一应俱全 比同价位的房间好太多 来长沙一定住这个酒店  非常推荐,房间 干净 房间 宽敞 大厅 前台 人员 不用 担心 江景 江景 交通 同价位 房间 酒店 推荐
房间设施齐全，环境不错，比较新，服务很好，走时东西忘带了，联系老板后，老板二话不说愿意帮我邮寄，周边美食景点也挺多的，这边离橘子洲头不远，去看了下毛爷爷的石像，总体来说，很不错的住宿点！,房间 设施 环境 不错 走时 忘带 老板 老板 邮寄 美食 景点 下毛 爷爷 石像 总体 不错 住宿
房间很漂亮很干净，气场很好，感觉特别舒适！而且特别方便，几步就到东瓜山夜市，离江边也特别近。下次去长沙还住这里,房间 很漂亮 干净 气场 感觉 舒适 夜市
设施齐全，交通便利 很舒适，下次还会来 周边很多吃的…………………………………………………………………-啊,设施 交通 便利 舒适
房间很大，很干净，特别是晚上的夜景，可以看到整个湘江和橘子洲，前台服务也特别到位，入住体验很愉快，以后来长沙还会订这家。,房间 很大 干净 夜景 前台 到位 入住 体验 愉快
民宿在湘江边汇景，地点相当优越。离文和友很近，到橘汁洲头也很近。楼下就是天宝兄弟。我们自驾来的，楼下负二层就是停车场。吃住行都很方便，下次来还来住。,民宿 边汇景 地点 优越 文和友 橘汁 兄弟 自驾 停车场 吃住行
酒店很新很干净，推窗就能看到江景，晚上关上窗就非常安静了！老板非常热情，第一晚到的比较晚了老板还免费帮我升级成带浴缸的房间，漂亮极了！,酒店 干净 推窗 江景 老板 热情 老板 浴缸 房间 漂亮
房间大，设施齐全，简直就是另外一个家一样，老板还让我们免费提前入住，免费延迟退房。江边上景色也不错。,房间 设施 老板 提前 入住 延迟 退房 景色 不错
我是在在携程上看到的，体验感不错，干净，舒适，性价比还很高，小姐姐服务也很贴心，还提供了路线图，和特色餐饮店，坐地铁出行也特别方便！推荐,携程 体验 不错 干净 舒适 性价比 贴心 提供 路线图 特色 餐饮店 出行 推荐
房间比较新，外卖可以送到大厅，上楼需要刷卡，比较安全，走到江边逛逛很近，旁边还有第一师范景点，但需要提前预约参观，晚上在房间可以看夜景，入住体验不错。,房间 外卖 送到 大厅 刷卡 逛逛 景点 提前 预约 参观 房间 夜景 入住 体验 不错
这次出差还是果断选择该家酒店，只因上次住过后体验感很高，这次依然首选遇见，酒店房间环境依然很赞，隔音也好，店里服务也是很到位。,出差 选择 酒店 体验 首选 遇见 酒店 房间 环境 隔音 店里 到位
房间能够看到橘子洲，夜景很好，楼下是要刷卡才能上楼，非常安全，距离五一广场很近骑共享电瓶车十分钟，所以晚上一点也不吵。房间还有洗衣机，空气净化器。,房间 夜景 刷卡 距离 共享 电瓶车 房间 洗衣机 空气 净化器
和朋友一起去玩，订了两间房，很不错。房间很干净，离江边近，附近有地铁站，到江边打卡或者去其他景点游玩都很方便,朋友 两间房 不错 房间 干净 地铁站 打卡 景点 游玩
房间空间很大，位置也很方便，过马路后就是一条小吃街，窗外正好能俯瞰湘江，如果橘子洲放烟花的话，是一个绝佳的观景地点,房间 空间 很大 位置 马路 小吃街 正好 俯瞰 烟花 观景 地点
服务很好，环境也很好，正对橘子洲和湘江，相当不错。 楼下网红夜市，有不少好吃好玩的地方，必须给大大的赞,环境 不错 网红 夜市 好吃 好玩 地方
从屋子里就能看到湘江了，楼下就是天宝兄弟从房间就可以线上排队，对面冬瓜山夜市比较有市井气息。地铁站也不远，出行很方便！非常！,屋子里 兄弟 房间 排队 对面 冬瓜 夜市 市井 气息 地铁站 出行
酒店在江边，去五一广场坡子街橘子洲头都很近。房间非常干净整洁，两张1米的床，非常适合2大2小。下次来还会选择这里。,酒店 坡子 房间 干净 整洁 选择
房间不错，干净整洁！ 管家也特别热情！ 下次来长沙继续预订！ 离各个景点都方便，无论打车还是地铁都很便捷！,房间 不错 干净 整洁 管家 热情 预订 景点 打车 地铁 便捷
设施：很好 卫生：很干净 环境：很好 服务：很到位,设施 卫生 干净 环境 到位
位置非常好，在湘江边上，19楼一线江景尽收眼底，尤其晚上特漂亮。离五一广场火宫殿都很近。房间很安静，睡的比较安稳。,位置 江景 漂亮 房间 安稳
挺满意的，房间物品设施齐全摆放到位，服务很友好，入住很开心，江景也很漂亮，对面就是冬瓜山很多有名小吃，综合性价比很高，值得推荐。,满意 房间 物品 设施 摆放 到位 友好 入住 开心 江景 很漂亮 对面 冬瓜 有名 小吃 性价比 值得 推荐
住的第二次了，还是一如既往的干净舒适，老板人真的特别好,干净 舒适 老板
我住的是看江景，一进去就感觉很舒适，安静，隔音好，老板细心热情，好评，满分5分，比酒店好,江景 感觉 舒适 隔音 老板 细心 热情 好评 酒店
就在长沙很有名的天宝兄弟楼上，对面是冬瓜山小吃街，楼下还有瑞幸，吃东西很方便，江景也很美,有名 兄弟 对面 冬瓜 小吃街 江景 很美
服务热情周到，酒店性价比很高，硬件设施完善，非常满意的一次体验,酒店 性价比 硬件 设施 完善 满意 体验
风景不错 环境优美 交通位置便利 宝宝很喜欢 下次出来游玩还会选这一家 感谢酒店便利舒适 希望生意兴隆,风景 不错 环境优美 交通 位置 便利 喜欢 游玩 感谢 酒店 便利 舒适 希望
连续住了两晚了，几个优点：地理位置好，环境干净整洁，宠物友好，服务很贴心！,连续 优点 地理位置 环境 干净 整洁 宠物 友好 贴心
很好，很完美！老板人很好说话！,完美 老板 说话
酒店位置很好，设施设备优良，江景视野开阔，楼下冬瓜山小吃街更是绝了。,酒店 位置 设施 江景 视野 开阔 冬瓜 小吃街
房间很大，窗外就是湘江，交通也很方便。,房间 很大 交通
环境不错，可以看夜景，黄金地段的性价比特别高！,环境 不错 夜景 黄金地段 性价比
卫生环境很不错，值得选择,卫生 环境 不错 值得 选择
环境好，干净。老板热情接待！出行方便,环境 干净 老板 出行
风景超好，服务也超好，位置也方便，下次还会来的,风景 超好 超好 位置
不知道为什么有很多小蚊虫，床上也有。,蚊虫 床上
空间很宽敞，两张1米的床，挺适合家庭旅游住,空间 宽敞 适合 家庭
位置很好，出行方便，江景房，可以眺望桔子洲,位置 出行 江景 眺望 桔子
服务很好，住的很舒服，下次还会再来,舒服
房间设施齐全，布置很温馨、很别致，强烈推荐入住！,房间 设施 布置 别致 入住
提前预定的酒店真的很满意,提前 预定 酒店 满意
房间干净，位置方便，适合住一段时间。,房间 干净 位置 适合
房间很好，很干净,房间 干净
房间设施齐全，老板有耐心，我们第二天没续住到双床，服务员一直耐心帮我们处理搬行李，就是自驾的要和老板沟通好停车减免券，以免无法使用，自费。阿姨拖地的拖把使用太久，有很多水漬和味道，建设换勤点儿。其它都挺好的。,房间 设施 老板 耐心 没续 双床 服务员 耐心 行李 自驾 老板 沟通 停车 减免 拖地 水漬 味道 点儿 挺好
出来旅行在“遇见你真好老揽江美宿”住了一晚，感觉真是太棒了！酒店房间宽敞明亮，床铺舒适，床单被褥干净卫生，让我睡得很安心。浴室设施齐全，热水稳定，洗漱用品也十分好使。酒店的服务态度也是一流的，前台小哥热情亲切，帮我解决了不少问题。另外，酒店的旅行攻略做的很细致，总的来说，这家酒店真的很不错，入住体验非常愉快。如果你也想去住的话，我真心推荐！,遇见 感觉 酒店 房间 床铺 舒适 床单 被褥 干净 卫生 安心 浴室 设施 热水 稳定 洗漱 用品 好使 酒店 服务态度 一流 前台 小哥 热情 亲切 解决 酒店 攻略 细致 酒店 不错 入住 体验 愉快 推荐
房子不错，干净，卫生，可以看到橘子洲，服务态度好，细心。,房子 不错 干净 卫生 服务态度 细心
住得很舒服，环境好！,舒服 环境
很满意 环境不错,满意 环境 不错
房间干净整洁 楼下就是冬瓜夜市 非常好 就是要小心一楼大堂（男） 会造谣店家有经济问题 半夜改智能锁密码啥的 然后劝你退单去订5楼其他家的民宿。。我差点上当。。特别影响游玩心情 大家要注意 当然了 店家是没有问题的 半夜也没改密码。。。😅,房间 干净 整洁 冬瓜 夜市 小心 一楼 大堂 造谣 店家 经济 智能 密码 民宿 差点 上当 游玩 心情 店家 没改 密码
景点方便 宠物友好卫生干净不错不错,景点 宠物 友好 卫生 干净 不错 不错
适合带娃，和朋友一起也非常好,适合 朋友
夜景,夜景
服务周到热情！,热情
整体来说入住体验很好，卫生也不错，住的高。 位置：楼下10元车程就到了坡子街，打车去各个地方都比较方便。 装修：装修偏智能，小欧管家好评，家里小孩很爱玩。 主要停车每次券只能抵1天，所以开车来入住的友友们中间可以将车开出去一次再回来。避免出现停了2天券只能抵消一天的情况。 服务：加了老板微信，解决问题的速度非常快。 整体值得5星,整体 入住 体验 卫生 不错 位置 车程 坡子 打车 地方 装修 装修 智能 管家 好评 小孩 爱玩 停车 只能 开车 入住 友友 将车 回来 避免出现 天券 只能 抵消 情况 老板 解决问题 速度 整体 值得
房间卫生没得说，打赤脚走路都是干净的。房间有冰箱、洗衣机、炉子，满足生活所需，有家的感觉。管家回复都很及时，还会帮忙查路线，很贴心。 地方很便利。马路对面就是夜市小吃街。晚上沿着江走路十分钟就能到杜甫江阁，登楼看完夜景再沿着江就能看到“长沙”那个网红墙，再过马路就能看到文和友，朝海信广场方向再过马路就是太平老街。总之晚上一路各种打卡各种吃。 一入住就往博物馆赶，忘记拍房间照片，但是和预定信息上的图片一样。,房间 卫生 走路 干净 房间 冰箱 洗衣机 炉子 感觉 管家 回复 帮忙 路线 贴心 地方 便利 马路 对面 夜市 小吃街 走路 登楼 夜景 红墙 马路 文和友 广场 方向 马路 老街 打卡 入住 博物馆 忘记 房间 照片 预定 信息 图片
很干净，很卫生,干净 卫生
环境房间设施齐全,环境 房间 设施
酒店紧挨长沙最繁华的商业群区五一广场，坐落湘江东岸，与橘子洲和岳麓山风景区隔江相望，客房19楼一线江景， 视野开阔，客房内洗衣机，电冰箱，电磁炉，大衣柜，茶吧桌一应俱全，本来预定了3天，因为旅程改变只住了1晚，老板爽快地同意了，匆忙离店，把电脑电源线遗忘在客房，郑经理特地提醒并提前放在前台，非常感谢！,酒店 紧挨 繁华 商业 群区 坐落 风景区 客房 江景 视野 开阔 客房 洗衣机 电冰箱 电磁炉 大衣柜 预定 旅程 改变 老板 爽快 离店 电脑 电源线 遗忘 客房 经理 特地 提醒 提前 放在 前台
非常好 看着就是干净，晚上夜景很美，长沙住过很多酒店这个算很不错的，老板也非常热情又送水又送西瓜，大大的赞,看着 干净 夜景 酒店 不错 老板 热情
老板很热情，我们订了两间房，老板帮我们都安排在了同一层，而且房间外的风景很好能看到橘子洲。房间的纸巾用完了联系客服之后也会很快续上。房间内的洗衣机也特别好用。总体入住体验非常不错。,老板 热情 两间房 老板 安排 房间 风景 房间 纸巾 客服 房间内 洗衣机 总体 入住 体验 不错
设施：智能很好用，尤其是电器，洗衣机洗完衣服烘干很方便；浴缸很好用；智能灯光和音响很赞。装修风格新颖，我家开装修公司，所以选酒店对装修设计有要求，住的挺舒服！服务：老板服务很周到。尽量满足客户的需求，反应也很快！总之入住很开心，尤其是夜景景观很漂亮，晚上去楼下江边玩一下，斜对面还有小吃街。环境：酒店标识不明显，进来18层不太好找前台。不过微信上可以直接联系。整体感觉不错！下次还来入住,设施 智能 电器 洗衣机 洗完 衣服 烘干 浴缸 智能 灯光 音响 装修 风格 新颖 装修 公司 酒店 装修 老板 周到 客户 需求 入住 开心 夜景 景观 很漂亮 斜对面 小吃街 环境 酒店 标识 不太好 前台 整体 感觉 不错 入住
我随便找的一家民宿，哈哈…没想到这家的环境出乎意料的好，房间很干净很整洁，还有淡淡的熏香味，床单也很干净，没有异味与污渍。睡的非常舒心，价格也很实惠，十分具有性价比，值得下次来这附近出行还得住这里。,民宿 环境 房间 干净 整洁 香味 床单 干净 异味 污渍 舒心 价格 性价比 值得 出行
我到酒店比较晚，房东一直都在线联系，非常热情。位置靠近江边，房间很干净整洁，投影屏幕够大够清晰，热水器出现小故障，很快给予解决。值得推荐的一家酒店。,酒店 房东 热情 位置 靠近 房间 干净 整洁 投影 屏幕 大够 清晰 热水器 故障 给予 解决 值得 推荐 酒店
第一次来长沙玩，随便找了个民宿住，居然运气真好，房间卫生很干净，地上干净的都能躺着，最关键的是晚上的长沙的夜景真好看，一线江景!非常值得，有机会再来长沙，一定还会继续住这里的！,民宿 运气 房间 卫生 干净 干净 关键 夜景 好看 江景 值得 机会
非常完美的一次居住体验，老板有求必应，订的城景房依然能看到江景，环境安静，条件便利，到哪里都很方便，楼下就是长沙必打卡的天宝兄弟，好吃的不得了，吃一下好方便～极力推荐！,完美 居住 体验 老板 景房 江景 环境 条件 便利 打卡 兄弟 好吃
长沙的民宿做的真好，卫生非常干净，搞卫生一定是用心去对待的，晚上的夜景也很漂亮！关键是房间的布置非常温馨，有家的感觉！真的是物超所值！下次有机会去长沙还会选择住这里！,民宿 卫生 干净 卫生 用心 夜景 很漂亮 关键 房间 布置 感觉 机会 选择
酒店的位置很好找，位置也不错，楼下就是天宝兄弟，房间很干净，设置也很精致，有小度音响语音控制很方便，大落地窗很喜欢，总的来说非诚不错,酒店 位置 好找 位置 不错 兄弟 房间 干净 精致 小度 音响 语音 控制 落地窗 喜欢 不错
带娃两个人的旅行，一眼就看中的美宿，干净 卫生，还有洗衣机和厨房，非常方便，下电梯就可以打车，老板人很也很贴心，最关键的是橘子洲的夜景很美,看中 美宿 干净 卫生 洗衣机 厨房 电梯 打车 老板 贴心 关键 夜景
老板很好，房间卫生干净还有洗衣机洗衣粒，两罐可乐两瓶矿泉水都是免费的，对面就是冬瓜山小吃街。走几百米就看到一师，在往前走就到地铁站了挺方便的，好评,老板 房间 卫生 干净 洗衣机 洗衣 可乐 矿泉水 对面 冬瓜 小吃街 一师 往前走 地铁站 好评
房子很干净舒服，窗外景色特别好，尤其是老板的服务非常给力，帮了特别大的忙，感谢。酒店外面有小吃一条街，而且房子就在橘子洲头旁边，很赞。,房子 干净 舒服 景色 老板 感谢 酒店 小吃 一条街 房子
在写字楼上面，需要老板带上去，离地铁站较远，离公交站比较近，房间很安静，性价比很高，有冰箱，大热天太需要了，很有家的感觉。,写字楼 老板 带上去 地铁站 公交站 房间 性价比 冰箱 大热天 感觉
大楼环境好，干净，电梯宽敞上下楼方便，房间干净，床和枕头被子都很舒服，孩子睡的很好，老板有求必应,大楼 环境 干净 电梯 宽敞 下楼 房间 干净 枕头 被子 舒服 孩子 很好 老板
房间比较宽敞，距离冬瓜山夜市很近，停车场在负二楼也很方便，唯一就是每天停车只能免费进出一次。,房间 宽敞 距离 冬瓜 夜市 停车场 二楼 停车 只能 进出
非常棒的体验，可以直接看到洲头的雕塑，夜晚的江景非常好看。房间干净整洁，设施齐全，老板人也很好，会推荐给朋友。,体验 雕塑 江景 好看 房间 干净 整洁 设施 老板 推荐 朋友
房间卫生干净，住的非常舒心，长沙的夜景很美，房间可以看到美丽的湘江夜景，很是舒服。下次有机会来长沙还会选择住这里！,房间 卫生 干净 舒心 夜景 房间 夜景 舒服 机会 选择
长沙是个好地方 这里的环境也很好，可以看江，房间干净整洁，主要是这里宠物友好，小朋友比较安心入住,地方 环境 房间 干净 整洁 宠物 友好 小朋友 安心 入住
这家民宿真的让我感到非常惊喜！房间干净整洁，设施齐全，酒店老板非常友好热情，强烈推荐这家酒店！,民宿 感到 惊喜 房间 干净 整洁 设施 酒店 老板 友好 热情 酒店
房间内饰精美，让人感觉很舒适，内务卫生干净整洁，该有的设备也都有，窗台景色非常不错，下次一定还选这里。,房间 内饰 精美 感觉 舒适 内务 卫生 干净 整洁 窗台 景色 不错
刚刚装修好，味道比较大，旁边房间在陆续装修，环境一般。房间小，特别是卫生间，有点局促，性价比不高。,装修 味道 房间 装修 环境 房间 卫生间 局促 性价比
在同一栋上班，看着他们开业的，房间很用心，很漂亮，来朋友都是安排在这里，强烈推荐,上班 看着 开业 房间 用心 很漂亮 朋友 安排
房间干净环境好地理位置优越下楼就有夜市吃饭很方便，果断续住，居然还能再打九折非常,房间 干净 环境 地理位置 优越 下楼 夜市 吃饭 续住
江景房，晚上夜看湘江非常美。房间舒适干净，交通便利，近地铁灵官渡站，在这边打车去景点都很方便,江景 房间 舒适 干净 交通 便利 地铁 打车 景点
房间真的棒！老板服务态度好且速度快，装修风格很喜欢香薰也好闻！！！！,房间 老板 服务态度 速度 装修 风格 喜欢
房间整洁干净，入住体验好，可以去江边远眺橘子洲头，旁边有网红店天宝兄弟。,房间 整洁 干净 入住 体验 远眺 红店 兄弟
卫生：房间很干净 应该是新装修的 服务：工作人员也很热情,卫生 房间 干净 工作人员 热情
房间 环境：不错、江景尽收眼底 卫生：干净整洁 服务：周到，细致，点赞 设施：齐全,房间 环境 不错 江景 卫生 干净 整洁 周到 细致 设施
地理位置好，去哪都很便捷，民宿老板很热情，有求必应，很热情 ，值得一住。,地理位置 便捷 民宿 老板 热情 热情 值得
住宿非常满意，房间窗子可以看见橘子洲头，而且环境好特别安静。,住宿 满意 房间 窗子 环境
服务好，住宿环境好，房间非常干净，离景点近，总体很满意。,住宿 环境 房间 干净 景点 总体 满意
非常开心，这家民宿服务很好，卫生很干净，可以看江景！,开心 民宿 卫生 干净 江景
卫生环境很舒服，住了两天，保洁阿姨也很好说话，要什么都很热情,卫生 环境 舒服 保洁 说话 热情
服务很好，也很干净，环境各方面很好，地理位置也很好找，值得推荐,干净 环境 地理位置 好找 值得 推荐
环境优美，服务优质，离步行街近，下来就可以吃，非常不错的体验。,环境优美 优质 步行街 不错 体验
房间看江景不错，其他还算满意吧！ 不要求太高，差不多就行了。,房间 江景 不错 满意
环境很好  ，老板服务很好 紧挨湘江边，窗外景色不错。,环境 老板 紧挨 景色 不错
窗外景色很美，傍晚波光凌凌。交通也方便，对面就是冬瓜山夜市街,景色 交通 对面 冬瓜 夜市
非常满意 卫生：干净 环境：顶级 服务：不错,满意 卫生 干净 环境 顶级 不错
房间环境很好，个人很喜欢这种风格的，推荐入住。,房间 环境 喜欢 风格 推荐 入住
好，就在江边，各方面都很好，尤其江景视野，还包停车,江景 视野 停车
服务号好，江景很漂亮，对面就是湖南银行，来这里出差,江景 很漂亮 对面 银行 出差
房间干净风景好，空调效果不错，客服挺热情服务好,房间 干净 风景 空调 效果 不错 客服
房间很干净 、很满意，老板也很热情，大家可以放心住。,房间 干净 满意 老板 热情 放心
房间干净整洁，楼栋物业品质非常不错，配套设施都很齐全,房间 干净 整洁 物业 品质 不错 配套 设施
设施：齐全 卫生：干净 服务：服务很好 环境：好,设施 卫生 干净 环境
非常完美、老板非常好，免费停车、宠物友好！,完美 老板 停车 宠物 友好
在公寓楼上，环境，附近吃的也很多！,公寓楼 环境
一般的商住楼的公寓房间。好处是距离江边很近,商住楼 公寓 房间 距离
