评论内容,fenci
总体来说不错，房间打扫的很干净，小姐姐人也很，因为订的房间旁边在装修很吵，沟通后也主动帮我们换了房间。所以很荣幸前栋和后栋都有机会体验了一下。 前栋：房间比较大，有浴缸和大阳台，床垫比较硬（喜欢睡软床垫的不要订前栋）前栋入口平时人走动的比较少，所以比较安静，但是正好旁边商家在装修，早上会比较吵。 后栋：房间比较小，位置靠后，比前栋稍微安静一点，但是走动的人会比前栋多，半夜会听到脚步声（建议楼梯铺个软垫），床比前栋房间床舒服。 总的来说，还是一家不错的民宿，老板娘人不错，细节方面再把控下会更好。,总体 不错 房间 打扫 干净 房间 装修 沟通 房间 机会 体验 房间 浴缸 阳台 床垫 喜欢 床垫 走动 正好 商家 装修 房间 位置 走动 人会 听到 脚步声 建议 楼梯 软垫 房间 舒服 不错 民宿 老板娘 不错 细节 控下
长沙一直是我向往的梦想之城之一 去年因为疫情而搁置 今年终于和家人成行 极力推荐这家民宿 烟霞里 坐落在潮宗街旁的小弄堂里 闹中取静 房间的设计也很有风格 民宿总共分为前栋 中间栋 后栋 前栋临街而设 有个独立小阳台 但关门之后却一点也不吵闹 若说唯一美中不足的就是没有电梯 但是美女老板娘会很热情的帮忙拿行李,梦想 疫情 搁置 家人 成行 民宿 烟霞 坐落 潮宗 弄堂 房间 风格 民宿 分为 独立 阳台 关门 吵闹 电梯 美女 老板娘 热情 帮忙 行李
我们四个人均 下来一百多 很便宜服务特别热情 超级大的四个箱子 小姐姐帮我们都搬了上去 房间装修很有格调 很美 后门出去就是露天的休闲区 整个氛围一下假上来了 很有格调,便宜 热情 箱子 房间 装修 格调 后门 露天 休闲 氛围 格调
房间超级干净 觉得输密码不方便 小姐姐直接给了房卡 提前告诉你外卖地址 一下高铁立马点起来 到了民宿外卖就到了 茶颜悦色炫起 民国风的外立面建筑 我们选的是日式榻榻米 整体位置距离商圈非常近 也非常好找 去橘子洲2站地铁 去岳麓山3站地铁 步行国金中心 坡子街 太平街等等基本上10-15分钟都能到 给房东小姐姐一个小建议：配个冰箱就完美啦～,房间 干净 密码 房卡 提前 告诉 外卖 地址 高铁 民宿 外卖 炫起 民国 外立面 建筑 日式 榻榻米 整体 位置 距离 商圈 好找 地铁 地铁 步行 国金 中心 坡子 房东 建议 冰箱 完美
民宿在潮宗街口的一家小巷子里，门前是老青石板路，想要体验老长沙风情的人千万不要错过。日式风格深得我心，床和榻榻米垫子都很舒服 厕所非常大，整个空间都很干净且明亮。值得推荐！,民宿 潮宗 青石板路 想要 体验 风情 错过 日式 风格 榻榻米 垫子 舒服 厕所 空间 干净 明亮 值得 推荐
房间设计不错 灯很多 可以非常明亮  这点真的很不错！！ 卫生间蛮大 非常干净。有阳台 晚上可以吃夜宵 早上起来拍照也很好看  位置就在潮宗街  楼下就是茶颜悦色潮宗街店 每天晚上回去搞两杯  人不多 等候时间10-20分钟就可以 完美。顺便说一下！楼下的小浣熊海鲜好好吃,房间 不错 明亮 不错 卫生间 干净 阳台 拍照 好看 位置 宗街 街店 回去 等候 时间 完美 顺便 浣熊 好吃
长沙之行住过的最最满意的一间民宿！！在潮宗街口这里的一个小独栋，外立面有点小日式的复古风格，走进巷子就真正感受到了老长沙的韵味。我们订的房间在3楼，提前联系一下老板亲自把行李拿上来，由于天气太热，老板还会提前把空调打开，服务真的太周到了！重点是卫生打扫真的很干净，住过很多民宿，这家绝对是高标准，我光脚走地上都的！配套设施这些也齐全，还有沐浴露也好好用，已经种草了！总而言之是我觉得超级满意的一家！下次来长沙我一定再来！,满意 民宿 潮宗 外立面 日式 风格 走进 巷子 感受 韵味 房间 提前 老板 行李 拿上来 天气 老板 提前 空调 打开 周到 重点 卫生 打扫 干净 民宿 高标准 光脚 配套 设施 种草 满意
这是我住过最舒服干净的民宿，非常值得推荐来长沙旅游的朋友们一定要尝试一下哦，最重要的点是晚上很安静，出行也很方便，并且民宿姐姐人也非常不错哦会分享很多攻略参考，住的位置离黄兴步行街和国金超级近走路15分钟左右,干净 民宿 值得 推荐 朋友 出行 民宿 姐姐 不错 分享 攻略 参考 位置 步行街 国金 走路
老板娘人很好很 住名宿真的超有亲切感 重点名宿很干净 沐浴露 洗发水 老板娘一点也不吝啬 都用中上的生活用品 推荐推荐,老板娘 名宿 超有 亲切感 重点 名宿 干净 老板娘 吝啬 生活用品 推荐 推荐
地理位置离主要商圈都很近，民宿跟着导航找也很好找，点外卖也很方便。 房东姐姐人超好会帮你搬行李和拿外卖（当然你得先跟人家联系好） 民宿在巷子里很安静，房间也很干净，总体而言性价比很不错，推荐！ 计划下次来长沙住住其他的房间嘿嘿,地理位置 商圈 民宿 跟着 导航 好找 外卖 房东 姐姐 超好 行李 外卖 民宿 巷子 房间 干净 性价比 不错 推荐 计划 房间
很庆幸找到了一家这么舒服的民宿，全房的榻榻米地垫踩上去脚感超舒服，重点是卫生打扫的很干净，地理位置也不错，马路边走进小巷30米就到了，非常方便。推荐给来长沙玩的朋友。,庆幸 找到 舒服 民宿 全房 榻榻米 地垫 脚感 舒服 重点 卫生 打扫 干净 地理位置 不错 走进 小巷 推荐 朋友
找了好长时间才发现在弄堂里打了电话才找到，房间的装饰挺有特色的比照片好看，位置也挺好就在潮宗街里面离五一广场近，周边就有茶颜和烧烤各种吃的，有一点就是酒店用品一般，浴巾有点掉毛，用的是电卫浴，水有时不够热，可以改善，老板很热情，卫生打扫的很干净,好长时间 发现 弄堂 电话 找到 房间 装饰 特色 照片 好看 位置 宗街 茶颜 烧烤 酒店用品 浴巾 改善 老板 热情 卫生 打扫 干净
这家民宿真的非常好！是在一个安静的小巷子里，给人非常安逸放松的感觉！环境、地理位置、服务、卫生都很好！阳台舒服极了，吹着夜晚的微风看看城市的夜景，自成一道风景！,民宿 放松 感觉 环境 地理位置 卫生 阳台 舒服 微风 夜景 自成 风景
这次是带着老妈老爸还有孩子一家五口出行的，定了两间房，两间房装修都很特别，干净，位置超好，潮宗古街本身就是景点，而且到长沙的主要景点都不远。周围吃饭的地方很多，能品尝很多当地特色美食。老板娘人也很好，温柔的很呢，服务也很好，来长沙一定要住这里哦！,老妈 老爸 孩子 出行 两间房 两间房 装修 干净 位置 超好 景点 景点 吃饭 地方 品尝 特色美食 老板娘 温柔 要住
闹中取静的一家民宿，地理位置非常方便，后巷穿出去就是潮宗街的茶颜悦色。酒店设施也非常不错，各种摆设能看出房主的精心布置，密码锁，无需携带房卡。强推这家民宿！,民宿 地理位置 后巷 穿出去 酒店设施 不错 摆设 房主 精心 布置 密码锁 无需 携带 房卡 民宿
很满意这个民宿，去长沙之前看了很多攻略最后选了离51广场很近的艳霞里，老板是一对夫妻，由于是在小巷子里找不到路打电话会来接，老板夫妻很热情有什么要求都会满足，女儿特别喜欢带露台套房，最后把原先定的另一家酒店退了换了房间继续住民宿。烟霞里离地铁站很近不论去哪个景点打车或者地铁都很方便呢。就是有一个最大的缺点隔音有点问题，老房子可能都这样，不过现在不是旅游旺季晚上还算安静偶尔能听到车开过的声音和楼梯上其他游客的脚步声吧，非常介意的人勿拍。有机会再去 长沙还会入住这里。,满意 民宿 攻略 广场 艳霞 老板 夫妻 不到 老板 夫妻 热情 女儿 喜欢 露台 套房 酒店 房间 民宿 烟霞 地铁站 景点 打车 地铁 缺点 隔音 老房子 旺季 听到 开过 声音 楼梯 游客 脚步声 介意 机会 入住
在潮宗街口的一家民宿，特别有意思，穿过一条小巷，从一张古风感觉的门上楼就到啦，楼道也是那种民国时期的感觉，拍照很出片。房间很漂亮的，尤其在阳光照进来的时候，特别美～绝佳的地理位置，出门就是热闹的一条古街，但是晚上又非常的安静，真的很不错 房间挺宽敞的，也很干净，住的舒服！,潮宗 民宿 穿过 小巷 古风 感觉 楼道 感觉 拍照 房间 很漂亮 照进来 地理位置 出门 热闹 不错 房间 宽敞 干净 舒服
老板和老板娘人特别好，入住和离店的时候都会帮忙提箱子，还会在微信上发旅行攻略和好吃的饭店推荐给我们。房间打扫得特别干净，在阳台坐着吹吹晚风很舒服～,老板 老板娘 入住 离店 帮忙 箱子 攻略 好吃 饭店 推荐 房间 打扫 干净 阳台 晚风 舒服
很喜欢的类型 非常干净卫生 日式庭院风 地理位置也很好 安静 对面还有家咖啡厅 推荐 特别好 可以免费寄存行李,喜欢 类型 干净 卫生 日式 庭院 地理位置 对面 咖啡厅 推荐 寄存 行李
民宿房间打扫的很干净，卫生间出水量也很大，住的很舒服～民宿离步行街和老街非常近，可以一路边走边逛过去，老板娘推荐的一传粉馆超好吃的，是我们来长沙的第一顿和最后一顿，集美们放心冲,民宿 房间 打扫 干净 卫生间 出水量 很大 舒服 民宿 步行街 老街 逛过去 老板娘 推荐 传粉 好吃 放心
房间很干净，舒适，洗澡热水很大。民宿到地铁很近，交通方便，周边还有很多吃的和咖啡店，到几条步行街好近，出入不用排队等电梯，晚上睡觉十分安静，老板娘很热情。下次来会再选这家,房间 干净 舒适 洗澡 热水 很大 民宿 地铁 交通 咖啡店 步行街 出入 不用 排队 电梯 睡觉 老板娘 热情 再选
房子非常赞，有啥附加需求，下雨切西瓜，洗衣服都帮忙安排了。而且很方便很安静。,房子 附加 需求 下雨 洗衣服 帮忙 安排
环境和图片一模一样 不用担心踩雷 房间都很好看 真的没有选错名宿 房东小姐姐人也很好,环境 图片 不用 担心 房间 好看 选错 名宿 房东
位置挺方便的，住宿环境很好很干净，这次选的是二层的于归里房间，晚上回来可以看投屏~老板也很热心，推荐了很多吃的东西，下次有机会再来住别的主题房。,位置 住宿 环境 干净 房间 回来 投屏 老板 热心 推荐 机会 主题
店家服务周到，我跟孩子半夜五点到，找不到地方，老板二话不说就下来找我们，并且帮忙拿行李，真的是一次体验很好旅途,店家 孩子 不到 地方 老板 帮忙 行李 体验 旅途
好喜欢这个民宿吖！很好看的装修风格，干净卫生，民宿小姐姐人也超级好。,喜欢 民宿 好看 装修 风格 干净 卫生 民宿
房间很不错的，卫生也很干净。本来订了一天想先看看环境，后面直接续住了。小露台很舒服，特别适合家庭出游,房间 不错 卫生 干净 环境 续住 露台 舒服 适合 家庭
太喜欢了！！请安排有阳台的后栋朋友们！！ 四楼露台看夜景 吹吹风 楼下就是正北街跟潮宗街 茶颜悦色跟鸳央咖啡都很近,喜欢 安排 阳台 朋友 露台 夜景 吹风 宗街 鸳央 咖啡
卫生：很干静 环境：我很喜欢这家风格，容易出片，2个丫头很喜欢 下次来还是定,卫生 干静 环境 喜欢 风格 出片 丫头 喜欢
干净 方便 老板娘人好 下雨跑出去代买伞  满分（房间太出片了 随便拍了一张 还是下雨天 都好看）,干净 老板娘 下雨 代买 房间 出片 下雨天 好看
干净整洁，非常舒适^_^,干净 整洁 舒适
小朋友玩的非常开心，房间很大很干净，床也很舒服～,小朋友 开心 房间 很大 干净 舒服
房间装修看得出用料讲究，家具五金开关这种，都是好的，不是那种看上去很美实际上廉价的风。全程无接触入住，但是微信沟通无障碍。缺点的话就是在小弄堂不太好找，外卖有点麻烦。潮宗街很好逛，周围吃的也多。,房间 装修 看得出 用料 开关 廉价 接触 入住 沟通 缺点 弄堂 不太好 外卖 麻烦
一次非常棒的住宿体验，老板人非常热情，向我们推荐了很多好吃的美食和好玩的景点，想点外卖的朋友也不用担心骑手找不到位置，老板会帮你哦！楼梯虽然窄，但是放心，完全不需要担心带着行李上下楼梯不方便，老板看起来软软糯糯的一个小姑娘，一手一个行李箱完全不在话下！,住宿 体验 老板 热情 推荐 好吃 美食 好玩 景点 外卖 朋友 不用 担心 骑手 不到 位置 老板 楼梯 放心 担心 行李 楼梯 老板 软软 行李箱
整个旅程住在民宿非常满意，入住当天温度比较高，还没到长沙民宿小姐姐就帮忙把空调提前开了，超级贴心，还帮忙拎行李上楼，房间也很干净。就是外卖小哥永远找不准民宿位置，每次点外卖都要站在楼上指导。这趟长沙之旅还是非常愉快的。,旅程 民宿 满意 入住 温度 没到 民宿 帮忙 空调 提前 贴心 帮忙 行李 房间 干净 外卖 小哥 不准 民宿 位置 外卖 指导 愉快
位置偏僻，在巷子里。这个房间的位置就是巷子路边上的一间房，甚至没有楼梯也不在楼里。就是临巷的路上，一个玻璃打开就是房间了。隔音超级不好，有人路过房间都能听到声音。整个房间进不来一点阳光，整个房间返潮超级严重，整个人都很不舒服，洗一双袜子在房间晾两天都干不透,位置 偏僻 巷子 房间 位置 巷子 楼梯 玻璃 打开 房间 隔音 路过 房间 听到 声音 房间 进不来 房间 返潮 舒服 袜子 房间
出门方便，楼下就有地铁口和茶颜悦色,出门 地铁口
民宿位置，十分优越，房间超级干净，特别温馨舒适，觉得输入密码不方便，老板娘小姐姐直接给了门磁卡，还特意微信告诉你长沙各种玩乐攻略 各种小吃，非常满意的一次出行，下次去 一定还会选择这家民宿。,民宿 位置 优越 房间 干净 舒适 输入 密码 老板娘 磁卡 告诉 玩乐 攻略 小吃 满意 出行 选择 民宿
环境：位于小巷子里的独栋民宿，不管是房间、楼梯间还是露台，布置都很漂亮，尤其是灯饰很有特色。房间里有一扇门直出露台，夏天有风的夜晚买点吃的喝的坐在露台聊天凉爽又舒服。楼下虽然有店铺，但晚上挺静的，不会影响睡眠。 设施：洗漱用品、吹风机、直发棒、蚊香、衣架等生活用品都有，还有个小冰箱。沐浴露洗发水很好用。 服务：老板娘人很好很热情！有求必应！,环境 位于 民宿 房间 楼梯间 露台 布置 很漂亮 灯饰 特色 房间 直出 露台 买点 坐在 露台 凉爽 舒服 店铺 挺静 睡眠 设施 洗漱 用品 吹风机 直发 蚊香 衣架 生活用品 冰箱 老板娘 热情
这么美好的民宿，下次有机会再去长沙必须锁定她,美好 民宿 机会 锁定
总体来说挺不错的，闹中取静，装修花了大心思，投影看起来很爽，都有点不太想出门，位置也很好，离哪里都挺近，楼下几步就有茶颜悦色，。住的挺舒服的一家民宿，棒,总体 装修 心思 投影 很爽 不太想 出门 位置 民宿
设施：设施还可以哒卫生：卫生还可以打环境：环境也还可以哒服务：服务都还可以哒来长沙啦，找了半天，就选择了这家九点吧，出行还是比较方便的,设施 设施 卫生 卫生 环境 环境 选择 出行
位置处于非常热闹的网红打卡地，各种创意路边小店数不胜数，晚上走在老旧小巷吹着小风，非常惬意，房间有腔调，用品也不错，只是不巧一楼在装修，白天有点闹，其余不错,位置 处于 热闹 网红 打卡 创意 小店 小巷 小风 惬意 房间 腔调 用品 不错 一楼 装修 不错
房东人很好 服务很棒 会给你发攻略和推荐当地美食 房间干净整洁 地理位置绝佳 交通很方便 离商圈很近民宿本身所在的潮宗街晚上很漂亮,房东 很棒 攻略 推荐 美食 房间 干净 整洁 地理位置 交通 商圈 民宿 宗街 很漂亮
非常！和朋友一起订了4间房，每间房间风格都不一样，阳台房很大很宽敞，后栋房间装修也别有韵味，整体和图片看上去一模一样。楼下就是一条小吃街，很方便！,朋友 间房 房间 风格 阳台 很大 宽敞 房间 装修 韵味 整体 图片 小吃街
房间很干净，房东很热心，半夜11点40入住的，房东小哥帮我们把行李都拿到三楼，房东小姐姐还贴心为我们提供了游玩攻略，不错不错,房间 干净 房东 热心 入住 房东 小哥 行李 拿到 房东 贴心 提供 游玩 攻略 不错 不错
民宿位置闹中取静，出行方便。周边有不少文艺小店，好吃的也挺多。房间清新干净，管家服务周到。,民宿 位置 出行 文艺 小店 好吃 房间 清新 干净 管家
干净卫生，装修的很有感觉！楼顶的大露台太棒了！下次去长沙一定还要住这里～,干净 卫生 装修 感觉 楼顶 露台
老板小姐姐人很好，帮我们拎行李，还推荐好吃的。房间挺好的，阳台很大，浴缸很。,老板 行李 推荐 好吃 房间 阳台 很大 浴缸
房间宽敞舒适，非常安静，出门去各个景点，做公共交通也很方便，推荐哦,房间 宽敞 舒适 出门 景点 推荐
非常满意，住过的两个房间都特别干净而且好看！！！住宿期间突发状况买了药需要冷冻，正好这个房间没有冰箱，联系了管家小姐姐，特别热心及时的帮忙解决！感觉特别好，而且位置在市中心还价格不贵！下次再来长沙一定还住在这里！,满意 房间 干净 好看 住宿 突发状况 冷冻 正好 房间 冰箱 管家 热心 帮忙 解决 感觉 位置 市中心 价格
很漂亮的民宿，性价比超高的，楼梯拍照也很漂亮,很漂亮 民宿 性价比 超高 楼梯 拍照 很漂亮
挺好的，店家热情，地理位置也好，出行方便。,店家 热情 地理位置 出行
离市中心很近，体验感很不错，房东很热情,市中心 体验 不错 房东 热情
房间干净，交通便利，老板热情周到！,房间 干净 交通 便利 老板
很不错，房间很漂亮，我跟我朋友都很喜欢。,不错 房间 很漂亮 朋友 喜欢
地段不错出入方便，楼下就是夜宵一条街,地段 不错 出入 一条街
房间设施不错，老板热情，处理事情效率高,房间 设施 不错 老板 热情 事情 效率高
乖姐人很，入住的时候会提供攻略，入住后有问题都会立刻帮我们解决，真的很谢谢她！对了，房间真的打扫得蛮干净，一开始以为都是老物件可能会有很多灰，结果真是出乎意料的干净，没让我鼻子过敏！,姐人 入住 提供 攻略 入住 解决 房间 打扫 干净 物件 干净 鼻子
很不错，氛围太好了,不错 氛围
非常满意！,满意
满意的体验,满意 体验
环境服务好，有下次,环境
非常感谢非常满意,满意
房间很干净，设计也很时尚，隔音不错，交通便利，是第三次回头客了。坐电梯很安全，都是登记了有人送着过来搭电梯，很有安全感，女生独自出游也不用太担心,房间 干净 时尚 隔音 不错 交通 便利 回头客 坐电梯 登记 电梯 女生 不用 担心
这家民宿态度极其恶劣具体可以翻翻店家对其他评论的回复充满傲慢、无礼以及嚣张我们是11号入住的，临走时一瓶未开封的红酒留在了冰箱，并不是什么大事，住过的所有酒店都会有工作人员对全屋客人遗留的所有物资进行清查回电。而这家酒店一是连拖几点都不回复，直到今天我们说要求阿姨赔偿才说阿姨把酒放在了仓库。然后先开始对我们“说教” 让我们长点记性 再是推脱责任给阿姨其次是说这是民宿不是酒店最后一句 “这件事到此为止不要再说了”想把我们嘴巴堵死做不了酒店就不要做酒店 民宿也是酒店民宿就可以无法无天？民宿就可以对待客人态度恶劣至极？民宿就可以不按酒店规章流程给客人一个良好的体验总得来说 房间不错 侧过身现在窗户角落勉强能看到橘子洲中部但是不习惯店家态度嚣张以及做不到帮店家把他们该尽的义务尽了的朋友还是尽量选择其他酒店，长沙不缺这种酒店，价格更优惠态度更亲和视觉更震撼。,民宿 态度 恶劣 翻翻 店家 评论 回复 充满 傲慢 无礼 嚣张 入住 开封 红酒 留在 冰箱 酒店 工作人员 全屋 客人 物资 回电 酒店 回复 赔偿 把酒 放在 仓库 说教 长点 记性 推脱 责任 民宿 酒店 嘴巴 堵死 做不了 酒店 酒店 民宿 酒店 民宿 民宿 客人 态度恶劣 至极 民宿 酒店 规章 流程 客人 体验 房间 不错 窗户 角落 勉强 习惯 店家 态度 嚣张 不到 店家 义务 朋友 选择 酒店 酒店 价格 态度 视觉 震撼
酒店很干净，能看得出房间是真的有被打扫过，而且有备马桶垫，有浴缸的房间还有浴缸垫！这次订了3个房间，到了就赶紧又续了一晚。很棒的酒店,酒店 干净 看得出 房间 打扫 马桶 浴缸 房间 浴缸 房间 很棒 酒店
很满意,满意
新开的江景房很漂亮房间装修很别致管家的服务也很好基本上是有求必应来长沙旅游真的是很方便，在很高档的写字楼里面环境特别好超值，续住可以打9折我们在这里住了几天,新开 江景 很漂亮 房间 装修 别致 管家 写字楼 环境 超值 续住
房间卫生十分干净，老板很好很贴心，入住手续简单快捷，有问题都会随时解决，房间地理位置很绝，离冬瓜山仅一条街，天宝兄弟就在楼下，吃完可以在湘江边逛一圈消消食，一百分推荐！冲冲冲！,房间 卫生 干净 老板 贴心 入住 手续 简单 快捷 解决 房间 地理位置 冬瓜 一条街 兄弟 消食 推荐
房间特别满意 就是看上图片才选择入住 果然没失望 自助办理手续 不需要吧台 下次来长沙 肯定还要入住,房间 满意 图片 选择 入住 失望 自助 办理手续 吧台 肯定 入住
房间很大  干净卫生  有冰箱和厨房   适合带孩子来住  对面能看见江景  非常不错  老板人很好  耐心解释  及时解决问题  希望有机会再来,房间 很大 干净 卫生 冰箱 厨房 适合 孩子 来住 对面 江景 不错 老板 耐心 解释 解决问题 希望 机会
民宿房间和预定界面图片一致，非常好！位置也非常好对面就是冬瓜山，楼下就是天宝兄弟！还是可以眺望橘子洲头的江景房，非常推荐！,民宿 房间 预定 界面 图片 位置 对面 冬瓜 兄弟 眺望 江景 推荐
忘记拍照啦，地理位置特别好，进去的空间也很大，阿姨收拾的很干净，还有洗衣机可以洗衣服，客服态度也特别好，总的来说特别满意，下次来长沙还会再订！,忘记 拍照 地理位置 空间 很大 收拾 干净 洗衣机 洗衣服 客服 态度 满意 再订
房间空间大，和同事两个住的非常舒服，服务很好，主要交通也非常方便，旁边就是冬瓜山美食小吃街，吃的也舒服,房间 空间 同事 舒服 交通 冬瓜 美食 小吃街 舒服
线上前台，方便，刚好遇上长沙烟花表演，客服服务非常用心地标好观看方向，房间干净，没有异味，厕所还配一次性马桶套,前台 遇上 烟花 表演 客服 用心 地标 观看 方向 房间 干净 异味 厕所 马桶
房间干净整洁～住的舒服。窗外对面是橘子洲头，看得到夜游船，楼下是天宝兄弟，虽然排不上号，但是地理位置是很好的。,房间 干净 整洁 舒服 对面 游船 兄弟 排不上 地理位置 很好
环境优美，设施齐全，睡的很不错，挺安静的，服务很好，酒店床很舒服，房间超干净，投影也好棒,环境优美 设施 不错 酒店 舒服 房间 干净 投影
房间主题很特别，环境很好，服务也很好，下次还住这里。,房间 主题 环境
全程无接触入住，住宿环境比较安静，室内干净整洁。位置也比较好找，在冬瓜山对面。服务：店家服务相当到位,接触 入住 住宿 环境 干净 整洁 位置 好找 冬瓜 对面 店家 到位
房间温馨舒服，店家非常有耐心，下次过来会继续入住。,房间 舒服 店家 耐心 入住
环境和服务都挺好的,环境 挺好
房间比较干净卫生，入住舒适，距离办事交近，很方便。,房间 干净 卫生 入住 舒适 距离 办事 交近
以后不会再住了，到别处住宿停车费全免，这里的停车费1夜50元，店家补20元，自己要出30元。第一次遇到这种不痛快。,住宿 停车 停车费 店家 要出 痛快
房间环境非常好，老板服务态度也很好，第一次使用这种非接触入住，老板很细心，还特意升级了我的房间。,房间 环境 老板 服务态度 接触 入住 老板 细心 房间
房间宽敞，干净清爽，下次来还会考虑入住。有地下停车场，离热门景点很近的车程，满意！,房间 宽敞 干净 清爽 入住 停车场 热门 景点 车程 满意
房间布置温馨，全自助式入住退房，操作方便，店家服务态度好,房间 布置 入住 退房 操作 店家 服务态度
还不错  楼下就是天宝兄弟   私密性也很好  就是投影仪一般,不错 兄弟 私密性 投影仪
就是普通的公寓酒店 简简单单 也没啥特别的 不过位置很好,公寓 酒店 位置
"位置很好，出入十分方便 卫生很棒, 房间床用品很赞",位置 出入 卫生 很棒 房间 用品
环境不错，位置很好找！交通也比较方便，去哪里都很近！,环境 不错 位置 好找 交通
环境很好，房间非常干净舒适,环境 房间 干净 舒适
房间干净整洁，很好,房间 干净 整洁
环境卫生都不错。,环境卫生 不错
挺一般的 沙发很脏,很脏
环境不错位置也好,环境 不错 位置
商家人很好,商家
住19层，可以看湘江夜景，房间挺大的，冰箱洗衣机都齐全，洗手间也是干湿分离的。每次来长沙都是住在汇景城，因为楼下就是天宝兄弟，对面是冬瓜山，推荐盟重烧烤和宝贝蒸饺，以前盟重旁边还有一家茶颜，上次三月来拆了，现在也还没恢复，有点可惜。南门口什么的骑个车也很方便。,夜景 房间 挺大 冰箱 洗衣机 洗手间 干湿 分离 汇景 兄弟 对面 冬瓜 推荐 盟重 烧烤 蒸饺 盟重 恢复 可惜
卫生非常好！这点超重要！ 然后就是位置确实很好，可以看到橘子洲，视野极佳，没有遮挡物，看着就舒坦。 房间装饰也很好～ 长沙真的好吃的好玩的太多啦！！！！！ 茶颜悦色好喝！比霸王茶姬好喝！哈哈哈哈 米粉好好吃！ 湘菜好好吃！ 空气里都是辣椒的味道～ 国金街附近真的超多人的！！！！,卫生 位置 确实 视野 极佳 遮挡 看着 舒坦 房间 装饰 好吃 好玩 好喝 霸王 好喝 好吃 湘菜 好吃 空气 辣椒 味道 国金
位置无敌巨好，去长沙主要景点都非常方便，酒店在一个很新的大厦里面，24小时安保，很安全，楼下就有小吃街，好吃价不贵，我们住的那层楼里还有个按摩非常舒服的中医按摩还给打了折，推荐推荐！,位置 无敌 景点 酒店 大厦 小时 小吃街 好吃 不贵 按摩 舒服 按摩 还给 推荐 推荐
来到长沙让我惊喜的不是橘子洲头，也不是街边美食，而是预定好的这个房间。精致的装修让人心旷神怡，全景落地窗将室外美景尽收眼底，沉溺在其中以至于忘记此行的目的。游玩一天回来躺在舒适的大床上卸去一身的疲惫，安然入睡。愉快的的入住将本次旅行体验拉满，怡然自得，流连忘返，不虚此行！,来到 惊喜 美食 预定 房间 精致 装修 全景 落地窗 美景 忘记 目的 游玩 回来 舒适 床上 卸去 疲惫 入睡 愉快 入住 体验
位置很好找，就在江边附近，拐弯就可以到江边看到橘子洲了，卫生做的也很干净，设备都很新，也是为数不多的宠物友好民宿，常来也可以打折，价格很划算，而且停车也是包了的，过来旅游住处很重要，到国金，五一都很方便,位置 好找 拐弯 卫生 干净 宠物 友好 民宿 打折 价格 划算 停车 包了 住处 国金
很奈斯，干净整洁，楼层视野很好，当天晚上八点多到的，免费升级了房型。 前台小姐姐很漂亮，服务员也都很有礼貌，价格不贵适中，有来长沙玩的小伙伴，推荐入住。,干净 整洁 楼层 视野 房型 前台 很漂亮 服务员 礼貌 价格 适中 小伙伴 推荐 入住
真的很不错哦，卫生真的很干净，都是新的 ，细节也做的很到位，前台帅哥很好说话，服务超好，额外需要的都能该到帮助，升级房型，空调效果又好，真的住的很舒服！给这家店打100分！！！下次一定还来这里,不错 卫生 干净 细节 到位 前台 说话 超好 房型 空调 效果 舒服
520来长沙旅游，订的这家酒店，位置超级好，窗户对面就是湘江，名副其实的江景房。房间很新很干净，没有异味，装修的很漂亮。房间的设施都是智能化的，用起来都很方便，厕所干湿分离，阳台还有浴缸可以泡澡。前台小哥哥态度很好，什么需求都能满足。总的来说这家酒店我夸爆好吧，大家放心冲冲冲！,酒店 位置 窗户 对面 江景 房间 干净 异味 装修 很漂亮 房间 设施 厕所 干湿 分离 阳台 浴缸 泡澡 前台 态度 需求 酒店 爆好 放心
酒店刚装修不久，干净卫生，设施齐全，冰箱洗衣机一应俱全。位置好，附近小吃很多，出行方便，楼下就有共享电动车还有公交车站。服务态度很好，是一家值得推荐的民宿！,酒店 装修 干净 卫生 设施 冰箱 洗衣机 位置 小吃 出行 共享 电动车 公交车站 服务态度 值得 推荐 民宿
朋友来长沙，想找个相对安静点的地方，网上搜了一下这家店映入眼帘，精致的设计风格和理念深得人心，而且高空江景真的绝绝子，果断被吸引，平日出行，性价比也很高，离五一广场很近，楼下就是网红小龙虾，对面冬瓜山夜市一条街，超多好吃的，长沙不愧是不夜城，老板人也很好，服务态度一流，超级耐心，还有免费停车，出乎意料呢~如果喜欢安静方便的话真的是不二选择~,朋友 地方 精致 风格 理念 高空 江景 吸引 出行 性价比 网红 对面 冬瓜 夜市 一条街 超多 好吃 不愧 老板 服务态度 一流 耐心 停车 喜欢 选择
长沙旅行的首选，以后就定这家了，新开的店环境很好，住的江景房，可以看到橘子洲大桥，房间装修都是最新的风格，干湿分离，有的房还有智能控制，很方便，听说十一号橘子洲放烟花了，这里一览无余，可惜要回家了，下次提前预约！,首选 新开 环境 江景 房间 装修 风格 干湿 分离 智能 控制 听说 烟花 可惜 回家 提前 预约
真的很幸运找到这家酒店   老板人也很好！ 环境真的很棒 还可以做饭 有冰箱  床也很舒服    什么都有  挺好的！ 刚好赶上优惠期   下次有机会还住这   心情都很舒畅！！！忘记拍照了  但是真的值得推荐！,幸运 找到 酒店 老板 环境 很棒 做饭 冰箱 舒服 优惠期 机会 心情 舒畅 忘记 拍照 值得 推荐
