评论内容,fenci
是超级喜欢的民宿！！来过好多次长沙了，超后悔为什么没有早点发现烟霞里！第一次过去可能路有点难找，可以问一下老板怎么走最快。民宿是独栋传统建筑，门头小小的，周围都是鲜花，上去以后内有乾坤，总共就八间房所以非常安静舒适完全不会吵。房间的风格和布置特别有古典气息，灯具、桌子和柜子都很漂亮（恨不得搬回去）。床很舒服不会太软，浴室的热水也很大，还有小冰箱可以放饮料什么的。设备都很新完全不存在任何使用问题，家具也保养得非常好，干净整洁。（差点以为是新开的）特别是房东小姐姐，热情又善良，推荐了很多非常地道的美食（还收集了一柜子好看的咖啡杯 杯子控狂喜）楼梯间都有老物件儿，多年前的老地契老报纸什么的，看得出传承的情怀和满满的历史感。楼顶有露台，傍晚看落日相当浪漫。周围有高楼但这一片却是老街气息的复古建筑群，特别有“大隐隐于市”的快乐。附近潮宗街全都是文艺餐厅、咖啡店和古着，很多有意思的时尚小店。但苍蝇馆子也很多，铺头摊头都还是老长沙味道。（茶颜悦色也就在拐角的地方）是很理想和惊喜的“文化街区”！喜欢喝茶喝咖啡的朋友们不要错过，几步路就到超幸福。（楼底下的就很棒，老板还跟我们科普了“烟霞里”的由来——民宿门口那条短短的巷子就叫“烟霞巷”）去五一广场和黄兴步行街也很方便，腿着就到。因为太喜欢烟霞里所以原计划要走了又决定改签续住，非常希望下次来长沙的时候还可以入住，下次试试别的房间。总之是理想的“家”，长文点评只因为满满的感动——太久没有住过综合下来几乎没有短板这么舒服美丽的民宿了！刚走一天已经想念了会一直想念在烟霞里的时光（前面都是房间和民宿，后面有几张楼底下的餐厅咖啡店，整体风格真的又融合又文艺，棒）,喜欢 民宿 后悔 发现 烟霞 老板 民宿 传统 建筑 鲜花 舒适 房间 风格 布置 气息 灯具 桌子 柜子 很漂亮 舒服 太软 浴室 热水 很大 冰箱 饮料 家具 保养 干净 整洁 差点 新开 房东 热情 善良 推荐 地道 美食 收集 柜子 好看 咖啡杯 杯子 狂喜 楼梯间 物件 地契 报纸 看得出 传承 情怀 历史感 楼顶 露台 落日 浪漫 高楼 老街 气息 建筑群 快乐 文艺 餐厅 咖啡店 时尚 小店 苍蝇 馆子 摊头 味道 拐角 地方 理想 惊喜 文化 喜欢 喝茶 朋友 错过 幸福 很棒 老板 烟霞 民宿 巷子 烟霞 步行街 喜欢 烟霞 计划 改签 续住 希望 入住 房间 理想 点评 感动 短板 舒服 民宿 想念 了会 想念 烟霞 时光 房间 民宿 餐厅 咖啡店 整体 风格 文艺
这次长沙旅行中在这民宿中订了三间不同的房间，我和老公最喜欢就是这间了！民宿找起来说难不难，认准“蜗牛院子”左手边的小巷立马就找到，虽然是楼梯没电梯，但老板娘会主动帮忙提行李，好贴心啊。房间里环境真的很好，卫生很干净，摆设拉满氛围感，这间房到了晚上开灯的时候特别美！！,民宿 中订 房间 喜欢 民宿 认准 蜗牛 院子 左手边 小巷 找到 楼梯 电梯 老板娘 帮忙 行李 贴心 房间 环境 卫生 干净 摆设 氛围 开灯
和朋友订了同一层的两间房 真的不要太舒服了 房间很大  而且卫生打扫得非常干净 这点真的惊喜到我了 并且实际和图片上完全一致 露台真的无敌了 大家一起小聚就非常开心 周边的店铺也很多 茶颜悦色就楼下100米 哈哈哈哈 每天一杯不是梦 楼下还有很多小咖啡馆子 特别喜欢这种小巷内,朋友 两间房 舒服 房间 很大 卫生 打扫 干净 惊喜 图片 露台 无敌 开心 店铺 咖啡馆 喜欢 小巷
不错不错 干净卫生 东西齐全 很喜欢这个阳台 ，投影设备也不错，关灯看电影很有感觉，最重要是老板娘人好，有责任心。昨晚11点多，浴室地漏有点堵，跟老板娘反映了一下，老板娘很快就上来解决了,不错 不错 干净 卫生 喜欢 阳台 投影设备 不错 关灯 电影 感觉 老板娘 责任心 浴室 地漏 老板娘 老板娘 解决
两个风格的房间我都很喜欢 哈哈哈哈 半岛铁盒有个私密的小阳台 夜晚吃吃宵夜聊聊天 是很安逸的感觉。旧故里的装修风格拍照很好看 法式复古 家具这些也都很精致 房间都打扫得很干净 地理位置也不错，总体体验感很好 还有民俗老板娘特别好，超棒的一次住宿。,风格 房间 喜欢 半岛 铁盒 私密 阳台 感觉 故里 装修 风格 拍照 好看 法式 家具 精致 房间 打扫 干净 地理位置 不错 总体 体验 民俗 老板娘 超棒 住宿
房间超级超级超级超级舒服 很干净！出来玩了个多月住得最满意的民宿，阳台的视野开阔，可以直接看到。相比五一广场 民宿位置这边更安静一些，下楼就可以打车，很方便。老板也会热心的推荐好吃的，非常不错 放心入住～,房间 舒服 干净 满意 民宿 阳台 视野 开阔 相比 民宿 位置 下楼 打车 老板 热心 推荐 好吃 不错 放心 入住
很满意的一次入住哦。 老板老板娘非常热情，帮忙把行李拿上楼。 室内环境很舒适干净，进房间就能闻到一股清香，提供的洗发沐浴也都很喜欢。到了晚上周围环境也很安静。 交通挺方便的，沿着主路走就能到五一广场附近。楼下就有已经粉店，味道很不错哦。转个弯就是茶颜悦色，每天都要喝上两杯，很方便。 最喜欢坐在阳台休息，很惬意。,满意 入住 老板 老板娘 热情 帮忙 行李 室内环境 舒适 干净 房间 闻到 提供 洗发 沐浴 喜欢 交通 主路 粉店 味道 不错 喜欢 坐在 阳台 休息 惬意
民宿环境非常好，干净卫生，超级喜欢那个音响，累了一天回来听着音乐超级放松。而且离五一广场很近，非常方便。店家小姐姐人超好，又帮我们拿行李，又给我们推荐周围的好吃的，推荐的米粉太好吃了，我们连着去吃了两天都没吃够，长沙很好，下次来还住这里。,民宿 环境 干净 卫生 喜欢 音响 回来 音乐 放松 店家 超好 行李 推荐 好吃 推荐 好吃 吃够
民宿的氛围感还有环境都很好，房间也很有特色，整洁干净，住得非常舒服 朋友订了带露台的套房，夜晚大家一起喝着小酒，吃着烤串，感觉超级好。老板还推荐了很多私藏小店，味道不错,民宿 氛围 环境 房间 特色 整洁 干净 舒服 朋友 露台 套房 小酒 烤串 感觉 老板 推荐 私藏 小店 味道 不错
离地铁不远，步行也可以到五一广场商圈，但是比那边安静很多！怕吵的朋友可以选！下面有茶颜，有咖啡厅，有潮宗街，有水果店。老板人很好，耐心，可爱。打电话会出来接，会帮忙把行李箱拿到房间，走的时候还会帮忙拿下来。推荐的粉店也好吃～下次来长沙还会选呀。,地铁 步行 商圈 朋友 咖啡厅 有潮 宗街 水果店 老板 耐心 可爱 帮忙 行李箱 拿到 房间 帮忙 推荐 粉店 好吃
环境不错，很干净整洁的房间。室外有休息的区域，方便换鞋出入，环境布置的不错 室内床很宽敞很喜欢 还有落日灯 打在墙上很漂亮，房东姐姐很热情 遇到事情回复和解决都很快很及时 推荐大家来～,环境 不错 干净 整洁 房间 休息 区域 出入 环境 布置 不错 宽敞 喜欢 落日 很漂亮 房东 姐姐 热情 事情 回复 解决 推荐
朋友一起预定的后栋的3间房，也很方便的，感觉民宿被我们包圆了 房间风格都不一样，装修很好看，每个房间都很大 也很卫生。晚上大家一起吃吃东西聊聊天，非常舒适。后栋单独带了个露台 很漂亮！,朋友 预定 间房 感觉 民宿 包圆 房间 风格 装修 好看 房间 很大 卫生 舒适 露台 很漂亮
烟霞里在安静的潮宗街，地理位置甚好，步行很短的距离就可以去闹市。我们住的半岛铁盒不大，但有阳台可以小坐，房间里设备齐全，生活便利。虽然建议配一支大牙膏在卫生间，因为牙具套装里的牙膏太迷你了，持续补充套装牙刷用不到，有不环保之嫌。老板很好！很热情、用心满足房客需求。推荐,烟霞 宗街 地理位置 步行 距离 闹市 半岛 铁盒 阳台 房间 便利 建议 牙膏 卫生间 牙具 套装 牙膏 补充 套装 不到 老板 热情 用心 需求 推荐
和闺蜜一起来长沙 我一个强迫症+卫生间卫生环境强迫症的人 选酒店选了三四天 最后闺蜜选了这家 尽管来之前还是很忐忑 怕窗外太吵设施：音响很赞 还有投影 窗外就临街 但是把窗户关上 门关上 并没有很吵 沙发很舒服 就是床可能偏硬 是我比较习惯性睡的软一点 其他还好卫生：我是一个卫生强迫症的人 但是这家民宿让我一进来就感觉的我的担心是多虑了 最贴心的就是有浴缸而且准备了一次性的浴缸用罩 个人觉得毛巾真的很柔软很舒服环境：周围交通挺方便的 距离很多想去的地方都不远 我订的在三楼 所以高度也可以接受 早上起来打开窗帘看窗户也是很舒服 这个时候去长沙会比较冷 卧室里面也有空调 很是齐全服务：最赞的就是服务！民宿的位置不好找 我和闺蜜拖着行李箱迷路了 联系了民宿小姐姐 二话不说让我拍了照原地等一下就来接我们 非常好！投影有问题就马上来处理！没有牙膏 没有一次性拖鞋就很快送过来！小姐姐还分享了自己收藏的餐厅！真的很好吃！是想吃的当地味道！可能会有觉得美中不足的地方 但是因为小姐姐非常奈斯 完全可以忽略 在意卫生的话 我觉得可以定 我一个卫生强迫症都没有觉得不适 所以还是很不错的！离店那天赶上了小姐姐生日！补上生日快乐！,闺蜜 强迫症 卫生间 卫生 环境 强迫症 酒店 闺蜜 忐忑 设施 音响 投影 窗户 舒服 习惯性 还好 卫生 卫生 强迫症 民宿 感觉 担心 多虑 贴心 浴缸 浴缸 用罩 柔软 舒服 环境 交通 距离 想去 地方 高度 接受 打开 窗帘 窗户 舒服 卧室 空调 民宿 位置 闺蜜 行李箱 迷路 民宿 原地 投影 牙膏 拖鞋 分享 收藏 餐厅 好吃 味道 地方 在意 卫生 卫生 强迫症 不适 不错 离店
长沙潮宗街，离五一广场走路15分钟，这里就是文化地，适合喜欢打卡拍照，夜生活的朋友们。要是有沐浴球就更完美了。下雨天在房间泡澡。,走路 文化 适合 喜欢 打卡 拍照 朋友 沐浴 完美 下雨天 房间 泡澡
位置的确挺方便的，距离五一广场黄兴路步行街都可以步行到达，大概走10-15份分钟左右。潮宗街的茶颜悦色就在旁边一点，可惜没空喝哈哈哈。房间是真干净卫生，我们一点多到了，阿姨刚好在搞卫生。房间的设施都挺好的，床睡得也舒服，不是那种软塌塌的床。还有老板很热情，帮忙拿行李上楼。很赞！推荐！,位置 距离 步行街 步行 到达 可惜 没空 房间 干净 卫生 卫生 房间 设施 挺好 舒服 老板 热情 帮忙 行李 推荐
民宿老板娘特别热情，帮我们提行李，环境也很好，设施也齐全，就是感觉我定的房间面积有点小，民宿分前后楼，后楼有天台，点一杯咖啡，欣赏长沙夜景感觉非常好，民宿离北正街和潮宗街特别近楼下就有茶颜！总体感觉还不错！就是位置不太好找，大家看到下图就到了！,民宿 老板娘 热情 行李 环境 设施 感觉 房间 面积 民宿 后楼 天台 咖啡 欣赏 夜景 感觉 民宿 正街 总体 感觉 不错 位置 不太好 下图
民宿环境很不错，离市中心不远但是又很安静，老板自己的房子改的，非常接地气。房间的卫生很干净，用品这些都很新，床品也非常舒适，总而言之入住非常愉快。会推荐给朋友的。,民宿 环境 不错 市中心 老板 房子 接地 房间 卫生 干净 用品 床品 舒适 入住 愉快 推荐 朋友
民宿处于中心地带，外出很方便，边上就是潮宗文化古街，老板热情、笑容亲切很有感染力，而且很好商量，房间布置有特色、干净，纸巾质量很好，所以续住了。,民宿 处于 中心地带 外出 文化 老板 热情 笑容 亲切 感染力 商量 房间 布置 特色 干净 纸巾 质量 续住
地理位置挺好，是老房子，挺有感觉的，房间也很整洁，空间挺大，唯一美中不足的就是空间太大了，导致空调有点不给力。在潮宗街，就是店开的都挺晚，中午出去还没开，回来又关门了。出去逛街，坐地铁也挺方便。有啥需求发个消息给老板娘就行了。,地理位置 老房子 感觉 房间 整洁 空间 空间 导致 空调 宗街 没开 回来 关门 逛街 需求 消息 老板娘
民宿位置超级好！就在中山亭斜对面，属于闹中取静，楼下就有茶颜。阳台景观无敌，可以直接看到，附近好吃的很多，走路去哪里都很方便！房间设施也很棒！ 重点是老板人超级好！到了帮忙把很重的行李箱提上楼，下雨有雨伞，可以说是有求必应了，强烈推荐来长沙旅游的朋友住！,民宿 位置 斜对面 阳台 景观 无敌 好吃 走路 房间 设施 很棒 重点 老板 帮忙 很重 行李箱 下雨 雨伞 朋友
性价比非常高，很喜欢的床不是软的！并且我觉得房东人特别的好，每次见你都笑笑，真的好喜欢她，房间随手一拍都很出片，地理位置也不错的！只要走几步晚上就可以拍到媲美文和友的经典广告牌！每一层都有小造景拍拍拍！,性价比 喜欢 房东 笑笑 喜欢 房间 地理位置 不错 媲美 文和友 经典 广告牌 造景 拍拍
小姐姐人特别好，房间也很干净，离市中心地铁都很方便。以后再来长沙的时候，还会在这里居住，太喜欢了。,房间 干净 市中心 地铁 居住 喜欢
民宿挺好的，是一栋房子这种，每层楼就两个房间，很安静隐私性也很好。还有一个小阳台，舒服自在。和闺蜜住得都很满意，如果再来长沙的话，还是会首选这家的。,民宿 房子 层楼 房间 阳台 舒服 闺蜜 满意 首选
民宿在小巷子里面，房间真的很大很漂亮，随手一拍都是大片，也可以顺便逛逛潮宗街区，值得一住～～但离地铁站2号线五一广场站有点点远,民宿 房间 很大 很漂亮 大片 顺便 逛逛 值得 地铁站 号线 点点
房间是真的很舒服，采光通风都很好，尤其是门打开就是露台，白天晒晒太阳，夜晚欣赏万达的夜景，很悠闲的感觉。尤其是小宝贝玩得最开心了～,房间 舒服 采光 通风 打开 露台 晒太阳 欣赏 夜景 感觉 开心
先订了两天，有续订了一天，开始考虑到如果不是很理想就不再续订了，结果住进去就很满意，果断续订！,先订 续订 理想 续订 满意 续订
环境真的超级好，五一广场边上，去哪都方便，房间很干净，很卫生，住的很舒服，而且老板娘人非常好，非常热情，下次来长沙还入住这里。,环境 房间 干净 卫生 舒服 老板娘 热情 入住
位置挺方便的 出门后面就是一条古街 离茶颜也很近。房间和图片完全一样 并且很干净 入住了两天觉得非常舒适 下次有机会再试试其他房间,位置 出门 房间 图片 干净 入住 舒适 机会 房间
房间真的很好看，如图。卫生也打扫得很干净～住得非常舒服～距离橘子洲 岳麓山这些景点也很近 基本都在2公里左右 出行很方便。赞！,房间 好看 卫生 打扫 干净 舒服 距离 景点 出行
房间很大很干净，小阳台的视野也非常好虽然靠近路边但是隔音很不错。总体入住体验感很好，下次有机会还会再来的。,房间 很大 干净 阳台 视野 靠近 隔音 不错 总体 入住 体验 机会 再来
湖南第一站，非常好的住宿体验，格调清新，出行方便，繁华之上，闹中取静。美女帅哥店家非常好，还会介绍朋友来。,住宿 体验 格调 清新 出行 繁华 美女 店家 介绍 朋友
很有复古气息的民宿，看得出老板装修很用心。周边吃饭出游都方便。老板态度很好，很热情，会提前联系是否需要拎行李。,气息 民宿 看得出 老板 装修 用心 吃饭 老板 态度 热情 提前 行李
老板娘热心弥补了我对长沙的印象，离开长沙，身份证丢无良司机车里，老板娘半夜帮我处理，发快递，发红包都不要，简直吾辈楷模，此店不火，天理难容,老板娘 热心 弥补 印象 离开 身份证 司机 老板娘 快递 楷模 不火 天理难容
真的是个让人感觉特别惬意的民宿，房间蛮大设计好有特点，好喜欢这个小阳台，特别有感觉！老板娘声音好温柔，信息回的也好快！整体感觉在长沙玩的棒吃的棒住的更棒！,感觉 惬意 民宿 房间 喜欢 阳台 感觉 老板娘 声音 温柔 信息 整体 感觉
房间环境满意，比较有格调，床很被子都舒服，还有个可以晒太阳的阳台，离五一广场也不远，走路就可以到，老板也好，可以搬行李上下楼。,房间 环境 满意 格调 被子 舒服 晒太阳 阳台 走路 老板 行李 下楼
很有意思的民宿～前栋和后栋的公共区域拍照都很好看（后栋更好看）还有个大露台～房间也干净明亮，总体入住很不错，有机会再来～,民宿 区域 拍照 好看 露台 房间 干净 明亮 总体 入住 不错 机会
民宿房间挺满意的 很大很干净 设施设备这些都挺好 一家人住得都很满意 房东也很在线 有什么需求发个信息就可以了，离开各景区也近,民宿 房间 满意 很大 干净 设施 一家人 满意 房东 需求 信息 离开 景区
非常临时定的，本来没有多抱希望！但是重重的被惊喜到了！房间超级温馨也很干净～地理位置也很不错！不是广～非常真心！房东小姐姐真的太好了～～,希望 惊喜 房间 干净 地理位置 不错 房东
好看又好拍！超级喜欢！而且非常干净！满意。,好看 喜欢 干净 满意
很好住，浴室超级大，环境特别好，旁边就有地铁站，离市中心国金五一广场都很近，旁边有好几家茶颜悦色和黑色经典，下次来长沙还会住这里,浴室 环境 地铁站 市中心 国金 黑色 经典
隔音稍微差点，假如天气太冷，供暖不行，然后位置不太好找，不过管家挺好,隔音 差点 天气 供暖 不行 位置 不太好 管家
很舒服的房间 空间足够大 还有个阳台 太阳天照得房间暖暖的。房间设施齐全 老板服务也很贴心 不错的入住体验,舒服 房间 空间 足够 阳台 房间 房间 设施 老板 贴心 不错 入住 体验
民宿很漂亮，位置很好，去五一广场步行十分钟， 走路几分钟到江边， 周围很多餐厅，连住了三晚 ， 老板娘人很好，下次还会来。,民宿 很漂亮 位置 步行 走路 餐厅 连住 老板娘
体验还不错 环境和图片基本一致 算是长沙比较好的民宿啦 就是这个房间临马路会有一点吵 老板娘超级热心服务很棒哦！,体验 不错 环境 图片 算是 民宿 房间 马路 老板娘 热心 很棒
位置也挺方便，去一二路地铁走路五分钟左右，去五一广场走路也在十分钟以内，老板人也挺好，很愉快的居住体验,位置 地铁 走路 走路 老板 愉快 居住 体验
位置挺方便的，离停车场也比较近。房间空间比较大 视野也很开阔 很舒服的民宿 老板很热情 人超好,位置 停车场 房间 空间 视野 开阔 舒服 民宿 老板 热情 超好
干净整洁温馨。但是不怎么隔音，如果外面有人拉行李的话，会听到声音。,干净 整洁 隔音 行李 听到 声音
房东姐姐很好，房间干净整洁～很喜欢,房东 姐姐 房间 干净 整洁 喜欢
特别喜欢带小阳台的房间，阳光很好！于是两天换了不同的房间住 中途有老板帮忙提行李换房间，所以也很方便。房间的装修很好看呀，家具这些都比较新，看得出来是很用心布置的～卫生也打扫得很干净～很好的入住体验～赞,喜欢 阳台 房间 房间 老板 帮忙 行李 房间 房间 装修 好看 家具 看得出来 用心 布置 卫生 打扫 干净 很好 入住 体验
上海南站睡一晚到长沙站，出来公交1路直达民宿，比地铁方便哟，地铁要走点路的，另外1路到底可以到碧沙湖地铁站免费看毛爷爷哟，所以民宿的地理位置是非常好的，出来有个清泉阁包子铺很多当地人购买的价格相当实惠，旁边有个九如斋是长沙本地百年糕点品牌。民宿小姐姐人非常好，用的洗漱用品也是大品牌哟，环境也很好，老公说下次来还住这里。,公交 直达 民宿 地铁 地铁 地铁站 爷爷 民宿 地理位置 包子铺 当地人 购买 价格 糕点 品牌 民宿 洗漱 用品 品牌 环境
地理位置很好 特别适合来长沙旅游的 出行很便利 房间很干净很舒服 重点是房东简直太太太好啦 特地早起帮我们拿行李 而且房东推荐了很多当地人吃的馆子 吃了几家一点没踩雷 这本地人攻略就是不一样 床也很舒服 睡的很不错 下次来长沙 一定还会选这家,地理位置 适合 出行 便利 房间 干净 舒服 重点 房东 太太 特地 早起 行李 房东 推荐 当地人 馆子 本地人 攻略 舒服 不错
设施：设施很全，基本的设施都有，这几天冷暖气很好用很暖和，有热水壶，沐浴露什么的也不错，房间拍照也还不错 卫生：卫生还不错 环境：周边设施很方便，附近有很多小店，楼下就有便利店，走路十分钟左右就能到五一广场，步行前往不是问题 服务：房东姐姐人超好，住的两天麻烦了房东姐姐几次，很热情态度都很好看到房东姐姐的笑心情就会很好哈哈哈,设施 设施 设施 冷暖 好用 暖和 水壶 不错 房间 拍照 不错 卫生 卫生 不错 环境 设施 小店 便利店 走路 步行 房东 姐姐 超好 麻烦 房东 姐姐 热情 态度 房东 姐姐 心情
很庆幸万里挑一选了这家民宿，地理位置优越，距离地铁近，距离五一广场，橘子洲，博物馆，太平老街文和友都很近，周边就是一条宝藏的古街，有几家老字号，巷子里也很安静，房间打扫的干干净净，房东服务特别好，超级贴心，住的非常舒服。,庆幸 民宿 地理位置 优越 距离 地铁 距离 博物馆 老街 文和友 老字号 巷子 房间 打扫 房东 贴心 舒服
性价比很高的一家民宿，民宿老板姐姐非常热情周到，房间干净整洁，装修审美在线，特别漂亮，在长沙的三个晚上睡得很好，民宿距离五一广场步行约十分钟，但因为在潮宗街的一条巷子里，这里的游客是很少的，所以虽然在市区但很安静，真的很喜欢这家民宿,性价比 很高 民宿 民宿 老板 姐姐 房间 干净 整洁 装修 漂亮 民宿 距离 步行 宗街 巷子 游客 市区 喜欢 民宿
民宿是一个老房子独栋，所以就不会像传统酒店一样压抑，位置略微难找。但老板服务很周到，回答问题也很有耐心。但个人认为最大的 是：他家是电热水器，我们又是双床房，三个人。晚上一起洗澡水又不够，不然最后一个人要等半天。所以我们三个人四天都没洗头。又是过年跟前，理发店洗头都要排队。现在不管是传统酒店还是民宿，热水不给力的真的很少很少了。,民宿 老房子 传统 酒店 压抑 位置 老板 周到 回答 耐心 电热水器 双床 洗头 理发店 洗头 排队 传统 酒店 民宿 热水
没有照片上的感觉好。民宿其他房间还在装修，一早就开始敲了。希望这些备注要放在线上让客人提前知道。 地理位置还不错。整体不功不过，一般。,照片 感觉 民宿 房间 装修 希望 备注 放在 客人 提前 地理位置 不错 整体 不功
因为飞机延误半夜才到民宿，民宿老板一直等着我们到达，还帮忙搬行李到房间，整体屋子都打扫得很干净，而且位置很好，步行可到五一广场，也没有吵闹的问题，整体居住环境都比较安静。,飞机 延误 民宿 民宿 老板 到达 帮忙 行李 房间 整体 屋子 打扫 干净 位置 步行 吵闹 整体 居住 环境
酒店环境很好，老板娘也很热情，喜欢安静一些的可以选这家，相对五一广场其他的酒店这家要安静太多了，而且出门就有茶颜悦色,酒店 环境 老板娘 热情 喜欢 酒店 出门
民宿很好找 而且出行很方便 离五一广场都很近 巷子里就有一家茶颜悦色 真的深得我心 最主要的就是店家小姐姐真的真的特别好！很贴心！,民宿 好找 出行 巷子 店家 贴心
环境非常出片！房间装修也很新，卫生也很干净！有阳台有浴缸有投影，还配备了一次性浴缸袋。不错的入住体验！,环境 出片 房间 装修 卫生 干净 阳台 浴缸 投影 配备 浴缸 不错 入住 体验
民宿位置好，离地铁1号线和2号线都是步行距离，附近美食很多，有茶颜悦色。店主服务也很好，喜欢入住的那个投影房，房间布局合理,民宿 位置 地铁 号线 号线 步行 距离 美食 店主 喜欢 入住 投影 房间 布局合理
客栈小姐姐非常热情 会给你发攻略以及附近好吃的 晚上上露台喝喝茶 放空一下真的很惬意 离周边景点都非常近,客栈 热情 攻略 好吃 露台 喝茶 放空 惬意 景点
卫生：挺干净的 环境：虽然在街边，但是有个阳台，也没有很吵，房间很大，住的很舒服 服务：态度好,卫生 干净 环境 阳台 房间 很大 舒服 态度
三人入住，房间很大又干净整洁，出门时露台，还能坐着晒晒太阳。住的房间在四楼，上下都有房东帮忙拎，服务特别热情～,入住 房间 很大 干净 整洁 露台 晒太阳 房间 房东 帮忙 热情
地理位置很好，附近就是地铁站，楼下还有茶颜悦色，不会像在五一广场太近的地方那么吵闹，出行挺方便的,地理位置 地铁站 地方 吵闹 出行
民宿位置是闹中取静，会有一点点不好找，不过老板服务特别好，出去玩交通也都很方便,民宿 位置 老板 出去玩 交通
老板、老板娘人很好，上下楼帮拿行李，还会推荐很多本地小吃以及旅游攻略。,老板 老板娘 下楼 行李 推荐 小吃 攻略
整体都还挺满意的，卫生条件，舒适度都可以，离黄兴街也不算远，逛街挺方便的。,整体 满意 卫生条件 舒适度 不算 逛街
老板娘服务态度很到位，环境内饰都不错～有问题也可以得到及时反馈。,老板娘 服务态度 到位 环境 内饰 不错 反馈
比五星级酒店还要干净，宁静，服务好，床很舒服，下次去长沙玩会再住,酒店 干净 舒服 玩会
和朋友一起度过了令人开心的旅行时光，烟霞里功不可没,朋友 度过 开心 时光 烟霞
环境好，房间干净整洁，老板特别热情，大点赞,环境 房间 干净 整洁 老板 热情 大点
所见即所得，安静，卫生，周到，很推荐,所得 卫生 周到 推荐
民宿闹中取静、各方面都还不错,民宿 不错
真的很不错，在潮宗街很舒服。,不错 宗街 舒服
非常满意啊 老板人也很好,满意 老板
名宿很漂亮，店家服务超赞,名宿 很漂亮 店家 超赞
店家服务很好～房间也很干净,店家 房间 干净
酒店很温馨，服务很热情,酒店 热情
性价比高交通方便,性价比 交通
卫生环境都很不错,卫生 环境 不错
环境优美，不错,环境优美 不错
房间温馨舒适,房间 舒适
入住很舒适,入住 舒适
这是我第一次跟我家大爷去外省玩，民宿地点不太好找，打给店主就立即出来接我.房子在巷子里的一栋小楼 ，装修都花了不少心思，感觉很舒服，我住在三楼（铁盒）房子比我预计的好！我很喜欢它的小阳台！和空中小花园，很似 店！可惜有一天下雨就无法上去小花园休憩！而且店主很亲切 我下次再来长沙玩都会找这家民宿,大爷 外省 民宿 地点 不太好 打给 店主 房子 巷子 小楼 装修 心思 感觉 舒服 铁盒 房子 喜欢 阳台 花园 很似 可惜 下雨 花园 休憩 店主 亲切 民宿
本次长沙之行最满意的就是住宿，环境很棒，装修风格很喜欢，楼下就是东瓜山，太方便了，早点和宵夜都安排在这里。吃过饭还可以沿江边散步。服务也很棒，有什么问题都第一时间反馈，下次还会再次选择这里,满意 住宿 环境 很棒 装修 风格 喜欢 宵夜 安排 散步 很棒 时间 反馈 选择
挑了很久才选中的酒店 卫生很干净 装修风格是我们喜欢的 可以看到湘江  当天耽误退房时间 阿姨还帮忙收拾行李放在物业 交通便利 离五一广场 文和友 坡子街都非常近 长沙不夜城值得再来,选中 酒店 卫生 干净 装修 风格 喜欢 耽误 退房 时间 帮忙 收拾 行李 放在 物业 交通 便利 文和友 坡子 值得
很棒！房间非常干净，整体设计的氛围感非常好，床也很大。楼下就是天宝兄弟很适合吃夜宵！隔壁还有冬瓜山，出行较为方便。,很棒 房间 干净 整体 氛围 很大 兄弟 适合 冬瓜 出行
房间很赞，干净宽敞，还可以看到湘江和岳麓山。晚上休息也很安静。到市区打车和公交都很方便。下次有机会还会入住。,房间 干净 宽敞 休息 市区 打车 公交 机会 入住
环境挺好的 就是养了个可爱的小宠物小蜘蛛 地理位置方便 还是挺舒服的 小姐姐服务也很好还可以看电视听歌～好评,环境 可爱 宠物 蜘蛛 地理位置 看电视 听歌 好评
第一次来长沙，住宿环境很好，很安静，很干净，遇到问题，管家也会帮助我们，服务态度也很好，下次还来住,住宿 环境 干净 管家 服务态度
环境卫生都挺好的。主要是前台服务态度特别好。也可以提前预约。,环境卫生 挺好 前台 服务态度 提前 预约
环境很好很安静，窗外景色很好，房间很干净每天打扫卫生很及时。,环境 景色 房间 干净
紧邻湘江边，闹中取静。路对面就是冬瓜山小吃街，距离坡子街、五一广场之类的地方散步就到，房间实际情况所见即所得，卫生满意。,紧邻 对面 冬瓜 小吃街 距离 坡子 地方 散步 房间 情况 所得 卫生 满意
风景真的很不错 能够清楚看到江景。客服也很及时的帮忙解答 房间内也很干净舒服,风景 不错 江景 客服 帮忙 解答 房间内 干净 舒服
整体很不错，干净、安静，无接触式前台,整体 不错 干净 前台
如果去五一广场或坡子街，位置有点远，周边食饭的地方可能因为春节的原因，很多没有开门，很不方便。,坡子 位置 食饭 地方 原因 开门
环境特别好，位置去哪里也很方便。也可以寄存行李。东西也干净,环境 位置 寄存 行李 干净
住着环境很好  整体氛围很棒  老板的服务很热情  祝福大家兔年大吉 五星好评,环境 整体 氛围 很棒 老板 热情 兔年 好评
给别人定的房间，幸好先过去看了下，桌上都是灰尘，联系让阿姨来搞下卫生，好像欠了她八百万，还直接不拖鞋踩座位。图片忘拍了，不介意的可以尝试下，也许运气好不会碰上。,房间 幸好 灰尘 卫生 好像 拖鞋 座位 图片 运气 碰上
非常完美的地理位置，天宝兄弟就在楼下，对街的东瓜山夜宵也是分分钟。房间干净宽敞，设施齐全，管家耐心，方方面面的好评，推荐推荐！,完美 地理位置 兄弟 房间 干净 宽敞 设施 管家 耐心 方方面面 好评 推荐 推荐
酒店环境很好，卫生干净，居住面积大，而且可以看见江景，居住舒适度高，位置紧邻橘子洲。,酒店 环境 卫生 干净 居住面积 江景 居住 舒适度 位置 紧邻
